Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,9,7.446541,-1.0588205,"paris agreement, 0.0360, 3, 11 ; co2 emissions, 0.0342, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; energy efficiency, 0.0200, 7, 12 ; district heating, 0.0196, 5, 21",0.3879,1.0,paris agreement ; co2 emissions ; 000 tonnes ; energy efficiency ; district heating
pro,1,7,8.638807,-1.2747014,"wind turbines, 0.0217, 27, 128 ; offshore wind, 0.0201, 31, 299 ; offshore wind turbines, 0.0146, 24, 67 ; bornholm offshore wind, 0.0133, 1, 1 ; danish energy agency, 0.0131, 16, 50",0.6843,1.0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; danish energy agency
pro,2,20,8.588894,-1.393008,"north sea, 0.0128, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0114, 29, 143 ; sustainable energy, 0.0111, 2, 4 ; island north sea, 0.0106, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
pro,3,10,7.7965107,-1.0563006,"electricity grid, 0.0286, 8, 37 ; co2 emissions, 0.0253, 2, 5 ; electricity consumption, 0.0236, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0169, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
pro,4,14,7.693802,-1.0436636,"70 percent, 0.0279, 9, 20 ; climate act, 0.0229, 6, 24 ; climate council, 0.0200, 6, 23 ; green power, 0.0185, 11, 29 ; million tonnes, 0.0115, 2, 2",0.4625,1.0,70 percent ; climate act ; climate council ; green power ; million tonnes
pro,5,9,9.064386,0.3978068,"north sea, 0.0212, 6, 29 ; wind energy, 0.0196, 9, 10 ; offshore wind, 0.0174, 8, 47 ; european commission, 0.0171, 2, 7 ; european energy, 0.0170, 3, 4",0.5389,1.0,north sea ; wind energy ; offshore wind ; european commission ; european energy
pro,6,4,7.543011,-1.1246336,"million tonnes, 0.1113, 4, 15 ; climate council, 0.0763, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0368, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
pro,7,1,7.5628963,-1.7926989,"labor market, 0.2271, 1, 5 ; danish business, 0.1289, 1, 3 ; among things, 0.0717, 1, 3 ; skilled workers, 0.0506, 1, 1 ; something new, 0.0477, 1, 1",1.0,1.0,labor market ; danish business ; among things ; skilled workers ; something new
pro,8,14,7.63198,-1.5551661,"natural gas, 0.0225, 5, 19 ; ptx plants, 0.0153, 5, 9 ; among things, 0.0143, 9, 16 ; electrolysis capacity, 0.0140, 5, 9 ; cip foundation, 0.0135, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
pro,9,2,7.890668,-1.9164339,"drinking water, 0.0670, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0277, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
pro,10,17,8.650279,-1.3408829,"north sea, 0.0412, 20, 128 ; island north sea, 0.0183, 15, 34 ; artificial island, 0.0183, 11, 25 ; energy islands north, 0.0141, 10, 26 ; islands north sea, 0.0140, 10, 26",0.6758,1.0,north sea ; island north sea ; artificial island ; energy islands north ; islands north sea
pro,11,11,7.688299,-1.5053551,"one must, 0.0164, 5, 8 ; state aid, 0.0157, 6, 13 ; 10 million, 0.0125, 2, 4 ; danish energy agency, 0.0124, 9, 33 ; sea area, 0.0115, 4, 9",0.2567,1.0,one must ; state aid ; 10 million ; danish energy agency ; sea area
pro,12,13,8.7797985,-1.866878,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0243, 11, 26 ; danish energy agency, 0.0224, 8, 23 ; wind turbines, 0.0222, 13, 41 ; offshore wind turbines, 0.0207, 9, 19",0.7911,1.0,offshore wind ; danish energy ; danish energy agency ; wind turbines ; offshore wind turbines
pro,13,3,7.5451303,-1.4599638,"green fuels, 0.0692, 2, 12 ; green hydrogen, 0.0659, 1, 9 ; says henrik, 0.0239, 1, 2 ; million dkk, 0.0226, 0, 0 ; per cent, 0.0205, 1, 2",0.4,1.0,green fuels ; green hydrogen ; says henrik ; million dkk ; per cent
pro,14,3,8.562882,-1.08125,"data center, 0.3325, 3, 53 ; data centers, 0.1353, 3, 17 ; energy island north, 0.0331, 3, 6 ; island north sea, 0.0311, 3, 6 ; district heating network, 0.0311, 1, 3",0.9556,1.0,data center ; data centers ; energy island north ; island north sea ; district heating network
pro,15,9,8.260118,-2.6101758,"energy islands bornholm, 0.0250, 48, 264 ; energy islands, 0.0248, 58, 378 ; søren møller christensen, 0.0185, 10, 37 ; danish energy agency, 0.0067, 21, 39 ; billion kroner, 0.0067, 17, 34",0.6233,1.0,energy islands bornholm ; energy islands ; søren møller christensen ; danish energy agency ; billion kroner
pro,21,1,8.396661,-4.7678065,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; energy island, 0.0081, 49, 238",0.4531,1.0,land plant ; land facility ; consultation response ; green energy ; energy island
pro,23,4,7.8104677,-1.7752539,"magnus brogaard, 0.0137, 6, 26 ; offshore wind, 0.0116, 17, 126 ; cip foundation, 0.0099, 1, 10 ; 000 tonnes, 0.0087, 3, 8 ; copenhagen infrastructure partners, 0.0085, 10, 13",0.39,1.0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; copenhagen infrastructure partners
pro,25,1,8.060427,-4.917504,"municipal council, 0.0193, 24, 100 ; energy island, 0.0157, 54, 400 ; election campaign, 0.0113, 3, 8 ; jacob trøst, 0.0105, 23, 49 ; social democracy, 0.0092, 12, 82",0.4975,1.0,municipal council ; energy island ; election campaign ; jacob trøst ; social democracy
pro,28,1,8.982433,-4.842304,"electricity prices, 0.0417, 7, 10 ; electricity grid, 0.0359, 14, 76 ; bornholm electricity grid, 0.0322, 12, 35 ; net east, 0.0240, 6, 15 ; connected energy, 0.0235, 8, 11",0.49,1.0,electricity prices ; electricity grid ; bornholm electricity grid ; net east ; connected energy
pro,31,2,9.000051,-5.1119013,"local plan, 0.0357, 6, 48 ; ole sonne, 0.0303, 1, 11 ; land plant, 0.0214, 9, 28 ; high voltage station, 0.0212, 5, 9 ; voltage station, 0.0212, 7, 22",0.3714,1.0,local plan ; ole sonne ; land plant ; high voltage station ; voltage station
