cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
0,9,2,0,"paris agreement, 0.0360, 3, 11 ; co2 emissions, 0.0342, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; energy efficiency, 0.0200, 7, 12 ; district heating, 0.0196, 5, 21",0.3879,1.0,paris agreement ; co2 emissions ; 000 tonnes ; energy efficiency ; district heating
1,7,27,0,"wind turbines, 0.0217, 27, 128 ; offshore wind, 0.0201, 31, 299 ; offshore wind turbines, 0.0146, 24, 67 ; bornholm offshore wind, 0.0133, 1, 1 ; bornholm offshore, 0.0131, 1, 1",0.6549,1.0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; bornholm offshore
2,20,9,1,"north sea, 0.0128, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0114, 29, 143 ; sustainable energy, 0.0111, 2, 4 ; island north, 0.0106, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north
3,10,3,5,"electricity grid, 0.0286, 8, 37 ; co2 emissions, 0.0253, 2, 5 ; electricity consumption, 0.0236, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0169, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
4,14,2,0,"70 percent, 0.0279, 9, 20 ; climate act, 0.0229, 6, 24 ; climate council, 0.0200, 6, 23 ; green power, 0.0185, 11, 29 ; million tonnes, 0.0115, 2, 2",0.4625,1.0,70 percent ; climate act ; climate council ; green power ; million tonnes
5,9,0,3,"north sea, 0.0212, 6, 29 ; wind energy, 0.0196, 9, 10 ; offshore wind, 0.0174, 8, 47 ; european commission, 0.0171, 2, 7 ; gw offshore, 0.0170, 6, 13",0.5556,1.0,north sea ; wind energy ; offshore wind ; european commission ; gw offshore
6,4,1,0,"million tonnes, 0.1113, 4, 15 ; climate council, 0.0763, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0368, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
7,1,0,0,"labor market, 0.2271, 1, 5 ; danish business, 0.1289, 1, 3 ; among things, 0.0717, 1, 3 ; skilled workers, 0.0506, 1, 1 ; something new, 0.0477, 1, 1",1.0,1.0,labor market ; danish business ; among things ; skilled workers ; something new
8,14,2,0,"natural gas, 0.0225, 5, 19 ; ptx plants, 0.0153, 5, 9 ; among things, 0.0143, 9, 16 ; electrolysis capacity, 0.0140, 5, 9 ; cip foundation, 0.0135, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
9,2,1,0,"drinking water, 0.0670, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0277, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
10,17,1,4,"north sea, 0.0412, 20, 128 ; island north, 0.0183, 15, 34 ; island north sea, 0.0183, 15, 34 ; artificial island, 0.0141, 11, 25 ; energy islands north, 0.0140, 10, 26",0.7182,1.0,north sea ; island north ; island north sea ; artificial island ; energy islands north
11,11,9,0,"open door, 0.0164, 4, 25 ; one must, 0.0157, 5, 8 ; state aid, 0.0125, 6, 13 ; 10 million, 0.0124, 2, 4 ; danish energy agency, 0.0115, 9, 33",0.2367,1.0,open door ; one must ; state aid ; 10 million ; danish energy agency
12,13,2,0,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0243, 11, 26 ; danish energy agency, 0.0224, 8, 23 ; energy agency, 0.0222, 8, 23 ; wind turbines, 0.0207, 13, 41",0.7644,1.0,offshore wind ; danish energy ; danish energy agency ; energy agency ; wind turbines
13,3,0,0,"green fuels, 0.0692, 2, 12 ; green hydrogen, 0.0659, 1, 9 ; says henrik, 0.0239, 1, 2 ; million dkk, 0.0226, 0, 0 ; per cent, 0.0205, 1, 2",0.4,1.0,green fuels ; green hydrogen ; says henrik ; million dkk ; per cent
14,3,0,0,"data center, 0.3325, 3, 53 ; data centers, 0.1353, 3, 17 ; energy island north, 0.0331, 3, 6 ; island north, 0.0311, 3, 6 ; island north sea, 0.0311, 3, 6",1.0,1.0,data center ; data centers ; energy island north ; island north ; island north sea
