cluster,Source,x,y
0,pro,0.96178997,5.795879
0,pro,1.4195495,5.31374
0,pro,1.9828051,5.3303466
15,pro,0.66704935,5.7904267
0,pro,1.8494262,5.4731784
1,pro,1.8798578,5.6043415
2,pro,2.0608141,6.3292584
1,pro,1.7278354,5.5845428
2,pro,2.1783137,5.9564033
5,pro,2.4657426,6.0734406
2,pro,2.212993,6.1624885
1,pro,1.9166443,5.593457
17,pro,1.938042,5.778213
4,pro,2.2372847,5.6779666
0,pro,1.7720526,5.5483274
2,pro,2.0274029,6.2094426
4,pro,2.4003034,6.0580916
5,pro,2.4525902,6.0622063
17,pro,1.9736389,5.1501436
1,pro,1.8899843,5.6064215
17,pro,0.9631479,5.200566
13,pro,1.2214254,5.1406107
1,pro,0.26609942,6.9687114
0,pro,1.752403,5.321443
0,pro,1.6511528,5.3183656
0,pro,1.7637689,5.1395593
0,pro,1.8967664,5.3681903
1,pro,1.7355711,5.4740577
0,pro,1.4181795,5.3955717
5,pro,2.4452407,6.165004
17,pro,2.2274678,5.6984873
4,pro,2.3451498,5.6949844
17,pro,1.5402628,4.8980746
13,pro,1.8290074,4.8974133
13,pro,1.1606822,5.127108
45,pro,9.236113,7.717052
1,pro,2.031318,5.2704024
22,pro,1.7719728,4.9753866
7,pro,0.7925622,5.3368464
6,pro,1.2831752,4.7731705
13,pro,1.3403401,5.178097
4,pro,2.4669824,5.9060435
2,pro,2.0273333,6.2503614
6,pro,0.9384256,5.445852
4,pro,2.437679,5.6789746
10,pro,0.7473266,5.8949566
4,pro,2.5383394,5.8958373
0,pro,1.8189108,5.4202347
4,pro,2.121278,6.0573854
13,pro,1.1455418,5.2303677
12,pro,-0.39567116,7.099073
3,pro,2.1488929,5.3281054
5,pro,0.96119004,4.785905
3,pro,2.1301458,5.1931014
0,pro,1.2789772,5.953804
13,pro,1.3170434,5.3217916
4,pro,2.478865,6.027826
0,pro,1.7662427,5.532567
4,pro,2.408449,5.8743386
4,pro,2.5189304,5.829721
4,pro,2.5192235,5.8559103
4,pro,2.5405579,5.868711
4,pro,2.5263078,5.876568
0,pro,1.7241753,5.566735
3,pro,2.0692785,5.443057
4,pro,2.5419896,5.727581
3,pro,2.1695085,5.1627064
5,pro,1.8521065,6.2311788
10,pro,1.1020572,5.446569
7,pro,0.61083627,5.595388
4,pro,2.4494216,5.946948
3,pro,1.418073,5.746657
0,pro,1.9141165,5.603407
18,pro,-0.24785091,5.588773
1,pro,2.057479,5.777102
33,pro,-1.4221452,5.8647947
22,pro,1.6691507,4.9633336
5,pro,2.3650196,6.40619
4,pro,2.5669217,5.9860706
5,pro,2.3502288,6.146345
0,pro,1.9498868,5.557647
3,pro,2.1855688,5.2528877
32,pro,0.04201501,6.31917
0,pro,1.8840079,5.4760227
3,pro,2.331684,5.997575
1,pro,1.9153111,5.057138
2,pro,2.1164765,6.3254085
4,pro,1.3936195,5.6979284
5,pro,2.4397888,6.086378
5,pro,2.470871,5.972234
6,pro,0.675436,4.4112625
2,pro,2.525955,6.090787
8,pro,1.9467299,5.3194456
20,pro,2.330026,6.2619367
11,pro,-1.7167927,6.639226
13,pro,1.2723438,5.209072
16,pro,-1.6166022,6.5053616
5,pro,2.0867198,6.2940903
5,pro,2.389197,6.0608172
22,pro,0.22243173,5.087181
5,pro,2.366182,6.5657787
6,pro,0.84143263,4.7683234
5,pro,2.035437,6.273286
6,pro,-1.4316621,6.327943
6,pro,0.95659924,4.7445364
6,pro,1.0928526,4.609297
6,pro,1.0254027,4.6582055
14,pro,-0.8234897,4.2610025
6,pro,-1.4601263,6.3350253
1,pro,1.6181245,4.811612
22,pro,2.3482404,5.3957705
21,pro,-0.84975433,4.335407
2,pro,2.4538882,6.739529
22,pro,1.790801,5.08485
13,pro,2.0225027,5.241543
0,pro,1.1812091,5.4968038
22,pro,2.359854,5.4462576
1,pro,2.0380526,5.2305627
18,pro,1.686419,5.5875735
6,pro,0.82480335,4.755613
5,pro,2.33478,6.2559714
1,pro,1.2920612,5.6484966
0,pro,1.9568391,5.5313134
13,pro,1.8249749,5.398268
5,pro,2.3558714,6.6048007
31,pro,-0.38201773,6.640397
6,pro,1.056636,4.6133037
8,pro,1.8363168,5.4479747
1,pro,2.1893907,6.163528
6,pro,0.70667803,4.405785
22,pro,2.307339,5.699772
2,pro,2.3733141,6.559364
0,pro,1.9903556,5.5074563
1,pro,1.8412664,5.555759
0,pro,2.0485685,5.19278
6,pro,0.9038221,4.5175257
17,pro,2.0356884,6.243253
6,pro,0.980176,4.6472077
6,pro,1.3055685,4.6372285
6,pro,1.0979948,4.6657076
17,pro,2.0389223,6.2413025
6,pro,1.3231789,5.1905346
0,pro,1.1822042,5.057793
0,pro,1.9061741,5.4985332
3,pro,2.168523,5.1244526
6,pro,1.0235388,4.601139
10,pro,1.2285254,6.0191665
10,pro,1.1942807,6.0530524
17,pro,1.9307002,5.010336
6,pro,0.7077323,4.6531196
6,pro,0.5064755,4.450519
1,pro,1.9865496,5.953125
5,pro,0.70116204,6.334617
7,pro,0.62499917,5.562818
2,pro,1.6428951,6.196797
18,pro,1.9755259,5.07437
0,pro,1.3751463,5.682295
2,pro,2.5264945,6.8329883
17,pro,1.6846323,6.001713
1,pro,1.4420253,5.48736
22,pro,1.6700189,4.709554
6,pro,0.98892033,4.6866837
5,pro,2.292101,6.3616076
2,pro,2.2438102,6.2868977
0,pro,1.8755442,5.469676
5,pro,0.60492104,4.6213875
35,pro,0.29173097,4.503226
6,pro,0.8058382,4.3805537
6,pro,0.8201196,4.392028
45,pro,9.500799,7.276402
5,pro,2.385153,6.121876
4,pro,2.273809,5.982504
6,pro,1.045856,4.5817194
5,pro,2.1067977,6.3124514
8,pro,1.8186115,5.449692
5,pro,2.4764712,6.128812
35,pro,0.6900122,4.398149
7,pro,0.5883274,5.753669
5,pro,2.0950718,6.281841
35,pro,1.1598247,4.5271215
6,pro,1.0035534,4.489138
26,reg,-1.6435435,6.5451226
9,reg,-0.5214345,6.7128778
5,reg,0.68998325,6.533815
19,reg,-0.7686133,6.9931784
19,reg,-0.87235236,6.5326653
17,reg,0.9076495,5.6025677
32,reg,0.13263409,6.603493
9,reg,-0.0041184663,7.075395
12,reg,-0.3153895,7.145447
17,reg,1.8566921,6.0830655
19,reg,-0.22485107,7.025551
0,reg,1.1832135,5.930588
10,reg,0.54998016,5.9745674
26,reg,-1.5122246,6.7185783
12,reg,-0.42567542,6.647986
9,reg,0.03383907,7.0949917
12,reg,0.022484729,5.817571
17,reg,1.7248331,6.0375094
17,reg,1.0003879,5.476685
20,reg,-0.96779746,6.5086746
11,reg,-1.549693,6.9416995
1,reg,1.4634749,5.372848
28,reg,-0.41375104,5.0580325
55,reg,-0.60643363,7.2932906
35,reg,0.6859188,4.6966453
16,reg,-2.0466163,5.878397
29,reg,-0.5310076,6.798443
19,reg,-0.6448084,7.191588
12,reg,0.21485071,7.033873
19,reg,-0.7380689,7.1084566
19,reg,-0.9579893,6.86991
11,reg,-1.4203942,7.00813
29,reg,1.4860379,5.8982406
33,reg,0.5386748,4.8677125
33,reg,0.5101955,5.457894
33,reg,0.35788813,5.4067674
22,reg,-0.20082797,6.041603
12,reg,-0.6866942,7.106109
17,reg,1.2124023,5.581553
20,reg,-1.3735723,7.012684
10,reg,-1.2895101,7.110017
10,reg,0.438108,6.1914597
10,reg,0.51152396,6.1370277
12,reg,-1.1668873,6.905193
17,reg,1.736877,5.959255
17,reg,1.5723193,4.8530073
12,reg,0.21201693,6.976186
12,reg,-0.8896452,7.129684
19,reg,-0.8849604,6.21012
1,reg,1.9822348,5.331051
11,reg,-1.4140669,7.0455866
12,reg,-0.77715254,7.098493
11,reg,-1.4825696,7.021725
18,reg,0.33711812,6.2470903
12,reg,-0.083729,7.1836424
21,reg,-0.45766675,4.951101
33,reg,-0.7340302,5.1163707
31,reg,-0.83868456,4.8846197
29,reg,1.2455193,5.8600764
21,reg,0.6135793,6.560638
12,reg,-1.2257106,7.114227
12,reg,-0.65573853,7.0107436
32,reg,-0.09625453,5.7873373
29,reg,-0.38715202,6.9164276
1,reg,0.9435338,5.653428
19,reg,-0.2894228,7.07224
21,reg,-0.08156836,5.6406713
13,reg,1.192568,5.1311297
35,reg,-0.15067092,6.7813034
26,reg,-2.1242743,5.6385083
15,reg,-0.061410885,6.1418157
13,reg,1.2082924,5.1953793
22,reg,1.7405066,5.3364954
35,reg,0.052791975,4.916561
20,reg,-1.2445813,6.710362
31,reg,-0.42971042,6.6216245
16,reg,-2.2506783,5.6661687
0,reg,1.8778107,5.4749146
32,reg,0.47865307,6.206813
25,reg,-0.6879547,4.509786
14,reg,-0.97994864,4.1684246
28,reg,0.60339254,4.976769
13,reg,1.0857376,5.334108
18,reg,-0.7872628,5.6122193
10,reg,0.4890088,6.209286
30,reg,0.023061186,5.012224
22,reg,1.7631228,4.9252033
22,reg,1.7915648,4.9202347
15,reg,-0.9585278,6.2438083
33,reg,0.45927674,5.498457
12,reg,-0.352984,6.7752657
31,reg,-0.24897295,6.6542106
15,reg,0.01865501,6.1720314
24,reg,-1.1444144,4.1239476
14,reg,-0.76637894,4.367201
13,reg,-0.59277576,4.2089095
13,reg,0.79537463,5.3322873
12,reg,-0.30461258,7.243963
19,reg,-0.40039024,7.220911
12,reg,-0.35202718,7.008271
32,reg,0.38171992,5.737577
6,reg,1.0300423,5.125205
22,reg,0.10247967,6.8858213
14,reg,-0.8364906,4.176223
14,reg,-1.0050713,4.223733
33,reg,-0.68573534,5.334133
21,reg,-0.9785152,6.154223
15,reg,-0.53900915,5.8605304
14,reg,-0.6716656,4.1935716
21,reg,0.0926083,5.823946
21,reg,-0.40243512,4.971414
21,reg,-0.7484438,4.915527
5,reg,2.416814,5.984597
25,reg,-0.6647152,5.5360317
25,reg,1.5111715,4.837604
21,reg,-0.81961566,6.1606183
17,reg,0.71563756,5.658715
10,reg,0.66190475,6.253521
29,reg,-0.823298,4.449803
13,reg,1.2675592,5.204592
1,reg,1.4791435,5.5898395
24,reg,-1.1447875,4.3965864
28,reg,-0.13029996,5.363658
25,reg,-1.2461371,4.3973265
33,reg,1.1033862,5.153626
18,reg,-0.020392891,5.5982676
32,reg,0.13915043,5.997034
21,reg,-1.0079001,6.048811
24,reg,-1.1020756,4.206497
21,reg,-0.68596435,4.5433984
33,reg,0.44947335,5.4168034
32,reg,-0.22051175,7.068619
13,reg,0.9678304,5.340633
33,reg,0.4050449,5.4835095
26,reg,-0.79911745,6.210448
2,reg,1.1712431,6.4812107
36,reg,-2.0478523,5.414185
33,reg,-0.83754194,5.9652996
31,reg,-0.8032012,4.8741026
17,reg,1.7844461,4.952842
2,reg,1.9760885,6.176023
12,reg,-0.6334904,7.0610166
2,reg,-0.015717143,7.2785068
17,reg,1.6627911,4.9150066
17,reg,1.4632586,5.68538
11,reg,-1.3240265,7.073491
32,reg,-0.17302574,6.109592
13,reg,1.5166395,4.714118
33,reg,0.6753183,5.2603054
15,reg,0.19985962,5.9531946
19,reg,-0.6815281,7.0094466
23,reg,-1.7750248,5.7747307
32,reg,-0.1919832,7.0703907
27,reg,-1.4895566,4.541064
14,reg,-0.7122573,4.1700377
35,reg,0.054030247,4.9168544
10,reg,0.45833778,6.0719366
31,reg,0.54930884,4.750244
12,reg,-0.26263022,6.880524
34,reg,-2.1017466,5.939993
10,reg,0.33918563,5.359744
35,reg,0.69507015,4.4767957
15,reg,-0.052817047,6.1365085
35,reg,1.1847043,4.5437117
22,reg,0.9856495,5.818907
11,reg,-1.0838279,6.04219
27,reg,-1.6083984,4.42196
13,reg,1.1132399,5.2431035
33,reg,0.6570517,5.262021
31,reg,-1.549937,5.983296
25,reg,-0.74623233,4.295839
16,reg,-1.958006,5.9599767
14,reg,1.4678339,4.6612387
16,reg,-2.3680742,5.4824347
16,reg,-2.0932446,5.892351
17,reg,1.6929518,5.8333807
28,reg,-0.34720057,5.1612515
16,reg,-2.2416303,5.617486
16,reg,-2.3892248,5.530188
36,reg,-0.35042733,4.5857463
16,reg,-2.320895,5.573855
16,reg,-1.199132,6.3282027
10,reg,0.46219867,6.1776886
10,reg,0.44487453,6.2780843
17,reg,1.5810515,6.1319838
16,reg,-1.9115942,6.2177124
25,reg,-0.69254637,4.670196
25,reg,-1.3009577,4.5462756
31,reg,-0.97255665,4.9729347
24,reg,-1.1869314,4.718533
22,reg,0.18608978,6.9346013
31,reg,-0.8503519,4.4299994
32,reg,-0.069841504,6.089202
22,reg,0.6518093,6.563301
28,reg,0.13921283,5.1792655
31,reg,-0.9064929,4.462862
24,reg,-1.2106981,4.262351
15,reg,-0.14958185,6.2003202
24,reg,-1.1766199,4.135263
24,reg,-1.2131267,4.1755357
18,reg,-0.16885205,5.530886
51,reg,10.019851,8.05715
17,reg,0.47774106,5.1743803
14,reg,-0.6681357,4.3586674
15,reg,-0.2807688,6.187718
24,reg,-1.1519346,4.1011515
25,reg,-1.1973476,4.195617
32,reg,-0.19410393,5.763013
24,reg,-1.2267859,4.211883
21,reg,-1.2367879,4.2329197
24,reg,-1.2217468,4.1587887
32,reg,0.06950311,6.809632
17,reg,1.8120332,5.97015
11,reg,-1.2724544,7.1315618
23,reg,-2.4184868,5.250129
28,reg,-0.7126336,5.7465453
15,reg,-1.3089604,6.1759543
21,reg,-1.0013057,6.189231
36,reg,-0.96870714,5.4596353
36,reg,-2.4015994,5.2857537
24,reg,-0.87445754,5.822086
11,reg,-1.4990876,7.0073514
15,reg,0.006220961,6.091152
19,reg,-0.721956,7.041111
20,reg,-1.4062018,5.9884996
21,reg,-1.2028197,5.6715302
36,reg,-1.4935216,4.793467
28,reg,-0.5182173,5.0650983
32,reg,-0.17134623,6.0641937
17,reg,1.593105,6.199944
20,reg,-1.2404913,6.5825706
28,reg,-0.814695,5.557319
23,reg,-2.2933645,5.1866026
21,reg,-0.8350124,5.6801915
21,reg,-0.42767105,5.9373507
15,reg,-0.17006268,6.194042
25,reg,-0.90444094,4.4576073
35,reg,0.08551551,5.0546613
24,reg,-1.1122576,4.0622587
15,reg,-0.34191775,6.0848036
24,reg,-1.1709464,4.058816
24,reg,-1.2435218,4.1676936
24,reg,-1.2524362,4.1487565
32,reg,-0.088857114,6.3078537
10,reg,-0.72910476,5.6736894
21,reg,-1.2195398,4.198006
6,reg,0.9957307,4.7807217
15,reg,0.20530665,5.9799237
33,reg,0.1543168,5.4802976
21,reg,-1.1652576,5.4733686
17,reg,1.6989899,6.1563926
28,reg,-0.70117956,5.4702077
31,reg,-1.1374483,6.2563634
23,reg,-2.1198785,5.1124225
36,reg,-2.2525084,5.142842
22,reg,1.699999,5.0802817
32,reg,1.1609013,5.606361
23,reg,-2.350668,5.2897377
28,reg,-0.41865566,5.496573
23,reg,-2.150119,5.5287013
23,reg,-2.2073755,5.097353
19,reg,-0.33860555,7.1500387
19,reg,-1.2734003,5.8057437
21,reg,-1.3592331,5.6565843
20,reg,-1.3708125,5.6955442
33,reg,-0.44613475,5.0009995
23,reg,-2.3201764,5.1531253
18,reg,-0.27327964,5.601166
25,reg,-1.2527086,4.4662337
12,reg,-0.23322086,6.994485
19,reg,-0.6048903,6.951427
22,reg,1.7056661,4.782134
22,reg,1.7664691,5.0308304
22,reg,1.7473804,4.830227
31,reg,-1.341589,5.54138
31,reg,-1.1289176,5.322032
20,reg,-0.9498404,5.4933743
15,reg,0.23913288,6.8661146
36,reg,-1.6728183,4.7009187
31,reg,-1.7594119,5.891713
25,reg,-1.2540851,4.6167493
25,reg,-1.1030868,4.763042
24,reg,-1.2069622,4.152864
25,reg,-1.3891896,4.456321
25,reg,-1.2402794,4.4361563
24,reg,-1.0695521,4.05261
25,reg,-0.42868498,4.7884536
19,reg,-0.74531674,6.972546
36,reg,-2.2292664,5.129935
28,reg,-0.7595316,5.169838
18,reg,-0.26207787,5.6796117
19,reg,-0.45025495,7.1629143
21,reg,-1.2034723,5.277928
20,reg,-1.1250777,6.5750623
30,reg,-0.010025457,5.1104784
10,reg,0.5203722,6.318052
28,reg,-0.49104586,5.0642166
14,reg,-0.9861345,4.2904596
21,reg,-0.94448835,5.7011447
25,reg,-1.2455659,4.3823814
17,reg,1.4021245,5.3499436
23,reg,-2.4650025,5.2457614
21,reg,-1.0733647,4.959561
25,reg,-1.2809379,4.4621425
33,reg,-0.63826925,6.756348
12,reg,-1.2031578,7.07706
33,reg,-1.1474646,5.3085594
25,reg,-1.2934626,4.4374895
20,reg,-0.27461728,5.755088
21,reg,-0.6598738,5.8871
28,reg,-0.5214613,5.6088033
20,reg,-1.2006894,6.57263
31,reg,0.07589244,6.484232
26,reg,-1.4141686,6.820982
15,reg,-0.342623,6.1200733
33,reg,0.20883629,5.1311216
15,reg,1.0551726,5.961047
18,reg,1.0064306,6.0494676
11,reg,-1.5546429,6.881741
19,reg,-0.7545549,7.0624514
26,reg,-1.535367,6.600615
31,reg,-1.065123,5.063925
21,reg,1.1612636,6.364455
31,reg,-1.152271,5.3130856
18,reg,0.665582,6.376992
12,reg,-0.85216343,6.7509036
33,reg,-1.6493765,5.535759
17,reg,1.6749438,6.0565276
21,reg,-0.97115636,5.6842895
28,reg,-0.45636395,6.1160803
18,reg,-0.083140515,5.4081416
13,reg,1.2306668,5.1427283
23,reg,-1.869304,4.9953675
20,reg,-1.3606907,6.8402333
23,reg,-2.2759237,5.1385655
27,reg,-1.6006116,4.4025373
23,reg,-2.1954882,5.457255
6,reg,1.1609784,4.52918
26,reg,-1.5598605,6.6532226
35,reg,0.59270734,4.4749613
22,reg,1.8482386,4.880169
15,reg,1.3157839,6.3995547
4,reg,2.5273173,5.759535
32,reg,0.2845675,5.9136553
25,reg,-0.95400816,4.5539703
15,reg,0.0065397546,6.0517898
18,reg,-0.61000067,5.6607194
12,reg,-0.22675589,7.127063
18,reg,-0.85420334,5.774937
32,reg,0.32355195,6.3893256
31,reg,-0.7125627,6.3193808
32,reg,-0.6946603,6.6345468
25,reg,-0.67201126,4.7456894
27,reg,-1.5750623,4.39036
26,reg,-0.3075477,6.0193734
2,reg,1.6553961,6.2933435
21,reg,0.6501472,6.6039095
32,reg,0.8053315,6.3217716
32,reg,0.3398681,6.4247465
16,reg,-0.41514438,5.4513297
27,reg,-1.5880023,4.3642898
27,reg,-1.4733192,4.2905416
31,reg,-0.9639617,5.35524
21,reg,-0.4962513,5.5825777
21,reg,-1.1112952,5.9191284
21,reg,-0.43622652,5.6961584
23,reg,-2.3818135,5.153777
33,reg,-0.8282639,5.33357
31,reg,-1.1227958,5.0891757
10,reg,0.51687586,6.2742095
30,reg,-0.03694164,5.017657
28,reg,-0.2674687,5.3071527
6,reg,1.1201282,4.606368
31,reg,-1.0698209,4.976284
33,reg,0.3889218,4.8472543
