Group,Rows,Average Score
1,"[0, 13]",4.5
2,"[33, 38, 6, 39, 42, 43, 46, 48, 50, 53, 27, 29]",2.55
3,"[65, 10, 31]",3.67
4,"[55, 13, 31]",3.33
5,"[65, 38, 39, 42, 46, 48, 50, 53, 29, 31]",2.3
6,"[33, 65, 55, 57, 60, 63]",3.4
7,"[49, 38]",4.5
8,"[65, 40, 41, 42, 43, 46, 48, 50, 53, 56]",3.22
9,"[41, 42, 46, 48, 50, 53]",2.27
10,"[57, 42, 55]",4.33
11,"[48, 43]",4.5
12,"[44, 45, 46, 48, 50, 53, 56]",3.0
13,"[65, 45, 55]",4.17
14,"[65, 49, 50, 53, 56]",3.8
15,"[51, 53]",4.5
16,"[56, 53, 70, 71]",3.42
17,"[60, 54]",6.0
18,"[57, 62]",5.0
19,"[65, 58, 61, 63]",4.0
20,"[65, 60, 63]",5.17
21,"[72, 65, 63]",3.17
22,"[64, 65, 72]",3.17
23,"[72, 67]",5.5
24,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 32, 34, 35, 36, 37, 47, 52, 59, 66, 68, 69, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",0.32
