cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
0,13,16,2,"north sea, 0.0181, 19, 81 ; artificial island, 0.0153, 13, 24 ; offshore wind, 0.0138, 27, 189 ; island north, 0.0112, 11, 27 ; island north sea, 0.0112, 11, 27",0.5613,1.0,north sea ; artificial island ; offshore wind ; island north ; island north sea
1,12,3,0,"000 tonnes, 0.0181, 4, 11 ; wind turbines, 0.0151, 13, 41 ; electricity consumption, 0.0137, 2, 8 ; north sea, 0.0122, 9, 33 ; says thomas, 0.0105, 1, 5",0.4311,1.0,000 tonnes ; wind turbines ; electricity consumption ; north sea ; says thomas
2,5,0,0,"000 tonnes, 0.0589, 3, 10 ; co2 emissions, 0.0440, 3, 13 ; million ton, 0.0344, 4, 6 ; tonnes co2, 0.0336, 4, 9 ; million tonnes, 0.0315, 3, 5",0.6667,1.0,000 tonnes ; co2 emissions ; million ton ; tonnes co2 ; million tonnes
3,11,8,0,"energy islands bornholm, 0.0195, 12, 49 ; islands bornholm, 0.0195, 12, 49 ; danish energy agency, 0.0171, 13, 35 ; energy agency, 0.0169, 13, 35 ; danish energy, 0.0158, 13, 36",0.6526,1.0,energy islands bornholm ; islands bornholm ; danish energy agency ; energy agency ; danish energy
4,10,10,3,"kriegers flak, 0.0219, 6, 13 ; north sea, 0.0169, 13, 50 ; nature conservation, 0.0122, 1, 1 ; converter stations, 0.0118, 2, 9 ; two countries, 0.0109, 6, 8",0.2754,1.0,kriegers flak ; north sea ; nature conservation ; converter stations ; two countries
5,4,0,1,"wind farm, 0.0638, 3, 17 ; million tonnes, 0.0444, 2, 2 ; million ton, 0.0342, 2, 2 ; 10 million, 0.0237, 0, 0 ; oil gas, 0.0218, 1, 4",0.4,1.0,wind farm ; million tonnes ; million ton ; 10 million ; oil gas
6,15,6,0,"nuclear power, 0.0168, 2, 21 ; green power, 0.0149, 11, 38 ; 70 percent, 0.0112, 6, 16 ; danish waters, 0.0095, 2, 10 ; district heating, 0.0093, 4, 18",0.254,1.0,nuclear power ; green power ; 70 percent ; danish waters ; district heating
7,6,11,2,"offshore grid, 0.0384, 2, 5 ; two years, 0.0248, 3, 4 ; energy islands bornholm, 0.0168, 13, 43 ; islands bornholm, 0.0168, 13, 43 ; 10 million, 0.0164, 2, 12",0.3123,1.0,offshore grid ; two years ; energy islands bornholm ; islands bornholm ; 10 million
8,3,1,0,"says morten, 0.0487, 2, 6 ; oil gas, 0.0487, 2, 8 ; construction project, 0.0301, 3, 6 ; energy island north, 0.0295, 1, 3 ; island north, 0.0277, 1, 3",0.5,1.0,says morten ; oil gas ; construction project ; energy island north ; island north
9,5,11,0,"wind turbines, 0.0179, 12, 59 ; land facilities, 0.0178, 2, 3 ; transformer station, 0.0147, 5, 23 ; 15 kilometers, 0.0115, 3, 4 ; wind turbine, 0.0111, 13, 81",0.425,1.0,wind turbines ; land facilities ; transformer station ; 15 kilometers ; wind turbine
10,2,0,0,"data center, 0.3958, 2, 40 ; data centers, 0.1637, 2, 13 ; district heating network, 0.0351, 1, 3 ; heating network, 0.0351, 1, 3 ; energy island north, 0.0277, 2, 3",0.8333,1.0,data center ; data centers ; district heating network ; heating network ; energy island north
11,7,2,0,"electricity grid, 0.0357, 2, 21 ; per cent, 0.0251, 2, 5 ; last year, 0.0197, 3, 7 ; build new, 0.0186, 1, 1 ; turbines solar cells, 0.0176, 0, 0",0.2148,1.0,electricity grid ; per cent ; last year ; build new ; turbines solar cells
12,9,5,1,"green hydrogen, 0.0360, 7, 22 ; electrolysis plant, 0.0222, 5, 8 ; natural gas, 0.0205, 3, 16 ; hydrogen produced, 0.0161, 5, 7 ; cip foundation, 0.0144, 1, 10",0.3333,1.0,green hydrogen ; electrolysis plant ; natural gas ; hydrogen produced ; cip foundation
13,1,4,0,"submarine cable, 0.0483, 1, 10 ; net east, 0.0357, 1, 2 ; five years, 0.0233, 2, 5 ; 400 kv, 0.0201, 1, 3 ; power plant, 0.0199, 1, 7",0.24,1.0,submarine cable ; net east ; five years ; 400 kv ; power plant
14,0,19,0,"center bornholm, 0.0376, 11, 47 ; business center, 0.0370, 8, 41 ; business center bornholm, 0.0346, 8, 38 ; press release, 0.0197, 6, 13 ; skilled workers, 0.0170, 2, 8",0.4386,1.0,center bornholm ; business center ; business center bornholm ; press release ; skilled workers
15,10,10,2,"million tonnes, 0.0212, 2, 10 ; gas station, 0.0208, 5, 9 ; green fuels, 0.0189, 8, 26 ; district heating, 0.0164, 7, 20 ; baltic sea, 0.0153, 10, 34",0.2364,1.0,million tonnes ; gas station ; green fuels ; district heating ; baltic sea
16,1,9,1,"thomas bendtsen, 0.0257, 1, 5 ; 15 kilometers, 0.0177, 5, 7 ; danish energy agency, 0.0176, 5, 20 ; energy agency, 0.0174, 5, 20 ; offshore wind, 0.0169, 10, 55",0.3636,1.0,thomas bendtsen ; 15 kilometers ; danish energy agency ; energy agency ; offshore wind
17,4,11,0,"district heating, 0.0198, 6, 11 ; climate friendly, 0.0196, 0, 0 ; wind turbines, 0.0132, 10, 31 ; wide range, 0.0119, 3, 3 ; climate council, 0.0118, 1, 9",0.2978,1.0,district heating ; climate friendly ; wind turbines ; wide range ; climate council
18,2,8,0,"danish energy agency, 0.0208, 5, 29 ; energy agency, 0.0206, 5, 29 ; danish energy, 0.0190, 5, 29 ; wind turbines, 0.0155, 6, 26 ; environmental assessment, 0.0154, 4, 11",0.5067,1.0,danish energy agency ; energy agency ; danish energy ; wind turbines ; environmental assessment
19,3,14,1,"electricity grid, 0.0250, 10, 49 ; bornholm electricity, 0.0223, 7, 31 ; bornholm electricity grid, 0.0182, 7, 23 ; electricity prices, 0.0114, 3, 7 ; niels chresten andersen, 0.0093, 1, 9",0.3926,1.0,electricity grid ; bornholm electricity ; bornholm electricity grid ; electricity prices ; niels chresten andersen
20,1,22,0,"land plant, 0.0158, 13, 35 ; nuclear power, 0.0119, 2, 27 ; citizens association, 0.0118, 0, 0 ; architectural competition, 0.0102, 4, 11 ; citizens meeting, 0.0101, 0, 0",0.2348,1.0,land plant ; nuclear power ; citizens association ; architectural competition ; citizens meeting
21,1,8,0,"nuclear power, 0.0601, 2, 26 ; association energy islands, 0.0197, 2, 5 ; association energy, 0.0193, 2, 5 ; peter juel jensen, 0.0184, 0, 0 ; juel jensen, 0.0183, 0, 0",0.1778,0.0,nuclear power ; association energy islands ; association energy ; peter juel jensen ; juel jensen
22,0,5,0,"bornholm museum, 0.1702, 5, 29 ; finn ole, 0.0885, 1, 25 ; ole sonne, 0.0607, 1, 19 ; peter juel jensen, 0.0306, 0, 0 ; juel jensen, 0.0304, 0, 0",0.4267,1.0,bornholm museum ; finn ole ; ole sonne ; peter juel jensen ; juel jensen
23,0,11,0,"next year, 0.0288, 4, 6 ; baltic sea, 0.0271, 6, 21 ; henrik espersen, 0.0263, 1, 11 ; baltic bridge, 0.0224, 1, 7 ; peter juel jensen, 0.0198, 1, 1",0.303,1.0,next year ; baltic sea ; henrik espersen ; baltic bridge ; peter juel jensen
24,4,13,0,"local plan, 0.0326, 3, 7 ; large scale, 0.0167, 0, 0 ; wind turbines, 0.0150, 10, 24 ; green transition, 0.0118, 7, 11 ; wind turbine, 0.0115, 12, 37",0.2784,1.0,local plan ; large scale ; wind turbines ; green transition ; wind turbine
25,0,7,0,"debate salon, 0.0382, 1, 4 ; national assembly, 0.0288, 2, 4 ; citizens meeting, 0.0242, 0, 0 ; citizens association, 0.0233, 0, 0 ; association energy islands, 0.0213, 3, 9",0.1524,0.0,debate salon ; national assembly ; citizens meeting ; citizens association ; association energy islands
26,0,21,0,"municipal elections, 0.0211, 1, 1 ; election campaign, 0.0192, 1, 1 ; energy island, 0.0150, 21, 115 ; net east, 0.0129, 1, 4 ; frederik tolstrup, 0.0128, 1, 8",0.2381,1.0,municipal elections ; election campaign ; energy island ; net east ; frederik tolstrup
27,4,7,2,"cost effective, 0.0314, 0, 0 ; north sea, 0.0251, 4, 10 ; million ton, 0.0220, 1, 1 ; energy islands, 0.0181, 9, 25 ; long term, 0.0179, 0, 0",0.1897,0.0,cost effective ; north sea ; million ton ; energy islands ; long term
28,2,17,0,"drinking water, 0.0188, 2, 11 ; campus bornholm, 0.0159, 2, 7 ; regional municipality, 0.0130, 9, 20 ; business park, 0.0102, 4, 33 ; jens hjul nielsen, 0.0102, 0, 0",0.186,0.0,drinking water ; campus bornholm ; regional municipality ; business park ; jens hjul nielsen
29,3,13,1,"solar cell, 0.0202, 1, 11 ; wind turbines, 0.0175, 12, 33 ; baltic sea, 0.0139, 9, 17 ; transformer station, 0.0115, 3, 9 ; offshore wind turbines, 0.0100, 9, 16",0.3725,1.0,solar cell ; wind turbines ; baltic sea ; transformer station ; offshore wind turbines
30,9,15,1,"wind farm, 0.0219, 20, 75 ; danish energy agency, 0.0185, 13, 65 ; energy agency, 0.0183, 13, 65 ; danish energy, 0.0176, 15, 68 ; wind turbines, 0.0159, 19, 49",0.64,1.0,wind farm ; danish energy agency ; energy agency ; danish energy ; wind turbines
31,0,11,0,"social democracy, 0.0495, 9, 33 ; municipal council, 0.0466, 10, 55 ; plan strategy, 0.0270, 2, 30 ; søren schow, 0.0185, 2, 28 ; unity list, 0.0160, 4, 20",0.6,1.0,social democracy ; municipal council ; plan strategy ; søren schow ; unity list
32,0,12,0,"baltic energy, 0.0270, 7, 22 ; baltic energy island, 0.0248, 6, 21 ; rønne harbor, 0.0162, 4, 12 ; mayor jacob, 0.0151, 7, 9 ; jacob trøst, 0.0141, 7, 11",0.5111,1.0,baltic energy ; baltic energy island ; rønne harbor ; mayor jacob ; jacob trøst
33,0,18,2,"lars aagaard, 0.0118, 3, 19 ; renewable energy, 0.0115, 7, 18 ; klaus vesløv, 0.0113, 2, 8 ; self sufficient, 0.0102, 0, 0 ; 10 years, 0.0096, 1, 1",0.1667,0.0,lars aagaard ; renewable energy ; klaus vesløv ; self sufficient ; 10 years
34,0,8,0,"land plant, 0.0296, 4, 12 ; kim søgaard, 0.0224, 2, 7 ; søgaard mikkelsen, 0.0224, 2, 7 ; kim søgaard mikkelsen, 0.0224, 2, 7 ; project manager, 0.0213, 3, 7",0.3417,1.0,land plant ; kim søgaard ; søgaard mikkelsen ; kim søgaard mikkelsen ; project manager
35,1,20,0,"high voltage, 0.0265, 7, 15 ; local plan, 0.0233, 9, 18 ; high voltage station, 0.0229, 6, 12 ; voltage station, 0.0228, 8, 23 ; bornholm museum, 0.0209, 4, 9",0.346,1.0,high voltage ; local plan ; high voltage station ; voltage station ; bornholm museum
36,0,2,0,"juel jensen, 0.0850, 0, 0 ; peter juel jensen, 0.0767, 0, 0 ; peter juel, 0.0763, 1, 9 ; baltic sea, 0.0447, 2, 5 ; security policy, 0.0445, 2, 3",0.3,1.0,juel jensen ; peter juel jensen ; peter juel ; baltic sea ; security policy
