cluster,Source,x,y
1,pro,8.638807,-1.2747014
2,pro,8.588894,-1.393008
10,pro,8.650279,-1.3408829
1,pro,8.62747,-2.6901155
10,pro,8.602407,-1.2305205
1,pro,8.569233,-2.5147963
2,pro,8.24336,-2.3354619
11,pro,7.688299,-1.5053551
11,pro,8.152936,-1.3530186
0,pro,7.446541,-1.0588205
23,pro,7.8104677,-1.7752539
2,pro,8.340019,-1.4711143
23,pro,7.9134793,-1.5144408
4,pro,7.693802,-1.0436636
2,pro,8.617721,-1.5351262
23,pro,7.760891,-1.6537751
0,pro,7.385795,-1.1037276
0,pro,7.3592324,-1.0832239
65,pro,9.5073185,0.5230856
5,pro,9.064386,0.3978068
1,pro,8.721897,-2.8725123
1,pro,8.429312,-2.540783
10,pro,8.211475,-2.5178092
2,pro,8.529757,-1.4280239
10,pro,8.426787,-1.4874681
2,pro,8.424122,-1.342625
2,pro,8.4417,-1.8478293
15,pro,8.260118,-2.6101758
10,pro,8.55776,-1.4066564
4,pro,7.413062,-1.0402316
2,pro,8.213556,-1.2527256
10,pro,8.319045,-1.2232423
10,pro,8.354715,-2.0910943
86,pro,9.189738,-0.21621644
10,pro,8.684906,-1.7644203
3,pro,7.7965107,-1.0563006
10,pro,8.516137,-1.3831819
15,pro,8.069154,-3.3506756
61,pro,8.733898,-0.89318734
2,pro,8.40851,-1.6381376
61,pro,8.744062,-0.8781793
2,pro,8.191549,-1.1331927
8,pro,7.63198,-1.5551661
10,pro,8.486442,-1.4934781
4,pro,7.536895,-1.163372
12,pro,8.7797985,-1.866878
3,pro,7.735495,-0.95790935
65,pro,9.405619,0.34373933
8,pro,7.6225815,-1.485894
1,pro,8.580671,-2.6752653
61,pro,8.4488945,-1.3110081
2,pro,8.153229,-1.059967
5,pro,7.892237,-1.5692685
91,pro,8.59968,-1.0647167
1,pro,8.461178,-2.8170564
12,pro,8.778219,-1.9089476
8,pro,7.492859,-1.2265209
11,pro,8.29236,-1.5827163
3,pro,7.686007,-1.1311789
4,pro,7.832289,-1.1673485
4,pro,7.8149104,-1.2614174
4,pro,7.6465697,-1.0754222
4,pro,7.5719547,-1.0256163
5,pro,8.214083,-1.3282173
2,pro,8.373647,-2.267832
3,pro,7.9064627,-1.1456907
2,pro,8.407017,-1.1258494
8,pro,7.549204,-1.3609521
23,pro,8.953892,-2.5932608
95,pro,8.846407,-2.0988479
8,pro,7.5292974,-1.4073677
47,pro,8.915778,-1.7799537
12,pro,8.822906,-1.8084794
8,pro,7.6194296,-1.4287956
6,pro,7.543011,-1.1246336
4,pro,7.429215,-0.99414253
25,pro,8.060427,-4.917504
42,pro,7.0810795,-4.436075
4,pro,7.4689064,-1.1010559
0,pro,7.531314,-1.1492773
5,pro,8.974761,-0.3523272
