cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
0,9,2,0,"paris agreement, 0.0360, 3, 11 ; co2 emissions, 0.0342, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; energy efficiency, 0.0200, 7, 12 ; district heating, 0.0196, 5, 21",0.3879,1.0,paris agreement ; co2 emissions ; 000 tonnes ; energy efficiency ; district heating
1,7,27,0,"offshore wind turbines, 0.0217, 24, 67 ; bornholm offshore wind, 0.0201, 1, 1 ; danish energy agency, 0.0146, 16, 50 ; debate salon, 0.0133, 1, 4 ; initiative group, 0.0131, 7, 26",0.3549,1.0,offshore wind turbines ; bornholm offshore wind ; danish energy agency ; debate salon ; initiative group
2,20,9,1,"10 gw, 0.0128, 9, 23 ; sustainable energy, 0.0119, 2, 4 ; island north sea, 0.0114, 14, 19 ; energy island north, 0.0111, 12, 16 ; energy islands north, 0.0106, 8, 12",0.2822,1.0,10 gw ; sustainable energy ; island north sea ; energy island north ; energy islands north
3,10,3,5,"electricity grid, 0.0286, 8, 37 ; co2 emissions, 0.0253, 2, 5 ; electricity consumption, 0.0236, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0169, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
4,14,2,0,"climate act, 0.0279, 6, 24 ; climate council, 0.0229, 6, 23 ; green power, 0.0200, 11, 29 ; million tonnes, 0.0185, 2, 2 ; solar cells, 0.0115, 6, 15",0.4042,1.0,climate act ; climate council ; green power ; million tonnes ; solar cells
5,9,0,3,"north sea, 0.0212, 6, 29 ; wind energy, 0.0196, 9, 10 ; european commission, 0.0174, 2, 7 ; european energy, 0.0171, 3, 4 ; gw offshore wind, 0.0170, 6, 13",0.4667,1.0,north sea ; wind energy ; european commission ; european energy ; gw offshore wind
6,4,1,0,"million tonnes, 0.1113, 4, 15 ; climate council, 0.0763, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0368, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
7,1,0,0,"labor market, 0.2271, 1, 5 ; danish business, 0.1289, 1, 3 ; among things, 0.0717, 1, 3 ; skilled workers, 0.0506, 1, 1 ; something new, 0.0477, 1, 1",1.0,1.0,labor market ; danish business ; among things ; skilled workers ; something new
8,14,2,0,"natural gas, 0.0225, 5, 19 ; ptx plants, 0.0153, 5, 9 ; among things, 0.0143, 9, 16 ; electrolysis capacity, 0.0140, 5, 9 ; cip foundation, 0.0135, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
9,2,1,0,"drinking water, 0.0670, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0277, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
