cluster,pro,reg,sci,Topic_terms
0,9,2,0,paris agreement ; co2 emissions ; 000 tonnes ; district heating ; energy efficiency
1,7,27,0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; bornholm offshore
2,20,9,1,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
3,10,3,5,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
4,14,2,0,70 percent ; climate act ; climate council ; green power ; million tonnes
5,9,0,3,north sea ; wind energy ; european energy ; offshore wind ; gw offshore
6,4,1,0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
7,1,0,0,labor market ; danish business ; among things ; skilled workers ; something new
8,14,2,0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
9,2,1,0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
10,17,1,4,north sea ; island north ; island north sea ; energy islands north ; islands north sea
11,11,9,0,open door ; one must ; state aid ; 10 million ; danish energy agency
12,13,2,0,offshore wind ; danish energy ; danish energy agency ; energy agency ; wind turbines
13,3,0,0,green fuels ; green hydrogen ; says henrik ; million dkk ; per cent
14,3,0,0,data center ; data centers ; energy island north ; island north ; island north sea
15,9,51,0,islands bornholm ; energy islands bornholm ; energy islands ; søren møller christensen ; møller christensen
16,0,25,0,center bornholm ; business center ; business center bornholm ; bornholm companies ; press release
17,0,12,0,baltic sea ; rønne harbor ; thomas bendtsen ; wind turbines ; gas station
18,0,5,0,district heating ; waste heat ; year ago ; heat pumps ; surplus heat
19,0,5,0,jens hjul ; jens hjul nielsen ; hjul nielsen ; campus bornholm ; electricity network
20,0,9,0,social democracy ; election campaign ; peter juel jensen ; juel jensen ; peter juel
21,1,47,1,land plant ; land facility ; consultation response ; green energy ; land facilities
22,0,10,0,land facility ; high voltage ; architectural competition ; fridrik adamsson ; søgaard mikkelsen
23,4,16,0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; offshore wind farms
24,0,14,0,social democracy ; people meeting ; municipal council ; group chairman ; larsen jensen
25,1,53,0,municipal council ; energy island ; election campaign ; jacob trøst ; social democracy
26,0,28,0,really good ; business park ; energy parks ; center bornholm ; green business
27,0,21,0,climate plan ; lars aagaard ; jacob trøst ; morten riis ; climate energy
28,1,17,2,electricity prices ; electricity grid ; bornholm electricity ; bornholm electricity grid ; el net
29,0,14,0,local plan ; land plant ; frederik tolstrup ; land facility ; kim søgaard mikkelsen
30,0,1,0,jonna nielsen ; linda kofoed persson ; kofoed persson ; linda kofoed ; morten riis
31,0,10,0,baltic sea ; security policy ; baltic bridge ; critical infrastructure ; war ukraine
32,2,13,0,kriegers flak ; local plan ; ole sonne ; land plant ; high voltage station
33,0,5,0,business fund ; total dkk ; says thomas ; next year ; bornholm business
34,0,9,0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
35,0,26,0,energy islands bornholm ; islands bornholm ; energy island ; energy islands ; south bornholm
