cluster,Source,x,y
1,pro,17.927465,1.6864256
1,pro,17.914707,1.2082793
1,pro,17.671747,1.6413405
0,pro,17.807802,0.49518055
1,pro,18.021164,1.8063287
0,pro,18.20076,0.57488745
3,pro,14.327076,1.2930955
2,pro,16.486885,1.4839416
3,pro,13.933287,0.6800644
3,pro,14.927664,1.8817483
2,pro,17.12336,1.5000426
3,pro,15.248869,2.0332286
3,pro,15.0020275,0.7995698
1,pro,17.400831,1.2971877
3,pro,14.796485,2.152381
3,pro,13.984946,0.60825646
3,pro,13.859424,0.6555299
2,pro,16.683317,0.94300514
2,pro,16.525793,2.4686046
0,pro,17.62745,0.52405834
0,pro,17.454062,0.52783865
1,pro,17.599737,1.3789457
1,pro,17.425625,1.3489408
2,pro,17.157495,1.6652578
0,pro,17.9501,0.4369245
0,pro,17.201767,0.45136157
1,pro,18.049261,1.8802576
3,pro,14.101434,0.5852517
2,pro,16.386805,1.6132107
2,pro,16.458847,1.7063761
0,pro,17.946753,1.1255183
2,pro,16.29082,0.6917972
1,pro,17.803999,2.392182
3,pro,15.318527,1.0283908
1,pro,17.694712,1.6184337
0,pro,18.03578,0.55946594
1,pro,18.137388,2.242101
1,pro,17.523294,1.7866313
1,pro,18.153215,2.2081664
2,pro,16.615267,1.2943231
3,pro,14.419242,1.6505424
1,pro,18.23956,1.6752336
3,pro,14.711919,0.4654868
2,pro,16.37175,2.9283512
3,pro,14.90349,0.9859332
2,pro,16.448277,0.6788348
3,pro,14.637482,2.0107663
0,pro,17.50806,0.22915399
1,pro,18.385305,1.5360031
2,pro,16.991133,1.1530663
3,pro,15.151954,2.159536
1,pro,18.13225,1.9577353
0,pro,17.468847,0.28360754
2,pro,16.345894,2.8934207
3,pro,14.099741,1.4901339
2,pro,17.033669,1.7990625
3,pro,15.141812,1.1762007
3,pro,15.168642,1.5809736
3,pro,15.098375,1.1793386
3,pro,14.666642,0.56385237
3,pro,14.721587,0.67872745
2,pro,16.033222,1.9356003
0,pro,18.057611,0.82018894
3,pro,15.323704,0.7105718
2,pro,16.915852,1.3909261
3,pro,14.331925,1.9114993
2,pro,16.24022,2.4745262
1,pro,17.779062,2.4410717
3,pro,14.792336,1.6903054
2,pro,16.731085,1.5860678
2,pro,16.182146,2.7643301
3,pro,14.388777,2.2795935
3,pro,14.019431,1.3287919
3,pro,14.492197,0.77506083
0,pro,17.54705,0.04552598
3,pro,14.075461,0.88780636
3,pro,14.353289,1.1070447
2,pro,16.459349,2.1248686
2,pro,16.735888,2.34053
1,pro,18.389513,1.2562053
2,pro,15.701964,1.1937523
2,pro,16.046507,0.9349374
3,pro,14.341805,2.272604
3,pro,15.765321,2.4258604
3,pro,13.750665,1.4729524
3,pro,13.805174,0.81218225
0,pro,18.100855,0.04180869
3,pro,13.762059,1.2591691
1,pro,18.71029,1.2417086
3,pro,13.905889,0.38831684
1,pro,18.074121,2.1931899
3,pro,14.455656,0.8221551
3,pro,14.372367,1.7413162
3,pro,14.167767,0.28485227
1,pro,17.391142,2.5382676
3,pro,14.60272,1.9508191
3,pro,14.906963,2.5093591
0,pro,17.656149,0.3899234
0,pro,17.402807,-0.08435492
0,pro,17.346056,-0.09174591
3,pro,14.914194,2.5350032
0,pro,17.234467,0.039725628
3,pro,15.623143,0.77837044
0,pro,16.810623,0.0018464081
3,pro,14.306428,2.4093633
2,pro,16.278864,0.727646
2,pro,16.408792,0.9767683
2,pro,16.444738,2.8665333
3,pro,15.275749,0.89388716
2,pro,16.651869,2.1738594
2,pro,16.008814,2.0295336
3,pro,14.279408,2.0737529
2,pro,15.983878,2.212858
1,pro,17.90924,1.7841258
1,pro,17.939198,1.5739117
3,pro,14.637819,2.2984898
2,pro,16.102962,2.196573
1,pro,18.833035,1.2229673
2,pro,16.072073,1.5143921
0,pro,17.136404,0.24076259
3,pro,15.510545,1.0023438
3,pro,13.737339,1.2992826
1,pro,18.280922,1.1493254
2,pro,16.686897,2.2712767
2,pro,16.459139,0.9026033
0,pro,17.984581,0.11458589
3,pro,14.356028,1.9593561
3,pro,15.963534,2.566834
0,pro,17.83853,-0.121263295
2,pro,16.783602,1.9874436
3,pro,14.352348,1.7093335
2,pro,16.244875,2.8114612
1,pro,17.423498,2.5855787
1,pro,17.584793,1.9647516
2,pro,16.920254,1.3325483
2,pro,16.967045,1.9163796
2,pro,15.976487,2.8775306
2,pro,16.063894,2.8357508
1,pro,17.820494,2.0117881
1,pro,18.462957,1.4381874
1,pro,18.477928,1.4660962
0,pro,17.730452,0.29813287
0,pro,18.132032,0.15048286
0,pro,16.936031,0.18048453
