cluster,Source,x,y
19,pro,8.638807,-1.2747014
19,pro,8.588894,-1.393008
19,pro,8.650279,-1.3408829
18,pro,8.62747,-2.6901155
19,pro,8.602407,-1.2305205
18,pro,8.569233,-2.5147963
15,pro,7.688299,-1.5053551
15,pro,7.446541,-1.0588205
19,pro,8.340019,-1.4711143
15,pro,7.9134793,-1.5144408
15,pro,7.693802,-1.0436636
19,pro,8.617721,-1.5351262
15,pro,7.760891,-1.6537751
15,pro,7.385795,-1.1037276
15,pro,7.3592324,-1.0832239
0,pro,9.5073185,0.5230856
0,pro,9.064386,0.3978068
18,pro,8.721897,-2.8725123
20,pro,8.429312,-2.540783
20,pro,8.211475,-2.5178092
19,pro,8.529757,-1.4280239
19,pro,8.426787,-1.4874681
19,pro,8.424122,-1.342625
20,pro,8.4417,-1.8478293
20,pro,8.260118,-2.6101758
19,pro,8.55776,-1.4066564
15,pro,7.413062,-1.0402316
20,pro,8.354715,-2.0910943
19,pro,8.684906,-1.7644203
15,pro,7.7965107,-1.0563006
19,pro,8.516137,-1.3831819
13,pro,8.069154,-3.3506756
19,pro,8.40851,-1.6381376
19,pro,8.191549,-1.1331927
15,pro,7.63198,-1.5551661
19,pro,8.486442,-1.4934781
15,pro,7.536895,-1.163372
12,pro,8.7797985,-1.866878
15,pro,7.735495,-0.95790935
0,pro,9.405619,0.34373933
15,pro,7.6225815,-1.485894
18,pro,8.580671,-2.6752653
19,pro,8.4488945,-1.3110081
19,pro,8.153229,-1.059967
15,pro,7.892237,-1.5692685
19,pro,8.59968,-1.0647167
12,pro,8.778219,-1.9089476
15,pro,7.492859,-1.2265209
15,pro,7.686007,-1.1311789
15,pro,7.832289,-1.1673485
15,pro,7.8149104,-1.2614174
15,pro,7.6465697,-1.0754222
15,pro,7.5719547,-1.0256163
20,pro,8.373647,-2.267832
15,pro,7.9064627,-1.1456907
19,pro,8.407017,-1.1258494
15,pro,7.549204,-1.3609521
18,pro,8.953892,-2.5932608
15,pro,7.5292974,-1.4073677
12,pro,8.822906,-1.8084794
15,pro,7.6194296,-1.4287956
15,pro,7.543011,-1.1246336
15,pro,7.429215,-0.99414253
9,pro,8.060427,-4.917504
15,pro,7.4689064,-1.1010559
15,pro,7.531314,-1.1492773
0,pro,9.091858,-0.11054242
20,pro,8.279204,-1.9475476
19,pro,8.521684,-1.2022464
19,pro,8.079475,-0.9714815
15,pro,7.5369797,-1.4726708
15,pro,8.007065,-1.1248541
15,pro,7.455824,-1.0901512
15,pro,7.3938603,-0.9738096
13,pro,7.5271683,-3.3548088
15,pro,7.453582,-1.1201401
19,pro,8.562882,-1.08125
15,pro,7.3935313,-1.1120186
19,pro,8.754425,-1.1021293
15,pro,7.481035,-1.0869354
15,pro,7.6263876,-1.5535641
15,pro,7.2741714,-1.175609
0,pro,9.114527,-0.5864794
15,pro,7.572768,-1.4824439
18,pro,8.732345,-2.7706347
18,pro,8.830526,-2.9175832
0,pro,9.808911,0.93809664
2,pro,8.982433,-4.842304
21,pro,7.9319105,-3.1638753
15,pro,7.9244885,-0.8807351
2,pro,9.000051,-5.1119013
0,pro,9.485979,0.43598476
12,pro,8.797696,-1.9130331
15,pro,7.850867,-1.0507553
15,pro,7.5397463,-1.4314343
19,pro,8.575187,-1.236683
19,pro,8.631657,-1.286434
15,pro,7.554979,-1.5711411
19,pro,8.611669,-1.3107946
21,pro,8.12612,-3.0951524
15,pro,7.8622937,-1.044479
15,pro,7.3643746,-0.99036956
19,pro,8.380777,-1.1456453
0,pro,9.06429,-0.21900958
0,pro,9.451144,0.50304186
13,pro,7.6680226,-3.2844949
15,pro,7.5905943,-1.4909223
12,pro,8.70357,-1.7620474
13,pro,7.7915235,-3.4032927
15,pro,7.598939,-1.4127141
12,pro,8.75584,-1.9280834
19,pro,8.537612,-1.2713932
12,pro,8.876925,-1.7282912
12,pro,8.96282,-1.7249753
19,pro,8.359863,-1.5306816
19,pro,8.383924,-1.5708904
19,pro,8.448813,-1.4371085
15,pro,7.772029,-1.011447
21,pro,8.354944,-3.7182972
5,pro,7.7444925,-2.804504
20,pro,8.195823,-2.8618405
19,pro,8.610176,-1.3167672
13,pro,8.03134,-3.814999
12,pro,8.789807,-1.8492398
15,pro,7.91154,-0.8495428
12,pro,8.7822695,-1.9262064
15,pro,7.5451303,-1.4599638
15,pro,7.4821725,-1.5545446
15,pro,7.234113,-1.2272424
