Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,9,9.5073185,0.5230856,"offshore grid, 0.0503, 230, 366 ; north sea, 0.0238, 100, 176 ; offshore grids, 0.0208, 49, 62 ; offshore wind power, 0.0153, 80, 119 ; wind farm, 0.0151, 134, 267",0.354,1.0,offshore grid ; north sea ; offshore grids ; offshore wind power ; wind farm
pro,2,2,8.982433,-4.842304,"land plant, 0.0325, 33, 89 ; land facility, 0.0239, 31, 63 ; local plan, 0.0231, 24, 80 ; sustainable energy, 0.0189, 1, 1 ; high voltage station, 0.0164, 13, 21",0.4915,1.0,land plant ; land facility ; local plan ; sustainable energy ; high voltage station
pro,5,1,7.7444925,-2.804504,"district heating, 0.0362, 15, 41 ; klaus vesløv, 0.0229, 5, 25 ; gas station, 0.0198, 5, 9 ; green fuels, 0.0169, 10, 31 ; rønne harbor, 0.0154, 12, 30",0.4116,1.0,district heating ; klaus vesløv ; gas station ; green fuels ; rønne harbor
pro,9,1,8.060427,-4.917504,"lars aagaard, 0.0182, 11, 29 ; climate energy supply, 0.0172, 1, 1 ; says jacob, 0.0144, 9, 23 ; dan jørgensen, 0.0139, 3, 18 ; energy islands bornholm, 0.0111, 17, 64",0.2907,1.0,lars aagaard ; climate energy supply ; says jacob ; dan jørgensen ; energy islands bornholm
pro,12,12,8.7797985,-1.866878,"offshore wind turbines, 0.0280, 15, 51 ; danish energy agency, 0.0242, 12, 41 ; environmental assessment, 0.0210, 4, 28 ; danish waters, 0.0202, 5, 13 ; offshore wind farms, 0.0194, 15, 35",0.4638,1.0,offshore wind turbines ; danish energy agency ; environmental assessment ; danish waters ; offshore wind farms
pro,13,8,8.069154,-3.3506756,"energy islands bornholm, 0.0322, 39, 216 ; state aid, 0.0322, 13, 32 ; søren møller christensen, 0.0266, 8, 35 ; billion kroner, 0.0106, 16, 25 ; 17 billion, 0.0086, 0, 0",0.481,1.0,energy islands bornholm ; state aid ; søren møller christensen ; billion kroner ; 17 billion
pro,15,56,7.688299,-1.5053551,"million tonnes, 0.0163, 12, 25 ; natural gas, 0.0126, 15, 43 ; climate council, 0.0114, 14, 44 ; green power, 0.0102, 25, 75 ; paris agreement, 0.0092, 7, 19",0.2212,1.0,million tonnes ; natural gas ; climate council ; green power ; paris agreement
pro,18,7,8.62747,-2.6901155,"bornholm offshore wind, 0.0181, 6, 8 ; rønne harbor, 0.0181, 22, 71 ; offshore wind turbines, 0.0158, 45, 100 ; danish energy agency, 0.0136, 34, 128 ; offshore wind farm, 0.0126, 61, 196",0.2894,1.0,bornholm offshore wind ; rønne harbor ; offshore wind turbines ; danish energy agency ; offshore wind farm
pro,19,34,8.638807,-1.2747014,"island north sea, 0.0299, 23, 43 ; energy island north, 0.0200, 22, 36 ; data center, 0.0200, 4, 38 ; 10 gw, 0.0192, 17, 31 ; artificial island, 0.0188, 12, 30",0.4703,1.0,island north sea ; energy island north ; data center ; 10 gw ; artificial island
pro,20,9,8.429312,-2.540783,"hanne storm edlefsen, 0.0341, 7, 38 ; says hanne storm, 0.0295, 7, 19 ; foreign connections, 0.0295, 6, 14 ; feasibility studies, 0.0219, 7, 13 ; island north sea, 0.0145, 8, 14",0.4578,1.0,hanne storm edlefsen ; says hanne storm ; foreign connections ; feasibility studies ; island north sea
pro,21,3,7.9319105,-3.1638753,"bornholm electricity grid, 0.0275, 14, 34 ; el net east, 0.0262, 1, 1 ; trefor el net, 0.0147, 1, 1 ; submarine cable, 0.0143, 10, 21 ; business case, 0.0138, 8, 33",0.2414,1.0,bornholm electricity grid ; el net east ; trefor el net ; submarine cable ; business case
reg,0,1,9.394194,0.51646006,"offshore grid, 0.0503, 230, 366 ; north sea, 0.0238, 100, 176 ; offshore grids, 0.0208, 49, 62 ; offshore wind power, 0.0153, 80, 119 ; wind farm, 0.0151, 134, 267",0.354,1.0,offshore grid ; north sea ; offshore grids ; offshore wind power ; wind farm
reg,2,48,9.001307,-5.2510285,"land plant, 0.0325, 33, 89 ; land facility, 0.0239, 31, 63 ; local plan, 0.0231, 24, 80 ; sustainable energy, 0.0189, 1, 1 ; high voltage station, 0.0164, 13, 21",0.4915,1.0,land plant ; land facility ; local plan ; sustainable energy ; high voltage station
reg,5,22,7.988492,-2.717981,"district heating, 0.0362, 15, 41 ; klaus vesløv, 0.0229, 5, 25 ; gas station, 0.0198, 5, 9 ; green fuels, 0.0169, 10, 31 ; rønne harbor, 0.0154, 12, 30",0.4116,1.0,district heating ; klaus vesløv ; gas station ; green fuels ; rønne harbor
reg,6,26,7.91345,-4.6121726,"baltic energy island, 0.0217, 7, 23 ; green transition, 0.0171, 13, 32 ; center green energy, 0.0169, 8, 25 ; rønne harbor, 0.0169, 10, 24 ; national center green, 0.0143, 7, 24",0.3407,1.0,baltic energy island ; green transition ; center green energy ; rønne harbor ; national center green
reg,7,16,8.282714,-4.957547,"transformer station, 0.0240, 7, 16 ; new jobs, 0.0227, 1, 2 ; green transition, 0.0177, 6, 9 ; electricity prices, 0.0164, 1, 6 ; new businesses, 0.0162, 4, 4",0.2625,1.0,transformer station ; new jobs ; green transition ; electricity prices ; new businesses
reg,8,18,7.7178297,-5.04732,"united states, 0.0289, 2, 8 ; debate salon, 0.0151, 8, 17 ; young people, 0.0135, 2, 10 ; lag bornholm, 0.0131, 2, 2 ; one must, 0.0106, 2, 4",0.2,0.0,united states ; debate salon ; young people ; lag bornholm ; one must
reg,9,24,8.042096,-5.0260925,"lars aagaard, 0.0182, 11, 29 ; climate energy supply, 0.0172, 1, 1 ; says jacob, 0.0144, 9, 23 ; dan jørgensen, 0.0139, 3, 18 ; energy islands bornholm, 0.0111, 17, 64",0.2907,1.0,lars aagaard ; climate energy supply ; says jacob ; dan jørgensen ; energy islands bornholm
reg,10,15,7.7705746,-4.2757845,"baltic sea, 0.0492, 12, 61 ; home guard, 0.0350, 2, 20 ; security policy, 0.0341, 8, 21 ; baltic bridge, 0.0217, 3, 10 ; peter juel jensen, 0.0208, 0, 0",0.4356,1.0,baltic sea ; home guard ; security policy ; baltic bridge ; peter juel jensen
reg,11,16,8.462987,-3.4678817,"land facilities, 0.0219, 1, 2 ; baltic sea, 0.0202, 11, 35 ; artificial island, 0.0171, 4, 7 ; climate action, 0.0160, 2, 2 ; make possible, 0.0158, 3, 3",0.2833,1.0,land facilities ; baltic sea ; artificial island ; climate action ; make possible
reg,12,11,8.69501,-2.3099718,"offshore wind turbines, 0.0280, 15, 51 ; danish energy agency, 0.0242, 12, 41 ; environmental assessment, 0.0210, 4, 28 ; danish waters, 0.0202, 5, 13 ; offshore wind farms, 0.0194, 15, 35",0.4638,1.0,offshore wind turbines ; danish energy agency ; environmental assessment ; danish waters ; offshore wind farms
reg,13,34,7.4977274,-3.5737584,"energy islands bornholm, 0.0322, 39, 216 ; state aid, 0.0322, 13, 32 ; søren møller christensen, 0.0266, 8, 35 ; billion kroner, 0.0106, 16, 25 ; 17 billion, 0.0086, 0, 0",0.481,1.0,energy islands bornholm ; state aid ; søren møller christensen ; billion kroner ; 17 billion
reg,14,68,7.609227,-5.844853,"energy island, 0.0187, 68, 400 ; really good, 0.0173, 5, 7 ; green transition, 0.0142, 29, 87 ; election campaign, 0.0131, 3, 8 ; municipal council, 0.0129, 33, 78",0.4696,1.0,energy island ; really good ; green transition ; election campaign ; municipal council
reg,15,10,7.8152103,-0.8994686,"million tonnes, 0.0163, 12, 25 ; natural gas, 0.0126, 15, 43 ; climate council, 0.0114, 14, 44 ; green power, 0.0102, 25, 75 ; paris agreement, 0.0092, 7, 19",0.2212,1.0,million tonnes ; natural gas ; climate council ; green power ; paris agreement
reg,16,41,7.2034054,-6.567676,"social democracy, 0.0513, 34, 188 ; municipal council, 0.0295, 30, 137 ; top candidate, 0.0267, 14, 46 ; rené danielsson, 0.0218, 7, 38 ; lea wermelin, 0.0170, 9, 30",0.5772,1.0,social democracy ; municipal council ; top candidate ; rené danielsson ; lea wermelin
reg,17,31,7.102005,-5.374451,"municipal council, 0.0359, 19, 57 ; next year, 0.0223, 12, 33 ; corporate tax, 0.0206, 1, 17 ; savings catalog, 0.0154, 7, 21 ; 000 kroner, 0.0135, 5, 20",0.3548,1.0,municipal council ; next year ; corporate tax ; savings catalog ; 000 kroner
reg,18,81,8.757239,-2.9938445,"bornholm offshore wind, 0.0181, 6, 8 ; rønne harbor, 0.0181, 22, 71 ; offshore wind turbines, 0.0158, 45, 100 ; danish energy agency, 0.0136, 34, 128 ; offshore wind farm, 0.0126, 61, 196",0.2894,1.0,bornholm offshore wind ; rønne harbor ; offshore wind turbines ; danish energy agency ; offshore wind farm
reg,19,1,8.500478,-1.4443817,"island north sea, 0.0299, 23, 43 ; energy island north, 0.0200, 22, 36 ; data center, 0.0200, 4, 38 ; 10 gw, 0.0192, 17, 31 ; artificial island, 0.0188, 12, 30",0.4703,1.0,island north sea ; energy island north ; data center ; 10 gw ; artificial island
reg,20,6,8.134691,-2.7137413,"hanne storm edlefsen, 0.0341, 7, 38 ; says hanne storm, 0.0295, 7, 19 ; foreign connections, 0.0295, 6, 14 ; feasibility studies, 0.0219, 7, 13 ; island north sea, 0.0145, 8, 14",0.4578,1.0,hanne storm edlefsen ; says hanne storm ; foreign connections ; feasibility studies ; island north sea
reg,21,26,8.156334,-3.5699399,"bornholm electricity grid, 0.0275, 14, 34 ; el net east, 0.0262, 1, 1 ; trefor el net, 0.0147, 1, 1 ; submarine cable, 0.0143, 10, 21 ; business case, 0.0138, 8, 33",0.2414,1.0,bornholm electricity grid ; el net east ; trefor el net ; submarine cable ; business case
sci,0,365,10.471193,3.7336867,"offshore grid, 0.0503, 230, 366 ; north sea, 0.0238, 100, 176 ; offshore grids, 0.0208, 49, 62 ; offshore wind power, 0.0153, 80, 119 ; wind farm, 0.0151, 134, 267",0.354,1.0,offshore grid ; north sea ; offshore grids ; offshore wind power ; wind farm
sci,1,24,7.243478,0.106416255,"sustainable energy, 0.0889, 8, 16 ; energy consumption, 0.0628, 4, 12 ; energy islands, 0.0567, 9, 11 ; rights reserved, 0.0390, 6, 6 ; results show, 0.0365, 4, 4",0.275,1.0,sustainable energy ; energy consumption ; energy islands ; rights reserved ; results show
sci,2,1,9.322595,-5.1275973,"land plant, 0.0325, 33, 89 ; land facility, 0.0239, 31, 63 ; local plan, 0.0231, 24, 80 ; sustainable energy, 0.0189, 1, 1 ; high voltage station, 0.0164, 13, 21",0.4915,1.0,land plant ; land facility ; local plan ; sustainable energy ; high voltage station
