cluster,Source,x,y
0,pro,4.626373,9.419001
0,pro,4.7792115,9.509148
0,pro,4.809703,9.4873085
0,pro,5.8566546,9.545889
0,pro,4.658597,9.474763
0,pro,5.961119,9.886686
0,pro,5.417164,9.350235
0,pro,5.0815578,10.763304
0,pro,4.7047086,9.898001
0,pro,4.6805844,10.947624
0,pro,5.6585064,10.7133
0,pro,4.804583,9.8496685
0,pro,5.17602,10.728934
0,pro,4.610522,10.638535
0,pro,4.8723636,9.656691
0,pro,5.423962,10.83596
0,pro,4.668823,10.9437685
0,pro,4.647579,10.920225
2,pro,2.3012633,11.12624
2,pro,2.5228958,10.85598
0,pro,6.140512,9.750021
0,pro,5.698554,9.329435
0,pro,5.651658,9.117546
0,pro,4.7955074,9.543814
0,pro,4.8009696,9.594211
0,pro,4.6647544,9.825675
0,pro,5.181024,9.574348
0,pro,5.693016,9.149787
0,pro,4.8112407,9.497907
0,pro,4.6667767,10.930152
0,pro,4.608496,10.054801
0,pro,4.5994415,10.024198
0,pro,5.266631,9.329972
0,pro,3.5062263,10.815402
0,pro,5.1090655,9.733613
0,pro,4.4364004,10.592641
0,pro,4.903214,9.570462
0,pro,6.630817,9.314505
0,pro,4.3948984,9.287948
0,pro,4.9900274,9.624126
0,pro,4.417461,9.29602
0,pro,4.4945216,9.887319
0,pro,5.344937,11.034945
0,pro,4.8941627,9.582361
0,pro,4.643212,10.846501
0,pro,5.367823,10.152953
0,pro,4.370117,10.584817
2,pro,2.6521468,11.048872
0,pro,5.265085,11.009136
0,pro,5.929784,9.677517
0,pro,4.609904,9.351335
0,pro,4.4414406,9.7774515
0,pro,5.150082,10.694059
0,pro,4.49542,9.526489
0,pro,5.9934425,9.445027
0,pro,5.351007,10.199222
0,pro,4.985986,11.009206
0,pro,4.888814,9.975847
0,pro,4.572151,10.680812
0,pro,4.7220984,10.607866
0,pro,4.6735067,10.546127
0,pro,4.5935593,10.676192
0,pro,4.6779165,10.828877
0,pro,4.5526004,10.32292
0,pro,5.385379,9.350086
0,pro,4.476685,10.362241
0,pro,4.480604,9.813607
0,pro,5.1659474,11.012803
0,pro,5.9234786,10.326107
0,pro,5.515153,9.782192
0,pro,5.098833,10.850494
0,pro,5.150701,10.177896
0,pro,5.200327,10.234417
0,pro,5.286087,11.01396
0,pro,4.822938,11.075564
0,pro,4.692985,10.872857
0,pro,7.952751,8.9132185
0,pro,7.8113832,8.985713
0,pro,4.7496343,11.005631
0,pro,4.6053023,10.856686
0,pro,3.736326,10.759207
2,pro,2.8173227,10.939391
0,pro,5.1326237,9.533346
0,pro,4.6131916,9.486757
0,pro,4.4069333,9.847453
0,pro,3.0699904,10.948125
0,pro,5.2270694,10.962894
0,pro,4.765941,10.509913
0,pro,5.018226,11.155164
0,pro,4.5515265,10.91787
0,pro,6.4113364,9.02851
0,pro,4.851508,11.128392
0,pro,4.6701946,9.35572
0,pro,4.5845666,10.978141
0,pro,5.155317,10.685195
0,pro,4.74488,9.456397
0,pro,4.7414155,10.846366
0,pro,5.298651,11.04699
0,pro,4.6331663,10.810872
0,pro,4.7980533,10.245441
0,pro,5.037911,10.069858
2,pro,2.5018778,11.439395
0,pro,5.263763,10.977883
0,pro,5.6723876,10.665414
0,pro,6.0519524,9.830948
0,pro,6.1045847,10.001262
2,pro,1.8872905,11.551939
0,pro,7.270162,8.023787
0,pro,5.638344,10.692376
0,pro,6.1914973,8.796256
0,pro,4.31133,10.59687
0,pro,7.4644146,7.825135
0,pro,5.192635,10.89431
0,pro,3.4745398,10.828298
2,pro,2.3909416,11.104904
0,pro,5.3187113,10.1481905
0,pro,4.3736033,10.59228
0,pro,3.0974097,10.930564
0,pro,7.5519023,8.527616
0,pro,5.394088,10.223711
0,pro,5.1738815,11.046794
0,pro,5.278186,10.318474
0,pro,4.716508,9.546824
0,pro,4.613593,9.412404
0,pro,5.2917066,10.942755
0,pro,4.9047074,10.4189005
0,pro,5.4110827,10.245149
0,pro,4.7224445,9.3154125
0,pro,4.6577024,10.199454
0,pro,6.171116,9.013591
0,pro,4.4203477,10.557165
0,pro,4.7665305,11.101013
0,pro,4.41937,9.608618
2,pro,2.8587937,10.920505
2,pro,2.355567,11.125215
0,pro,6.2773504,9.140989
0,pro,5.240485,10.99067
0,pro,4.958163,10.347805
0,pro,6.3950477,9.012893
0,pro,5.379111,10.016626
0,pro,5.2889447,11.053337
0,pro,5.2338347,10.198139
0,pro,4.8355336,10.029807
0,pro,4.7911353,9.702878
0,pro,4.226515,9.659188
0,pro,5.1237397,9.9727125
0,pro,5.151352,10.351514
0,pro,5.3326764,10.35567
0,pro,4.970206,9.544463
0,pro,5.001192,9.557858
0,pro,4.837684,9.51841
0,pro,5.4043384,11.036053
0,pro,4.5405807,10.873576
0,pro,6.7467666,8.749369
0,pro,6.576564,10.82491
0,pro,5.727792,8.995353
0,pro,4.7258496,9.493469
1,pro,3.5079958,9.111949
0,pro,6.633698,9.308
0,pro,5.2916455,10.200697
0,pro,4.271621,10.621162
0,pro,5.2977943,10.231768
0,pro,5.0697746,11.118469
0,pro,5.2149243,11.231479
0,pro,3.539797,10.754951
0,pro,4.594412,10.809669
0,pro,4.6498146,10.916133
0,pro,5.031806,9.568422
0,pro,5.4697886,9.363893
0,pro,3.6890512,10.690135
0,pro,4.6836815,10.92532
0,pro,5.151418,10.421551
0,pro,6.5275464,8.936168
0,pro,4.9435186,11.065167
0,pro,4.5033207,9.256536
0,pro,4.6713758,10.917232
0,pro,5.1921005,9.588649
0,pro,5.362536,10.032879
0,pro,4.619514,10.866698
0,pro,6.468742,8.960177
0,pro,6.6467085,9.05902
0,reg,8.480755,9.478279
0,reg,8.885071,8.558115
0,reg,4.433121,10.507199
0,reg,8.468895,9.217229
0,reg,8.578364,9.31065
0,reg,6.2235374,10.122305
0,reg,6.7745476,10.3723345
0,reg,6.6595817,9.525659
0,reg,6.4528413,10.680532
0,reg,5.82444,10.889049
0,reg,6.328961,10.74978
0,reg,5.874524,10.046329
0,reg,5.911698,10.237629
0,reg,8.668613,9.499136
0,reg,8.249202,9.052643
0,reg,6.6364183,9.502577
0,reg,8.209655,9.654683
0,reg,6.288783,10.620336
0,reg,6.375795,10.139871
0,reg,7.422047,7.9480686
0,reg,8.338851,9.106993
0,reg,8.954289,9.328076
0,reg,5.516231,9.978308
0,reg,6.826924,9.642423
0,reg,8.702626,9.161303
0,reg,6.483731,10.596546
0,reg,9.078089,9.236445
0,reg,6.742757,10.400291
0,reg,8.8258,9.245627
0,reg,5.5409107,9.7810955
0,reg,8.8060875,9.249916
0,reg,8.751712,9.132146
0,reg,6.7830734,10.112627
0,reg,6.1526604,9.618648
0,reg,6.3667226,10.004512
0,reg,6.376488,10.070068
0,reg,6.360954,10.067012
0,reg,6.364737,10.016411
0,reg,6.7764983,9.6727085
0,reg,6.1295323,9.542605
0,reg,7.049447,10.0017805
0,reg,6.9353228,10.094577
0,reg,6.7651844,10.213404
0,reg,6.389972,10.073387
0,reg,8.513859,8.832038
0,reg,6.3947234,9.874762
0,reg,5.7966304,9.025788
0,reg,5.4800606,9.364539
0,reg,7.0288086,10.056238
0,reg,5.716608,10.673466
2,reg,2.3057115,11.147328
0,reg,6.9564824,10.125263
0,reg,7.11399,9.765429
0,reg,7.021742,9.693143
0,reg,8.423289,9.363807
0,reg,6.480459,10.738678
0,reg,7.76075,9.294888
0,reg,7.9333453,8.701898
0,reg,7.987192,8.56303
0,reg,5.512415,9.742959
0,reg,7.2896442,9.054693
0,reg,7.1053123,9.92406
0,reg,8.040737,9.126368
0,reg,7.403306,9.59075
0,reg,7.3512707,9.22327
0,reg,6.9083204,10.321376
0,reg,7.699273,9.403651
0,reg,9.558048,8.212571
0,reg,5.6253543,9.513687
0,reg,6.5310864,10.513888
0,reg,8.493278,9.156935
0,reg,8.863068,9.190346
0,reg,6.1612873,9.679205
0,reg,6.4958563,8.535484
0,reg,6.5024247,8.701151
0,reg,8.383512,9.096942
0,reg,7.6903434,9.522846
0,reg,9.527289,8.16929
0,reg,6.381991,8.665894
0,reg,6.677051,10.187437
0,reg,8.573809,8.471353
0,reg,7.4866834,7.742571
0,reg,6.600692,9.790188
0,reg,6.2719097,9.786573
0,reg,7.19996,8.613525
0,reg,6.854776,10.172107
0,reg,7.198854,9.995625
0,reg,6.3064404,8.603067
0,reg,6.44534,8.6125765
0,reg,8.883655,9.390877
0,reg,6.2179465,9.700105
0,reg,7.5302324,9.608929
0,reg,7.5788035,9.509408
0,reg,6.736783,9.3419285
0,reg,7.344629,7.7976923
0,reg,7.5164247,8.550191
0,reg,7.456819,8.021717
0,reg,5.661502,9.920719
0,reg,7.5913634,9.565568
0,reg,6.4574847,8.357754
0,reg,7.4966435,9.499665
0,reg,8.338218,8.657131
0,reg,5.6992426,9.81456
0,reg,6.5307183,8.3183155
0,reg,7.3519278,7.7431192
0,reg,7.495128,7.7485347
0,reg,4.272659,10.515183
0,reg,7.3768435,7.7655416
0,reg,8.002222,9.234865
0,reg,7.3197975,7.853458
0,reg,6.879523,9.404281
0,reg,7.08108,8.839929
0,reg,7.4166617,8.597479
0,reg,7.5898137,9.509039
0,reg,8.374265,8.563804
0,reg,6.590524,8.560484
0,reg,7.5924635,8.276583
0,reg,6.448698,10.0943165
0,reg,6.756132,10.456114
0,reg,6.8314314,8.508011
0,reg,6.1170497,9.666222
0,reg,5.895007,9.952289
0,reg,7.5991096,7.7488217
0,reg,7.066945,9.179415
0,reg,7.6260843,7.8174653
0,reg,6.058836,10.094604
0,reg,6.057919,9.465636
0,reg,6.79546,9.266056
0,reg,7.862996,7.820124
0,reg,7.3181014,7.8552437
0,reg,7.0122895,8.7663765
0,reg,6.4062347,10.055064
0,reg,5.242752,9.751429
0,reg,7.0578694,8.446474
0,reg,7.9362745,8.569673
0,reg,7.3549175,8.0768
0,reg,6.0439963,11.066116
0,reg,8.275057,8.423463
0,reg,8.456857,8.5824
0,reg,8.411544,8.467678
0,reg,5.822937,9.44898
0,reg,4.99617,9.853471
0,reg,6.971708,9.6804285
0,reg,6.352821,10.889076
0,reg,6.348519,8.586309
0,reg,5.971765,9.979349
0,reg,8.644612,9.156213
0,reg,8.108751,8.904351
0,reg,6.1882343,8.865415
0,reg,6.4209867,10.070358
0,reg,6.4237356,10.016648
0,reg,8.104939,8.770627
0,reg,9.243691,8.956515
0,reg,7.4939976,9.887841
0,reg,8.164621,7.6768103
0,reg,7.256389,8.670697
0,reg,7.9799747,8.806167
0,reg,6.1862106,10.023842
0,reg,6.4652076,8.571198
0,reg,7.6470237,9.442591
0,reg,9.243431,9.212113
0,reg,6.5583143,9.769049
0,reg,6.5176296,8.946589
0,reg,6.7106724,9.549001
0,reg,6.5195956,8.861582
0,reg,7.5682845,7.87475
0,reg,8.139134,8.315851
0,reg,8.120056,7.5837984
0,reg,6.1049666,10.295763
0,reg,6.21661,10.218484
0,reg,9.412167,8.947119
0,reg,6.0253377,9.862273
0,reg,9.273295,8.158081
0,reg,5.9704337,8.943181
0,reg,9.460354,8.230058
0,reg,8.712985,8.60244
0,reg,6.0486903,10.343307
0,reg,7.2681217,8.09846
0,reg,9.26498,8.145104
0,reg,9.275179,8.134523
0,reg,9.468152,8.1833935
0,reg,9.280542,8.151413
0,reg,4.465699,10.651239
0,reg,6.5546384,10.277309
0,reg,6.7347875,10.261492
0,reg,6.029185,10.376713
0,reg,8.917077,8.3473
0,reg,7.252869,9.31854
0,reg,9.250078,8.3141775
0,reg,8.814627,8.387608
0,reg,7.914553,8.498772
0,reg,6.465517,8.384396
0,reg,7.139899,8.681596
0,reg,7.2988043,8.961338
0,reg,6.378212,10.486582
0,reg,6.289293,9.1790695
0,reg,8.558413,8.0104685
0,reg,8.607219,8.048463
0,reg,7.1925683,9.264755
0,reg,7.276966,7.4524817
0,reg,7.7015324,7.979687
0,reg,8.344244,8.341872
0,reg,5.6930118,8.8993845
0,reg,7.3131075,8.606241
0,reg,7.6901383,8.729604
0,reg,7.669521,8.602981
0,reg,7.294841,7.5013876
0,reg,7.317576,7.5594187
0,reg,8.4672985,9.065258
0,reg,7.335299,7.567167
0,reg,7.3036323,7.5035334
0,reg,7.318885,7.5003924
0,reg,6.4177775,10.217459
0,reg,5.942006,10.679086
0,reg,6.7943974,10.190994
0,reg,9.398865,8.195319
0,reg,7.7845426,8.785568
0,reg,9.161531,9.350773
0,reg,8.592069,8.336346
0,reg,8.590908,8.5918
0,reg,9.351393,8.924139
0,reg,7.044268,9.702031
0,reg,7.272554,9.03498
0,reg,8.674831,8.846599
0,reg,7.740666,9.934202
0,reg,8.459489,8.9587345
0,reg,8.577793,8.60276
0,reg,4.6900387,10.802453
0,reg,6.380707,10.174421
0,reg,6.3153105,10.767054
0,reg,8.701366,8.890522
0,reg,8.234689,8.721995
0,reg,9.428158,8.233864
0,reg,8.509732,8.78437
0,reg,6.979928,8.518068
0,reg,7.4197073,8.881531
0,reg,7.771891,8.56318
0,reg,7.681832,8.377416
0,reg,7.329732,7.4913616
0,reg,7.2705717,7.6510196
0,reg,7.2856703,7.467954
0,reg,7.2448792,7.429112
0,reg,7.3232985,7.501399
0,reg,6.487924,9.6677265
0,reg,8.658752,8.731215
0,reg,7.810125,7.955264
0,reg,5.825159,10.104357
0,reg,6.010788,10.045188
0,reg,6.13886,10.0775385
0,reg,8.622102,8.064648
0,reg,6.000788,10.503058
0,reg,8.504665,9.279435
0,reg,8.651131,8.486242
0,reg,8.725498,8.521131
0,reg,9.003526,8.270238
0,reg,6.452343,8.5075655
0,reg,5.8124423,9.881371
0,reg,9.274514,8.505005
0,reg,8.94163,8.958259
0,reg,9.222062,8.338451
0,reg,8.586378,8.3695755
0,reg,7.736508,9.894532
0,reg,8.580216,8.843024
0,reg,8.923333,8.36352
0,reg,7.9490747,9.697697
0,reg,9.282737,8.448219
0,reg,8.803257,8.444714
0,reg,8.801598,8.48668
0,reg,5.556377,11.172695
0,reg,8.018122,8.536455
0,reg,8.319834,8.37538
0,reg,6.5007668,8.629489
0,reg,6.3389373,8.541224
0,reg,6.41274,8.376381
0,reg,8.274705,8.249579
0,reg,7.7056017,8.911228
0,reg,8.045773,8.4539995
0,reg,6.5633316,8.638117
0,reg,7.459634,7.8438582
0,reg,8.601047,8.697216
0,reg,7.299231,7.5521827
0,reg,8.031725,8.306186
0,reg,7.349253,7.562236
0,reg,7.6845713,7.7667503
0,reg,7.403494,7.5856137
0,reg,7.3956504,7.675022
0,reg,9.216666,8.678762
0,reg,8.557449,8.1119175
0,reg,9.232056,8.342285
0,reg,7.443404,8.22509
0,reg,8.707855,8.495888
0,reg,7.3769145,8.143593
0,reg,9.007211,8.311907
0,reg,8.617409,8.426199
0,reg,8.624023,8.89916
0,reg,7.684049,10.0113945
0,reg,6.8337564,10.329116
0,reg,7.0846024,8.15308
0,reg,7.5297613,7.782056
0,reg,8.505976,7.9757867
0,reg,7.573136,7.8155603
0,reg,6.2134085,10.190368
0,reg,9.42684,8.196941
0,reg,7.5794888,7.8020973
0,reg,7.544921,7.663123
0,reg,8.498536,8.06417
0,reg,8.48744,8.941539
0,reg,8.509343,8.42535
0,reg,8.09147,8.0806
0,reg,8.009975,9.793981
0,reg,8.045406,8.3274355
0,reg,7.718544,10.019436
0,reg,8.2094145,9.7179165
0,reg,7.8976583,9.620707
0,reg,7.9986653,9.446714
0,reg,7.777942,8.978376
0,reg,8.824138,8.357751
0,reg,6.34563,9.494582
0,reg,6.0669737,10.654416
0,reg,8.495129,9.006852
0,reg,8.836117,9.590315
0,reg,8.764697,8.646072
0,reg,8.232064,8.074702
0,reg,7.725863,9.209417
0,reg,7.9759245,9.17046
0,reg,6.774224,10.618335
0,reg,8.124443,8.759627
0,reg,9.093901,8.8422165
0,reg,6.037341,10.586975
0,reg,8.298738,8.103661
0,reg,6.8464317,9.385206
0,reg,7.133114,8.2082405
0,reg,6.138993,9.6126
0,reg,8.639588,8.242374
0,reg,8.892125,8.891558
0,reg,9.405879,8.310423
0,reg,8.061253,7.553921
0,reg,8.84907,8.452857
0,reg,6.326322,9.132239
0,reg,9.003507,9.252472
0,reg,7.443532,9.193665
0,reg,6.357526,8.537336
0,reg,7.2384186,9.003597
0,reg,4.5485325,10.561019
0,reg,6.5809484,8.936569
0,reg,7.516619,7.6977305
0,reg,6.5810194,9.245691
0,reg,4.881469,10.455706
0,reg,6.8366165,9.318639
0,reg,9.155543,9.25047
0,reg,7.6268735,9.442305
0,reg,8.25354,8.091476
0,reg,7.973533,9.675562
0,reg,6.496555,10.558357
0,reg,8.023428,7.5436244
0,reg,7.579574,8.654697
0,reg,6.276105,10.913734
0,reg,8.727255,9.127155
0,reg,8.959295,8.314139
0,reg,7.719651,9.371461
0,reg,8.946056,8.56406
0,reg,8.054935,7.529546
0,reg,7.9118385,7.5146623
0,reg,4.6600523,10.7486925
0,reg,8.287074,9.692083
0,reg,8.060594,9.615975
0,reg,7.989758,9.520779
0,reg,9.428393,8.228193
0,reg,8.274347,8.148929
0,reg,8.197225,8.327471
0,reg,6.8610992,10.307844
0,reg,7.7137494,9.997711
0,reg,8.538815,9.44685
0,reg,6.4946675,9.442877
0,reg,8.337155,8.151381
0,reg,8.1915455,8.347255
0,reg,6.896437,9.366559
0,reg,5.926361,10.861938
0,reg,8.288347,8.811605
0,reg,5.3352118,10.050658
0,reg,5.8665566,9.727277
0,reg,6.422048,9.319532
0,reg,7.7193804,10.045209
0,reg,8.063315,8.326881
0,reg,8.265701,9.14585
0,reg,5.772047,10.198148
0,reg,6.855705,8.939639
0,reg,6.2643795,9.59075
0,reg,8.891651,8.623905
0,reg,6.789487,8.522843
0,reg,7.1147532,9.060893
0,reg,6.3880982,9.287108
0,reg,7.3196354,10.238777
0,reg,8.652812,8.023313
0,reg,6.1827164,10.707747
0,reg,7.725984,9.989667
0,reg,7.368875,9.52304
0,reg,5.804542,9.0345955
0,reg,7.5351515,9.731765
0,reg,7.2258234,10.121328
0,reg,9.52268,8.875355
0,reg,6.609709,9.241365
0,reg,9.484436,8.866347
0,reg,4.8543744,9.5476
0,reg,6.1179767,9.711049
0,reg,8.155009,7.9380903
0,reg,8.987684,8.509705
0,reg,8.905443,9.410289
0,reg,8.986208,8.930757
0,reg,9.03566,8.899886
0,reg,9.46692,8.937076
0,reg,8.177247,9.115821
0,reg,8.825417,9.159918
0,reg,8.830698,9.02683
0,reg,9.339611,9.124293
0,reg,6.734636,8.638891
0,reg,5.8330097,9.851283
0,reg,7.3450894,10.179762
0,reg,4.9995527,10.364163
0,reg,9.406389,8.24026
0,reg,9.444217,8.537626
0,reg,9.317042,9.027944
0,reg,8.368742,8.831881
0,reg,8.059299,9.257549
0,reg,8.050112,9.234874
0,reg,8.617374,9.460793
0,reg,9.056793,9.132197
0,reg,9.515053,8.796947
0,reg,8.662139,9.3752
0,reg,9.505598,8.913032
0,reg,6.2225995,8.804534
