Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,9,1.9736346,7.745267,"paris agreement, 0.0364, 3, 11 ; co2 emissions, 0.0343, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; district heating, 0.0213, 5, 21 ; energy efficiency, 0.0204, 7, 12",0.3758,1.0,paris agreement ; co2 emissions ; 000 tonnes ; district heating ; energy efficiency
pro,1,7,1.8784721,6.4204535,"wind turbines, 0.0216, 27, 128 ; offshore wind, 0.0203, 31, 299 ; offshore wind turbines, 0.0148, 24, 67 ; bornholm offshore wind, 0.0134, 1, 1 ; bornholm offshore, 0.0131, 1, 1",0.6549,1.0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; bornholm offshore
pro,2,20,1.8212141,6.4617877,"north sea, 0.0131, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0116, 29, 143 ; sustainable energy, 0.0109, 2, 4 ; island north sea, 0.0107, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
pro,3,10,2.1515813,7.450983,"electricity grid, 0.0287, 8, 37 ; co2 emissions, 0.0251, 2, 5 ; electricity consumption, 0.0240, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0163, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
pro,4,14,2.1841927,7.444496,"70 percent, 0.0277, 9, 20 ; climate act, 0.0226, 6, 24 ; climate council, 0.0199, 6, 23 ; green power, 0.0187, 11, 29 ; million tonnes, 0.0115, 2, 2",0.4625,1.0,70 percent ; climate act ; climate council ; green power ; million tonnes
pro,5,9,3.8312936,8.712563,"north sea, 0.0212, 6, 29 ; wind energy, 0.0194, 9, 10 ; european energy, 0.0168, 3, 4 ; offshore wind, 0.0167, 8, 47 ; gw offshore, 0.0165, 6, 13",0.5389,1.0,north sea ; wind energy ; european energy ; offshore wind ; gw offshore
pro,6,4,2.1059957,7.649644,"million tonnes, 0.1084, 4, 15 ; climate council, 0.0756, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0361, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
pro,7,1,1.3859389,7.490101,"labor market, 0.2271, 1, 5 ; danish business, 0.1289, 1, 3 ; among things, 0.0717, 1, 3 ; skilled workers, 0.0506, 1, 1 ; something new, 0.0477, 1, 1",1.0,1.0,labor market ; danish business ; among things ; skilled workers ; something new
pro,8,14,1.7723918,7.307,"natural gas, 0.0231, 5, 19 ; ptx plants, 0.0154, 5, 9 ; among things, 0.0144, 9, 16 ; electrolysis capacity, 0.0141, 5, 9 ; cip foundation, 0.0138, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
pro,9,2,1.2887672,7.1047773,"drinking water, 0.0707, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0294, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
pro,10,17,1.6355424,6.524535,"north sea, 0.0407, 20, 128 ; island north, 0.0182, 15, 34 ; island north sea, 0.0182, 15, 34 ; energy islands north, 0.0138, 10, 26 ; islands north sea, 0.0136, 10, 26",0.7121,1.0,north sea ; island north ; island north sea ; energy islands north ; islands north sea
pro,11,11,1.8007702,7.3253226,"open door, 0.0163, 4, 25 ; one must, 0.0157, 5, 8 ; state aid, 0.0127, 6, 13 ; 10 million, 0.0124, 2, 4 ; danish energy agency, 0.0114, 9, 33",0.2367,1.0,open door ; one must ; state aid ; 10 million ; danish energy agency
pro,12,13,1.0448673,6.3262844,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0246, 11, 26 ; danish energy agency, 0.0226, 8, 23 ; energy agency, 0.0224, 8, 23 ; wind turbines, 0.0208, 13, 41",0.7644,1.0,offshore wind ; danish energy ; danish energy agency ; energy agency ; wind turbines
pro,13,3,1.887208,7.5064626,"green fuels, 0.0692, 2, 12 ; green hydrogen, 0.0677, 1, 9 ; says henrik, 0.0239, 1, 2 ; million dkk, 0.0226, 0, 0 ; per cent, 0.0205, 1, 2",0.4,1.0,green fuels ; green hydrogen ; says henrik ; million dkk ; per cent
pro,14,3,1.9417667,6.679908,"data center, 0.3339, 3, 53 ; data centers, 0.1359, 3, 17 ; energy island north, 0.0330, 3, 6 ; island north, 0.0310, 3, 6 ; island north sea, 0.0310, 3, 6",1.0,1.0,data center ; data centers ; energy island north ; island north ; island north sea
pro,15,9,0.7267881,7.3443656,"islands bornholm, 0.0247, 48, 264 ; energy islands bornholm, 0.0245, 48, 264 ; energy islands, 0.0183, 58, 378 ; søren møller christensen, 0.0065, 10, 37 ; møller christensen, 0.0065, 10, 37",0.7067,1.0,islands bornholm ; energy islands bornholm ; energy islands ; søren møller christensen ; møller christensen
pro,21,1,-0.9469944,7.9255114,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; land facilities, 0.0091, 8, 9",0.3973,1.0,land plant ; land facility ; consultation response ; green energy ; land facilities
