Group,Rows,Average Score
1,"[0, 8]",4.5
2,"[3, 7, 15, 17, 18, 23, 25, 31, 39, 55, 57, 61, 62, 63, 64, 65, 66, 71, 73, 80]",1.59
3,"[16, 55, 57, 61, 62]",1.9
4,"[64, 65, 66, 39, 71, 73, 80, 18, 63, 55, 25, 57, 61, 62, 31]",1.19
5,"[51, 19, 71]",3.17
6,"[64, 65, 66, 39, 71, 73, 75, 80, 63, 82, 55, 62, 57, 61, 30, 31]",1.38
7,"[36, 31]",4.5
8,"[32, 62]",5.0
9,"[64, 65, 66, 37, 39, 71, 73, 80, 86, 55, 57, 61, 62, 63]",1.47
10,"[64, 65, 66, 71, 73, 80, 49, 85, 55, 57, 61, 62, 63]",1.65
11,"[67, 68, 70, 72, 74, 78, 81, 82, 83]",2.03
12,"[69, 71, 73, 75, 80, 85, 86, 87, 88]",4.08
13,"[71, 73, 75, 80, 85, 86, 87]",4.07
14,"[80, 75, 85, 87]",4.58
15,"[76, 80, 85, 86, 87]",4.35
16,"[80, 77]",5.5
17,"[80, 78]",8.0
18,"[79, 80, 85, 87, 90]",4.05
19,"[82, 83]",7.5
20,"[1, 2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 20, 21, 22, 24, 26, 27, 28, 29, 33, 34, 35, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 52, 53, 54, 56, 58, 59, 60, 84, 89]",0.25
