Source,cluster,count,TF_IDF_topic_name
pro,0,29,"islands bornholm, 0.0165, 21, 67 | energy islands bornholm, 0.0161, 21, 67 | energy islands, 0.0135, 27, 164 | hanne storm, 0.0101, 7, 29 | høje taastrup, 0.0090, 1, 1"
pro,1,35,"data center, 0.0200, 5, 62 | north sea, 0.0189, 33, 163 | energy island, 0.0182, 32, 268 | light pollution, 0.0127, 1, 15 | island north, 0.0105, 23, 48"
pro,2,43,"offshore wind, 0.0183, 39, 258 | wind turbines, 0.0083, 38, 105 | wind turbine, 0.0080, 41, 162 | wave power, 0.0073, 1, 15 | open door, 0.0070, 5, 24"
pro,3,62,"natural gas, 0.0080, 16, 44 | electricity consumption, 0.0070, 14, 41 | la cour, 0.0070, 1, 21 | million tonnes, 0.0065, 12, 25 | solar cells, 0.0059, 16, 28"
reg,0,16,"baltic sea, 0.0487, 13, 64 | home guard, 0.0333, 2, 20 | critical infrastructure, 0.0324, 7, 13 | security policy, 0.0310, 8, 21 | baltic bridge, 0.0182, 3, 10"
reg,1,105,"really good, 0.0127, 11, 13 | business park, 0.0103, 30, 142 | green transition, 0.0071, 39, 94 | skilled workers, 0.0070, 6, 17 | labor market, 0.0069, 10, 15"
reg,2,24,"district heating, 0.0347, 15, 40 | electrolysis plant, 0.0204, 10, 20 | klaus vesløv, 0.0190, 5, 25 | gas station, 0.0153, 4, 5 | hydrogen production, 0.0122, 11, 17"
reg,3,72,"election campaign, 0.0135, 7, 21 | social democracy, 0.0131, 24, 148 | energy island, 0.0116, 72, 467 | people meeting, 0.0098, 0, 0 | municipal council, 0.0094, 34, 142"
reg,4,25,"social democracy, 0.0434, 22, 113 | anne thomas, 0.0352, 8, 77 | top candidate, 0.0185, 8, 34 | municipal council, 0.0184, 18, 73 | social democratic, 0.0167, 8, 17"
reg,5,21,"lars aagaard, 0.0195, 11, 26 | energy parks, 0.0161, 3, 18 | climate energy, 0.0144, 5, 6 | climate energy supply, 0.0133, 1, 1 | jacob trøst, 0.0125, 12, 38"
reg,6,125,"land plant, 0.0105, 54, 139 | high voltage, 0.0077, 20, 32 | local plan, 0.0064, 28, 85 | land facility, 0.0064, 46, 85 | high voltage station, 0.0048, 15, 23"
reg,7,29,"center bornholm, 0.0251, 16, 61 | rønne harbor, 0.0222, 16, 39 | business center, 0.0180, 10, 34 | business center bornholm, 0.0175, 10, 33 | bornholm companies, 0.0172, 14, 36"
reg,8,62,"offshore wind, 0.0430, 56, 508 | bornholm offshore wind, 0.0182, 10, 12 | energy agency, 0.0175, 32, 125 | danish energy agency, 0.0175, 32, 125 | bornholm offshore, 0.0174, 10, 12"
reg,9,33,"electricity grid, 0.0297, 22, 91 | bornholm electricity, 0.0259, 18, 59 | bornholm electricity grid, 0.0164, 15, 40 | trefor el net, 0.0126, 1, 1 | trefor el, 0.0126, 8, 19"
reg,10,22,"energy islands bornholm, 0.0192, 21, 113 | islands bornholm, 0.0192, 21, 113 | energy islands, 0.0163, 22, 143 | social economy, 0.0110, 3, 20 | chresten andersen, 0.0100, 3, 13"
sci,0,317,"offshore grid, 0.0175, 216, 349 | offshore wind, 0.0157, 193, 378 | wind farms, 0.0101, 97, 131 | wind power, 0.0084, 99, 192 | offshore grids, 0.0067, 45, 58"
sci,1,19,"offshore energy, 0.0345, 10, 22 | energy hubs, 0.0292, 6, 17 | energy production, 0.0273, 2, 2 | offshore energy hubs, 0.0248, 5, 13 | co2 emissions, 0.0229, 6, 10"
sci,2,16,"hydrogen production, 0.0584, 11, 25 | green hydrogen, 0.0455, 10, 19 | green hydrogen production, 0.0227, 6, 9 | production costs, 0.0214, 3, 6 | hydrogen price, 0.0186, 3, 6"
sci,3,16,"rights reserved, 0.0952, 3, 3 | energy islands, 0.0775, 1, 2 | qd growth, 0.0549, 1, 6 | low energy, 0.0518, 4, 5 | ion implantation, 0.0504, 1, 7"
sci,4,150,"energy island, 0.0354, 101, 137 | energy islands, 0.0261, 45, 57 | renewable energy, 0.0199, 61, 103 | sustainable energy, 0.0139, 16, 27 | energy storage, 0.0102, 26, 42"
