cluster,Source,x,y
0,pro,19.180374,2.1173499
2,pro,19.17639,2.1122859
0,pro,19.34089,1.7728822
2,pro,19.051622,2.0304396
0,pro,19.255585,2.050965
2,pro,19.931095,-0.12211866
4,pro,18.730457,1.9669039
91,pro,19.074959,1.4605871
4,pro,18.76201,1.9826852
1,pro,18.423979,1.0776389
20,pro,18.809338,1.0660225
4,pro,19.22176,1.4349036
4,pro,19.938572,0.4116549
5,pro,18.925575,0.9874397
4,pro,19.113703,2.110809
37,pro,18.743406,1.5522127
1,pro,18.327524,1.0907965
1,pro,18.366316,1.1220866
80,pro,19.869846,2.1415608
7,pro,19.537485,3.0529063
53,pro,16.555777,-1.411178
2,pro,19.914047,-0.510171
0,pro,19.465364,1.0356507
24,pro,18.937845,-0.08782982
39,pro,19.125772,2.2026513
39,pro,19.381155,1.4679004
39,pro,19.39627,1.2819005
22,pro,19.425245,-1.0465279
3,pro,19.127745,-0.4370255
0,pro,19.343763,1.7793872
16,pro,16.548485,-1.4370394
10,pro,18.447681,1.0583671
4,pro,19.045992,1.7665559
4,pro,18.939047,1.1771283
39,pro,19.374918,1.4590579
3,pro,19.149706,0.37817198
13,pro,19.694231,0.8250486
5,pro,18.871956,0.9910161
0,pro,19.446575,1.23745
14,pro,19.208336,-0.6722495
59,pro,18.919249,2.739122
39,pro,19.49318,1.4362423
0,pro,18.94439,2.6716602
4,pro,19.039062,1.8991817
11,pro,18.854942,1.4317514
39,pro,19.442745,1.4482312
39,pro,18.721708,0.96573913
28,pro,19.988167,0.37954068
5,pro,18.823992,1.1035717
80,pro,19.88615,2.1057217
11,pro,18.782053,1.610879
2,pro,20.029503,-0.4984685
0,pro,19.420237,1.5347843
0,pro,19.26781,1.3900365
4,pro,18.765072,1.4960071
0,pro,19.426264,3.4024572
2,pro,19.93744,-0.17652504
28,pro,20.017689,0.5320078
4,pro,18.612192,1.273357
4,pro,18.818607,1.0369663
5,pro,18.897184,1.571822
5,pro,18.681805,1.046512
5,pro,18.890945,1.1046528
5,pro,18.647491,0.9685175
5,pro,18.603506,1.0245205
5,pro,19.180355,1.4806805
22,pro,19.623981,-1.0754268
5,pro,18.672407,0.58417255
4,pro,19.013544,2.278164
11,pro,18.680706,1.2831903
28,pro,20.18335,-0.15644121
53,pro,16.542425,-1.4472667
6,pro,18.742575,2.9795725
10,pro,18.64136,0.9104241
28,pro,20.02745,0.1566486
7,pro,20.039976,0.7671076
11,pro,18.498472,1.6317647
10,pro,18.76925,1.1256436
10,pro,18.524166,0.9667707
38,pro,18.24931,-2.2557783
45,pro,18.334448,-0.2511014
10,pro,18.600643,1.0381593
1,pro,18.433582,1.2446191
7,pro,19.672087,2.8287416
7,pro,19.713472,2.8278654
22,pro,19.423033,1.1314034
9,pro,19.188948,2.201937
5,pro,18.646994,0.741043
7,pro,19.10225,1.1965797
11,pro,18.62676,1.5959576
5,pro,19.335571,0.97741526
8,pro,18.339857,1.2586095
8,pro,18.36559,1.1485333
45,pro,18.527405,-0.5848535
8,pro,18.340048,1.2675197
9,pro,19.282864,2.3599238
10,pro,18.375679,1.1584187
10,pro,19.481491,-2.9892347
0,pro,19.2455,2.12738
10,pro,18.565208,0.98095256
20,pro,18.888504,1.3858433
25,pro,18.408833,0.92046565
106,pro,19.728506,3.5259478
5,pro,18.346165,-0.20834957
13,pro,19.801235,0.31965083
11,pro,18.8105,1.6021714
12,pro,18.871367,0.435422
51,pro,19.912477,-0.25320807
14,pro,19.888315,-0.21438295
100,pro,19.88293,3.8731
17,pro,17.974022,-1.314846
12,pro,18.909664,0.31884322
24,pro,18.920938,-0.5394901
5,pro,18.869188,0.77902806
32,pro,17.405046,-1.7658921
11,pro,18.508305,1.5323662
16,pro,16.527851,-1.4302987
28,pro,19.898125,2.0209937
108,pro,19.379875,5.714038
2,pro,20.01376,0.54467285
5,pro,18.870068,0.78564143
7,pro,19.728344,2.6483014
45,pro,18.021322,-2.2016227
28,pro,20.144339,0.01931363
10,pro,18.666168,1.2552899
4,pro,19.919333,0.48274186
0,pro,18.698748,2.4990308
0,pro,19.219248,2.1446702
37,pro,18.59984,1.5091646
15,pro,19.5104,0.46243373
106,pro,19.81113,3.3283355
9,pro,19.350307,2.2853336
0,pro,18.897041,1.8225077
24,pro,19.184673,-0.45661482
5,pro,18.85107,1.0302641
8,pro,18.373926,1.3120338
13,pro,19.509882,0.97261435
7,pro,19.651176,2.9000084
0,pro,19.325052,1.7430404
14,pro,18.956451,-0.6344748
11,pro,18.82137,1.4108971
4,pro,19.870249,0.61173147
14,pro,19.30041,-0.5232384
2,pro,19.952112,0.20321447
11,pro,18.850193,1.4297329
7,pro,19.908169,2.713246
13,pro,19.665426,0.84372646
0,pro,19.42799,1.8531446
4,pro,18.868366,2.1501145
51,pro,19.739609,-0.17716531
7,pro,20.073706,0.29734805
15,pro,20.145618,0.10732224
16,pro,16.544512,-1.4465775
0,pro,19.404137,0.8810624
39,pro,19.277391,0.73081416
13,pro,19.423178,0.77060336
11,pro,18.887705,1.655829
7,pro,18.590593,1.0886914
3,pro,19.2004,-0.5830395
20,pro,19.710121,-1.4694076
13,pro,19.333673,0.67504585
13,pro,19.52834,0.9408014
69,pro,18.307423,1.519757
22,pro,19.55291,-0.9874954
51,pro,19.997658,0.047528904
3,pro,19.1211,0.3462132
16,pro,16.54965,-1.4517784
4,pro,19.960508,0.35802418
20,pro,18.873117,0.90322685
20,pro,18.76711,0.9433525
7,pro,19.738155,2.7153676
10,pro,18.524643,0.92987317
1,pro,18.412106,1.0240189
13,pro,19.548235,0.8923848
14,pro,19.187078,-0.4473737
63,pro,19.64607,3.9600549
10,pro,18.533703,0.98090184
10,pro,19.023275,0.8981013
38,pro,18.908648,-0.91056377
1,pro,18.401236,1.0210328
9,pro,19.315084,2.4508846
10,pro,18.542313,0.94743264
24,pro,18.965124,0.01802869
20,pro,19.686481,0.8064677
45,pro,18.077328,1.5626757
24,pro,18.97973,0.14774714
14,pro,19.331465,-0.6504834
19,reg,19.021236,-2.01429
45,reg,18.364902,-2.488861
22,reg,18.775427,-0.6148333
30,reg,19.119864,-2.4419472
30,reg,19.196087,-2.44581
22,reg,19.979158,-0.49435946
28,reg,20.350887,-0.30260363
22,reg,19.317501,-1.3307737
20,reg,19.900034,-1.3441799
11,reg,18.89489,1.6918284
20,reg,19.91147,-1.2872889
51,reg,19.926203,-0.5023604
28,reg,20.27666,-0.17840108
50,reg,18.971375,-3.0240283
19,reg,18.895956,-2.1960037
22,reg,19.309557,-1.274833
22,reg,19.384178,-1.4542423
14,reg,19.127474,-1.0775849
51,reg,20.214752,-0.43867132
16,reg,16.548668,-1.4465305
38,reg,18.85484,-2.271199
43,reg,19.39187,-3.086447
45,reg,19.713127,0.19188778
51,reg,20.019638,-0.575988
30,reg,19.13827,-2.5172133
39,reg,19.058311,0.6675105
35,reg,18.814703,-3.064201
27,reg,20.29187,-0.8291165
30,reg,18.662539,-2.745496
28,reg,19.87006,0.43774983
30,reg,18.964777,-2.5380795
30,reg,18.939701,-2.7434828
28,reg,20.34091,-1.2254754
19,reg,19.731833,-1.0234876
51,reg,20.262442,-0.5128334
51,reg,20.200127,-0.59218556
28,reg,20.33228,-0.32868478
45,reg,18.332756,-1.0907773
15,reg,19.70017,-0.8044166
2,reg,19.942978,-0.66437817
15,reg,20.188635,-1.2226598
19,reg,20.08473,-1.1074834
28,reg,20.151497,-1.0342429
51,reg,20.231249,-1.0635608
29,reg,18.840733,-2.3602986
22,reg,19.950275,-0.43822983
3,reg,19.068419,-0.47311923
16,reg,16.523855,-1.4558022
3,reg,19.445711,0.6749467
15,reg,20.149286,-1.2666869
12,reg,19.89998,-1.8057338
28,reg,19.406395,-0.31531414
15,reg,20.290354,-1.3510485
22,reg,19.367065,-1.6623751
15,reg,20.225954,-1.3871613
37,reg,19.274069,-2.1483958
20,reg,19.9418,-1.3556457
24,reg,18.929377,-1.6514201
45,reg,18.022707,-2.5858188
19,reg,18.601336,-1.6281395
2,reg,19.733627,0.7193558
22,reg,19.499302,-1.468066
15,reg,20.070543,-1.5787919
19,reg,19.008434,-1.933544
22,reg,20.096941,-1.0781162
22,reg,19.10094,-1.4984257
22,reg,20.074509,-1.2838414
37,reg,19.384861,-2.2554147
52,reg,18.108852,-3.6630552
2,reg,19.515738,0.87425905
22,reg,19.878046,-0.8330552
22,reg,19.117353,-2.146911
19,reg,19.172466,-2.602401
2,reg,19.565493,-0.25972387
17,reg,18.498028,-1.1697665
17,reg,18.515999,-1.2730436
19,reg,19.092999,-2.349841
21,reg,19.473095,-2.180644
46,reg,18.050892,-3.6093118
2,reg,19.416607,-0.29308084
28,reg,20.31489,-0.5955788
