cluster,Source,x,y
1,pro,10.498464,3.7647827
14,pro,10.546103,3.7092068
14,pro,10.000206,4.0412226
16,pro,11.079374,3.136156
0,pro,9.762888,4.0804815
0,pro,9.76953,3.6772814
0,pro,9.668347,4.4130793
14,pro,9.586344,3.8161113
1,pro,9.996304,4.797919
3,pro,10.3005705,4.861941
4,pro,9.697829,4.4933753
0,pro,9.783271,3.82865
14,pro,10.2454,4.007822
1,pro,10.143514,4.635735
2,pro,9.827202,4.1073837
4,pro,9.675036,4.567628
3,pro,10.303435,4.791544
6,pro,10.533366,4.773778
14,pro,10.142458,3.921836
0,pro,9.772524,3.8143766
17,pro,-9.768482,-1.8296051
0,pro,10.800571,3.5731618
8,pro,10.809393,3.5360713
0,pro,9.619721,3.506597
2,pro,9.961233,3.9633539
2,pro,9.9131975,3.96991
2,pro,9.897216,4.076427
2,pro,9.845514,4.1180706
0,pro,9.622027,3.800169
2,pro,9.999785,3.7945013
17,pro,-9.765903,-1.8324316
3,pro,10.4110985,4.9180903
3,pro,10.084383,4.5320683
1,pro,9.910256,4.3007326
13,pro,10.084957,3.8878305
14,pro,10.6794,4.0936265
8,pro,10.739923,3.471424
36,pro,5.639706,8.603943
2,pro,10.015544,4.0519443
20,pro,10.266638,4.0749702
28,pro,10.29825,3.1957936
5,pro,11.615722,4.3974905
16,pro,10.538435,3.548434
1,pro,10.257131,4.5109086
19,pro,9.53354,4.018838
9,pro,9.8206,2.2736375
6,pro,10.538022,4.63937
10,pro,10.980581,3.348694
3,pro,10.296627,4.854646
20,pro,10.051466,4.1923428
1,pro,10.017266,4.648015
8,pro,11.031653,3.5473034
9,pro,9.803157,2.1030025
1,pro,9.965427,4.3637414
7,pro,11.436234,4.3253565
14,pro,10.045421,4.2668514
0,pro,9.691592,3.4616544
0,pro,10.388037,3.5573258
3,pro,10.240423,4.8400655
2,pro,9.883373,4.0209703
3,pro,10.112542,4.650607
3,pro,10.425766,4.8121753
6,pro,10.563345,4.844596
3,pro,10.504565,4.880382
3,pro,10.4819145,4.8840303
29,pro,11.237677,4.137843
1,pro,9.910613,4.3817124
20,pro,10.498425,4.6634603
1,pro,10.045407,4.256726
4,pro,10.033231,4.601358
5,pro,10.795197,3.6521413
17,pro,-9.765081,-1.8330535
28,pro,10.1621895,3.0597353
3,pro,10.4611225,4.706275
16,pro,10.251357,3.5692239
0,pro,9.765682,3.871899
4,pro,11.804335,3.0205557
1,pro,9.682491,4.2850113
13,pro,10.710471,1.8611627
20,pro,11.961222,3.2699945
6,pro,12.184538,3.1450148
3,pro,10.321949,4.8930516
3,pro,10.158253,4.759287
1,pro,9.864447,3.9227028
1,pro,9.994815,4.288477
15,pro,10.574798,2.023504
20,pro,10.276591,3.9882648
4,pro,9.800841,4.7520747
14,pro,10.229717,4.037791
4,pro,9.876873,4.7918115
6,pro,10.74884,4.2213774
4,pro,9.975532,4.9106684
1,pro,10.301255,4.810252
29,pro,11.872097,4.2949696
3,pro,9.9734335,4.90961
19,pro,10.140661,3.7091384
16,pro,10.499591,4.6361427
31,pro,11.514727,1.3986216
2,pro,10.416994,3.61293
16,pro,10.589605,4.335521
6,pro,10.964913,4.58092
6,pro,10.63646,4.828233
20,pro,10.557099,2.9395113
6,pro,10.613035,4.563774
5,pro,11.676276,4.0824943
4,pro,10.302708,4.6732707
5,pro,10.24718,1.8465741
5,pro,11.379193,3.9991803
5,pro,10.835386,3.8532982
7,pro,11.652398,4.2379494
12,pro,12.444238,3.1035056
5,pro,10.314971,1.9220108
20,pro,10.309262,4.1510425
1,pro,10.223488,4.530191
19,pro,13.143111,2.8288338
4,pro,9.651334,4.9006705
17,pro,-9.764833,-1.8329016
20,pro,10.319081,3.7456894
14,pro,9.950746,4.056437
5,pro,10.640177,3.7009065
3,pro,10.211487,4.6412907
0,pro,9.829124,4.013338
13,pro,10.239265,3.9459956
5,pro,11.312295,3.954579
6,pro,11.133259,4.2562327
2,pro,10.600804,3.7675261
0,pro,9.702548,3.872779
