cluster,Source,x,y
113,pro,-0.13893591,9.401737
23,pro,0.20926283,8.70365
0,pro,-0.26131606,9.505642
70,pro,1.5874996,7.8215747
0,pro,-0.2188869,9.3582535
2,pro,0.16557775,9.007396
60,pro,0.88374203,8.174482
4,pro,0.6767552,9.171965
19,pro,0.33416525,9.613388
6,pro,1.4197963,9.407696
1,pro,0.026260449,9.452117
19,pro,1.1588336,9.032179
1,pro,0.22999823,9.26483
60,pro,1.6531705,8.488248
1,pro,0.68191385,9.151227
106,pro,-1.11693,8.040439
6,pro,0.70098364,9.159724
16,pro,1.6752183,9.152545
17,pro,-0.67872816,8.992336
19,pro,0.39479262,11.689872
19,pro,0.6425816,9.442364
2,pro,0.32055596,8.979597
19,pro,-0.18592456,9.3302
33,pro,-0.48507705,9.631123
4,pro,1.6567653,8.062111
4,pro,1.9576355,7.379667
3,pro,2.1286855,7.621426
12,pro,0.77406627,8.613498
0,pro,-0.36707658,9.7882185
12,pro,0.83136314,8.900117
56,pro,1.4590882,6.659751
4,pro,2.1411097,8.123897
11,pro,1.6223305,8.529109
4,pro,1.3323648,8.822676
5,pro,1.4574938,8.2190275
51,pro,1.7184799,7.524662
11,pro,1.2469347,8.020847
64,pro,0.755069,9.330176
51,pro,1.7979915,8.022956
32,pro,1.6538416,8.161914
11,pro,1.5689723,8.240474
60,pro,1.6716595,7.239322
12,pro,-0.41798323,9.032553
31,pro,1.1729306,7.743091
42,pro,0.4287573,10.100964
0,pro,-0.28790018,9.369387
6,pro,1.3294841,9.047594
1,pro,-1.171529,7.889913
4,pro,1.1514837,9.224066
9,pro,1.1708788,8.234576
42,pro,-0.047170237,9.802505
60,pro,1.6969206,7.56966
0,pro,-0.36143905,9.29703
5,pro,0.32930973,8.516939
5,pro,1.5305729,8.206207
61,pro,0.11293427,12.453353
22,pro,-0.1437703,8.828588
11,pro,1.5671048,8.4309635
6,pro,1.2518957,9.187866
4,pro,1.0453786,9.048317
65,pro,0.6470125,10.066578
4,pro,1.2043787,9.057762
4,pro,1.3652449,8.480172
3,pro,2.089729,7.679077
4,pro,1.2053246,8.424133
4,pro,1.9649153,7.6491337
24,pro,0.20071796,9.349848
60,pro,1.742145,7.3660836
11,pro,1.1675698,8.616812
12,pro,0.8967575,9.131869
60,pro,1.5728834,7.57836
9,pro,1.453472,9.627266
113,pro,0.03016721,8.022316
4,pro,1.3672482,8.701801
97,pro,1.273962,13.99709
12,pro,0.8891313,8.73521
41,pro,0.3054392,9.895327
7,pro,1.2443242,10.462253
36,pro,0.7936665,8.869965
40,pro,1.3249565,7.3005834
13,pro,-0.6638065,7.1376696
6,pro,1.1991421,9.226525
7,pro,1.5237634,11.105795
1,pro,0.21794328,9.325357
1,pro,0.19279903,9.112676
24,pro,0.12176195,8.958376
32,pro,0.77597654,8.237874
102,pro,1.6972101,12.857478
42,pro,-0.043146394,10.222825
41,pro,-0.7355062,7.412287
11,pro,1.2101444,8.297825
7,pro,1.3624439,10.783934
6,pro,1.4674311,10.754371
40,pro,1.2107611,7.8544908
7,pro,1.2200255,10.744428
60,pro,1.8162664,8.294257
16,pro,1.4407854,9.380725
9,pro,-0.50646996,7.474848
23,pro,0.21660359,9.091039
6,pro,1.1655684,9.018955
42,pro,1.0777249,9.18579
16,pro,1.44576,9.414418
14,pro,1.6928031,7.3861237
47,pro,1.8683805,6.871827
70,pro,0.8913558,8.425375
42,pro,-0.011155079,9.826597
8,pro,-0.29890046,9.314523
12,pro,1.85181,7.7058187
40,pro,1.7453578,7.255255
106,pro,0.5913444,12.773117
23,pro,-0.53929085,9.15947
8,pro,-0.34779352,9.228341
42,pro,0.29137895,9.48147
64,pro,0.6687825,9.418722
27,pro,-0.75111884,8.192004
102,pro,2.0326984,11.615196
81,pro,1.6533277,11.576993
15,pro,1.7971814,8.751357
42,pro,-0.11950004,10.047078
0,pro,0.50927114,9.144242
64,pro,0.08967213,9.98098
9,pro,1.0983089,8.170828
24,pro,-0.905381,7.0649266
45,pro,1.6501777,7.5286713
16,pro,1.0392652,9.237104
19,pro,1.0048643,8.866459
3,pro,-0.111397676,9.291789
42,pro,-0.21347262,9.474435
5,pro,1.4451275,8.268029
24,pro,-0.66240764,7.6209574
112,pro,0.094923906,12.708404
10,pro,1.2973447,8.200072
42,pro,-0.03426264,9.800455
18,pro,-1.1136265,7.422165
4,pro,1.4858699,8.807145
65,pro,1.3564669,10.7418
5,pro,1.3866445,8.534377
1,pro,0.16652408,9.273569
0,pro,-0.3124349,9.521382
12,pro,1.1428246,8.906087
42,pro,-0.04754571,9.949455
11,pro,1.3632685,8.201213
9,pro,-0.35689485,9.794967
12,pro,1.0803218,8.676187
42,pro,0.03643031,9.909304
11,pro,2.1499655,7.4002438
19,pro,0.12603319,9.37876
1,pro,0.54636544,8.632172
11,pro,1.3662338,8.700211
12,pro,1.0795027,8.63005
4,pro,1.2338846,8.930984
5,pro,1.5308679,7.9639893
13,pro,-0.81059104,7.4357595
22,pro,-0.41432348,8.554436
54,pro,2.1535912,8.0214615
54,pro,1.8590399,8.09764
19,pro,0.048837762,9.809309
33,pro,-0.43906382,7.385873
14,pro,0.14301899,8.288706
19,pro,0.3314496,9.472648
4,pro,1.4169155,7.669786
8,pro,-0.21818772,9.41722
19,pro,0.22386843,9.721564
0,pro,-0.16577375,9.444141
15,pro,2.1574194,7.833032
31,pro,2.0011806,7.6466146
6,pro,1.1497774,7.562239
12,pro,1.2376695,8.67333
19,pro,-0.18123402,9.32346
11,pro,0.3468653,8.030943
1,pro,-0.12501864,12.109886
6,pro,1.3663626,9.394228
6,pro,1.5979838,10.772973
3,pro,2.1334648,8.138052
5,pro,1.7929782,8.132908
16,pro,0.9365537,9.0061
4,pro,0.94337696,9.221204
31,pro,1.236239,8.4992075
39,pro,1.8301318,8.181765
65,pro,0.7468237,9.575826
10,pro,2.035695,7.896261
7,pro,0.76325774,9.222568
9,pro,2.0817008,8.072079
60,pro,1.0173814,6.897335
16,pro,1.5600681,9.655653
12,pro,0.9323455,8.429432
9,pro,1.799849,8.210302
39,reg,0.51338446,7.2413907
55,reg,-0.4317015,7.5008397
7,reg,0.87181294,10.019124
24,reg,-0.92621803,7.250074
36,reg,-0.7415262,7.2547994
1,reg,0.33710256,9.300501
18,reg,-1.0931115,7.433445
2,reg,0.06521067,9.072925
19,reg,-0.068087086,9.669052
42,reg,0.16302097,9.954878
19,reg,-0.13270065,9.243174
2,reg,0.4314206,9.04499
19,reg,0.12271382,9.014474
56,reg,0.96895564,6.3661284
36,reg,-0.09746649,7.72203
2,reg,0.11633583,9.052761
56,reg,1.0852697,6.700081
42,reg,-0.4179522,9.233381
2,reg,0.07116297,9.101504
20,reg,-0.5812585,8.968012
19,reg,0.6849273,7.9704905
43,reg,0.7897079,6.142674
17,reg,-0.25461444,7.096781
2,reg,0.44001052,9.106091
36,reg,-0.36372948,7.80059
6,reg,1.375698,8.810132
43,reg,0.78688157,6.1837416
59,reg,1.3310224,7.2328753
17,reg,0.15503371,6.770763
24,reg,-1.2068304,7.8766093
53,reg,-0.5876936,6.754525
17,reg,0.7724701,6.3735104
18,reg,-1.1385124,7.859179
66,reg,1.0564584,11.360475
60,reg,1.7914783,7.331862
15,reg,1.5213946,7.36303
60,reg,1.6734041,7.6180825
54,reg,2.192518,7.825018
18,reg,-1.1388376,7.5193315
2,reg,0.25940603,9.107781
18,reg,-1.2052808,7.4129505
18,reg,-1.3494793,7.6976266
18,reg,-1.2750177,7.6870522
2,reg,0.8657911,9.006813
55,reg,-0.7922457,7.166446
1,reg,0.46697623,9.324502
42,reg,-0.3700385,9.816825
17,reg,-0.56597793,8.525125
20,reg,-0.6554633,8.996568
18,reg,-1.294341,7.612121
22,reg,-0.49345204,8.455359
19,reg,-0.16684186,11.554133
18,reg,-0.8166211,7.5555806
35,reg,-1.0940878,7.618832
18,reg,-1.0081486,7.7503943
36,reg,0.52128375,8.0288105
19,reg,0.018250626,9.508228
31,reg,0.41267815,8.119041
21,reg,-0.58668375,8.285173
51,reg,1.619286,7.59919
51,reg,1.843007,7.807536
41,reg,1.034926,8.254364
18,reg,-1.3031901,7.5430555
33,reg,-0.6412089,7.742905
22,reg,0.42325842,7.983587
20,reg,-0.89881325,8.828164
19,reg,0.036790073,9.812958
24,reg,-0.6200605,7.2701073
57,reg,0.45152932,6.371499
20,reg,-0.53913516,8.909318
60,reg,1.3167256,8.093674
25,reg,1.0702776,6.576055
36,reg,-0.4187663,7.6575303
23,reg,-0.21613358,8.754414
52,reg,1.9242446,7.837615
50,reg,0.8134766,7.646633
36,reg,-0.9132663,7.3879194
24,reg,-0.9034194,7.4656434
50,reg,0.72961146,6.068003
9,reg,0.70584464,8.4316845
18,reg,-1.3353134,7.687743
52,reg,0.4031375,7.587917
34,reg,-0.82477564,8.714384
12,reg,0.09140248,8.842944
2,reg,0.97013736,8.174462
27,reg,-0.120827906,6.5776715
18,reg,-1.1725087,7.938232
15,reg,2.0067692,7.2653794
106,reg,1.0604628,8.124274
84,reg,0.4534286,11.726005
30,reg,1.4467926,6.936297
59,reg,0.85602474,7.341674
24,reg,-0.9522738,7.497888
8,reg,0.7237673,7.7760057
33,reg,0.02456564,9.002272
34,reg,-0.9026724,8.593664
22,reg,1.842341,7.588297
23,reg,1.2367599,7.4652953
21,reg,0.095747985,8.076698
24,reg,-0.13980606,8.765217
52,reg,-0.5374752,8.677522
55,reg,0.06419135,8.728659
21,reg,0.2522955,7.6652627
14,reg,1.0369302,7.9485283
59,reg,0.43700057,6.8112535
1,reg,-0.67937255,8.873864
34,reg,-0.7748114,8.719615
21,reg,1.0419405,7.8774905
33,reg,-0.12621865,7.435441
6,reg,0.8819663,6.541969
29,reg,-0.47284427,8.335218
9,reg,-0.022726465,7.7206264
45,reg,1.2585316,7.450079
21,reg,0.19294071,7.477633
61,reg,1.3509122,9.463151
46,reg,1.2326068,6.7877812
60,reg,1.3383697,8.188816
33,reg,0.49922955,7.545774
52,reg,-1.0607216,8.029063
2,reg,0.05630925,9.082078
34,reg,-1.0540979,8.588986
22,reg,-0.27936924,8.716388
22,reg,0.07831952,9.13837
27,reg,1.5757878,6.6781845
23,reg,0.5103202,7.8757067
34,reg,-0.8777753,8.547661
22,reg,-0.18123895,8.530166
9,reg,1.4049696,9.691341
9,reg,0.22453919,8.712261
35,reg,-0.80097157,7.089515
22,reg,1.1124393,7.7601323
31,reg,1.7882516,7.3581467
22,reg,1.1579379,7.6817703
24,reg,-0.23897606,9.0101795
23,reg,0.1699508,8.710517
32,reg,1.249472,7.5259876
57,reg,-0.15168878,7.639166
1,reg,0.432867,9.650309
32,reg,0.784451,7.2684174
32,reg,0.57124186,7.2037525
11,reg,1.0183722,6.947528
20,reg,-0.7201325,9.003343
19,reg,0.3330617,9.268869
35,reg,-0.94971555,7.139177
19,reg,-0.14107989,9.415577
5,reg,-0.42565924,7.9659023
20,reg,-0.78180194,8.9052305
35,reg,-0.6403849,7.0427275
36,reg,0.067382686,7.3230395
23,reg,-0.3236901,8.954457
52,reg,1.2004088,7.8268347
15,reg,1.8481551,7.8808923
35,reg,-1.0408027,7.798886
25,reg,1.2232615,6.1336017
20,reg,-1.0546201,8.4948845
51,reg,1.0653954,7.01628
48,reg,1.5280818,7.2941937
17,reg,0.9519832,6.3612103
9,reg,-0.64971554,8.0414
9,reg,1.3363404,8.138947
24,reg,-0.90950394,7.56398
30,reg,0.76784426,6.2044225
21,reg,0.3426837,7.5042615
12,reg,1.0711042,8.391631
1,reg,0.42374414,9.219205
23,reg,0.6698912,8.836056
32,reg,0.4202466,7.9568963
51,reg,1.7868379,7.546108
56,reg,0.9164866,6.9325767
22,reg,-0.26879662,8.589126
0,reg,-1.3514808,7.9322953
25,reg,1.2043658,6.0140185
52,reg,1.4320983,7.923624
53,reg,1.04904,6.0287266
42,reg,-0.4193337,9.502597
46,reg,0.39793053,7.1555023
40,reg,0.82996285,7.353771
52,reg,-0.29752272,9.226692
23,reg,1.4995924,8.372492
26,reg,0.9600978,6.3731756
26,reg,0.9775064,6.4259663
54,reg,1.855499,8.250498
30,reg,0.11083668,6.4011097
43,reg,0.73652947,6.6114926
61,reg,1.3856757,9.539153
18,reg,-1.3419812,7.7310076
24,reg,-1.2218488,7.6187415
40,reg,1.6544548,7.0234146
40,reg,0.8880017,7.310136
36,reg,-0.13839605,7.560372
40,reg,1.5378895,6.9097176
35,reg,-0.08296241,7.117736
27,reg,0.5130865,7.0483747
64,reg,-0.20643066,8.583447
28,reg,-1.0623076,8.697229
32,reg,1.0366392,7.7829046
19,reg,-0.04986883,9.384092
60,reg,1.7836802,7.2890115
3,reg,1.4731405,6.6046944
27,reg,-0.21830012,6.6885066
32,reg,0.3214347,8.338133
27,reg,-0.027973508,6.657497
35,reg,-0.50345844,7.1611166
