cluster,Source,x,y
0,pro,-4.49061,17.002384
11,pro,-4.9558024,16.966974
0,pro,-3.8514116,17.19267
0,pro,-4.6066484,17.120152
0,pro,-3.7891915,16.7692
2,pro,-4.0162582,16.403809
3,pro,-3.0694685,14.509652
10,pro,-3.9803643,16.347263
2,pro,-3.3489873,14.791993
1,pro,-3.4132166,13.573135
3,pro,-3.1251225,14.330232
2,pro,-3.9972177,15.714405
3,pro,-3.3269815,15.884582
2,pro,-3.4879959,15.41324
2,pro,-4.331447,17.25906
3,pro,-2.9818513,14.464749
1,pro,-3.4923387,13.740359
2,pro,-4.0358825,14.039437
10,pro,-3.4506218,17.072641
2,pro,-4.030557,16.793962
17,pro,-5.4403605,16.383778
11,pro,-5.464316,16.998226
2,pro,-4.0203424,16.519663
0,pro,-4.729995,17.293901
4,pro,-4.8746023,17.176462
4,pro,-4.749037,17.443563
0,pro,-4.2662883,17.239624
4,pro,-4.1485996,16.538744
2,pro,-5.086814,16.918531
1,pro,-3.500876,13.605454
4,pro,-4.3775444,15.036641
7,pro,-4.3934374,14.811837
4,pro,-3.3902752,16.358765
10,pro,-3.3493817,16.988235
11,pro,-5.5796933,16.754509
0,pro,-4.3377576,16.787493
4,pro,-4.7332325,15.612855
4,pro,-5.0093184,15.460628
5,pro,-5.8997707,16.46695
4,pro,-5.6412754,15.539159
11,pro,-5.3805366,17.16789
7,pro,-4.1555667,13.817561
12,pro,-3.5432878,14.588192
17,pro,-5.0855927,15.770763
7,pro,-4.127482,14.08598
11,pro,-5.264542,16.603224
7,pro,-3.7489047,13.441451
0,pro,-4.283259,16.135479
12,pro,-3.6415992,14.842474
2,pro,-5.411914,16.758444
2,pro,-4.7944546,15.9411545
6,pro,-2.876028,16.590874
16,pro,-5.5672545,14.583261
6,pro,-2.8901043,16.869928
0,pro,-4.515114,16.67293
11,pro,-5.1376095,17.128973
7,pro,-3.6076071,13.666532
2,pro,-4.7315874,16.382902
7,pro,-3.8497956,13.593545
7,pro,-4.0459075,13.385863
7,pro,-4.3228455,13.401968
7,pro,-3.9110885,13.303718
7,pro,-4.2690606,13.266977
2,pro,-4.0568624,15.7277355
6,pro,-3.1317537,16.272736
7,pro,-4.094458,13.13135
6,pro,-2.9448066,16.891855
12,pro,-3.8352866,14.372474
17,pro,-5.246355,16.438852
18,pro,-5.936804,16.320564
8,pro,-4.7537827,13.69857
6,pro,-4.4043565,16.199263
0,pro,-4.123082,17.16224
9,pro,-4.39219,14.568406
2,pro,-3.6724894,15.373428
16,pro,-5.1453876,14.503332
4,pro,-4.875074,15.605152
16,pro,-4.666563,14.143095
1,pro,-3.616875,13.314703
1,pro,-3.2174914,13.7630415
0,pro,-3.5926359,16.51505
6,pro,-2.8441575,16.733372
16,pro,-4.753717,14.712131
0,pro,-3.668569,16.206417
6,pro,-2.7177746,16.063927
10,pro,-3.5252826,16.770317
3,pro,-3.0432448,14.328466
7,pro,-4.907661,14.523042
1,pro,-3.3144567,13.594813
1,pro,-3.7338092,13.838794
17,pro,-6.0337834,14.684322
1,pro,-3.2161849,13.438123
20,pro,-3.229194,15.808366
8,pro,-4.696011,13.675716
13,pro,-5.2697954,13.982438
11,pro,-5.1478705,17.14085
8,pro,-4.9512486,13.759752
12,pro,-3.9968414,14.51251
16,pro,-4.598373,13.580407
2,pro,-3.7155876,16.423344
16,pro,-3.49802,14.394298
17,pro,-5.4599323,14.892627
12,pro,-3.7064402,14.554313
13,pro,-5.3139396,14.27436
17,pro,-5.735654,15.219197
17,pro,-5.836042,15.526556
17,pro,-6.0629606,15.317288
14,pro,-5.0869875,15.041419
13,pro,-5.345396,14.19181
4,pro,-5.202118,15.288649
10,pro,-4.13261,14.98133
14,pro,-5.2447457,15.068635
15,pro,-2.6890538,14.782223
10,pro,-3.8427498,16.536182
10,pro,-3.7454586,17.320808
2,pro,-5.1405697,16.54229
10,pro,-4.0745225,15.094675
0,pro,-3.6952581,17.182058
4,pro,-4.7184815,15.038965
17,pro,-5.8361645,14.940403
16,pro,-4.369427,14.063344
2,pro,-4.8959355,16.11021
0,pro,-3.9051373,16.114882
0,pro,-3.8924809,17.394598
15,pro,-2.908806,14.902187
16,pro,-5.0261574,14.074922
17,pro,-6.109664,15.375031
20,pro,-3.0923502,15.496409
3,pro,-2.8197408,14.582289
17,pro,-6.043441,14.665008
10,pro,-3.6002061,15.079179
15,pro,-2.6746325,14.498769
0,pro,-3.2412772,16.092
2,pro,-4.383914,16.282032
0,pro,-3.719746,17.418026
17,pro,-5.709501,14.752355
12,pro,-3.7376113,14.7170105
17,pro,-6.0726547,15.3366995
17,pro,-5.6173563,15.572852
17,pro,-5.926809,15.239802
12,pro,-3.9404745,14.780937
2,pro,-5.4023585,16.043776
0,pro,-5.625935,16.714062
0,pro,-4.147276,16.013191
6,pro,-2.950076,16.92207
17,pro,-5.893255,15.098719
2,pro,-4.472512,15.754498
8,pro,-4.5258465,15.69604
4,pro,-3.215241,16.995234
17,pro,-5.644538,14.798137
17,pro,-5.9033604,14.571256
3,pro,-4.176084,16.602486
4,pro,-4.410451,15.362825
18,pro,-5.964124,16.33643
2,pro,-3.2928214,14.898335
4,pro,-3.094104,16.96981
4,pro,-4.640182,16.839216
15,pro,-2.7359285,14.829976
2,pro,-3.8323815,15.843231
2,pro,-5.2023163,16.258894
10,pro,-3.4437287,16.89269
17,pro,-5.5944834,14.485357
3,pro,-2.9204936,14.098271
3,pro,-2.9646316,14.400433
0,pro,-4.187083,16.031973
16,pro,-6.03527,14.283091
16,pro,-4.2284317,14.033903
17,pro,-6.2786946,14.694567
17,pro,-6.2550287,14.708667
19,pro,-4.334062,16.866312
16,pro,-3.97963,13.82152
8,pro,-4.7547617,13.777011
17,pro,-6.183237,15.107742
12,pro,-3.3387363,14.243963
20,pro,-3.1509998,15.729584
16,pro,-4.124578,13.643978
17,pro,-6.1150084,14.493108
18,pro,-5.977246,16.299206
12,pro,-4.1202383,14.412977
4,pro,-5.5936856,15.474331
17,pro,-6.1929307,15.0246935
27,reg,7.8973503,3.641119
0,reg,8.267746,5.769252
1,reg,9.704815,4.477963
20,reg,7.928178,5.275119
20,reg,8.7739315,4.0202885
15,reg,11.064497,5.625529
44,reg,9.923233,6.1292825
2,reg,8.860695,6.021259
47,reg,8.417876,5.824649
15,reg,11.723621,6.022033
20,reg,8.489429,5.7274714
32,reg,9.59673,5.932453
38,reg,10.080084,5.849821
27,reg,7.720399,4.164149
7,reg,8.544,5.016529
2,reg,8.833867,6.061066
7,reg,9.636137,5.7585998
15,reg,11.769742,5.895888
15,reg,11.416518,5.617607
3,reg,8.205222,5.611263
28,reg,8.4364805,4.253396
6,reg,7.3788743,4.6030936
15,reg,11.490633,5.680682
31,reg,11.224309,4.433445
4,reg,7.953436,5.7114105
34,reg,11.2196665,4.165318
14,reg,8.446923,2.6733239
37,reg,7.921813,5.929822
20,reg,7.8549004,5.59765
7,reg,8.652814,5.934698
20,reg,7.754362,5.3862557
20,reg,7.9006953,4.9794455
6,reg,7.4217467,4.7200193
37,reg,9.576233,5.806171
45,reg,11.28348,4.746377
45,reg,10.785991,5.187233
16,reg,10.748018,5.2862015
22,reg,9.384436,5.5536146
7,reg,7.960271,5.0925913
15,reg,11.096954,5.6137156
5,reg,7.5625834,4.5449853
5,reg,7.579301,4.5651693
16,reg,10.322796,5.933623
16,reg,10.194336,5.894193
7,reg,7.885316,4.496293
15,reg,11.883983,6.0248356
15,reg,11.855674,5.6910152
7,reg,8.824535,6.0769286
7,reg,7.7251935,4.9580193
20,reg,8.906542,4.2657533
15,reg,11.2618475,6.2023463
6,reg,7.3800454,4.7085524
7,reg,8.106002,5.1163964
6,reg,7.347795,4.6903033
18,reg,10.091828,5.9882035
7,reg,8.598596,5.591061
17,reg,10.8537,4.75822
45,reg,10.583391,3.7389076
39,reg,10.613997,3.3936102
37,reg,10.48755,5.941333
1,reg,9.433238,4.278811
5,reg,7.536138,4.642773
8,reg,8.088482,5.497679
44,reg,9.624939,5.4398913
37,reg,8.5887,6.080474
44,reg,11.051168,5.8057914
20,reg,8.37921,5.774177
21,reg,10.367536,5.071005
9,reg,11.672687,5.3981977
51,reg,8.9514,5.7506413
23,reg,8.571366,2.4703863
13,reg,9.700451,5.042257
9,reg,11.5362,5.449438
22,reg,11.294242,6.27539
51,reg,11.125856,4.123594
5,reg,7.851067,4.2939506
10,reg,8.586982,4.411442
14,reg,8.448553,2.3540807
44,reg,10.954478,6.264142
44,reg,10.75296,5.8161397
17,reg,11.131734,3.406337
11,reg,11.400874,2.821046
17,reg,11.323089,4.677857
9,reg,11.2579365,5.44031
18,reg,9.677359,4.192041
16,reg,10.448074,6.031476
46,reg,10.011806,6.6739445
22,reg,11.375097,6.452679
22,reg,11.594978,6.2887526
32,reg,9.1814575,4.608631
45,reg,10.734419,5.1993036
10,reg,8.493213,4.6251836
10,reg,8.582368,4.5466485
13,reg,10.0549,5.3660846
25,reg,11.3262205,2.5648658
11,reg,11.169419,3.1892393
9,reg,11.573059,3.650967
9,reg,10.987675,5.2581415
7,reg,8.336405,5.4647465
47,reg,8.190932,5.8218966
10,reg,8.348428,4.815854
44,reg,10.47865,5.35209
35,reg,11.461442,5.1535873
22,reg,10.751159,6.743141
11,reg,11.398869,3.153097
11,reg,11.263055,2.892716
1,reg,10.060617,3.886988
21,reg,8.822603,4.177313
13,reg,9.47947,4.96564
11,reg,11.5261,3.2893198
21,reg,10.225885,5.46727
17,reg,10.876817,4.238681
17,reg,10.71286,3.674839
40,reg,10.7850895,5.5517473
30,reg,9.993514,4.2268376
26,reg,11.592301,5.662166
21,reg,9.024996,4.542828
38,reg,10.877038,5.5516505
7,reg,9.942012,6.1828423
37,reg,11.191531,3.1953228
9,reg,11.603443,5.35472
9,reg,11.266338,5.8604608
17,reg,11.071588,2.8337815
31,reg,10.674686,4.5833755
26,reg,10.994731,2.6614473
45,reg,11.481098,5.157529
18,reg,10.319338,4.9625983
38,reg,9.687169,5.5545993
21,reg,9.222724,3.793041
25,reg,11.159835,2.6160643
21,reg,11.123405,3.538421
45,reg,10.792796,5.229222
44,reg,8.640904,5.7604275
9,reg,11.176324,5.2604766
45,reg,10.368722,5.0921454
12,reg,9.071655,4.6717744
10,reg,8.720883,5.0150514
53,reg,8.799325,2.393022
45,reg,9.2151,4.2348
17,reg,10.708136,3.419859
15,reg,11.653163,5.840264
10,reg,11.248898,5.784455
28,reg,7.9314275,5.0998216
7,reg,8.555798,5.42509
10,reg,11.503129,6.3320775
15,reg,11.116022,6.044543
5,reg,7.5541677,4.555683
44,reg,9.972942,5.2648063
9,reg,11.929401,5.4632936
45,reg,11.013489,5.1862764
38,reg,9.88844,5.3265233
20,reg,8.10035,5.355809
34,reg,8.353494,3.1719062
44,reg,8.50864,5.8835106
29,reg,10.753918,2.0324922
11,reg,11.5206785,3.2458053
51,reg,10.039663,6.4367113
16,reg,10.476781,6.047397
39,reg,11.40021,4.6350226
10,reg,8.488422,5.0328574
41,reg,8.025895,2.7207806
17,reg,10.815854,5.6355424
51,reg,11.95463,4.682436
13,reg,9.507725,5.2459073
51,reg,11.9952965,5.242904
22,reg,10.909135,6.3646016
28,reg,8.930021,4.1312265
29,reg,10.821129,1.930791
9,reg,11.508867,5.279033
45,reg,11.1234455,4.977177
39,reg,8.494326,3.3935661
26,reg,11.470697,3.329433
14,reg,8.207638,2.785902
11,reg,11.868534,5.3993516
14,reg,8.483586,1.8762038
14,reg,8.251654,2.709082
15,reg,11.686044,5.9012623
31,reg,10.553493,4.2267165
14,reg,8.471062,2.3078961
14,reg,8.347158,1.9384392
17,reg,9.912997,2.6607552
14,reg,8.279093,1.9658812
14,reg,9.48672,4.161075
16,reg,10.424488,6.080662
16,reg,10.217665,6.0301733
15,reg,11.816609,5.880016
14,reg,8.049338,3.2555494
17,reg,10.91821,3.5231457
17,reg,10.785244,2.7036452
39,reg,10.548637,3.312957
25,reg,10.576712,2.8231258
22,reg,10.819638,6.7893987
39,reg,11.152959,3.0922036
44,reg,9.458858,5.267995
1,reg,9.48702,4.42648
31,reg,10.915885,4.34518
39,reg,11.056122,3.2202265
25,reg,11.122729,2.5791175
13,reg,9.354294,5.3244214
25,reg,11.247019,2.5162554
25,reg,11.234761,2.4244943
18,reg,10.121754,4.839323
19,reg,9.43185,5.8427405
15,reg,11.638426,5.573672
35,reg,11.358786,3.4299607
13,reg,9.340638,5.1979747
25,reg,11.328357,2.562322
26,reg,11.330309,2.5045269
30,reg,9.918054,5.006313
25,reg,11.062291,2.3327873
21,reg,11.091735,2.3389518
25,reg,11.1685705,2.390645
44,reg,9.247693,6.219015
15,reg,11.746188,5.926391
6,reg,7.417778,4.7277756
24,reg,8.716715,1.7467057
31,reg,9.611491,4.2788224
41,reg,9.067799,4.416134
21,reg,9.142666,3.9259644
53,reg,9.7366495,3.5020015
54,reg,8.7074375,1.7313242
25,reg,9.22427,4.2735715
6,reg,7.393449,4.6676836
13,reg,9.75799,5.1847343
20,reg,7.9876475,5.373209
43,reg,9.11566,3.2522535
21,reg,9.20683,3.7772622
53,reg,10.302837,2.467963
31,reg,10.331577,3.753933
32,reg,9.468963,5.5120034
36,reg,11.9351,5.930637
5,reg,7.9804854,4.196104
31,reg,9.790157,3.783945
23,reg,8.846405,1.7557319
21,reg,9.471929,3.8598542
21,reg,9.224393,4.856889
13,reg,9.374656,5.153662
26,reg,11.119612,3.1535296
51,reg,11.243879,4.2352076
25,reg,11.357267,2.489846
13,reg,9.428373,4.968624
25,reg,11.365728,2.450174
25,reg,11.161597,2.4556334
25,reg,11.166617,2.399517
44,reg,9.91304,5.1811395
18,reg,9.974873,4.2295413
21,reg,11.324658,2.4887106
45,reg,11.205469,4.7530084
38,reg,9.759631,5.6355715
45,reg,10.497597,5.136186
21,reg,9.581492,3.591745
15,reg,11.77707,6.0388556
31,reg,10.09467,4.177945
39,reg,8.595886,4.0314455
24,reg,9.242925,2.0990357
53,reg,9.044603,1.9042751
22,reg,11.089302,6.4396152
44,reg,10.285202,5.5038853
24,reg,8.854608,1.8101786
31,reg,10.458663,4.578377
23,reg,8.689982,2.348189
24,reg,9.091447,2.0124338
47,reg,8.201275,5.9254327
20,reg,8.966042,3.7053647
21,reg,9.042282,3.5604367
43,reg,9.179407,3.219098
45,reg,10.420583,3.767884
24,reg,8.8594475,1.8174317
18,reg,10.107904,4.8029885
26,reg,10.741896,2.5121624
7,reg,8.490662,5.7503357
28,reg,7.998156,5.541894
22,reg,11.601034,6.332835
22,reg,11.159013,6.585279
22,reg,11.573102,6.385604
28,reg,9.500708,3.243331
39,reg,9.655758,3.4008868
39,reg,9.944435,3.9752414
32,reg,10.745932,6.79947
53,reg,10.76663,2.5979326
23,reg,8.268223,3.1092758
34,reg,10.628375,2.6610706
34,reg,10.481673,3.0586522
25,reg,11.248254,2.4784276
26,reg,10.774665,2.3976488
26,reg,10.766879,2.6000164
25,reg,11.414773,2.591582
26,reg,10.865185,3.5499237
20,reg,7.7302356,5.4467187
53,reg,8.974433,2.071068
34,reg,10.537269,3.9838493
46,reg,10.051519,4.9107137
3,reg,8.176527,5.613516
47,reg,8.072846,5.820967
21,reg,9.747713,3.2762814
27,reg,8.087627,4.282123
33,reg,9.874826,7.006919
16,reg,10.156693,6.081575
31,reg,10.641039,4.1023593
11,reg,11.288129,2.9513962
21,reg,9.437799,3.784438
26,reg,10.955779,2.7050252
15,reg,11.64706,5.671667
24,reg,8.782606,1.6992346
34,reg,10.337383,3.1549733
26,reg,10.784595,2.5804925
45,reg,8.044217,6.005107
5,reg,7.5286307,4.651794
45,reg,10.075124,3.3561194
26,reg,10.6992,2.5063818
32,reg,9.536259,5.689587
28,reg,9.689721,3.8952878
30,reg,10.125144,4.475686
14,reg,8.126002,4.3315697
39,reg,10.644691,5.805298
27,reg,7.8593507,4.2838354
13,reg,9.707106,5.093136
45,reg,10.421765,3.8887393
13,reg,9.974851,4.960867
18,reg,11.341703,5.080161
6,reg,7.463383,4.420649
20,reg,7.8789415,5.2892847
27,reg,8.097204,3.9811056
39,reg,10.304064,3.3147564
21,reg,9.67056,4.71928
39,reg,10.001338,3.3798835
18,reg,9.920605,6.127891
7,reg,8.308119,4.953919
45,reg,8.899817,2.8764887
15,reg,11.831531,5.9021173
21,reg,9.3532,3.785022
32,reg,9.224473,4.9455323
18,reg,11.704968,6.142414
9,reg,11.704547,5.445601
24,reg,9.428224,2.2355883
5,reg,7.776782,4.199759
23,reg,8.953558,1.7604339
29,reg,10.824392,1.9193106
23,reg,8.832366,2.1251757
22,reg,11.884202,4.963238
27,reg,7.822643,3.7841992
51,reg,11.610396,4.6440377
22,reg,11.382567,6.487842
1,reg,9.7477455,4.7625055
1,reg,11.754041,4.9014735
44,reg,10.45613,5.506587
26,reg,10.882599,3.0571814
32,reg,9.67445,5.4488072
41,reg,9.531539,4.4311433
7,reg,8.554137,5.73115
18,reg,9.655007,4.2944255
44,reg,10.714138,5.751708
28,reg,9.119717,4.2698355
44,reg,8.672309,5.0579543
36,reg,10.729608,3.2801023
29,reg,10.842027,1.9199779
27,reg,9.41891,4.7648907
1,reg,12.040899,6.087242
1,reg,9.319049,4.0995007
44,reg,11.384031,5.6256266
44,reg,10.804691,5.836403
14,reg,9.941096,4.6303635
29,reg,10.779724,1.9914464
29,reg,10.971987,2.0113049
39,reg,10.138245,3.5734134
30,reg,10.093988,4.4758253
21,reg,9.141358,3.5712352
21,reg,9.737835,4.514201
24,reg,8.73535,1.6640911
45,reg,10.16078,3.5991712
39,reg,10.235259,3.1732516
16,reg,10.392927,6.1211267
33,reg,9.9348345,7.0823836
31,reg,10.55824,4.255933
34,reg,11.844967,5.16842
34,reg,10.374972,3.2240748
45,reg,11.031342,4.495137
44,reg,11.633643,4.983546
15,reg,11.672552,6.0170813
32,reg,9.564398,5.51645
51,reg,11.884612,4.9311366
28,reg,11.572218,5.0249324
28,reg,11.751444,5.025635
33,reg,9.909669,7.082912
34,reg,10.470553,3.1331952
10,reg,8.288661,4.6755047
32,reg,9.665621,5.582823
51,reg,8.334197,5.7672033
17,reg,11.628728,5.3253875
28,reg,8.412274,4.085294
11,reg,11.592578,3.3474262
46,reg,10.308808,6.79522
51,reg,11.86632,4.819818
33,reg,9.948652,6.958522
54,reg,8.556987,2.1931295
15,reg,11.783571,5.499176
33,reg,9.914676,7.0786133
15,reg,10.731282,5.853049
22,reg,11.902055,5.628388
46,reg,10.084598,7.0394597
43,reg,9.9965105,7.0087395
50,reg,8.218754,2.4829485
38,reg,9.947027,5.56587
41,reg,8.002568,2.8288438
44,reg,9.654764,5.883257
37,reg,9.3609295,6.3203197
26,reg,10.769657,2.4429443
23,reg,8.468467,3.9010348
6,reg,7.3475876,4.722616
23,reg,7.720678,5.4194627
52,reg,8.818753,4.8973546
41,reg,7.9757104,2.7937696
26,reg,9.938719,4.1360664
14,reg,7.937327,3.1372528
27,reg,7.8819594,3.6609495
41,reg,7.964141,2.7803628
35,reg,11.136305,5.334988
15,reg,12.038966,5.4602427
43,reg,9.960457,2.522252
39,reg,10.327221,3.7987916
24,reg,8.582893,2.0084753
53,reg,8.701518,2.028259
27,reg,8.105034,3.4825444
20,reg,8.167538,4.603048
7,reg,8.387623,5.2169876
39,reg,9.5880995,2.7017026
25,reg,7.9494076,3.842508
53,reg,8.709585,2.9094217
24,reg,8.478801,1.9542606
14,reg,7.8722043,3.8238933
50,reg,8.042452,2.6321912
44,reg,9.749083,5.7171435
34,reg,8.624495,3.4216285
44,reg,9.484918,5.8816237
36,reg,12.03565,6.026729
36,reg,12.018774,6.0501018
36,reg,12.072094,6.090098
23,reg,8.599197,1.7787846
39,reg,8.6167345,3.4169452
53,reg,8.888831,1.8801291
18,reg,11.889392,6.084219
13,reg,9.479785,5.2055464
39,reg,10.836323,2.9040952
11,reg,11.107335,3.097162
37,reg,8.551973,6.177527
43,reg,9.552615,2.402584
9,reg,10.893534,5.350112
51,reg,11.87843,4.557169
34,reg,10.171035,3.434798
31,reg,10.556544,4.073948
53,reg,9.579254,2.874015
27,reg,8.273295,4.6458755
21,reg,10.153788,4.5059614
37,reg,8.705497,6.187465
32,reg,9.76645,5.6155467
22,reg,10.567652,5.8554807
45,reg,10.309485,3.7778943
31,reg,10.24799,4.6944466
39,reg,11.195495,3.4364653
31,reg,10.084139,4.4411383
38,reg,10.0297165,5.67904
28,reg,9.274372,3.3819704
46,reg,9.981282,7.1237116
28,reg,8.106325,5.5348706
38,reg,10.07971,5.709361
34,reg,10.37027,3.1506598
25,reg,9.63448,3.2349758
45,reg,10.343841,5.226827
20,reg,8.293529,4.6751065
53,reg,9.054084,2.2361639
38,reg,10.487466,5.452274
7,reg,7.731817,4.332903
38,reg,10.440131,5.476898
20,reg,8.228989,5.3936563
39,reg,10.179054,3.5460272
26,reg,9.755361,4.0607686
45,reg,9.770966,3.5389335
20,reg,8.015147,5.6204453
24,reg,8.566757,1.7384712
20,reg,8.186138,5.217928
7,reg,8.205364,4.574337
51,reg,9.757154,5.808428
28,reg,9.360036,5.922632
45,reg,10.411786,5.645671
44,reg,9.801739,5.8515472
39,reg,9.832519,3.2196937
38,reg,10.464952,5.3973594
40,reg,10.779525,4.9475493
45,reg,10.161144,5.230784
38,reg,10.559657,5.5253296
34,reg,10.198965,3.4892428
41,reg,9.8385315,4.924291
35,reg,10.614614,5.620741
28,reg,10.063778,3.594772
6,reg,7.4884434,4.798002
40,reg,10.725746,5.0291705
52,reg,7.9068723,4.148595
41,reg,8.0554695,2.7968893
14,reg,8.226552,2.5059464
42,reg,10.988123,5.379832
39,reg,9.284636,2.4679492
21,reg,9.521412,3.5539815
33,reg,9.900339,7.0815377
52,reg,7.8626275,4.2636623
39,reg,10.672338,3.0965054
15,reg,11.089846,5.171772
43,reg,9.631084,2.3062444
50,reg,8.706173,2.1014085
7,reg,8.203853,5.0358624
34,reg,11.385007,3.4191108
46,reg,10.811279,6.2599974
11,reg,11.451,3.3297813
28,reg,9.564199,3.6130326
35,reg,10.394458,5.801551
7,reg,8.113795,5.020766
51,reg,11.669008,4.565027
20,reg,7.971078,5.407019
10,reg,8.278555,4.535768
52,reg,8.078285,4.2258587
44,reg,10.098055,5.5818563
28,reg,9.0018,5.7580705
39,reg,9.221627,3.2030919
21,reg,9.267978,4.2500706
24,reg,8.583303,1.7614665
34,reg,10.968812,2.8718414
17,reg,10.878495,2.7180235
51,reg,11.721161,4.623529
51,reg,10.099732,2.8539765
28,reg,8.916321,5.5240707
44,reg,10.675298,4.386794
22,reg,10.869412,6.7701364
50,reg,8.124851,2.729234
46,reg,10.329339,6.847984
38,reg,8.994053,5.858087
11,reg,11.280807,2.9036922
24,reg,8.638063,1.8513091
53,reg,9.07434,1.9299778
18,reg,10.3370905,4.8793983
45,reg,10.351771,3.867221
44,reg,10.237269,4.9643044
31,reg,10.494973,3.8529842
10,reg,8.734378,4.447381
46,reg,10.250434,6.919196
18,reg,10.347089,4.5170684
46,reg,10.134469,7.0339847
18,reg,10.260892,4.522198
14,reg,7.800798,3.387756
28,reg,7.9350505,5.5634465
47,reg,8.112436,5.8676
43,reg,9.982812,7.150319
21,reg,8.791409,4.77058
7,reg,8.424767,4.7775683
39,reg,9.493665,3.1927075
53,reg,9.118275,1.8812062
18,reg,9.890686,4.7594886
31,reg,10.748389,4.2702127
28,reg,9.051066,4.8078732
53,reg,8.632311,2.8016472
39,reg,9.78729,4.6792765
51,reg,9.426238,3.5432992
47,reg,8.083257,5.8146863
26,reg,10.142024,2.6783311
51,reg,9.830117,2.6884625
32,reg,8.785272,5.1776233
50,reg,8.1043415,2.8665478
36,reg,12.06308,6.0539846
18,reg,10.315545,4.5936627
46,reg,10.057927,7.0915246
14,reg,8.63319,3.0548067
43,reg,10.018389,6.405303
48,reg,8.394885,4.3493576
7,reg,7.8860207,4.806057
22,reg,11.57003,6.4183474
43,reg,9.61061,2.326484
13,reg,8.718206,4.77547
13,reg,9.4599495,5.302794
22,reg,10.10839,6.3327746
45,reg,8.391899,4.8820963
55,reg,10.977203,6.728154
22,reg,11.092144,6.6808434
49,reg,7.944342,2.7657292
50,reg,8.213582,2.545577
8,reg,8.131636,5.900225
21,reg,8.765475,4.686616
20,reg,9.203276,3.5826464
50,reg,8.103435,2.57114
43,reg,9.806592,2.4833899
22,reg,11.124211,6.1946177
41,reg,8.384362,2.308263
43,reg,10.317471,2.231197
30,reg,10.242746,4.3514905
29,reg,10.613744,2.1055694
20,reg,7.731328,5.574642
20,reg,7.842599,5.5415173
53,reg,8.476371,2.136219
51,reg,8.724413,4.0084453
51,reg,11.697952,4.5059924
7,reg,8.446781,4.1618977
51,reg,11.509345,4.427794
51,reg,11.706663,4.462027
28,reg,8.684204,4.2996955
32,reg,9.028684,5.406604
24,reg,8.780817,1.7517556
27,reg,7.9056787,3.9575562
24,reg,8.562951,1.7892059
27,reg,7.445826,4.225084
14,reg,8.424554,1.9252576
52,reg,7.9316993,4.158628
18,reg,9.52941,4.733275
