cluster,Source,x,y
1,pro,1.993625,5.3198705
1,pro,1.9880972,4.66151
1,pro,2.447305,4.522753
1,pro,1.7294238,5.492208
1,pro,2.4955578,4.6522107
1,pro,2.567503,4.8169026
1,pro,3.1585047,5.105919
1,pro,2.448229,4.8793206
1,pro,3.0997398,4.8095756
1,pro,3.3563209,4.6295652
1,pro,3.1836433,5.0372343
1,pro,2.5700774,4.712575
1,pro,2.7683272,4.902401
1,pro,2.8544445,4.5998845
1,pro,2.3790061,4.830949
1,pro,3.0625942,5.215474
1,pro,3.233632,4.6655602
1,pro,3.1716137,4.6711936
1,pro,2.3619535,4.2740083
1,pro,2.5047693,4.767806
1,pro,1.533811,4.846772
1,pro,1.7607336,4.7000113
1,pro,2.097881,6.7478313
1,pro,2.1852655,4.578804
1,pro,2.0413039,4.5751457
1,pro,2.1107535,4.4582458
1,pro,2.270167,4.6506534
1,pro,2.4400322,4.775179
1,pro,2.0618207,4.721856
1,pro,3.3796735,4.7723513
1,pro,2.8411596,4.612957
1,pro,3.0509515,4.536381
1,pro,1.9792151,4.3851223
1,pro,2.2100549,4.175643
1,pro,1.6697344,4.7183228
0,pro,10.131388,8.566101
1,pro,2.45762,4.571226
1,pro,2.2262404,4.298345
1,pro,1.5261137,5.1643915
1,pro,1.5140834,4.3835917
1,pro,1.844364,4.789938
1,pro,3.2158258,4.5899944
1,pro,3.0533986,5.163976
1,pro,2.010671,5.0891566
1,pro,3.0426111,4.4517303
1,pro,1.8656842,5.4376597
1,pro,3.224331,4.5611544
1,pro,2.4863682,4.5692034
1,pro,3.005955,4.877516
1,pro,1.6526351,4.8474736
1,pro,1.7706801,7.225615
1,pro,2.629977,4.376323
1,pro,1.4106574,4.4047103
1,pro,2.6091628,4.283509
1,pro,2.1421363,5.55216
1,pro,1.9030992,4.8571277
1,pro,3.3141208,4.671864
1,pro,2.38925,4.7648497
1,pro,3.1646922,4.6162887
1,pro,3.1968136,4.52021
1,pro,3.2281322,4.562665
1,pro,3.241652,4.518228
1,pro,3.2414865,4.5116625
1,pro,2.300075,4.7522993
1,pro,2.63028,4.496378
1,pro,3.0912113,4.3878717
1,pro,2.5197403,4.2389593
1,pro,2.856873,5.3117714
1,pro,1.9061623,5.0025153
1,pro,1.5642035,5.5172143
1,pro,3.2794347,4.64543
1,pro,2.2529898,5.109488
1,pro,2.5168872,4.6976066
1,pro,0.79023176,6.0358067
1,pro,2.7923307,4.7866263
1,pro,0.09238211,6.9394627
1,pro,2.129897,4.1745815
1,pro,3.2870893,4.9704733
1,pro,3.321081,4.549576
1,pro,3.3619776,4.8619785
1,pro,2.5098598,4.6632705
1,pro,2.6564581,4.2829647
1,pro,1.5365827,6.576411
1,pro,2.586343,4.6310344
1,pro,2.9907439,4.485988
1,pro,2.3471024,4.272492
1,pro,3.195307,5.130808
1,pro,2.0293043,4.9707355
1,pro,3.370045,4.7734365
1,pro,3.3026247,4.541168
1,pro,0.8266164,4.3586597
1,pro,3.392274,4.7591405
1,pro,2.558347,4.429866
1,pro,0.94924295,7.022231
1,pro,0.598803,7.724273
1,pro,1.8038145,4.726049
1,pro,0.4375415,7.4730635
1,pro,3.1155326,5.1162505
1,pro,3.2570426,4.8678093
1,pro,1.0268462,5.2830424
1,pro,3.4857976,5.184979
1,pro,1.1971054,4.5710096
1,pro,3.0759401,5.131306
1,pro,0.41701612,7.2480583
1,pro,1.3160757,4.58317
1,pro,1.3321216,4.378248
1,pro,1.2811824,4.414461
1,pro,-0.42810664,5.4184985
1,pro,0.44750822,7.2812824
1,pro,1.9650297,4.2507124
1,pro,2.897562,4.3187923
1,pro,-0.5110689,5.565993
1,pro,3.7138672,5.380222
1,pro,2.2153854,4.2308664
1,pro,2.4690752,4.49443
1,pro,1.8623191,4.971355
1,pro,2.8473678,4.340942
1,pro,2.4090614,4.5560436
1,pro,2.3950098,4.6175957
1,pro,1.2285216,4.5278273
1,pro,3.3111925,4.863274
1,pro,2.043205,4.995425
1,pro,2.552536,4.668496
1,pro,2.3739047,4.745018
1,pro,3.5521526,5.3113294
1,pro,1.4522722,6.8547726
1,pro,1.2679188,4.4164934
1,pro,2.7510982,4.532352
1,pro,2.940293,4.9214506
1,pro,0.9722351,4.315243
1,pro,2.956095,4.5181775
1,pro,3.5340834,5.23638
1,pro,2.6309497,4.545023
1,pro,2.5350354,4.697751
1,pro,2.4621005,4.528413
1,pro,1.2581731,4.3889074
1,pro,2.9793143,5.175642
1,pro,1.2421162,4.396256
1,pro,1.542622,4.2941127
1,pro,1.407898,4.364505
1,pro,3.0308301,5.1327615
1,pro,1.9553812,4.752138
1,pro,1.6574864,4.775992
1,pro,2.4992964,4.683392
1,pro,2.5227497,4.234648
1,pro,1.2388828,4.397327
1,pro,2.3719375,5.187056
1,pro,2.2845538,5.287722
1,pro,2.2925415,4.2491703
1,pro,1.1213659,4.5066204
1,pro,0.6946013,4.4489427
