Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,20,"wind turbines, 0.0187, 18, 65 ; artificial island, 0.0133, 9, 19 ; offshore wind turbines, 0.0131, 13, 32 ; energy island, 0.0123, 19, 146 ; offshore wind, 0.0112, 18, 96",0.7367,1.0,wind turbines ; artificial island ; offshore wind turbines ; energy island ; offshore wind
pro,1,8,"million tonnes, 0.0323, 6, 19 ; kattegat connection, 0.0286, 1, 10 ; tonnes co2e, 0.0265, 2, 9 ; million tonnes co2e, 0.0265, 1, 6 ; road directorate, 0.0257, 1, 9",0.3583,1.0,million tonnes ; kattegat connection ; tonnes co2e ; million tonnes co2e ; road directorate
pro,2,23,"offshore wind, 0.0205, 20, 185 ; wave power, 0.0143, 1, 15 ; christian bueger, 0.0137, 1, 7 ; ørsted atp, 0.0121, 1, 6 ; european commission, 0.0067, 5, 11",0.3304,1.0,offshore wind ; wave power ; christian bueger ; ørsted atp ; european commission
pro,3,9,"early 2030s, 0.0235, 1, 3 ; hydrogen produced, 0.0220, 4, 6 ; 000 tonnes, 0.0208, 5, 11 ; fuels denmark, 0.0171, 3, 10 ; green fuels, 0.0167, 4, 16",0.3407,1.0,early 2030s ; hydrogen produced ; 000 tonnes ; fuels denmark ; green fuels
pro,4,16,"shipping industry, 0.0164, 1, 7 ; energy island, 0.0136, 16, 156 ; hanne storm, 0.0122, 5, 23 ; hanne storm edlefsen, 0.0117, 4, 19 ; storm edlefsen, 0.0117, 4, 19",0.4,1.0,shipping industry ; energy island ; hanne storm ; hanne storm edlefsen ; storm edlefsen
pro,5,1,"marine mammals, 0.2250, 1, 6 ; per cent, 0.0777, 1, 3 ; rønne banke, 0.0684, 1, 2 ; must used, 0.0636, 1, 2 ; baltic sea, 0.0546, 1, 3",1.0,1.0,marine mammals ; per cent ; rønne banke ; must used ; baltic sea
pro,6,8,"jacob østergaard, 0.0316, 4, 22 ; electricity grid, 0.0312, 7, 39 ; sensors wings, 0.0257, 1, 6 ; says jacob, 0.0224, 4, 14 ; says jacob østergaard, 0.0224, 4, 14",0.525,1.0,jacob østergaard ; electricity grid ; sensors wings ; says jacob ; says jacob østergaard
pro,7,12,"green power, 0.0180, 11, 49 ; 70 percent, 0.0125, 8, 21 ; dansk energi, 0.0110, 8, 19 ; electricity consumption, 0.0109, 8, 28 ; climate council, 0.0106, 6, 21",0.7389,1.0,green power ; 70 percent ; dansk energi ; electricity consumption ; climate council
pro,8,5,"global wind, 0.0374, 1, 6 ; green sector, 0.0334, 1, 7 ; green transition, 0.0231, 4, 16 ; henrik garver, 0.0230, 2, 8 ; climate crisis, 0.0229, 1, 2",0.3467,1.0,global wind ; green sector ; green transition ; henrik garver ; climate crisis
pro,9,1,"la cour, 0.4435, 1, 21 ; experimental mill, 0.1552, 1, 7 ; wind power, 0.0789, 1, 8 ; energy storage, 0.0526, 1, 3 ; hydrogen energy, 0.0510, 1, 3",1.0,1.0,la cour ; experimental mill ; wind power ; energy storage ; hydrogen energy
pro,10,10,"high voltage, 0.0228, 4, 10 ; 400 kv, 0.0202, 3, 8 ; end muffler, 0.0195, 1, 13 ; electricity grid, 0.0192, 6, 20 ; electricity prices, 0.0152, 2, 6",0.3267,1.0,high voltage ; 400 kv ; end muffler ; electricity grid ; electricity prices
pro,11,7,"danish waters, 0.0194, 4, 5 ; turbine power, 0.0175, 2, 4 ; wind turbine power, 0.0175, 2, 4 ; must done, 0.0169, 1, 2 ; wind turbine, 0.0154, 7, 37",0.4095,1.0,danish waters ; turbine power ; wind turbine power ; must done ; wind turbine
pro,12,9,"green hydrogen, 0.0266, 5, 17 ; natural gas, 0.0248, 4, 19 ; cip foundation, 0.0232, 1, 10 ; ptx plants, 0.0176, 4, 8 ; hydrogen infrastructure, 0.0155, 2, 7",0.4,1.0,green hydrogen ; natural gas ; cip foundation ; ptx plants ; hydrogen infrastructure
pro,13,3,"hesselager pedersen, 0.0749, 2, 14 ; morten hesselager, 0.0749, 2, 14 ; morten hesselager pedersen, 0.0749, 2, 14 ; make easier, 0.0507, 1, 5 ; labor market, 0.0506, 1, 5",0.6,1.0,hesselager pedersen ; morten hesselager ; morten hesselager pedersen ; make easier ; labor market
pro,14,2,"høje taastrup, 0.1363, 1, 1 ; transformer station, 0.1206, 2, 9 ; drinking water, 0.0543, 1, 4 ; protection agency, 0.0456, 2, 2 ; danish environmental, 0.0456, 2, 2",0.7333,1.0,høje taastrup ; transformer station ; drinking water ; protection agency ; danish environmental
pro,15,4,"tejs vegge, 0.0889, 2, 16 ; kjeld pedersen, 0.0785, 1, 11 ; philip fosbøl, 0.0561, 1, 9 ; solar cell, 0.0524, 1, 11 ; says tejs vegge, 0.0454, 2, 8",0.35,1.0,tejs vegge ; kjeld pedersen ; philip fosbøl ; solar cell ; says tejs vegge
pro,16,12,"nuclear power, 0.0535, 3, 47 ; bent lauritzen, 0.0218, 1, 14 ; district heating, 0.0144, 3, 20 ; co2 emissions, 0.0118, 5, 9 ; state aid, 0.0106, 3, 9",0.2278,1.0,nuclear power ; bent lauritzen ; district heating ; co2 emissions ; state aid
pro,17,24,"energy islands bornholm, 0.0184, 19, 78 ; islands bornholm, 0.0183, 19, 78 ; open door, 0.0167, 5, 39 ; state aid, 0.0125, 13, 30 ; open door scheme, 0.0100, 5, 26",0.6028,1.0,energy islands bornholm ; islands bornholm ; open door ; state aid ; open door scheme
pro,18,3,"light pollution, 0.1808, 1, 15 ; port extensions, 0.0697, 1, 11 ; environmental impact, 0.0510, 3, 11 ; environmental assessment, 0.0495, 2, 13 ; jesper andersen, 0.0443, 1, 7",0.5111,1.0,light pollution ; port extensions ; environmental impact ; environmental assessment ; jesper andersen
pro,19,1,"turbines solar cells, 0.1964, 0, 0 ; turbines solar, 0.1964, 0, 0 ; wind turbines solar, 0.1964, 0, 0 ; solar cells, 0.1619, 1, 1 ; electricity consumption, 0.1565, 1, 1",0.2,0.0,turbines solar cells ; turbines solar ; wind turbines solar ; solar cells ; electricity consumption
pro,20,3,"data center, 0.1864, 3, 53 ; data centers, 0.0740, 3, 17 ; underwater data, 0.0559, 2, 8 ; global connect, 0.0417, 1, 10 ; luke davies, 0.0375, 1, 9",0.8,1.0,data center ; data centers ; underwater data ; global connect ; luke davies
reg,0,1,"municipal elections, 0.4530, 1, 1 ; election campaign, 0.4276, 1, 1 ; energy island, 0.1016, 1, 1",1.0,1.0,municipal elections ; election campaign ; energy island
reg,1,8,"sun wind, 0.0196, 4, 11 ; electric car, 0.0186, 3, 16 ; good business, 0.0175, 1, 1 ; get rid, 0.0175, 2, 2 ; solar cells, 0.0173, 3, 9",0.35,1.0,sun wind ; electric car ; good business ; get rid ; solar cells
reg,2,2,"artificial island, 0.1717, 2, 2 ; new year, 0.1627, 2, 2 ; bornholm energy island, 0.1473, 2, 2 ; north sea, 0.1182, 2, 2 ; must also, 0.1110, 2, 2",1.0,1.0,artificial island ; new year ; bornholm energy island ; north sea ; must also
reg,3,2,"det er, 0.2462, 2, 19 ; bornholm ii, 0.2262, 1, 6 ; kriegers flak, 0.1103, 1, 6 ; jonna nielsen, 0.0404, 1, 7 ; linda kofoed, 0.0272, 1, 5",0.6667,1.0,det er ; bornholm ii ; kriegers flak ; jonna nielsen ; linda kofoed
reg,4,1,"really good, 0.9986, 1, 1",1.0,1.0,really good
reg,5,8,"business center, 0.0521, 6, 31 ; business center bornholm, 0.0494, 6, 29 ; center bornholm, 0.0454, 6, 31 ; bornholm companies, 0.0355, 6, 22 ; christa lodahl, 0.0174, 3, 8",0.725,1.0,business center ; business center bornholm ; center bornholm ; bornholm companies ; christa lodahl
