cluster,Source,x,y
29,pro,8.839425,6.0146275
9,pro,7.948937,5.918114
4,pro,9.629452,6.4067903
30,pro,7.2971997,5.8555164
4,pro,9.404239,6.47461
0,pro,8.402101,6.116952
7,pro,7.1834736,5.5709376
15,pro,9.356544,5.514491
15,pro,11.4010515,4.563459
2,pro,10.678837,4.2242937
1,pro,9.167249,5.6583176
5,pro,8.008786,5.204584
1,pro,9.1616745,5.7978554
65,pro,7.0867143,5.3980846
30,pro,8.908665,5.8876925
1,pro,9.117448,5.79023
2,pro,8.621389,4.970826
2,pro,10.688351,4.1859765
4,pro,9.38426,6.4989095
78,pro,12.749072,5.5340977
42,pro,8.375679,5.8458385
0,pro,8.676972,6.2230387
4,pro,9.701585,6.3941274
18,pro,8.746893,5.8479514
3,pro,7.155482,5.7773557
3,pro,6.9972577,5.19798
0,pro,8.241016,5.6037817
4,pro,9.630387,6.437946
0,pro,8.024494,5.4387984
52,pro,6.347205,5.514736
5,pro,8.014061,5.1326823
6,pro,7.3367386,5.2595963
11,pro,7.5358152,5.36403
24,pro,6.4801507,5.5364165
17,pro,8.052077,5.7773404
6,pro,7.988818,5.325127
59,pro,7.6190977,5.520455
42,pro,8.32873,6.257756
93,pro,7.3270392,6.094976
3,pro,6.7259765,5.3022184
0,pro,8.948783,6.6554546
6,pro,7.2939186,5.146298
12,pro,9.805066,5.447748
0,pro,8.775224,6.009951
37,pro,7.7810216,4.9575143
1,pro,9.031608,5.8871326
6,pro,8.048769,5.0892854
9,pro,7.415883,5.0297976
1,pro,9.449807,5.8557596
65,pro,7.3188543,6.1154523
8,pro,8.973171,6.6551275
19,pro,8.170106,6.530176
0,pro,8.1807785,5.8846827
89,pro,12.589056,4.9428244
16,pro,8.953516,6.595676
30,pro,7.85997,5.776485
15,pro,8.106328,5.0422816
0,pro,7.9863205,5.4615955
12,pro,8.768094,5.047356
6,pro,7.6919813,5.162357
6,pro,7.926141,5.2329187
6,pro,7.299168,5.3246584
15,pro,7.9848084,5.1677794
6,pro,7.020865,5.139382
1,pro,9.114003,5.857326
65,pro,7.0201883,5.3976474
1,pro,8.092042,5.531202
28,pro,8.901402,5.480686
