Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,13,8.402101,6.116952,"artificial island, 0.0181, 13, 24 ; island north sea, 0.0153, 11, 27 ; 10 gw, 0.0138, 9, 18 ; new year, 0.0112, 4, 4 ; danish energy agency, 0.0112, 14, 26",0.3398,1.0,artificial island ; island north sea ; 10 gw ; new year ; danish energy agency
pro,1,12,9.167249,5.6583176,"000 tonnes, 0.0181, 4, 11 ; electricity consumption, 0.0151, 2, 8 ; north sea, 0.0137, 9, 33 ; says thomas, 0.0122, 1, 5 ; electricity grid, 0.0105, 7, 13",0.2844,1.0,000 tonnes ; electricity consumption ; north sea ; says thomas ; electricity grid
pro,2,5,10.678837,4.2242937,"000 tonnes, 0.0589, 3, 10 ; co2 emissions, 0.0440, 3, 13 ; million ton, 0.0344, 4, 6 ; tonnes co2, 0.0336, 4, 9 ; million tonnes, 0.0315, 3, 5",0.6667,1.0,000 tonnes ; co2 emissions ; million ton ; tonnes co2 ; million tonnes
pro,3,11,7.155482,5.7773557,"energy islands bornholm, 0.0195, 12, 49 ; danish energy agency, 0.0195, 13, 35 ; niels chresten andersen, 0.0171, 1, 6 ; billion kroner, 0.0169, 2, 8 ; danish people party, 0.0158, 0, 0",0.4175,1.0,energy islands bornholm ; danish energy agency ; niels chresten andersen ; billion kroner ; danish people party
pro,4,10,9.629452,6.4067903,"kriegers flak, 0.0219, 6, 13 ; north sea, 0.0169, 13, 50 ; nature conservation, 0.0122, 1, 1 ; converter stations, 0.0118, 2, 9 ; two countries, 0.0109, 6, 8",0.2754,1.0,kriegers flak ; north sea ; nature conservation ; converter stations ; two countries
pro,5,4,8.008786,5.204584,"wind farm, 0.0638, 3, 17 ; million tonnes, 0.0444, 2, 2 ; million ton, 0.0342, 2, 2 ; 10 million, 0.0237, 0, 0 ; oil gas, 0.0218, 1, 4",0.4,1.0,wind farm ; million tonnes ; million ton ; 10 million ; oil gas
pro,6,15,7.3367386,5.2595963,"nuclear power, 0.0168, 2, 21 ; green power, 0.0149, 11, 38 ; danish waters, 0.0112, 2, 10 ; district heating, 0.0095, 4, 18 ; green transition, 0.0093, 8, 23",0.2413,1.0,nuclear power ; green power ; danish waters ; district heating ; green transition
pro,7,6,7.1834736,5.5709376,"offshore grid, 0.0384, 2, 5 ; two years, 0.0248, 3, 4 ; energy islands bornholm, 0.0168, 13, 43 ; 10 million, 0.0168, 2, 12 ; one hand, 0.0164, 1, 1",0.2316,1.0,offshore grid ; two years ; energy islands bornholm ; 10 million ; one hand
pro,8,3,8.973171,6.6551275,"says morten, 0.0487, 2, 6 ; oil gas, 0.0487, 2, 8 ; construction project, 0.0301, 3, 6 ; energy island north, 0.0295, 1, 3 ; island north sea, 0.0277, 1, 3",0.5,1.0,says morten ; oil gas ; construction project ; energy island north ; island north sea
pro,9,5,7.948937,5.918114,"wind turbines, 0.0179, 12, 59 ; land facilities, 0.0178, 2, 3 ; transformer station, 0.0147, 5, 23 ; 15 kilometers, 0.0115, 3, 4 ; energy policy, 0.0111, 2, 5",0.3792,1.0,wind turbines ; land facilities ; transformer station ; 15 kilometers ; energy policy
pro,10,2,6.9934874,6.2016163,"data center, 0.3958, 2, 40 ; data centers, 0.1637, 2, 13 ; district heating network, 0.0351, 1, 3 ; energy island north, 0.0351, 2, 3 ; island north sea, 0.0277, 2, 3",0.9,1.0,data center ; data centers ; district heating network ; energy island north ; island north sea
pro,11,7,7.5358152,5.36403,"electricity grid, 0.0357, 2, 21 ; per cent, 0.0251, 2, 5 ; last year, 0.0197, 3, 7 ; build new, 0.0186, 1, 1 ; turbines solar cells, 0.0176, 0, 0",0.2148,1.0,electricity grid ; per cent ; last year ; build new ; turbines solar cells
pro,12,9,9.805066,5.447748,"green hydrogen, 0.0360, 7, 22 ; electrolysis plant, 0.0222, 5, 8 ; natural gas, 0.0205, 3, 16 ; hydrogen produced, 0.0161, 5, 7 ; cip foundation, 0.0144, 1, 10",0.3333,1.0,green hydrogen ; electrolysis plant ; natural gas ; hydrogen produced ; cip foundation
pro,13,1,7.540674,4.7777276,"submarine cable, 0.0483, 1, 10 ; net east, 0.0357, 1, 2 ; five years, 0.0233, 2, 5 ; 400 kv, 0.0201, 1, 3 ; power plant, 0.0199, 1, 7",0.24,1.0,submarine cable ; net east ; five years ; 400 kv ; power plant
pro,15,10,9.356544,5.514491,"million tonnes, 0.0212, 2, 10 ; gas station, 0.0208, 5, 9 ; green fuels, 0.0189, 8, 26 ; district heating, 0.0164, 7, 20 ; baltic sea, 0.0153, 10, 34",0.2364,1.0,million tonnes ; gas station ; green fuels ; district heating ; baltic sea
pro,16,1,8.953516,6.595676,"thomas bendtsen, 0.0257, 1, 5 ; 15 kilometers, 0.0177, 5, 7 ; danish energy agency, 0.0176, 5, 20 ; energy islands bornholm, 0.0174, 8, 31 ; west coast, 0.0169, 2, 3",0.3515,1.0,thomas bendtsen ; 15 kilometers ; danish energy agency ; energy islands bornholm ; west coast
pro,17,4,8.052077,5.7773404,"district heating, 0.0198, 6, 11 ; climate friendly, 0.0196, 0, 0 ; wind turbines, 0.0132, 10, 31 ; wide range, 0.0119, 3, 3 ; climate council, 0.0118, 1, 9",0.2978,1.0,district heating ; climate friendly ; wind turbines ; wide range ; climate council
pro,18,2,8.746893,5.8479514,"danish energy agency, 0.0208, 5, 29 ; wind turbines, 0.0206, 6, 26 ; environmental assessment, 0.0190, 4, 11 ; rønne harbor, 0.0155, 1, 5 ; energy islands bornholm, 0.0154, 8, 31",0.4733,1.0,danish energy agency ; wind turbines ; environmental assessment ; rønne harbor ; energy islands bornholm
pro,19,3,8.170106,6.530176,"bornholm electricity grid, 0.0250, 7, 23 ; electricity prices, 0.0223, 3, 7 ; niels chresten andersen, 0.0182, 1, 9 ; foreign connections, 0.0114, 3, 5 ; danish government, 0.0093, 1, 1",0.2111,1.0,bornholm electricity grid ; electricity prices ; niels chresten andersen ; foreign connections ; danish government
pro,20,1,7.0347743,7.6148415,"land plant, 0.0158, 13, 35 ; nuclear power, 0.0119, 2, 27 ; architectural competition, 0.0118, 4, 11 ; citizens meeting, 0.0102, 0, 0 ; helle munk ravnborg, 0.0101, 6, 33",0.2638,1.0,land plant ; nuclear power ; architectural competition ; citizens meeting ; helle munk ravnborg
pro,21,1,6.546949,5.9055295,"nuclear power, 0.0601, 2, 26 ; association energy islands, 0.0197, 2, 5 ; peter juel jensen, 0.0193, 0, 0 ; energy islands bornholm, 0.0184, 6, 15 ; citizens association energy, 0.0183, 0, 0",0.2222,1.0,nuclear power ; association energy islands ; peter juel jensen ; energy islands bornholm ; citizens association energy
pro,24,4,6.4801507,5.5364165,"local plan, 0.0326, 3, 7 ; large scale, 0.0167, 0, 0 ; green transition, 0.0150, 7, 11 ; public private, 0.0118, 2, 2 ; look like, 0.0115, 1, 2",0.1608,0.0,local plan ; large scale ; green transition ; public private ; look like
pro,27,4,6.9842887,5.432148,"cost effective, 0.0314, 0, 0 ; north sea, 0.0251, 4, 10 ; million ton, 0.0220, 1, 1 ; energy islands, 0.0181, 9, 25 ; long term, 0.0179, 0, 0",0.1897,0.0,cost effective ; north sea ; million ton ; energy islands ; long term
pro,28,2,8.901402,5.480686,"drinking water, 0.0188, 2, 11 ; campus bornholm, 0.0159, 2, 7 ; business park, 0.0130, 4, 33 ; jens hjul nielsen, 0.0102, 0, 0 ; press release, 0.0102, 4, 7",0.1193,0.0,drinking water ; campus bornholm ; business park ; jens hjul nielsen ; press release
pro,29,3,8.839425,6.0146275,"solar cell, 0.0202, 1, 11 ; transformer station, 0.0175, 3, 9 ; offshore wind turbines, 0.0139, 9, 16 ; data center, 0.0115, 1, 8 ; artificial island, 0.0100, 2, 3",0.1882,0.0,solar cell ; transformer station ; offshore wind turbines ; data center ; artificial island
pro,30,9,7.2971997,5.8555164,"danish energy agency, 0.0219, 13, 65 ; offshore wind turbines, 0.0185, 13, 27 ; make sense, 0.0183, 1, 1 ; bornholm offshore wind, 0.0176, 0, 0 ; price zone, 0.0159, 2, 20",0.3253,1.0,danish energy agency ; offshore wind turbines ; make sense ; bornholm offshore wind ; price zone
pro,35,1,8.516669,7.468789,"local plan, 0.0265, 9, 18 ; high voltage station, 0.0233, 6, 12 ; bornholm museum, 0.0229, 4, 9 ; land facility, 0.0228, 9, 17 ; land plant, 0.0209, 10, 20",0.346,1.0,local plan ; high voltage station ; bornholm museum ; land facility ; land plant
pro,37,3,7.7810216,4.9575143,"christa lodahl, 0.0185, 1, 11 ; 10 million, 0.0172, 1, 2 ; 31 billion, 0.0168, 1, 1 ; nuclear power, 0.0145, 3, 12 ; energy islands bornholm, 0.0136, 8, 61",0.1333,0.0,christa lodahl ; 10 million ; 31 billion ; nuclear power ; energy islands bornholm
