cluster,Source,x,y
2,pro,4.9477663,15.0263405
3,pro,4.12134,12.907201
2,pro,4.8795743,14.902366
3,pro,4.616401,13.867447
0,pro,5.2697453,13.110153
3,pro,5.133373,13.982256
0,pro,6.3091054,14.394454
1,pro,4.693604,12.196946
0,pro,5.8053656,14.348095
1,pro,4.884223,11.710402
3,pro,5.3813343,14.08515
3,pro,5.5431175,13.9261265
2,pro,4.6313334,15.027946
3,pro,5.431863,14.114114
1,pro,5.007138,13.601092
2,pro,4.751454,14.329189
2,pro,5.2101607,14.94313
3,pro,5.364255,13.923376
3,pro,3.6434917,12.943661
3,pro,3.2100267,12.809138
3,pro,4.6153274,13.716967
2,pro,4.927624,15.167853
1,pro,4.657699,12.93032
1,pro,4.5875955,11.792517
1,pro,4.8051605,12.000057
1,pro,4.803062,11.802055
3,pro,3.3343902,11.985678
1,pro,4.9190774,13.139312
1,pro,4.9586835,12.492831
3,pro,3.4461324,13.304151
3,pro,3.4997966,13.637773
3,pro,3.752089,12.214286
3,pro,3.0019453,12.702598
2,pro,4.880733,14.302139
1,pro,4.62695,11.6995325
0,pro,5.8603234,15.200941
2,pro,4.9081655,14.204008
0,pro,5.91165,14.301486
1,pro,5.2012196,12.117198
0,pro,5.800781,15.071404
3,pro,4.0305815,12.393746
2,pro,5.1134014,14.447411
3,pro,3.561044,12.042098
3,pro,3.6737604,12.4503975
3,pro,3.9716434,12.093496
2,pro,4.963496,14.401334
3,pro,3.88883,12.503228
1,pro,5.8264685,11.431571
1,pro,4.4697886,12.608013
1,pro,5.61967,12.5499
1,pro,4.7787175,11.862548
1,pro,4.7494736,12.247396
1,pro,4.2771153,11.767544
1,pro,5.1143317,12.789404
3,pro,2.9652162,12.474467
0,pro,5.748283,14.683981
1,pro,4.5433607,11.544674
0,pro,6.6028757,13.893082
3,pro,3.8475344,12.710803
3,pro,5.070198,14.072624
1,pro,4.7022643,13.030133
0,pro,6.268195,14.85234
1,pro,5.9889784,11.221063
0,pro,6.5516977,12.99846
3,pro,3.4746628,11.86112
1,pro,5.8626904,11.368794
0,pro,5.8246813,14.573745
