cluster,Source,x,y
0,pro,8.839425,6.0146275
0,pro,7.948937,5.918114
0,pro,9.629452,6.4067903
0,pro,7.2971997,5.8555164
0,pro,9.404239,6.47461
0,pro,8.402101,6.116952
0,pro,7.1834736,5.5709376
0,pro,9.356544,5.514491
1,pro,11.4010515,4.563459
1,pro,10.678837,4.2242937
0,pro,9.167249,5.6583176
0,pro,8.008786,5.204584
0,pro,9.1616745,5.7978554
0,pro,7.0867143,5.3980846
0,pro,8.908665,5.8876925
0,pro,9.117448,5.79023
0,pro,8.621389,4.970826
1,pro,10.688351,4.1859765
0,pro,9.38426,6.4989095
1,pro,12.749072,5.5340977
0,pro,8.375679,5.8458385
0,pro,8.676972,6.2230387
0,pro,9.701585,6.3941274
0,pro,8.746893,5.8479514
0,pro,7.155482,5.7773557
0,pro,6.9972577,5.19798
0,pro,8.241016,5.6037817
0,pro,9.630387,6.437946
0,pro,8.024494,5.4387984
0,pro,6.347205,5.514736
0,pro,8.014061,5.1326823
0,pro,7.3367386,5.2595963
0,pro,7.5358152,5.36403
0,pro,6.4801507,5.5364165
0,pro,8.052077,5.7773404
0,pro,7.988818,5.325127
0,pro,7.6190977,5.520455
0,pro,8.32873,6.257756
0,pro,7.3270392,6.094976
0,pro,6.7259765,5.3022184
0,pro,8.948783,6.6554546
0,pro,7.2939186,5.146298
0,pro,9.805066,5.447748
0,pro,8.775224,6.009951
0,pro,7.7810216,4.9575143
0,pro,9.031608,5.8871326
0,pro,8.048769,5.0892854
0,pro,7.415883,5.0297976
0,pro,9.449807,5.8557596
0,pro,7.3188543,6.1154523
0,pro,8.973171,6.6551275
0,pro,8.170106,6.530176
0,pro,8.1807785,5.8846827
1,pro,12.589056,4.9428244
0,pro,8.953516,6.595676
0,pro,7.85997,5.776485
0,pro,8.106328,5.0422816
0,pro,7.9863205,5.4615955
0,pro,8.768094,5.047356
0,pro,7.6919813,5.162357
0,pro,7.926141,5.2329187
0,pro,7.299168,5.3246584
0,pro,7.9848084,5.1677794
0,pro,7.020865,5.139382
0,pro,9.114003,5.857326
0,pro,7.0201883,5.3976474
0,pro,8.092042,5.531202
0,pro,8.901402,5.480686
0,pro,6.9842887,5.432148
1,pro,11.536003,3.7063699
0,pro,7.2034574,5.3334403
0,pro,7.8827615,8.199688
0,pro,8.490859,5.65561
0,pro,9.795056,5.434222
0,pro,8.15959,5.0157113
0,pro,8.4651375,5.0924234
0,pro,6.5521955,5.6465364
0,pro,7.0347743,7.6148415
0,pro,8.122795,5.037341
1,pro,10.751468,4.117229
0,pro,9.063173,5.8945637
0,pro,8.936245,5.7302527
0,pro,7.690956,5.6450005
0,pro,8.12816,6.285045
1,pro,12.633715,4.0663776
0,pro,7.06885,5.00112
0,pro,8.26273,5.209256
0,pro,10.255708,4.8470645
1,pro,10.711516,4.170946
1,pro,10.795494,4.1405525
0,pro,7.949895,5.575054
1,pro,10.523438,4.441181
0,pro,7.108839,5.1399875
0,pro,7.8290534,4.973189
0,pro,9.7027025,5.883646
0,pro,8.217445,5.498506
0,pro,8.250812,5.40376
0,pro,8.385292,5.03355
0,pro,7.960608,5.0187984
0,pro,6.5863442,5.300312
0,pro,6.546949,5.9055295
0,pro,8.100419,5.590756
0,pro,9.323446,5.5516615
0,pro,8.899378,6.104566
0,pro,7.3843827,5.335934
0,pro,7.4685264,5.393816
1,pro,12.960505,4.413957
0,pro,7.6460004,5.8527513
