cluster,Source,x,y
1,pro,0.8210591,4.0113163
1,pro,1.5451394,3.635058
1,pro,0.30226144,3.27895
1,pro,2.3456256,3.2873645
1,pro,0.39495832,3.411626
1,pro,1.1893077,3.656224
1,pro,2.4593737,3.159276
1,pro,-0.061681435,3.6451027
0,pro,-2.2781613,3.3152006
0,pro,-1.7762644,3.7480042
1,pro,0.16610622,4.100945
1,pro,1.4557158,3.0197725
1,pro,0.32499254,3.9452484
1,pro,2.4753437,2.8915982
1,pro,0.6251359,3.8415732
1,pro,0.5354968,3.8628628
1,pro,0.48058692,2.9499784
0,pro,-1.8974905,3.7514982
1,pro,0.39980474,3.585826
0,pro,-2.915261,2.2705142
1,pro,1.070316,3.0747755
1,pro,0.90802497,3.8040595
1,pro,0.16433236,3.267702
1,pro,0.7730613,3.8077836
1,pro,2.5588732,3.2115817
1,pro,2.6008172,2.6968791
1,pro,1.2707763,3.37208
1,pro,0.18570992,3.3410022
1,pro,1.4823027,3.2213461
1,pro,3.2738307,3.0316272
1,pro,1.4093606,2.8869925
1,pro,2.4047503,2.8636775
1,pro,2.358854,3.0248275
1,pro,3.0617352,3.04338
1,pro,1.3450174,3.5376976
1,pro,1.6081756,3.0860198
1,pro,1.7095333,3.0190454
1,pro,1.2668006,3.7242334
1,pro,2.350869,3.7253892
1,pro,2.9038656,2.7601168
1,pro,0.7026424,4.390582
1,pro,2.2234013,2.7291796
1,pro,-0.31782964,3.730393
1,pro,0.83305264,3.882035
1,pro,1.6665481,2.6939118
1,pro,0.47431138,3.891373
1,pro,1.6887255,2.7458513
1,pro,2.0339167,2.677858
1,pro,-0.02647284,3.8228111
1,pro,2.4056208,3.7477288
1,pro,0.68101877,4.419253
1,pro,1.5842317,4.2438645
1,pro,1.4357454,3.6574244
0,pro,-3.3821857,1.47288
1,pro,0.77186435,4.3924203
1,pro,1.5589792,3.589329
1,pro,1.4658952,2.7066221
1,pro,1.5397223,3.4085102
1,pro,1.109873,2.6184418
1,pro,2.0134199,2.78977
1,pro,1.6957335,2.9046679
1,pro,2.3986473,2.8791468
1,pro,1.4524269,2.9572916
1,pro,2.6811285,2.615286
1,pro,0.36407447,4.0395126
1,pro,2.5285413,3.0440748
1,pro,1.5500832,3.3670301
1,pro,0.448132,4.2001753
1,pro,2.4629788,3.2536669
0,pro,-2.7875726,3.9894934
1,pro,2.8621037,3.006929
1,pro,1.8396006,5.850598
1,pro,1.4281638,3.170648
1,pro,-0.29687333,3.9664843
1,pro,1.3929456,2.7145605
1,pro,2.5081391,5.3291187
1,pro,2.8900597,3.2382765
1,pro,2.5007513,5.429375
1,pro,1.3932142,2.7250805
0,pro,-1.9645197,3.7813373
1,pro,0.4199328,3.9485457
1,pro,0.72465515,3.446419
1,pro,1.6503593,3.2973988
1,pro,1.3891935,4.3831797
0,pro,-3.5130646,3.150084
1,pro,2.3142595,2.4730012
1,pro,2.0918937,3.3369439
1,pro,-1.137661,3.571626
0,pro,-1.8903154,3.850532
0,pro,-1.9393337,3.7720373
1,pro,1.5131582,3.2261422
0,pro,-1.5949199,3.7330983
1,pro,2.4263024,2.690172
1,pro,1.4906309,2.6613233
1,pro,0.3199589,3.3300898
1,pro,1.2431564,3.3758805
1,pro,1.3955809,3.3477232
1,pro,1.1400338,2.6718132
1,pro,1.6607821,2.753025
1,pro,2.9108837,2.8410587
1,pro,3.127872,3.4248023
1,pro,1.3764236,3.322123
1,pro,0.04906062,3.7673209
1,pro,0.59402496,4.0784855
1,pro,2.1269746,2.8589613
1,pro,2.0698202,2.9320393
0,pro,-3.9045231,2.0630121
1,pro,1.5886841,3.8856862
1,pro,0.6194293,4.092711
1,pro,0.25478104,3.6631217
1,pro,1.2579077,4.464944
1,pro,1.3390965,5.0625086
1,pro,0.711417,4.0643044
1,pro,1.982258,2.3765085
1,pro,0.058277708,3.4297118
1,pro,1.5579164,3.460553
1,pro,0.27142856,4.0874476
1,pro,2.0469801,2.5509107
1,pro,2.6304164,5.1717877
1,pro,2.8978734,2.743673
1,pro,1.8140864,2.9559376
1,pro,1.9766151,2.7015464
1,pro,1.4936633,3.3544157
1,pro,0.10889064,3.6579032
1,pro,2.7726922,3.1034195
1,pro,2.6123378,5.7073774
1,pro,2.6144876,4.2659
1,pro,2.5978136,3.93168
1,pro,-0.1296943,3.7374206
1,pro,1.9340837,4.62596
1,pro,1.7705405,2.6553504
0,pro,-1.8560227,3.784099
1,pro,2.2093596,3.4057975
1,pro,0.42403626,3.9286907
1,pro,0.2602021,3.48642
1,pro,1.5550809,2.853868
1,pro,-0.12064043,3.6967092
1,pro,1.7424394,3.443192
1,pro,0.1741404,3.3155835
1,pro,2.263046,2.697126
1,pro,0.17237024,3.8286812
1,pro,2.4790244,2.9802473
1,pro,0.7629782,3.7458827
1,pro,1.1181302,3.5569715
1,pro,1.730338,3.2444353
1,pro,1.2141564,3.0853066
1,pro,1.496933,3.203715
1,pro,2.6119146,2.9974856
1,pro,1.1442134,4.382016
1,pro,2.1875393,2.744344
1,pro,2.5588417,2.7650034
1,pro,-0.12579069,3.7830365
1,pro,2.2022634,5.035984
1,pro,1.5261788,4.4220486
1,pro,0.023983276,3.8556094
1,pro,2.093655,3.090957
1,pro,0.25641403,3.5917056
1,pro,-0.14766482,4.1499357
1,pro,0.45904532,3.6734276
1,pro,2.6487384,2.8124077
1,pro,1.206106,4.3629475
1,pro,2.4052422,2.7655954
1,pro,1.1767098,3.3061128
1,pro,-0.21456397,3.7157063
0,pro,-2.5229094,2.1745162
1,pro,2.3015475,2.5320394
0,pro,-1.7536277,3.8449178
1,pro,2.4308538,2.5193355
1,pro,2.6003282,2.621114
1,pro,0.6970316,3.748214
1,pro,0.86021525,3.676022
1,pro,2.7699268,2.9962542
1,pro,2.5906425,2.5206923
1,pro,-0.16875377,3.768571
1,pro,2.5291197,4.05324
1,pro,2.527965,5.3599973
1,pro,2.1633234,2.4683444
1,pro,3.1507494,3.1151342
1,pro,1.7243924,2.6396317
1,pro,2.3950899,2.9273338
1,pro,2.2711506,2.482776
1,reg,2.1874683,4.557421
1,reg,2.7580278,5.462401
1,reg,2.078931,3.4366057
1,reg,2.3236296,5.7220807
1,reg,2.7421882,5.694466
1,reg,0.39487505,3.9372199
1,reg,2.166831,5.6950865
1,reg,1.111897,3.9807498
1,reg,-0.0043442175,3.7848687
1,reg,-0.25811243,3.7600622
1,reg,1.9589204,4.714215
1,reg,1.1955531,3.6858482
1,reg,0.44752282,3.7996504
1,reg,3.3638363,5.1796412
1,reg,1.9381486,4.9151707
1,reg,1.0829155,3.991659
1,reg,3.7719252,3.495473
1,reg,0.61336094,3.6994576
1,reg,1.0957564,4.0015626
1,reg,0.96910864,4.5130243
1,reg,2.8736627,4.0565233
1,reg,3.7537885,3.766979
1,reg,1.3069792,4.251439
1,reg,1.0788262,3.1485665
1,reg,2.11616,5.542582
1,reg,0.6684323,4.1265764
