cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
0,13,16,2,"north sea, 0.0179, 19, 81 ; artificial island, 0.0153, 13, 24 ; offshore wind, 0.0138, 27, 189 ; island north, 0.0113, 11, 27 ; island north sea, 0.0113, 11, 27",0.5613,1.0,north sea ; artificial island ; offshore wind ; island north ; island north sea
1,12,3,0,"000 tonnes, 0.0181, 4, 11 ; wind turbines, 0.0151, 13, 41 ; electricity consumption, 0.0140, 2, 8 ; north sea, 0.0122, 9, 33 ; says thomas, 0.0108, 1, 5",0.4311,1.0,000 tonnes ; wind turbines ; electricity consumption ; north sea ; says thomas
2,5,0,0,"000 tonnes, 0.0590, 3, 10 ; co2 emissions, 0.0445, 3, 13 ; million ton, 0.0351, 4, 6 ; tonnes co2, 0.0342, 4, 9 ; million tonnes, 0.0324, 3, 5",0.6667,1.0,000 tonnes ; co2 emissions ; million ton ; tonnes co2 ; million tonnes
3,11,8,0,"energy islands bornholm, 0.0195, 12, 49 ; islands bornholm, 0.0195, 12, 49 ; danish energy agency, 0.0172, 13, 35 ; energy agency, 0.0169, 13, 35 ; danish energy, 0.0159, 13, 36",0.6526,1.0,energy islands bornholm ; islands bornholm ; danish energy agency ; energy agency ; danish energy
4,10,10,3,"kriegers flak, 0.0213, 6, 13 ; north sea, 0.0171, 13, 50 ; nature conservation, 0.0122, 1, 1 ; converter stations, 0.0117, 2, 9 ; two countries, 0.0109, 6, 8",0.2754,1.0,kriegers flak ; north sea ; nature conservation ; converter stations ; two countries
5,4,0,1,"wind farm, 0.0638, 3, 17 ; million tonnes, 0.0444, 2, 2 ; million ton, 0.0342, 2, 2 ; 10 million, 0.0237, 0, 0 ; oil gas, 0.0218, 1, 4",0.4,1.0,wind farm ; million tonnes ; million ton ; 10 million ; oil gas
6,15,6,0,"nuclear power, 0.0168, 2, 21 ; green power, 0.0150, 11, 38 ; 70 percent, 0.0113, 6, 16 ; danish waters, 0.0095, 2, 10 ; district heating, 0.0094, 4, 18",0.254,1.0,nuclear power ; green power ; 70 percent ; danish waters ; district heating
7,6,11,2,"offshore grid, 0.0477, 2, 5 ; two years, 0.0248, 3, 4 ; meshed offshore, 0.0180, 1, 1 ; energy islands bornholm, 0.0172, 13, 43 ; islands bornholm, 0.0172, 13, 43",0.2246,1.0,offshore grid ; two years ; meshed offshore ; energy islands bornholm ; islands bornholm
8,3,1,0,"oil gas, 0.0487, 2, 8 ; says morten, 0.0487, 2, 6 ; construction project, 0.0301, 3, 6 ; energy island north, 0.0295, 1, 3 ; island north sea, 0.0277, 1, 3",0.5,1.0,oil gas ; says morten ; construction project ; energy island north ; island north sea
9,5,11,0,"land facilities, 0.0216, 2, 3 ; wind turbines, 0.0189, 12, 59 ; transformer station, 0.0146, 5, 23 ; 15 kilometers, 0.0136, 3, 4 ; island bornholm, 0.0123, 6, 6",0.3542,1.0,land facilities ; wind turbines ; transformer station ; 15 kilometers ; island bornholm
10,7,2,0,"electricity grid, 0.0357, 2, 21 ; per cent, 0.0240, 2, 5 ; turbines solar cells, 0.0213, 0, 0 ; turbines solar, 0.0208, 0, 0 ; wind turbines solar, 0.0208, 0, 0",0.1333,0.0,electricity grid ; per cent ; turbines solar cells ; turbines solar ; wind turbines solar
