Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,18,"offshore wind, 0.0141, 17, 129 ; feasibility studies, 0.0097, 6, 10 ; gw offshore, 0.0066, 11, 23 ; lower box, 0.0064, 2, 10 ; north sea, 0.0062, 12, 65",0.5852,1.0,offshore wind ; feasibility studies ; gw offshore ; lower box ; north sea
pro,1,12,"green hydrogen, 0.0127, 1, 9 ; renewable energy, 0.0121, 7, 17 ; 000 tonnes, 0.0112, 4, 11 ; 000 tonnes green, 0.0089, 1, 5 ; tine kirk pedersen, 0.0088, 1, 7",0.2667,1.0,green hydrogen ; renewable energy ; 000 tonnes ; 000 tonnes green ; tine kirk pedersen
pro,2,9,"end muffler, 0.0217, 1, 13 ; global wind, 0.0203, 1, 6 ; anders pallesen, 0.0130, 1, 6 ; biogas plants, 0.0113, 1, 13 ; says sofia, 0.0111, 1, 7",0.1111,0.0,end muffler ; global wind ; anders pallesen ; biogas plants ; says sofia
pro,3,6,"kattegat connection, 0.0381, 1, 10 ; philip fosbøl, 0.0374, 1, 9 ; road directorate, 0.0343, 1, 9 ; district heating, 0.0266, 4, 20 ; 000 tonnes, 0.0203, 3, 10",0.2556,1.0,kattegat connection ; philip fosbøl ; road directorate ; district heating ; 000 tonnes
pro,4,14,"open door, 0.0129, 3, 24 ; energy islands bornholm, 0.0121, 8, 37 ; islands bornholm, 0.0120, 8, 37 ; million kroner, 0.0106, 1, 1 ; open door scheme, 0.0099, 3, 17",0.3619,1.0,open door ; energy islands bornholm ; islands bornholm ; million kroner ; open door scheme
pro,5,11,"business case, 0.0175, 3, 19 ; converter stations, 0.0133, 2, 9 ; transformer station, 0.0124, 2, 6 ; north sea, 0.0101, 8, 46 ; energy islands, 0.0093, 10, 52",0.3333,1.0,business case ; converter stations ; transformer station ; north sea ; energy islands
pro,6,16,"wave power, 0.0206, 1, 15 ; port extensions, 0.0131, 1, 11 ; green sector, 0.0104, 1, 7 ; 70 percent, 0.0101, 9, 23 ; green power, 0.0085, 10, 36",0.1667,0.0,wave power ; port extensions ; green sector ; 70 percent ; green power
pro,7,3,"million tonnes, 0.0747, 3, 11 ; million tonnes co2e, 0.0706, 1, 6 ; tonnes co2e, 0.0706, 2, 9 ; biogas denmark, 0.0403, 1, 7 ; million ton, 0.0350, 3, 11",0.6667,1.0,million tonnes ; million tonnes co2e ; tonnes co2e ; biogas denmark ; million ton
pro,8,13,"light pollution, 0.0417, 1, 15 ; høje taastrup, 0.0157, 1, 1 ; offshore wind, 0.0152, 10, 67 ; offshore wind turbines, 0.0122, 6, 16 ; wind turbines, 0.0115, 10, 32",0.3128,1.0,light pollution ; høje taastrup ; offshore wind ; offshore wind turbines ; wind turbines
pro,9,5,"christian bueger, 0.0632, 1, 7 ; marine mammals, 0.0449, 1, 6 ; baltic sea, 0.0223, 2, 8 ; citizen group, 0.0218, 1, 11 ; eu commission, 0.0196, 1, 3",0.24,1.0,christian bueger ; marine mammals ; baltic sea ; citizen group ; eu commission
pro,10,3,"ørsted atp, 0.0949, 1, 6 ; hesselager pedersen, 0.0749, 2, 14 ; morten hesselager pedersen, 0.0749, 2, 14 ; morten hesselager, 0.0749, 2, 14 ; maersk oil, 0.0321, 2, 6",0.5556,1.0,ørsted atp ; hesselager pedersen ; morten hesselager pedersen ; morten hesselager ; maersk oil
pro,11,10,"turbine power, 0.0198, 3, 5 ; wind turbine power, 0.0198, 3, 5 ; market design, 0.0183, 1, 17 ; make easier, 0.0174, 2, 6 ; artificial island, 0.0169, 2, 7",0.24,1.0,turbine power ; wind turbine power ; market design ; make easier ; artificial island
pro,12,3,"nuclear power, 0.0988, 2, 26 ; shipping industry, 0.0877, 1, 7 ; says hans, 0.0278, 1, 3 ; amounts energy, 0.0210, 2, 3 ; nature environment, 0.0207, 1, 2",0.4889,1.0,nuclear power ; shipping industry ; says hans ; amounts energy ; nature environment
pro,13,3,"early 2030s, 0.0709, 1, 3 ; belgian energy, 0.0327, 2, 3 ; 000 tonnes, 0.0315, 1, 2 ; energy company, 0.0266, 2, 2 ; north sea, 0.0235, 2, 10",0.4889,1.0,early 2030s ; belgian energy ; 000 tonnes ; energy company ; north sea
pro,14,2,"data center, 0.2261, 2, 40 ; data centers, 0.0914, 2, 13 ; underwater data, 0.0777, 1, 7 ; global connect, 0.0625, 1, 10 ; luke davies, 0.0563, 1, 9",0.8,1.0,data center ; data centers ; underwater data ; global connect ; luke davies
pro,15,10,"tejs vegge, 0.0356, 2, 16 ; sensors wings, 0.0206, 1, 6 ; turbines solar cells, 0.0189, 0, 0 ; wind turbines solar, 0.0189, 0, 0 ; turbines solar, 0.0189, 0, 0",0.0933,0.0,tejs vegge ; sensors wings ; turbines solar cells ; wind turbines solar ; turbines solar
pro,16,11,"la cour, 0.0403, 1, 21 ; natural gas, 0.0251, 5, 21 ; cip foundation, 0.0190, 1, 10 ; hydrogen produced, 0.0142, 3, 7 ; experimental mill, 0.0141, 1, 7",0.2121,1.0,la cour ; natural gas ; cip foundation ; hydrogen produced ; experimental mill
pro,17,9,"nuclear power, 0.0291, 1, 20 ; bent lauritzen, 0.0291, 1, 14 ; energy island, 0.0210, 9, 67 ; wind turbines, 0.0179, 7, 34 ; climate crisis, 0.0124, 1, 2",0.3778,1.0,nuclear power ; bent lauritzen ; energy island ; wind turbines ; climate crisis
pro,18,6,"electricity prices, 0.0235, 1, 5 ; transformer station, 0.0206, 2, 9 ; drinking water, 0.0174, 1, 4 ; electricity grid, 0.0163, 4, 12 ; rest europe, 0.0148, 1, 3",0.2778,1.0,electricity prices ; transformer station ; drinking water ; electricity grid ; rest europe
pro,19,6,"kjeld pedersen, 0.0523, 1, 11 ; solar cell, 0.0419, 3, 15 ; high temperatures, 0.0219, 1, 5 ; ptx plants, 0.0216, 2, 5 ; drinking water, 0.0210, 1, 4",0.2778,1.0,kjeld pedersen ; solar cell ; high temperatures ; ptx plants ; drinking water
pro,20,11,"gas price, 0.0119, 1, 7 ; state aid, 0.0102, 3, 13 ; billion dkk, 0.0097, 0, 0 ; european countries, 0.0085, 3, 6 ; green transition, 0.0085, 6, 15",0.1758,0.0,gas price ; state aid ; billion dkk ; european countries ; green transition
reg,0,4,"artificial island, 0.0854, 2, 2 ; new year, 0.0808, 2, 2 ; bornholm energy island, 0.0731, 2, 2 ; north sea, 0.0661, 3, 3 ; must also, 0.0544, 2, 2",0.5333,1.0,artificial island ; new year ; bornholm energy island ; north sea ; must also
reg,1,6,"submarine cable, 0.0388, 1, 10 ; net east, 0.0248, 1, 2 ; biogas plant, 0.0222, 1, 6 ; power plant, 0.0158, 1, 7 ; land plant, 0.0158, 2, 15",0.1778,0.0,submarine cable ; net east ; biogas plant ; power plant ; land plant
reg,2,20,"center bornholm, 0.0324, 12, 57 ; business center, 0.0294, 8, 41 ; business center bornholm, 0.0274, 8, 38 ; skilled workers, 0.0152, 2, 8 ; ready energy, 0.0149, 5, 9",0.4167,1.0,center bornholm ; business center ; business center bornholm ; skilled workers ; ready energy
reg,3,11,"gas station, 0.0396, 5, 9 ; district heating, 0.0318, 7, 17 ; baltic sea, 0.0245, 7, 27 ; electrolysis plant, 0.0210, 3, 6 ; around bornholm, 0.0196, 1, 1",0.4909,1.0,gas station ; district heating ; baltic sea ; electrolysis plant ; around bornholm
reg,4,8,"thomas bendtsen, 0.0337, 1, 5 ; energy agency, 0.0190, 5, 17 ; danish energy agency, 0.0190, 5, 17 ; danish energy, 0.0182, 5, 17 ; offshore wind farms, 0.0174, 5, 20",0.4583,1.0,thomas bendtsen ; energy agency ; danish energy agency ; danish energy ; offshore wind farms
reg,5,11,"bornholm ii, 0.0421, 2, 7 ; transformer station, 0.0354, 6, 13 ; solar cells, 0.0343, 1, 1 ; wind turbines, 0.0255, 7, 26 ; det er, 0.0253, 1, 6",0.3152,1.0,bornholm ii ; transformer station ; solar cells ; wind turbines ; det er
reg,6,4,"board directors, 0.0703, 3, 11 ; electricity grid, 0.0358, 3, 15 ; among things, 0.0282, 3, 7 ; lea wermelin, 0.0261, 1, 6 ; electricity network, 0.0240, 2, 5",0.6667,1.0,board directors ; electricity grid ; among things ; lea wermelin ; electricity network
reg,7,17,"land plant, 0.0178, 11, 28 ; architectural competition, 0.0113, 4, 11 ; mikael benzon, 0.0111, 2, 7 ; citizens meeting, 0.0101, 0, 0 ; feasibility studies, 0.0099, 5, 9",0.3216,1.0,land plant ; architectural competition ; mikael benzon ; citizens meeting ; feasibility studies
reg,8,18,"offshore wind, 0.0286, 15, 153 ; bornholm offshore wind, 0.0246, 1, 1 ; bornholm offshore, 0.0234, 1, 1 ; electricity grid, 0.0162, 10, 36 ; bornholm electricity, 0.0121, 7, 19",0.4037,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; electricity grid ; bornholm electricity
reg,9,11,"henrik espersen, 0.0253, 1, 11 ; next year, 0.0209, 4, 6 ; baltic sea, 0.0204, 6, 21 ; baltic bridge, 0.0199, 1, 7 ; peter juel jensen, 0.0165, 1, 1",0.2545,1.0,henrik espersen ; next year ; baltic sea ; baltic bridge ; peter juel jensen
reg,10,5,"bornholm museum, 0.1208, 5, 27 ; cultural identity, 0.0544, 1, 4 ; finn ole, 0.0443, 1, 25 ; ole sonne nielsen, 0.0336, 1, 19 ; sonne nielsen, 0.0336, 1, 19",0.4667,1.0,bornholm museum ; cultural identity ; finn ole ; ole sonne nielsen ; sonne nielsen
reg,11,12,"municipal council, 0.0295, 8, 29 ; savings catalog, 0.0233, 5, 17 ; unity list, 0.0230, 7, 30 ; says klaus, 0.0201, 1, 3 ; coming years, 0.0184, 3, 5",0.4778,1.0,municipal council ; savings catalog ; unity list ; says klaus ; coming years
reg,12,3,"election campaign, 0.0960, 3, 6 ; anne thomas, 0.0627, 1, 12 ; social democracy, 0.0531, 2, 9 ; lea wermelin, 0.0521, 2, 4 ; says anne thomas, 0.0295, 1, 5",0.6667,1.0,election campaign ; anne thomas ; social democracy ; lea wermelin ; says anne thomas
reg,13,7,"debate salon, 0.0373, 1, 4 ; national assembly, 0.0274, 2, 4 ; citizens meeting, 0.0206, 0, 0 ; citizens association, 0.0195, 0, 0 ; association energy islands, 0.0185, 3, 9",0.1524,0.0,debate salon ; national assembly ; citizens meeting ; citizens association ; association energy islands
reg,14,18,"frederik tolstrup, 0.0135, 1, 8 ; net east, 0.0105, 2, 8 ; trefor el, 0.0097, 2, 9 ; trefor el net, 0.0097, 1, 1 ; bornholm electricity, 0.0097, 2, 12",0.0852,0.0,frederik tolstrup ; net east ; trefor el ; trefor el net ; bornholm electricity
reg,15,12,"district heating, 0.0266, 5, 11 ; hydrogen production, 0.0174, 1, 6 ; climate friendly, 0.0154, 0, 0 ; green island, 0.0146, 2, 2 ; heat pumps, 0.0141, 2, 4",0.1944,0.0,district heating ; hydrogen production ; climate friendly ; green island ; heat pumps
reg,16,23,"really good, 0.0457, 4, 4 ; campus bornholm, 0.0118, 4, 9 ; national center, 0.0091, 5, 22 ; regional municipality, 0.0081, 10, 26 ; national center green, 0.0080, 5, 17",0.2203,1.0,really good ; campus bornholm ; national center ; regional municipality ; national center green
reg,17,16,"offshore wind, 0.0216, 12, 73 ; bornholm offshore, 0.0134, 1, 2 ; bornholm offshore wind, 0.0130, 1, 2 ; wind turbines, 0.0112, 12, 32 ; baltic sea, 0.0107, 9, 19",0.4167,1.0,offshore wind ; bornholm offshore ; bornholm offshore wind ; wind turbines ; baltic sea
