Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,9,9.5073185,0.5230856,"offshore grid, 0.0503, 230, 366 ; offshore wind, 0.0238, 227, 494 ; wind power, 0.0208, 112, 214 ; north sea, 0.0153, 100, 176 ; offshore grids, 0.0151, 49, 62",0.4699,1.0,offshore grid ; offshore wind ; wind power ; north sea ; offshore grids
pro,2,2,8.982433,-4.842304,"land plant, 0.0325, 33, 89 ; land facility, 0.0239, 31, 63 ; local plan, 0.0231, 24, 80 ; high voltage, 0.0189, 16, 28 ; sustainable energy, 0.0164, 1, 1",0.515,1.0,land plant ; land facility ; local plan ; high voltage ; sustainable energy
pro,5,1,7.7444925,-2.804504,"district heating, 0.0362, 15, 41 ; klaus vesløv, 0.0229, 5, 25 ; gas station, 0.0198, 5, 9 ; green fuels, 0.0169, 10, 31 ; rønne harbor, 0.0154, 12, 30",0.4116,1.0,district heating ; klaus vesløv ; gas station ; green fuels ; rønne harbor
pro,9,1,8.060427,-4.917504,"lars aagaard, 0.0182, 11, 29 ; jacob trøst, 0.0172, 15, 44 ; climate energy, 0.0144, 5, 6 ; climate energy supply, 0.0139, 1, 1 ; says jacob, 0.0111, 9, 23",0.376,1.0,lars aagaard ; jacob trøst ; climate energy ; climate energy supply ; says jacob
pro,12,12,8.7797985,-1.866878,"offshore wind, 0.0280, 22, 182 ; wind turbines, 0.0242, 19, 86 ; offshore wind turbines, 0.0210, 15, 51 ; danish energy, 0.0202, 15, 44 ; danish energy agency, 0.0194, 12, 41",0.7913,1.0,offshore wind ; wind turbines ; offshore wind turbines ; danish energy ; danish energy agency
pro,13,8,8.069154,-3.3506756,"energy islands bornholm, 0.0322, 39, 216 ; energy islands, 0.0322, 41, 271 ; state aid, 0.0266, 13, 32 ; søren møller christensen, 0.0106, 8, 35 ; energy island, 0.0086, 42, 458",0.7238,1.0,energy islands bornholm ; energy islands ; state aid ; søren møller christensen ; energy island
pro,15,56,7.688299,-1.5053551,"million tonnes, 0.0163, 12, 25 ; natural gas, 0.0126, 15, 43 ; climate council, 0.0114, 14, 44 ; green power, 0.0102, 25, 75 ; paris agreement, 0.0092, 7, 19",0.2212,1.0,million tonnes ; natural gas ; climate council ; green power ; paris agreement
pro,18,7,8.62747,-2.6901155,"bornholm offshore wind, 0.0181, 6, 8 ; offshore wind, 0.0181, 72, 566 ; wind turbines, 0.0158, 57, 202 ; rønne harbor, 0.0136, 22, 71 ; center bornholm, 0.0126, 18, 65",0.4174,1.0,bornholm offshore wind ; offshore wind ; wind turbines ; rønne harbor ; center bornholm
pro,19,34,8.638807,-1.2747014,"north sea, 0.0299, 31, 152 ; island north sea, 0.0200, 23, 43 ; energy island, 0.0200, 35, 313 ; energy island north, 0.0192, 22, 36 ; data center, 0.0188, 4, 38",0.7207,1.0,north sea ; island north sea ; energy island ; energy island north ; data center
pro,20,9,8.429312,-2.540783,"hanne storm edlefsen, 0.0341, 7, 38 ; energy islands, 0.0295, 15, 101 ; says hanne storm, 0.0295, 7, 19 ; foreign connections, 0.0219, 6, 14 ; north sea, 0.0145, 13, 44",0.6267,1.0,hanne storm edlefsen ; energy islands ; says hanne storm ; foreign connections ; north sea
