cluster,Source,x,y
1,pro,18.001507,-0.016914412
1,pro,18.116508,0.2951556
17,pro,17.292315,-0.10570037
1,pro,18.045113,0.99539506
17,pro,17.98763,-0.23990954
22,pro,17.48361,0.9931455
1,pro,18.36494,0.7646729
12,pro,14.4440565,0.2994004
1,pro,16.218418,0.814962
0,pro,13.9704895,-0.6533022
12,pro,14.701452,0.58474714
1,pro,17.1766,0.53087515
6,pro,15.303695,0.81941754
4,pro,15.002886,-0.72816056
1,pro,17.56145,0.23503351
12,pro,14.886361,0.9357718
0,pro,13.913483,-0.62810415
0,pro,13.937508,-0.6595583
3,pro,16.819181,0.1546071
6,pro,16.339693,-0.6765176
1,pro,17.982285,1.0072577
1,pro,18.018978,1.1933283
17,pro,17.575497,0.7792051
1,pro,17.704489,0.01666252
17,pro,17.859081,0.49192542
1,pro,16.847778,0.43613163
1,pro,18.187593,0.7826282
22,pro,17.741016,1.0693244
17,pro,17.812593,-0.24076138
4,pro,13.967412,-0.7734444
1,pro,16.146801,0.6794162
17,pro,16.256117,0.24424955
17,pro,18.31942,0.29645914
17,pro,16.90684,-0.057521757
16,pro,17.706617,-0.8069553
4,pro,15.114247,-0.2092422
17,pro,17.521702,-0.18921398
22,pro,18.538286,0.68041086
2,pro,18.683327,-0.39957818
1,pro,17.829714,0.15464579
17,pro,18.241444,-0.57600063
1,pro,16.454248,0.43986028
12,pro,14.575471,0.68283135
17,pro,17.806847,-0.073809065
4,pro,14.459293,-0.779821
19,pro,16.504356,-1.4420632
4,pro,14.898926,-0.35121632
3,pro,16.639793,0.23877011
12,pro,14.6412735,0.7890236
1,pro,18.243778,1.1191373
17,pro,18.287483,-0.16937385
1,pro,16.598661,0.9629529
6,pro,15.4109335,0.94840413
17,pro,17.877928,-0.44612026
1,pro,18.142527,1.2990248
19,pro,16.333916,-1.570629
12,pro,14.215257,0.08414514
17,pro,17.218988,0.3812808
12,pro,15.015389,-0.0943113
4,pro,15.189705,-0.9739759
4,pro,15.124237,-0.78137934
4,pro,14.522794,-0.80308807
4,pro,14.654975,-0.85637164
6,pro,16.030565,0.09325894
1,pro,18.483875,0.6031187
3,pro,15.377631,-0.27077675
1,pro,16.982605,0.59561324
12,pro,14.378144,0.76271415
19,pro,16.25008,-1.3354874
5,pro,17.765726,-0.8829068
12,pro,14.65423,0.09926018
6,pro,16.830458,0.79966366
19,pro,16.071398,-1.4950993
8,pro,14.709828,1.0919316
9,pro,13.934665,0.045881663
4,pro,14.498318,-0.6184616
22,pro,18.632338,1.2492484
12,pro,15.6435585,0.57918817
4,pro,14.210081,-0.45212847
0,pro,14.321977,-0.12942658
6,pro,16.319872,-0.46259037
6,pro,16.550817,-0.47475827
22,pro,17.699022,0.62199265
1,pro,18.137863,-0.25610834
7,pro,16.40914,1.0576868
17,pro,16.794222,-0.18550675
8,pro,14.649656,1.0773082
4,pro,15.406259,-1.1813006
9,pro,13.90906,0.24474156
0,pro,14.112023,-0.45679626
22,pro,18.583256,1.6239146
9,pro,13.840248,0.044177048
21,pro,18.397902,-0.40110272
0,pro,13.936202,-0.92342395
10,pro,15.356342,-0.84054375
17,pro,18.010906,-0.6251025
4,pro,14.578419,-0.72252715
12,pro,14.498451,0.56063074
0,pro,14.195326,-1.0104456
16,pro,17.228704,-0.80853325
4,pro,15.419854,0.3760184
11,pro,16.783957,-0.5988629
12,pro,14.387485,0.7801256
13,pro,14.85928,0.42107138
1,pro,18.143013,1.075931
22,pro,18.40629,1.2840413
11,pro,16.508549,-0.8334971
22,pro,18.15697,1.4814087
13,pro,14.850957,0.3746138
22,pro,18.097548,1.5867295
14,pro,15.287044,-0.20768654
22,pro,17.660498,1.5938812
8,pro,14.723923,1.1915562
3,pro,16.641724,-0.012482609
6,pro,16.918278,-0.1930936
19,pro,16.266964,-1.6034502
4,pro,15.218368,-0.22450602
6,pro,16.505808,-0.39785525
22,pro,17.923763,0.6354007
19,pro,15.814576,-0.68482
8,pro,14.221858,0.9679944
19,pro,15.671882,-1.0100306
17,pro,17.848646,-0.41194358
1,pro,18.279598,0.29905844
8,pro,14.513041,1.1749847
15,pro,15.734986,0.05167997
6,pro,15.831288,-0.7698327
21,pro,18.559175,-0.5308656
1,pro,15.933348,0.76832676
3,pro,17.967014,1.4412494
22,pro,15.234192,0.11756561
9,pro,13.789288,-0.025047213
1,pro,18.193697,-0.15255478
6,pro,16.443773,-0.5395891
17,pro,16.944897,-0.13107663
1,pro,18.478855,1.4924713
12,pro,14.458944,0.5623744
19,pro,15.583323,-1.364403
22,pro,18.495161,1.527429
19,pro,17.238127,0.87920964
12,pro,14.419954,0.5055468
19,pro,16.094063,-1.6363212
16,pro,17.222622,-0.9510283
17,pro,17.343277,-0.27781856
1,pro,16.862455,0.8189536
22,pro,17.280033,0.6722088
19,pro,15.984161,-1.1761227
19,pro,16.059847,-1.1465468
17,pro,17.652187,-0.41881427
1,pro,18.286474,0.26088658
17,pro,18.337257,0.038800534
12,pro,15.048066,0.90519357
6,pro,14.901754,-0.77510273
22,pro,18.774431,1.0322539
1,pro,18.450548,1.1047829
22,pro,17.82605,1.4405196
17,pro,18.14791,-0.08740511
18,pro,14.912482,1.2559632
1,pro,18.359562,1.1194904
19,pro,16.345055,-1.1950301
14,pro,15.278801,-0.026156716
19,pro,15.981708,-1.5541909
20,pro,14.007981,0.5303924
20,pro,13.9375,0.43654516
6,pro,16.49881,-0.3934414
4,pro,14.205648,-1.124628
0,pro,14.03536,-0.83660525
17,pro,17.652124,0.44981655
22,pro,18.35763,0.6473403
14,pro,15.884828,-0.027890537
4,pro,14.362875,-0.95381886
19,pro,15.767794,-1.1513946
22,pro,18.458443,1.5602748
20,pro,13.981546,0.44923317
21,pro,18.528837,-0.50992817
0,pro,13.806432,-0.8048159
22,pro,17.635635,0.4853389
16,pro,17.020107,-1.248019
4,pro,14.257613,-1.0890816
1,pro,18.53662,1.693535
22,pro,18.458027,1.3087463
56,reg,-0.2342608,0.23506951
26,reg,-1.6390578,-0.6860341
71,reg,1.5689961,-1.9000008
0,reg,-0.56690615,0.066716805
0,reg,-0.5830945,0.13388868
13,reg,2.3712068,-0.8398695
6,reg,2.6830676,0.15383658
1,reg,1.7325758,-1.1113868
71,reg,1.8960776,-0.3763726
2,reg,1.6924539,-0.5690844
