cluster,Source,x,y
1,pro,1.8784721,6.4204535
2,pro,1.8212141,6.4617877
10,pro,1.6355424,6.524535
1,pro,0.36034587,6.442944
10,pro,1.8814244,6.4692426
1,pro,0.44105935,6.498039
2,pro,1.1585144,6.7531204
11,pro,1.8007702,7.3253226
11,pro,1.7695298,6.920912
0,pro,1.9736346,7.745267
23,pro,1.321966,7.0673246
2,pro,1.6824076,6.711429
23,pro,1.8162569,7.131734
4,pro,2.1841927,7.444496
2,pro,1.614935,6.5380063
23,pro,1.7425339,7.1741633
0,pro,1.9585664,7.78662
0,pro,1.9976931,7.789305
66,pro,3.8552685,9.271821
5,pro,3.8312936,8.712563
1,pro,0.15279378,6.3017597
1,pro,0.7240403,6.810351
10,pro,0.78211963,7.3909554
2,pro,1.7065415,6.517919
10,pro,1.7137661,6.574612
2,pro,1.782832,6.775591
2,pro,1.2744389,6.6067357
15,pro,0.7267881,7.3443656
10,pro,1.7670983,6.4613647
4,pro,1.933359,7.761143
2,pro,1.9099724,6.948861
10,pro,1.8772464,6.8846903
10,pro,1.3874164,6.68674
86,pro,2.7353826,8.434392
10,pro,1.3928815,6.269647
3,pro,2.1515813,7.450983
10,pro,1.7303464,6.595926
15,pro,-0.34736437,6.9125805
62,pro,2.227988,6.297104
2,pro,1.5268496,6.7278457
62,pro,2.2118204,6.291633
2,pro,2.049505,6.9065657
8,pro,1.7723918,7.307
10,pro,1.6966074,6.5309377
4,pro,2.0037377,7.739005
12,pro,1.0448673,6.3262844
3,pro,2.3124604,7.479569
66,pro,3.6335788,9.054423
8,pro,1.8457422,7.372711
1,pro,0.49721953,6.406836
62,pro,1.989894,6.5343814
2,pro,2.1090195,6.7590356
5,pro,1.8056962,7.039387
91,pro,2.0454743,6.636544
1,pro,0.27204672,6.6700106
12,pro,1.0524352,6.3489785
8,pro,1.9569116,7.487144
11,pro,1.5198852,6.942087
3,pro,2.0754266,7.4488287
4,pro,2.0114074,7.376049
4,pro,2.019712,7.3562903
4,pro,2.014782,7.557762
4,pro,2.0575159,7.624157
5,pro,1.926859,7.0245333
2,pro,1.0463396,6.811236
3,pro,1.9113228,7.195206
2,pro,2.069582,6.7198443
8,pro,1.8987539,7.412071
23,pro,0.51791745,6.2315316
95,pro,1.0419452,6.1607866
8,pro,1.6109669,7.4548373
48,pro,0.8520864,6.393336
12,pro,1.1109012,6.3745966
8,pro,1.8881277,7.3419847
6,pro,2.1059957,7.649644
4,pro,1.9519026,7.7525587
25,pro,-1.315193,7.590991
43,pro,-1.3517585,7.6916766
4,pro,1.9764721,7.722771
0,pro,2.0739107,7.554723
5,pro,3.1772242,8.559413
5,pro,3.491029,8.795286
47,pro,1.3951831,6.8075285
2,pro,1.9469075,6.613756
3,pro,2.1702957,6.87998
86,pro,3.2940798,8.793436
8,pro,1.9552294,7.3593073
4,pro,2.0551376,7.223486
6,pro,1.9856362,7.6583486
0,pro,2.1804442,7.8023453
15,pro,-0.09898199,7.2746406
6,pro,2.0903778,7.6689863
14,pro,1.9417667,6.679908
0,pro,1.9310782,7.8201885
7,pro,1.3859389,7.490101
10,pro,1.9047675,6.307191
4,pro,1.964953,7.702684
8,pro,1.812296,7.3653026
