Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,0,9,"kattegat connection, 0.0254, 1, 10 ; co2 emissions, 0.0252, 6, 20 ; road directorate, 0.0229, 1, 9 ; co2 tax, 0.0207, 6, 12 ; district heating, 0.0180, 5, 21",0.363,1.0,kattegat connection ; co2 emissions ; road directorate ; co2 tax ; district heating
pro,1,31,"energy island, 0.0159, 29, 269 ; energy islands, 0.0080, 26, 143 ; wind turbines, 0.0071, 22, 61 ; artificial island, 0.0066, 6, 12 ; early 2030s, 0.0066, 1, 3",0.7054,1.0,energy island ; energy islands ; wind turbines ; artificial island ; early 2030s
pro,2,1,"marine mammals, 0.2250, 1, 6 ; per cent, 0.0777, 1, 3 ; rønne banke, 0.0684, 1, 2 ; must used, 0.0636, 1, 2 ; baltic sea, 0.0546, 1, 3",1.0,1.0,marine mammals ; per cent ; rønne banke ; must used ; baltic sea
pro,3,5,"end muffler, 0.0390, 1, 13 ; market design, 0.0366, 1, 17 ; anders pallesen, 0.0234, 1, 6 ; kriegers flak, 0.0204, 2, 8 ; electricity system, 0.0185, 3, 8",0.2533,1.0,end muffler ; market design ; anders pallesen ; kriegers flak ; electricity system
pro,4,18,"nuclear power, 0.0183, 2, 22 ; bent lauritzen, 0.0146, 1, 14 ; 70 percent, 0.0129, 10, 22 ; climate act, 0.0108, 7, 27 ; electricity consumption, 0.0096, 7, 24",0.2407,1.0,nuclear power ; bent lauritzen ; 70 percent ; climate act ; electricity consumption
pro,5,1,"light pollution, 0.5425, 1, 15 ; energy projects, 0.1152, 1, 4 ; marine environment, 0.0572, 1, 2 ; square kilometers, 0.0571, 1, 2 ; environmental impact, 0.0498, 1, 2",1.0,1.0,light pollution ; energy projects ; marine environment ; square kilometers ; environmental impact
pro,6,13,"wave power, 0.0253, 1, 15 ; shipping industry, 0.0202, 1, 7 ; sensors wings, 0.0158, 1, 6 ; converter stations, 0.0136, 2, 12 ; open door, 0.0100, 2, 8",0.0923,0.0,wave power ; shipping industry ; sensors wings ; converter stations ; open door
pro,7,1,"quantum computers, 0.1691, 1, 13 ; brynjar sævarsson, 0.1431, 1, 11 ; quantum computer, 0.1431, 1, 24 ; says brynjar sævarsson, 0.0910, 1, 7 ; says brynjar, 0.0910, 1, 7",1.0,1.0,quantum computers ; brynjar sævarsson ; quantum computer ; says brynjar sævarsson ; says brynjar
pro,8,5,"la cour, 0.0887, 1, 21 ; tejs vegge, 0.0711, 2, 16 ; says tejs vegge, 0.0363, 2, 8 ; says tejs, 0.0342, 2, 8 ; experimental mill, 0.0310, 1, 7",0.32,1.0,la cour ; tejs vegge ; says tejs vegge ; says tejs ; experimental mill
pro,9,4,"philip fosbøl, 0.0561, 1, 9 ; million tonnes, 0.0413, 4, 15 ; biogas denmark, 0.0387, 2, 11 ; co2 biogas, 0.0279, 2, 12 ; climate council, 0.0277, 3, 14",0.5667,1.0,philip fosbøl ; million tonnes ; biogas denmark ; co2 biogas ; climate council
pro,10,1,"make easier, 0.1526, 1, 5 ; labor market, 0.1525, 1, 5 ; danish companies, 0.1161, 1, 4 ; danish business, 0.0836, 1, 3 ; denmark says, 0.0807, 0, 0",0.9333,1.0,make easier ; labor market ; danish companies ; danish business ; denmark says
pro,11,2,"oil gas, 0.0530, 1, 2 ; energy consumption, 0.0494, 1, 2 ; green tax, 0.0349, 1, 1 ; turbine projects, 0.0330, 2, 2 ; wind turbine projects, 0.0330, 2, 2",0.6,1.0,oil gas ; energy consumption ; green tax ; turbine projects ; wind turbine projects
pro,12,15,"natural gas, 0.0170, 4, 20 ; nuclear power, 0.0152, 1, 25 ; cip foundation, 0.0139, 1, 10 ; hydrogen produced, 0.0109, 4, 8 ; ptx plants, 0.0103, 4, 8",0.1733,0.0,natural gas ; nuclear power ; cip foundation ; hydrogen produced ; ptx plants
pro,13,2,"morten hesselager, 0.1124, 2, 14 ; morten hesselager pedersen, 0.1124, 2, 14 ; hesselager pedersen, 0.1124, 2, 14 ; says morten hesselager, 0.0482, 2, 6 ; maersk oil, 0.0482, 2, 6",1.0,1.0,morten hesselager ; morten hesselager pedersen ; hesselager pedersen ; says morten hesselager ; maersk oil
