Group,Rows,Average Score
1,"[0, 55]",4.5
2,"[1, 43]",5.0
3,"[33, 6, 38, 39, 42, 43, 13, 46, 48, 50, 53, 27, 29, 31]",2.79
4,"[65, 10, 55]",3.83
5,"[18, 12]",5.0
6,"[65, 38, 39, 42, 43, 13, 46, 48, 50, 53, 55, 27]",3.08
7,"[27, 50, 19]",3.33
8,"[30, 31, 33, 35, 38, 39, 41, 42, 43, 45, 46, 48, 50, 53, 55, 56, 65, 70, 71]",2.72
9,"[32, 50]",5.0
10,"[65, 34, 43, 55]",4.83
11,"[50, 36]",5.0
12,"[50, 38]",5.0
13,"[49, 39]",4.5
14,"[65, 41, 42, 43, 46, 48, 50, 53, 56]",4.14
15,"[42, 43, 46, 48, 50, 53]",3.9
16,"[57, 43, 55]",4.17
17,"[50, 44]",5.0
18,"[45, 46, 48, 50, 53, 56]",4.47
19,"[65, 46, 48, 50, 53, 55]",3.97
20,"[56, 65, 50, 53]",3.33
21,"[70, 71, 52, 53, 56]",2.4
22,"[65, 70, 71, 54, 55, 56]",2.83
23,"[60, 55]",6.0
24,"[58, 62]",4.5
25,"[65, 59, 60, 63]",3.92
26,"[65, 61, 63]",4.67
27,"[64, 65, 72]",4.83
28,"[72, 65]",5.0
29,"[2, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 28, 37, 40, 47, 51, 66, 67, 68, 69, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",0.23
