cluster,Source,x,y
29,pro,10.209663,4.219258
9,pro,9.758549,4.3853464
4,pro,11.127755,3.518726
30,pro,9.364584,4.613002
4,pro,10.935738,3.5186172
0,pro,10.108182,4.236002
7,pro,8.941917,5.100207
15,pro,11.173157,4.5393
15,pro,13.328368,5.3401103
2,pro,12.658147,5.84611
1,pro,10.943552,4.377114
5,pro,9.787344,5.219052
1,pro,10.864753,4.2696533
63,pro,8.88815,5.1944766
30,pro,10.558873,4.2333655
1,pro,10.84003,4.2208405
2,pro,10.073038,5.4197783
2,pro,12.680733,5.8196344
4,pro,10.788654,3.507942
77,pro,14.70099,4.0585537
41,pro,10.181882,4.6141706
0,pro,10.471069,4.1169705
4,pro,11.270254,3.5689557
18,pro,10.478763,4.1618752
3,pro,8.816925,4.7891335
3,pro,8.848026,5.359622
0,pro,10.096458,4.76088
4,pro,11.173015,3.5559835
0,pro,9.766362,4.8189263
49,pro,7.9872804,5.111881
5,pro,9.893293,5.2779384
6,pro,8.991077,5.2840323
10,pro,9.106544,5.0547338
24,pro,8.298919,5.0810585
17,pro,9.880079,4.598807
6,pro,9.79178,5.077777
57,pro,9.498679,5.0719557
41,pro,9.965795,4.097554
92,pro,8.946032,4.3697925
3,pro,8.451774,5.3412566
0,pro,10.554226,3.7763023
6,pro,9.127606,5.3609395
12,pro,11.500229,4.5698977
0,pro,10.521391,4.027438
36,pro,9.790541,5.504916
1,pro,10.727903,4.2837763
6,pro,9.808906,5.459212
9,pro,9.269157,5.352587
1,pro,11.163043,4.116203
63,pro,8.907505,4.373165
8,pro,10.5373955,3.7839952
19,pro,9.753296,3.752505
0,pro,9.849812,4.2164826
88,pro,14.353874,4.565604
16,pro,10.531633,3.472447
30,pro,9.671807,4.5407705
15,pro,10.017669,5.4269996
0,pro,9.742529,4.7196665
12,pro,9.927157,5.480889
6,pro,9.438699,5.4155293
6,pro,9.6484165,5.2004404
6,pro,9.06868,5.214904
15,pro,9.845854,5.0483475
6,pro,8.769902,5.5302343
1,pro,10.830407,4.255281
63,pro,8.740422,5.1139283
1,pro,9.682298,4.8267665
28,pro,10.655162,4.6077185
27,pro,8.998715,4.7832565
37,pro,13.271351,4.9949384
6,pro,8.599383,5.1128025
92,pro,9.061078,2.1997552
30,pro,10.138433,4.715287
12,pro,11.371065,4.5096364
5,pro,10.105831,5.476641
46,pro,9.41045,3.753288
24,pro,8.3852825,5.054266
20,pro,8.552222,3.1278226
5,pro,10.056941,5.432946
2,pro,12.816213,5.874935
1,pro,10.764662,4.1629906
41,pro,10.538959,4.4895663
30,pro,9.534757,4.645929
29,pro,9.789308,3.8339338
10,pro,14.479258,5.3935876
30,pro,8.882695,5.591068
27,pro,9.504296,4.964695
17,pro,12.397499,5.1812925
17,pro,12.654311,5.8262215
73,pro,12.704149,5.836452
