cluster,Source,x,y
1,pro,-8.099294,8.552475
3,pro,-8.070214,8.503757
12,pro,-8.253642,8.940435
30,pro,-8.316438,8.64098
8,pro,-7.876884,8.929497
30,pro,-8.162017,7.7565103
29,pro,-8.486787,7.2069426
3,pro,-7.594715,8.153081
5,pro,-8.750586,8.172292
0,pro,-6.863846,8.9902
4,pro,-7.177085,8.571649
5,pro,-8.678982,8.421745
3,pro,-8.064112,8.480024
3,pro,-9.102184,8.386922
15,pro,-7.4881444,7.0688353
2,pro,-6.975261,7.743506
0,pro,-6.879333,8.970971
0,pro,-6.857994,8.982574
14,pro,-8.002919,7.740963
4,pro,-7.122338,8.730987
0,pro,-7.0399976,8.765701
14,pro,-8.261777,7.4534273
21,pro,-8.739801,8.033138
1,pro,-8.588685,8.127488
15,pro,-7.530969,7.131095
8,pro,-8.536395,8.348841
21,pro,-8.569797,8.310825
8,pro,-8.237617,8.442835
1,pro,-8.684306,8.464136
23,pro,-8.64954,8.750515
3,pro,-7.5651217,8.471062
0,pro,-6.8718505,8.984087
26,pro,-7.5504327,9.0169735
26,pro,-7.3830495,9.036627
21,pro,-8.293983,7.923353
1,pro,-8.364753,8.558405
12,pro,-8.197207,8.925477
4,pro,-7.222719,8.459532
1,pro,-7.94972,8.821783
1,pro,-8.533042,8.222188
1,pro,-8.474733,8.7251215
1,pro,-8.393139,8.199743
30,pro,-8.123095,8.719899
4,pro,-7.7398396,8.629196
12,pro,-7.986608,8.74399
3,pro,-8.096032,8.645289
5,pro,-8.859656,8.330576
1,pro,-7.9218664,8.770976
0,pro,-6.9708843,8.850609
3,pro,-8.055116,7.7703824
20,pro,-7.031737,7.8646607
21,pro,-8.780493,8.104419
1,pro,-8.29901,8.797208
3,pro,-7.836692,8.691155
2,pro,-6.9273834,7.7380056
21,pro,-8.341473,8.736281
24,pro,-8.999764,6.9089293
4,pro,-7.604408,8.715172
0,pro,-6.835781,9.014169
8,pro,-8.521847,8.141972
3,pro,-7.4258184,8.304161
4,pro,-7.494729,8.898276
5,pro,-7.405175,8.935419
26,pro,-7.706925,9.016692
26,pro,-7.3741016,9.048912
3,pro,-7.6438074,8.350271
4,pro,-7.2613196,8.311188
1,pro,-8.5079365,8.506133
3,pro,-7.74385,8.459368
2,pro,-6.9292774,7.885825
21,pro,-8.992293,8.283999
21,pro,-8.84166,8.476617
8,pro,-8.250835,8.740302
8,pro,-7.5805964,8.919153
9,pro,-7.526291,8.14326
8,pro,-8.45751,8.6112385
1,pro,-9.283763,7.7707763
6,pro,-6.886951,8.932791
3,pro,-7.885377,8.334349
16,pro,-8.612219,6.478711
21,pro,-8.404932,8.463087
26,pro,-7.467152,8.977534
0,pro,-6.8586345,8.981036
26,pro,-7.3540206,9.001544
4,pro,-7.605444,8.136383
1,pro,-8.328127,8.436371
9,pro,-7.5518155,8.078821
9,pro,-7.525183,7.9174814
21,pro,-8.503165,8.8412695
2,pro,-6.89181,7.824828
5,pro,-8.78477,8.340325
6,pro,-6.948282,8.884586
6,pro,-6.8922095,8.990267
21,pro,-7.885913,8.062146
6,pro,-6.7910137,8.880193
9,pro,-7.430441,8.127521
0,pro,-7.669675,8.816304
29,pro,-8.621245,8.779489
4,pro,-7.854982,8.723789
26,pro,-7.485826,9.013423
1,pro,-8.122235,8.324209
23,pro,-9.583154,7.9174457
1,pro,-8.081319,8.569612
26,pro,-8.917379,8.041886
8,pro,-8.382806,8.24108
3,pro,-7.480417,8.751031
7,pro,-8.094249,7.965893
15,pro,-8.51571,6.9559793
16,pro,-7.9068155,7.1154647
3,pro,-7.8556957,8.17419
14,pro,-7.821615,7.788671
7,pro,-7.9955463,7.923295
15,pro,-7.5390463,6.9090195
21,pro,-9.234681,8.379159
21,pro,-8.920384,8.349309
2,pro,-6.9067135,7.7266026
5,pro,-8.7892,8.266067
26,pro,-7.944525,8.995283
12,pro,-8.330631,8.947084
12,pro,-8.352642,9.0202875
4,pro,-7.691489,7.8621054
12,pro,-8.432844,8.900317
9,pro,-7.421373,8.30378
1,pro,-9.069882,8.143183
2,pro,-6.8987174,7.892242
26,pro,-7.572559,9.011953
1,pro,-8.049928,8.718976
8,pro,-7.9730115,8.992057
2,pro,-6.9070663,7.8574405
3,pro,-7.3365264,8.29022
8,pro,-8.644637,8.610744
9,pro,-7.516878,7.9068737
4,pro,-7.005175,8.899175
21,pro,-8.472882,7.95373
4,pro,-7.2675276,8.397343
6,pro,-6.8597903,8.98655
15,pro,-7.3169603,6.7973065
26,pro,-7.2941704,8.994137
29,pro,-8.04071,8.548733
15,pro,-7.3627386,6.76903
23,pro,-7.904608,8.710496
1,pro,-9.225108,8.133831
10,pro,-8.154736,6.6541796
8,pro,-8.782236,8.703438
3,pro,-8.066823,8.312139
