cluster,Source,x,y
1,pro,13.448249,4.5676913
2,pro,15.51402,4.719756
4,pro,13.212861,4.3568316
1,pro,13.250701,3.3344097
2,pro,16.658966,4.1419425
2,pro,16.385548,4.2481027
2,pro,16.223465,4.477619
2,pro,16.308846,3.7664828
2,pro,16.393143,4.5626187
2,pro,16.537228,3.9651499
2,pro,15.992065,4.6335807
2,pro,16.615755,4.126181
2,pro,16.833002,4.0585594
2,pro,16.628408,3.7716103
3,pro,16.559994,3.8976593
2,pro,16.375914,3.9968803
2,pro,16.832064,4.1643405
2,pro,16.930277,4.171083
2,pro,16.009851,4.480179
2,pro,16.44244,4.2015743
2,pro,17.033504,4.253127
2,pro,15.587779,4.017454
2,pro,15.431355,4.4192595
2,pro,16.004398,3.8215687
2,pro,16.341242,4.0788064
2,pro,16.108208,4.0002728
2,pro,16.481476,4.137354
2,pro,16.67829,4.1714315
4,pro,14.237257,3.6605592
2,pro,16.42727,4.23213
2,pro,15.98232,4.384297
2,pro,16.956259,3.9860525
2,pro,16.725296,4.3225474
2,pro,16.701574,4.394687
3,pro,16.552584,3.397405
2,pro,15.787873,4.268315
2,pro,15.37277,4.400723
3,pro,16.615238,3.862371
2,pro,16.352293,3.8365612
2,pro,16.231441,3.7588382
0,pro,14.158008,4.3432083
2,pro,15.690787,3.5186245
4,pro,13.805796,4.5812283
2,pro,16.252598,4.393045
4,pro,15.608657,4.5996666
3,pro,15.552428,3.2742963
3,pro,16.636919,3.6652675
0,pro,16.060472,3.360976
2,pro,16.415455,4.2939095
2,pro,16.414751,3.4435844
2,pro,16.717052,4.444264
2,pro,14.143373,4.608538
2,pro,15.249381,3.3104339
2,pro,15.947666,4.3486066
2,pro,16.690617,4.1133595
2,pro,16.098791,4.4932942
3,pro,16.562603,3.856702
2,pro,16.027382,4.207293
2,pro,16.73911,4.394775
3,pro,16.685032,3.5696785
2,pro,16.627811,4.3616314
2,pro,16.614098,4.378354
2,pro,16.05953,4.191335
2,pro,16.523872,3.7577164
3,pro,16.287203,3.6999066
3,pro,16.631952,3.5510967
3,pro,15.090214,4.409359
2,pro,14.7353115,3.9532812
2,pro,16.379734,4.4355073
2,pro,16.590101,4.459576
2,pro,15.836538,4.4745502
2,pro,16.61086,3.4691348
0,pro,14.846291,4.470596
3,pro,15.902743,2.8710961
2,pro,16.517574,3.5006287
0,pro,16.480335,4.5331492
0,pro,13.103799,4.4437065
2,pro,17.031874,4.0950036
2,pro,15.602521,4.60582
1,pro,13.528371,3.5309925
0,pro,13.937144,3.2503257
2,pro,16.977398,4.0256934
2,pro,16.987568,3.9486463
4,pro,15.364504,4.675783
2,pro,16.010433,4.295591
3,pro,16.704319,3.5570161
2,pro,15.90501,3.9369771
2,pro,15.93985,3.8843825
0,pro,14.033173,4.199461
2,pro,16.658056,4.491131
2,pro,16.116095,3.9472997
2,pro,16.952215,4.293612
2,pro,16.572088,4.334619
4,pro,14.124892,3.610769
2,pro,16.998358,4.1638794
2,pro,15.9856,4.0275087
2,pro,16.59316,3.4297504
0,pro,14.747883,2.4406135
4,pro,14.989394,4.706989
3,pro,16.794361,3.9723775
0,pro,14.368411,4.8048334
0,pro,14.819947,2.408249
2,pro,16.236954,3.1054935
0,pro,15.613492,3.4506693
0,pro,14.774916,3.0813034
2,pro,16.742662,4.26546
2,pro,16.471954,3.0261931
2,pro,16.39286,3.5601604
2,pro,16.119255,4.167046
1,pro,13.193083,2.8166
2,pro,15.393139,4.6692615
3,pro,16.48039,3.0490673
2,pro,15.958039,4.5345807
0,pro,13.477907,2.9015558
3,pro,15.13095,3.8991163
2,pro,16.29427,4.5957685
3,pro,16.495264,3.1123943
2,pro,15.0147295,4.710396
2,pro,16.52513,4.5723476
2,pro,15.404522,4.4186883
2,pro,16.646067,4.278965
2,pro,16.603748,4.53587
3,pro,16.646444,3.49394
2,pro,14.969897,4.0918546
2,pro,16.713634,3.8668141
3,pro,16.181145,3.6266475
2,pro,16.685482,4.1011496
2,pro,16.621235,4.5327716
2,pro,16.098822,4.5215926
2,pro,15.812767,3.0831923
0,pro,14.898146,2.898685
2,pro,15.830584,4.267109
2,pro,16.605755,4.5489454
0,pro,15.180339,3.3513813
2,pro,14.93069,4.75082
2,pro,16.460754,4.2893934
2,pro,16.123896,3.7141933
2,pro,15.374476,4.1639967
2,pro,16.6972,4.370688
3,pro,16.489475,3.9795823
2,pro,15.765108,4.58857
0,pro,13.942429,3.5585144
4,pro,14.2055645,4.339223
1,pro,13.420669,3.7424114
3,pro,15.923591,4.3810225
0,pro,14.6176815,4.290118
2,pro,15.70197,3.6594915
2,pro,16.623991,3.8325157
2,pro,15.936663,3.848816
4,pro,14.88028,3.6778395
2,pro,15.86963,4.0527925
2,pro,15.910117,4.147926
0,pro,15.55905,3.413151
2,pro,16.163034,4.087419
3,pro,15.703969,2.8077745
1,pro,13.201484,2.7456548
2,pro,16.712494,4.1248603
2,pro,15.460515,4.630006
4,pro,13.256494,4.371472
4,pro,13.696009,4.6300197
2,pro,15.880792,3.7408168
2,pro,15.71108,4.732295
2,pro,16.22803,4.54533
2,pro,15.617809,4.1221905
2,pro,16.582945,4.0898056
0,pro,16.242203,4.088026
3,pro,15.57314,2.2750168
2,pro,16.150324,4.2089834
3,pro,17.037153,4.034292
2,pro,17.069054,4.254614
2,pro,15.929345,4.0770397
0,pro,13.728333,3.1946723
3,pro,15.122952,4.526926
0,pro,15.645956,3.4167688
0,pro,14.602077,3.983822
0,pro,14.601814,4.027942
2,pro,16.49,4.3705187
2,pro,15.943481,4.062944
0,pro,14.768003,2.976751
2,pro,16.962069,4.305927
2,pro,16.02995,3.9947839
2,pro,16.473558,3.5167286
3,pro,15.762611,3.621998
0,pro,14.901803,2.7289207
3,pro,15.269057,4.345538
3,pro,15.709594,3.8851879
3,pro,14.662795,4.373651
0,reg,13.212172,2.5814886
3,reg,16.330963,2.4846342
4,reg,14.07753,4.7821927
2,reg,15.966913,3.4699636
0,reg,14.250112,2.7148151
3,reg,15.387102,4.318245
0,reg,13.583562,2.8389273
3,reg,16.291107,2.5103736
4,reg,14.441301,4.058764
4,reg,13.230513,4.2315683
4,reg,14.407604,4.085274
3,reg,15.45496,4.2091026
3,reg,15.696565,2.8839457
0,reg,13.076212,2.834542
0,reg,14.245415,4.1092854
3,reg,16.32199,2.4868486
3,reg,15.899955,3.9899678
2,reg,15.904479,4.46076
3,reg,15.485195,4.2275414
0,reg,15.39308,4.3421316
3,reg,16.468128,2.948084
1,reg,13.105343,2.9952674
2,reg,16.617767,3.416379
1,reg,12.625074,2.8932965
3,reg,16.347464,2.4786856
0,reg,13.850732,2.6658375
1,reg,13.586488,2.655003
3,reg,16.3458,2.4825256
3,reg,16.345848,2.5545092
0,reg,13.795001,4.017979
3,reg,16.281725,2.589677
3,reg,15.778675,2.5287151
0,reg,14.529491,2.8138003
2,reg,15.445111,4.5205708
0,reg,14.570681,3.268967
4,reg,14.063758,3.9517767
0,reg,13.807746,3.6677186
3,reg,15.008455,2.482683
2,reg,15.098072,3.5955155
1,reg,13.74287,4.5806665
3,reg,15.290104,3.2446606
2,reg,15.326297,3.2009585
1,reg,15.093198,3.7923365
0,reg,13.388015,3.6448162
2,reg,15.882375,3.0963595
4,reg,12.848822,3.9437966
2,reg,15.245425,3.9345624
1,reg,13.430005,2.9900095
3,reg,15.727651,4.232789
3,reg,14.990855,3.0178056
3,reg,16.41979,2.9146147
2,reg,16.520723,4.389763
1,reg,15.090073,3.3425071
2,reg,15.801783,4.1477194
3,reg,16.44729,3.0211697
1,reg,12.67963,3.2947674
2,reg,15.904274,4.67044
2,reg,15.453845,4.487768
4,reg,12.926246,3.8542984
4,reg,13.10538,4.325786
2,reg,16.17061,3.2860644
1,reg,13.4055395,4.6895876
2,reg,15.436613,3.3611176
2,reg,15.918632,2.654205
1,reg,13.127624,3.6208346
3,reg,15.117827,3.9879806
2,reg,15.575693,4.5023746
3,reg,16.20768,3.3758295
0,reg,14.41055,2.872209
2,reg,15.293564,4.689629
1,reg,13.540718,3.2853382
3,reg,16.050095,2.5133922
0,reg,12.896608,3.0318298
2,reg,15.6656,4.5743723
2,reg,16.190147,4.352412
0,reg,14.478285,2.3700497
3,reg,15.349632,2.5022805
3,reg,15.155655,3.6303525
0,reg,14.512825,2.2281036
4,reg,13.421762,4.1590037
2,reg,15.247086,3.8439708
4,reg,13.34775,4.193342
4,reg,13.24927,4.4369884
