cluster,Source,x,y
95,pro,-0.012879258,0.51209235
17,pro,0.87103164,1.7527871
8,pro,0.4436798,1.1083047
14,pro,0.72331303,2.4161541
0,pro,1.0028812,1.3022511
0,pro,1.0488663,1.5357475
35,pro,1.2021558,2.5389502
8,pro,0.41692552,1.2512183
2,pro,1.0305911,0.88710153
3,pro,-0.10874133,1.9748226
19,pro,0.8293404,0.91647464
17,pro,0.04880464,2.2231572
5,pro,0.7827927,1.0808043
33,pro,0.37846234,3.0777888
17,pro,0.7292927,1.6470466
4,pro,1.4063252,1.2958082
3,pro,0.34875414,1.2259897
3,pro,-0.20594618,1.8970851
12,pro,1.1620882,1.9753352
5,pro,-1.6049083,0.29132423
6,pro,0.39528975,1.1048126
0,pro,1.3014382,1.7099792
18,pro,1.1368182,1.1653835
8,pro,0.49263144,1.1582181
17,pro,0.6255646,2.0398726
14,pro,1.035652,3.3703594
1,pro,1.3226272,3.9249392
1,pro,0.9153423,3.6398597
34,pro,0.36017466,1.0850219
19,pro,0.6467013,2.6590765
51,pro,0.62720966,3.3206747
1,pro,0.24074426,3.113977
2,pro,0.03138636,2.072392
2,pro,0.113787696,1.7155935
4,pro,1.2925359,2.9379773
4,pro,1.0530788,2.7717414
14,pro,0.829398,2.5265942
19,pro,0.9116112,1.1731757
35,pro,1.0265069,2.961552
0,pro,1.3102082,3.128467
84,pro,-2.1013823,-2.0279398
14,pro,1.0102115,3.6100204
12,pro,2.840473,2.305047
4,pro,1.1512523,2.7461367
34,pro,0.15437007,0.85991913
19,pro,1.2042668,1.2150658
3,pro,-0.14368467,2.0030098
49,pro,2.4918015,1.1388788
2,pro,0.109069064,1.8128572
35,pro,0.32099208,2.01159
34,pro,0.6562332,0.82477915
30,pro,1.5683897,3.1643617
22,pro,1.464515,1.1641731
4,pro,1.3438083,2.7702737
4,pro,1.305526,3.0251403
16,pro,-2.6392982,0.30184507
17,pro,1.0684348,1.3528069
14,pro,0.20904477,2.3175929
2,pro,-0.034017652,2.0120413
8,pro,0.23872496,1.9014225
3,pro,-0.18630634,1.5098598
2,pro,0.12074054,2.0649223
40,pro,2.1255298,3.1756785
1,pro,1.130857,3.879869
14,pro,0.6729526,2.385563
40,pro,1.352106,3.0629604
19,pro,1.0149302,1.0832347
4,pro,0.8473043,3.2261152
2,pro,0.34417552,1.8466591
44,pro,1.3618928,2.6389081
40,pro,0.95639807,3.2174003
42,pro,0.20178273,2.1831245
46,pro,1.4734735,2.2400331
49,pro,0.36283055,3.3582501
84,pro,-3.0832121,-1.6662928
4,pro,1.3748968,2.8027678
2,pro,0.18320277,0.834181
3,pro,-0.10754764,1.5267192
35,pro,1.0917848,2.5293038
37,pro,0.8726134,3.628711
10,pro,2.3184564,3.1657307
32,pro,0.08814483,2.0018358
3,pro,-0.61832535,-0.20911491
5,pro,0.7526472,1.1566405
5,pro,0.75100636,1.1432725
19,pro,1.3912185,1.1383772
23,pro,1.1512207,1.7022278
88,pro,-2.1361356,-1.0825148
34,pro,0.27508804,1.7505765
4,pro,1.3741283,2.9661686
55,pro,1.481244,0.8680692
