topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, bornholm, green, energi, baltic",7,105,0.067
0,"11, hydrogen, grid, offshor, system",1,105,0.01
0,"13, control, system, power, convert",1,105,0.01
0,"14, municip, bornholm, plant, energinet",20,105,0.19
0,"15, municip, plan, consult, area",9,105,0.086
0,"16, wind, turbin, offshor, area",2,105,0.019
0,"19, busi, bornholm, dream, park",7,105,0.067
0,"20, bornholm, project, energi, food",3,105,0.029
0,"23, neighbor, land, bornholm, municip",14,105,0.133
0,"3, grid, power, harmon, convert",1,105,0.01
0,"30, museum, archaeolog, archaeologist, bornholm",9,105,0.086
0,"31, busi, bornholm, cabl, municip",5,105,0.048
0,"34, wind, bornholm, energi, island",2,105,0.019
0,"38, bornholm, project, energi, connect",2,105,0.019
0,"5, wind, bornholm, energi, island",2,105,0.019
0,"6, bornholm, cultur, municip, also",18,105,0.171
0,"9, island, bornholm, sea, energi",1,105,0.01
0,Noise,1,105,0.01
1,"11, hydrogen, grid, offshor, system",6,108,0.056
1,"18, hydrogen, bornholm, energi, offshor",15,108,0.139
1,"2, offshor, energi, wind, grid",20,108,0.185
1,"25, billion, offshor, sea, project",8,108,0.074
1,"26, electr, wind, energi, island",7,108,0.065
1,"33, energi, project, wind, offshor",9,108,0.083
1,"36, price, zone, connect, electr",6,108,0.056
1,"39, fund, light, receiv, compani",5,108,0.046
1,"41, error, muffler, power, energi",7,108,0.065
1,"7, control, grid, data, hydrogen",1,108,0.009
1,"8, offshor, grid, wind, billion",13,108,0.12
1,Noise,11,108,0.102
2,"10, bornholm, island, energi, sea",1,121,0.008
2,"15, municip, plan, consult, area",2,121,0.017
2,"16, wind, turbin, offshor, area",3,121,0.025
2,"18, hydrogen, bornholm, energi, offshor",6,121,0.05
2,"19, busi, bornholm, dream, park",1,121,0.008
2,"2, offshor, energi, wind, grid",19,121,0.157
2,"20, bornholm, project, energi, food",1,121,0.008
2,"22, agreement, bornholm, energi, project",2,121,0.017
2,"25, billion, offshor, sea, project",9,121,0.074
2,"26, electr, wind, energi, island",9,121,0.074
2,"33, energi, project, wind, offshor",7,121,0.058
2,"34, wind, bornholm, energi, island",3,121,0.025
2,"36, price, zone, connect, electr",9,121,0.074
2,"38, bornholm, project, energi, connect",3,121,0.025
2,"39, fund, light, receiv, compani",5,121,0.041
2,"41, error, muffler, power, energi",5,121,0.041
2,"5, wind, bornholm, energi, island",16,121,0.132
2,"8, offshor, grid, wind, billion",8,121,0.066
2,"9, island, bornholm, sea, energi",7,121,0.058
2,Noise,5,121,0.041
3,"1, energi, island, system, renew",14,132,0.106
3,"12, co2, materi, ga, system",19,132,0.144
3,"13, control, system, power, convert",7,132,0.053
3,"17, cool, offshor, power, grid",1,132,0.008
3,"24, heat, system, rvv, energi",19,132,0.144
3,"27, energi, system, 111, structur",18,132,0.136
3,"29, climat, countri, reduct, 2030",7,132,0.053
3,"3, grid, power, harmon, convert",2,132,0.015
3,"32, bioga, co2, plant, system",12,132,0.091
3,"35, comput, quantum, rvv, grain",13,132,0.098
3,"37, system, heat, energi, method",15,132,0.114
3,"4, power, grid, offshor, hvdc",3,132,0.023
3,"40, power, green, control, grid",1,132,0.008
3,"7, control, grid, data, hydrogen",1,132,0.008
4,"0, bornholm, green, energi, baltic",6,133,0.045
4,"10, bornholm, island, energi, sea",1,133,0.008
4,"14, municip, bornholm, plant, energinet",17,133,0.128
4,"15, municip, plan, consult, area",16,133,0.12
4,"19, busi, bornholm, dream, park",9,133,0.068
4,"21, social, elect, ann, democraci",30,133,0.226
4,"23, neighbor, land, bornholm, municip",11,133,0.083
4,"30, museum, archaeolog, archaeologist, bornholm",12,133,0.09
4,"31, busi, bornholm, cabl, municip",7,133,0.053
4,"6, bornholm, cultur, municip, also",24,133,0.18
5,"0, bornholm, green, energi, baltic",36,111,0.324
5,"10, bornholm, island, energi, sea",22,111,0.198
5,"16, wind, turbin, offshor, area",4,111,0.036
5,"19, busi, bornholm, dream, park",4,111,0.036
5,"20, bornholm, project, energi, food",6,111,0.054
5,"22, agreement, bornholm, energi, project",5,111,0.045
5,"28, ship, port, wind, bornholm",9,111,0.081
5,"31, busi, bornholm, cabl, municip",2,111,0.018
5,"38, bornholm, project, energi, connect",5,111,0.045
5,"6, bornholm, cultur, municip, also",3,111,0.027
5,"7, control, grid, data, hydrogen",1,111,0.009
5,"9, island, bornholm, sea, energi",14,111,0.126
6,"0, bornholm, green, energi, baltic",31,132,0.235
6,"10, bornholm, island, energi, sea",17,132,0.129
6,"14, municip, bornholm, plant, energinet",2,132,0.015
6,"15, municip, plan, consult, area",11,132,0.083
6,"16, wind, turbin, offshor, area",3,132,0.023
6,"19, busi, bornholm, dream, park",9,132,0.068
6,"20, bornholm, project, energi, food",13,132,0.098
6,"22, agreement, bornholm, energi, project",8,132,0.061
6,"23, neighbor, land, bornholm, municip",2,132,0.015
6,"26, electr, wind, energi, island",3,132,0.023
6,"28, ship, port, wind, bornholm",6,132,0.045
6,"31, busi, bornholm, cabl, municip",6,132,0.045
6,"34, wind, bornholm, energi, island",4,132,0.03
6,"38, bornholm, project, energi, connect",2,132,0.015
6,"5, wind, bornholm, energi, island",2,132,0.015
6,"9, island, bornholm, sea, energi",13,132,0.098
7,"12, co2, materi, ga, system",7,128,0.055
7,"13, control, system, power, convert",22,128,0.172
7,"17, cool, offshor, power, grid",11,128,0.086
7,"29, climat, countri, reduct, 2030",5,128,0.039
7,"3, grid, power, harmon, convert",29,128,0.227
7,"35, comput, quantum, rvv, grain",1,128,0.008
7,"4, power, grid, offshor, hvdc",27,128,0.211
7,"40, power, green, control, grid",9,128,0.07
7,"7, control, grid, data, hydrogen",17,128,0.133
8,"11, hydrogen, grid, offshor, system",16,91,0.176
