topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"22, museum, archaeologist, archaeolog, energinet",23,131,0.176
1,"1, bornholm, energi, hydrogen, island",14,90,0.156
2,"11, grid, island, convert, hvdc",19,150,0.127
3,"38, budget, municip, save, million",16,152,0.105
4,"6, wind, energinet, turbin, offshor",23,145,0.159
5,"9, nuclear, energi, power, center",19,146,0.13
6,"2, bioga, energi, island, bornholm",21,123,0.171
7,"0, offshor, grid, wind, energi",27,167,0.162
8,"5, energi, island, climat, bornholm",27,118,0.229
9,"0, offshor, grid, wind, energi",13,145,0.09
