topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, hydrogen, energi, bornholm, power",2,110,0.018
0,"1, energinet, plant, build, station",43,110,0.391
0,"10, baltic, bornholm, defens, energi",2,110,0.018
0,"13, grid, offshor, wind, bornholm",1,110,0.009
0,"14, citizen, area, land, station",16,110,0.145
0,"15, develop, energi, electr, project",1,110,0.009
0,"17, bornholm, debat, say, baltic",5,110,0.045
0,"24, hydrogen, budget, social, reactor",1,110,0.009
0,"25, hydrogen, power, compani, nuclear",1,110,0.009
0,"27, bornholm, land, citizen, plant",12,110,0.109
0,"28, municip, grid, offshor, wermelin",1,110,0.009
0,"29, island, energi, wind, sea",1,110,0.009
0,"3, comput, quantum, electr, municip",1,110,0.009
0,"33, sage, plan, economi, sren",2,110,0.018
0,"36, island, energi, wind, sea",3,110,0.027
0,"4, bornholm, sea, area, energi",6,110,0.055
0,"40, energi, wind, bornholm, grid",1,110,0.009
0,"42, energi, ptx, heat, risk",1,110,0.009
0,"46, bornholm, wind, offshor, energi",3,110,0.027
0,"5, light, grid, power, offshor",1,110,0.009
0,"8, wind, offshor, bornholm, mill",1,110,0.009
0,"9, island, bornholm, energi, offshor",2,110,0.018
0,Noise,3,110,0.027
1,"0, hydrogen, energi, bornholm, power",5,110,0.045
1,"11, offshor, wind, park, busi",8,110,0.073
1,"13, grid, offshor, wind, bornholm",14,110,0.127
1,"19, energi, island, area, wind",8,110,0.073
1,"2, wind, energi, island, offshor",8,110,0.073
1,"22, guard, wind, offshor, farm",13,110,0.118
1,"23, bornholm, thoma, wind, say",6,110,0.055
1,"25, hydrogen, power, compani, nuclear",2,110,0.018
1,"28, municip, grid, offshor, wermelin",10,110,0.091
1,"30, wind, turbin, offshor, energi",7,110,0.064
1,"36, island, energi, wind, sea",4,110,0.036
1,"37, grid, wave, kelvin, power",1,110,0.009
1,"39, uniti, list, offshor, grid",4,110,0.036
1,"5, light, grid, power, offshor",7,110,0.064
1,"9, island, bornholm, energi, offshor",13,110,0.118
2,"10, baltic, bornholm, defens, energi",16,103,0.155
2,"11, offshor, wind, park, busi",5,103,0.049
2,"14, citizen, area, land, station",3,103,0.029
2,"17, bornholm, debat, say, baltic",12,103,0.117
2,"19, energi, island, area, wind",3,103,0.029
2,"2, wind, energi, island, offshor",6,103,0.058
2,"23, bornholm, thoma, wind, say",2,103,0.019
2,"29, island, energi, wind, sea",8,103,0.078
2,"30, wind, turbin, offshor, energi",3,103,0.029
2,"31, price, zone, center, data",1,103,0.01
2,"34, bornholm, baltic, energi, harbor",11,103,0.107
2,"36, island, energi, wind, sea",3,103,0.029
2,"4, bornholm, sea, area, energi",11,103,0.107
2,"42, energi, ptx, heat, risk",1,103,0.01
2,"46, bornholm, wind, offshor, energi",2,103,0.019
2,"5, light, grid, power, offshor",1,103,0.01
2,"8, wind, offshor, bornholm, mill",7,103,0.068
2,"9, island, bornholm, energi, offshor",2,103,0.019
2,Noise,6,103,0.058
3,"0, hydrogen, energi, bornholm, power",1,103,0.01
3,"12, hydrogen, bornholm, busi, powertox",1,103,0.01
3,"15, develop, energi, electr, project",4,103,0.039
3,"16, dkk, energi, billion, project",11,103,0.107
3,"24, hydrogen, budget, social, reactor",3,103,0.029
3,"25, hydrogen, power, compani, nuclear",1,103,0.01
3,"26, agreement, climat, co2, dkk",17,103,0.165
3,"32, microgrid, water, rvv, energi",4,103,0.039
3,"34, bornholm, baltic, energi, harbor",1,103,0.01
3,"35, materi, 111, million, dkk",1,103,0.01
3,"38, fund, receiv, energi, compani",7,103,0.068
3,"40, energi, wind, bornholm, grid",1,103,0.01
3,"41, bioga, co2, plant, tonn",14,103,0.136
3,"42, energi, ptx, heat, risk",3,103,0.029
3,"43, island, energi, renew, water",19,103,0.184
3,"44, system, climat, sector, trigener",4,103,0.039
3,"47, heat, ga, rvv, climat",4,103,0.039
3,"48, labor, emiss, co2, climat",3,103,0.029
3,Noise,4,103,0.039
4,"0, hydrogen, energi, bornholm, power",1,130,0.008
4,"10, baltic, bornholm, defens, energi",11,130,0.085
4,"11, offshor, wind, park, busi",3,130,0.023
4,"12, hydrogen, bornholm, busi, powertox",5,130,0.038
4,"13, grid, offshor, wind, bornholm",2,130,0.015
4,"14, citizen, area, land, station",11,130,0.085
4,"15, develop, energi, electr, project",3,130,0.023
4,"17, bornholm, debat, say, baltic",8,130,0.062
4,"18, electr, tax, project, energi",4,130,0.031
4,"19, energi, island, area, wind",1,130,0.008
4,"2, wind, energi, island, offshor",3,130,0.023
4,"21, energi, wind, offshor, connect",2,130,0.015
4,"22, guard, wind, offshor, farm",4,130,0.031
4,"23, bornholm, thoma, wind, say",3,130,0.023
4,"24, hydrogen, budget, social, reactor",4,130,0.031
4,"25, hydrogen, power, compani, nuclear",1,130,0.008
4,"27, bornholm, land, citizen, plant",6,130,0.046
4,"28, municip, grid, offshor, wermelin",4,130,0.031
4,"29, island, energi, wind, sea",5,130,0.038
4,"3, comput, quantum, electr, municip",3,130,0.023
4,"30, wind, turbin, offshor, energi",3,130,0.023
4,"31, price, zone, center, data",1,130,0.008
4,"33, sage, plan, economi, sren",2,130,0.015
4,"34, bornholm, baltic, energi, harbor",6,130,0.046
4,"35, materi, 111, million, dkk",4,130,0.031
4,"36, island, energi, wind, sea",2,130,0.015
4,"39, uniti, list, offshor, grid",1,130,0.008
4,"4, bornholm, sea, area, energi",9,130,0.069
4,"40, energi, wind, bornholm, grid",3,130,0.023
4,"45, offshor, wind, farm, reliabl",1,130,0.008
4,"46, bornholm, wind, offshor, energi",1,130,0.008
4,"5, light, grid, power, offshor",1,130,0.008
4,"6, cool, system, control, hvdc",1,130,0.008
4,"7, offshor, grid, bornholm, power",3,130,0.023
4,"8, wind, offshor, bornholm, mill",4,130,0.031
4,"9, island, bornholm, energi, offshor",2,130,0.015
4,Noise,2,130,0.015
5,"0, hydrogen, energi, bornholm, power",12,142,0.085
5,"11, offshor, wind, park, busi",1,142,0.007
5,"12, hydrogen, bornholm, busi, powertox",7,142,0.049
5,"20, convert, hvdc, offshor, grid",16,142,0.113
5,"21, energi, wind, offshor, connect",8,142,0.056
5,"24, hydrogen, budget, social, reactor",4,142,0.028
5,"25, hydrogen, power, compani, nuclear",1,142,0.007
5,"28, municip, grid, offshor, wermelin",4,142,0.028
5,"3, comput, quantum, electr, municip",1,142,0.007
5,"31, price, zone, center, data",13,142,0.092
5,"33, sage, plan, economi, sren",8,142,0.056
5,"37, grid, wave, kelvin, power",12,142,0.085
5,"39, uniti, list, offshor, grid",2,142,0.014
5,"40, energi, wind, bornholm, grid",4,142,0.028
5,"45, offshor, wind, farm, reliabl",6,142,0.042
5,"5, light, grid, power, offshor",9,142,0.063
5,"6, cool, system, control, hvdc",21,142,0.148
5,"7, offshor, grid, bornholm, power",11,142,0.077
5,"9, island, bornholm, energi, offshor",1,142,0.007
5,Noise,1,142,0.007
6,"0, hydrogen, energi, bornholm, power",7,133,0.053
6,"10, baltic, bornholm, defens, energi",2,133,0.015
6,"11, offshor, wind, park, busi",5,133,0.038
6,"12, hydrogen, bornholm, busi, powertox",3,133,0.023
6,"13, grid, offshor, wind, bornholm",2,133,0.015
6,"16, dkk, energi, billion, project",1,133,0.008
6,"17, bornholm, debat, say, baltic",4,133,0.03
6,"18, electr, tax, project, energi",4,133,0.03
6,"19, energi, island, area, wind",7,133,0.053
6,"2, wind, energi, island, offshor",9,133,0.068
6,"20, convert, hvdc, offshor, grid",5,133,0.038
6,"21, energi, wind, offshor, connect",2,133,0.015
6,"22, guard, wind, offshor, farm",3,133,0.023
6,"23, bornholm, thoma, wind, say",5,133,0.038
6,"25, hydrogen, power, compani, nuclear",5,133,0.038
6,"26, agreement, climat, co2, dkk",1,133,0.008
6,"27, bornholm, land, citizen, plant",5,133,0.038
6,"28, municip, grid, offshor, wermelin",2,133,0.015
6,"29, island, energi, wind, sea",3,133,0.023
6,"3, comput, quantum, electr, municip",3,133,0.023
6,"30, wind, turbin, offshor, energi",2,133,0.015
6,"31, price, zone, center, data",1,133,0.008
6,"33, sage, plan, economi, sren",1,133,0.008
6,"34, bornholm, baltic, energi, harbor",3,133,0.023
6,"35, materi, 111, million, dkk",2,133,0.015
6,"36, island, energi, wind, sea",3,133,0.023
6,"38, fund, receiv, energi, compani",2,133,0.015
6,"39, uniti, list, offshor, grid",1,133,0.008
6,"4, bornholm, sea, area, energi",7,133,0.053
6,"40, energi, wind, bornholm, grid",1,133,0.008
6,"41, bioga, co2, plant, tonn",2,133,0.015
6,"45, offshor, wind, farm, reliabl",2,133,0.015
6,"46, bornholm, wind, offshor, energi",2,133,0.015
6,"47, heat, ga, rvv, climat",3,133,0.023
6,"48, labor, emiss, co2, climat",4,133,0.03
6,"5, light, grid, power, offshor",2,133,0.015
6,"6, cool, system, control, hvdc",5,133,0.038
6,"7, offshor, grid, bornholm, power",2,133,0.015
6,"8, wind, offshor, bornholm, mill",1,133,0.008
6,"9, island, bornholm, energi, offshor",7,133,0.053
6,Noise,2,133,0.015
7,"0, hydrogen, energi, bornholm, power",11,114,0.096
7,"10, baltic, bornholm, defens, energi",1,114,0.009
7,"12, hydrogen, bornholm, busi, powertox",3,114,0.026
7,"13, grid, offshor, wind, bornholm",2,114,0.018
7,"15, develop, energi, electr, project",5,114,0.044
7,"16, dkk, energi, billion, project",12,114,0.105
7,"18, electr, tax, project, energi",4,114,0.035
7,"19, energi, island, area, wind",1,114,0.009
7,"2, wind, energi, island, offshor",2,114,0.018
7,"20, convert, hvdc, offshor, grid",5,114,0.044
7,"21, energi, wind, offshor, connect",5,114,0.044
7,"23, bornholm, thoma, wind, say",1,114,0.009
7,"24, hydrogen, budget, social, reactor",2,114,0.018
7,"25, hydrogen, power, compani, nuclear",3,114,0.026
7,"29, island, energi, wind, sea",1,114,0.009
7,"3, comput, quantum, electr, municip",5,114,0.044
7,"31, price, zone, center, data",4,114,0.035
7,"32, microgrid, water, rvv, energi",2,114,0.018
7,"33, sage, plan, economi, sren",1,114,0.009
7,"35, materi, 111, million, dkk",3,114,0.026
7,"37, grid, wave, kelvin, power",1,114,0.009
7,"38, fund, receiv, energi, compani",4,114,0.035
7,"39, uniti, list, offshor, grid",3,114,0.026
7,"40, energi, wind, bornholm, grid",4,114,0.035
7,"42, energi, ptx, heat, risk",2,114,0.018
7,"44, system, climat, sector, trigener",3,114,0.026
7,"45, offshor, wind, farm, reliabl",2,114,0.018
7,"5, light, grid, power, offshor",6,114,0.053
7,"6, cool, system, control, hvdc",4,114,0.035
7,"7, offshor, grid, bornholm, power",5,114,0.044
7,"8, wind, offshor, bornholm, mill",1,114,0.009
7,Noise,6,114,0.053
8,"11, offshor, wind, park, busi",7,118,0.059
8,"13, grid, offshor, wind, bornholm",5,118,0.042
8,"15, develop, energi, electr, project",1,118,0.008
8,"18, electr, tax, project, energi",2,118,0.017
8,"19, energi, island, area, wind",7,118,0.059
8,"2, wind, energi, island, offshor",14,118,0.119
8,"20, convert, hvdc, offshor, grid",1,118,0.008
8,"21, energi, wind, offshor, connect",1,118,0.008
8,"22, guard, wind, offshor, farm",4,118,0.034
8,"23, bornholm, thoma, wind, say",10,118,0.085
8,"29, island, energi, wind, sea",5,118,0.042
8,"30, wind, turbin, offshor, energi",7,118,0.059
8,"36, island, energi, wind, sea",6,118,0.051
8,"4, bornholm, sea, area, energi",4,118,0.034
8,"42, energi, ptx, heat, risk",1,118,0.008
8,"46, bornholm, wind, offshor, energi",8,118,0.068
8,"5, light, grid, power, offshor",1,118,0.008
8,"7, offshor, grid, bornholm, power",2,118,0.017
8,"8, wind, offshor, bornholm, mill",20,118,0.169
8,"9, island, bornholm, energi, offshor",2,118,0.017
8,Noise,10,118,0.085
9,"0, hydrogen, energi, bornholm, power",7,109,0.064
9,"15, develop, energi, electr, project",14,109,0.128
9,"16, dkk, energi, billion, project",2,109,0.018
9,"18, electr, tax, project, energi",10,109,0.092
9,"24, hydrogen, budget, social, reactor",3,109,0.028
9,"25, hydrogen, power, compani, nuclear",4,109,0.037
9,"26, agreement, climat, co2, dkk",1,109,0.009
9,"3, comput, quantum, electr, municip",14,109,0.128
9,"31, price, zone, center, data",1,109,0.009
9,"32, microgrid, water, rvv, energi",12,109,0.11
9,"35, materi, 111, million, dkk",10,109,0.092
9,"38, fund, receiv, energi, compani",3,109,0.028
9,"42, energi, ptx, heat, risk",8,109,0.073
9,"44, system, climat, sector, trigener",7,109,0.064
9,"47, heat, ga, rvv, climat",3,109,0.028
9,"48, labor, emiss, co2, climat",2,109,0.018
9,"6, cool, system, control, hvdc",2,109,0.018
9,Noise,6,109,0.055
10,"0, hydrogen, energi, bornholm, power",9,94,0.096
10,"11, offshor, wind, park, busi",2,94,0.021
10,"12, hydrogen, bornholm, busi, powertox",2,94,0.021
10,"13, grid, offshor, wind, bornholm",3,94,0.032
10,"18, electr, tax, project, energi",1,94,0.011
10,"19, energi, island, area, wind",1,94,0.011
10,"20, convert, hvdc, offshor, grid",1,94,0.011
10,"21, energi, wind, offshor, connect",7,94,0.074
10,"22, guard, wind, offshor, farm",2,94,0.021
10,"28, municip, grid, offshor, wermelin",2,94,0.021
10,"3, comput, quantum, electr, municip",7,94,0.074
10,"31, price, zone, center, data",1,94,0.011
10,"32, microgrid, water, rvv, energi",1,94,0.011
10,"33, sage, plan, economi, sren",6,94,0.064
10,"35, materi, 111, million, dkk",1,94,0.011
10,"37, grid, wave, kelvin, power",5,94,0.053
10,"39, uniti, list, offshor, grid",7,94,0.074
10,"40, energi, wind, bornholm, grid",6,94,0.064
10,"44, system, climat, sector, trigener",1,94,0.011
10,"45, offshor, wind, farm, reliabl",6,94,0.064
10,"5, light, grid, power, offshor",9,94,0.096
10,"6, cool, system, control, hvdc",3,94,0.032
10,"7, offshor, grid, bornholm, power",10,94,0.106
10,"9, island, bornholm, energi, offshor",1,94,0.011
11,"0, hydrogen, energi, bornholm, power",8,101,0.079
11,"1, energinet, plant, build, station",2,101,0.02
11,"12, hydrogen, bornholm, busi, powertox",9,101,0.089
11,"13, grid, offshor, wind, bornholm",1,101,0.01
11,"15, develop, energi, electr, project",2,101,0.02
11,"16, dkk, energi, billion, project",3,101,0.03
11,"18, electr, tax, project, energi",3,101,0.03
11,"21, energi, wind, offshor, connect",2,101,0.02
11,"22, guard, wind, offshor, farm",1,101,0.01
11,"24, hydrogen, budget, social, reactor",8,101,0.079
11,"25, hydrogen, power, compani, nuclear",7,101,0.069
11,"26, agreement, climat, co2, dkk",5,101,0.05
11,"3, comput, quantum, electr, municip",4,101,0.04
11,"32, microgrid, water, rvv, energi",3,101,0.03
11,"33, sage, plan, economi, sren",1,101,0.01
11,"37, grid, wave, kelvin, power",2,101,0.02
11,"38, fund, receiv, energi, compani",5,101,0.05
11,"39, uniti, list, offshor, grid",2,101,0.02
11,"41, bioga, co2, plant, tonn",4,101,0.04
11,"42, energi, ptx, heat, risk",3,101,0.03
11,"44, system, climat, sector, trigener",2,101,0.02
11,"47, heat, ga, rvv, climat",5,101,0.05
11,"48, labor, emiss, co2, climat",6,101,0.059
11,"7, offshor, grid, bornholm, power",2,101,0.02
11,"9, island, bornholm, energi, offshor",3,101,0.03
11,Noise,8,101,0.079
