topic_int,main_topic_name,count,topic_names_from_bertopic
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
3,,11,"32, island, wind, north, energi"
3,,11,"33, hydrogen, energinet, area, plant"
3,,1,"37, energi, renew, build, island"
3,,4,"4, hydrogen, system, energi, renew"
3,,2,"40, shelf, wave, effici, steam"
3,,5,"41, nuclear, comput, quantum, power"
3,,9,"42, gw, platform, island, wind"
3,,1,"5, bornholm, wind, energi, plant"
3,,38,"8, co2, bioga, ptx, materi"
3,,9,Noise
3,,22,"0, wind, island, energi, connect"
3,,1,"1, say, energi, bornholm, billion"
3,,3,"10, energinet, bornholm, area, energi"
3,,23,"11, heat, 2030, climat, green"
3,,8,"21, energi, mill, island, plant"
