topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"3, energi, bornholm, wind, work",17,156,0.109
1,"17, convert, voltag, control, stabil",24,147,0.163
2,"0, bornholm, island, energi, also",30,146,0.205
3,"22, hydrogen, powertox, product, compani",21,111,0.189
4,"0, bornholm, island, energi, also",21,155,0.135
5,"18, hydrogen, ga, electrolys, green",14,107,0.131
6,"19, island, energi, bornholm, wind",16,152,0.105
7,"8, renew, european, integr, offshor",24,146,0.164
8,"1, say, energi, bornholm, profit",13,114,0.114
9,"5, control, system, 111, power",24,133,0.18
