topic_int,main_topic_name,count,topic_names_from_bertopic
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
6,,5,"41, error, bornholm, green, climat"
6,,6,"42, wind, energi, powertox, green"
6,,3,"44, green, bornholm, busi, crt"
6,,2,"45, co2, heat, million, climat"
6,,10,"6, energi, island, area, energinet"
6,,4,"7, energi, bornholm, island, energinet"
6,,6,"8, bornholm, busi, energi, island"
6,,4,Noise
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
6,,5,"41, error, bornholm, green, climat"
6,,6,"42, wind, energi, powertox, green"
6,,3,"44, green, bornholm, busi, crt"
6,,2,"45, co2, heat, million, climat"
6,,10,"6, energi, island, area, energinet"
6,,4,"7, energi, bornholm, island, energinet"
6,,6,"8, bornholm, busi, energi, island"
6,,4,Noise
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
6,,5,"41, error, bornholm, green, climat"
6,,6,"42, wind, energi, powertox, green"
6,,3,"44, green, bornholm, busi, crt"
6,,2,"45, co2, heat, million, climat"
6,,10,"6, energi, island, area, energinet"
6,,4,"7, energi, bornholm, island, energinet"
6,,6,"8, bornholm, busi, energi, island"
6,,4,Noise
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
6,,5,"41, error, bornholm, green, climat"
6,,6,"42, wind, energi, powertox, green"
6,,3,"44, green, bornholm, busi, crt"
6,,2,"45, co2, heat, million, climat"
6,,10,"6, energi, island, area, energinet"
6,,4,"7, energi, bornholm, island, energinet"
6,,6,"8, bornholm, busi, energi, island"
6,,4,Noise
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
6,,5,"41, error, bornholm, green, climat"
6,,6,"42, wind, energi, powertox, green"
6,,3,"44, green, bornholm, busi, crt"
6,,2,"45, co2, heat, million, climat"
6,,10,"6, energi, island, area, energinet"
6,,4,"7, energi, bornholm, island, energinet"
6,,6,"8, bornholm, busi, energi, island"
6,,4,Noise
6,,8,"1, energi, bornholm, say, island"
6,,2,"10, bornholm, busi, dream, develop"
6,,5,"12, wind, bornholm, energi, island"
6,,6,"16, bornholm, energi, jacob, area"
6,,1,"17, municip, bornholm, also, say"
6,,14,"2, wind, hydrogen, energi, offshor"
6,,1,"20, bornholm, cool, energi, also"
6,,8,"22, energi, bornholm, green, municip"
6,,2,"24, bornholm, busi, energi, say"
6,,1,"26, bornholm, say, station, also"
6,,4,"28, bioga, co2, bornholm, land"
6,,12,"3, bornholm, energi, project, wind"
6,,2,"30, hydrogen, energi, heat, cip"
6,,3,"33, hydrogen, cost, product, electrolys"
6,,4,"34, energi, wind, island, bornholm"
6,,4,"37, bornholm, labor, wind, nex"
6,,5,"39, price, island, zone, bornholm"
