Source,cluster,count,TF_IDF_topic_name,BERTopic_topic_name,count_words
pro,0,48,offshore wind wind turbines north sea gw offshore wind farms,wind energy offshore sea island,3
pro,1,32,electricity grid data center electricity consumption high voltage energy island,energy electricity island wind sea,3
pro,2,29,green hydrogen 000 tonnes green fuels tejs vegge hydrogen produced,hydrogen energy green also says,2
pro,3,26,energy islands bornholm islands bornholm energy islands open door business case,energy islands project wind bornholm,3
pro,4,24,district heating global wind green transition ørsted atp wave power,energy wind also says green,2
reg,0,66,rønne harbor baltic energy baltic energy island press release baltic sea,bornholm energy island og islands,2
reg,1,64,offshore wind bornholm offshore wind bornholm offshore danish energy agency energy agency,bornholm wind energy offshore turbines,4
reg,2,61,social democracy municipal council unity list rené danielsson anne thomas,bornholm also energy says municipal,1
reg,3,60,bornholm museum energy parks says jacob jacob trøst lea wermelin,bornholm energy island says also,3
reg,4,40,energy islands bornholm islands bornholm energy islands state aid electricity prices,energy bornholm islands island project,3
reg,5,40,municipal council next year climate plan savings catalog labor market,bornholm energy also island municipality,0
reg,6,33,green energy danish business national center promotion board center green,bornholm energy business green island,3
reg,7,32,high voltage high voltage station voltage station local plan land plant,bornholm energy area energinet land,1
reg,8,31,green transition bornholm future ensure bornholm unique opportunity young people,bornholm energy island green also,2
reg,9,30,high voltage land facility søgaard mikkelsen kim søgaard mikkelsen kim søgaard,plant energy energinet bornholm says,0
reg,10,29,electrolysis plant green fuels klaus vesløv surplus heat district heating,bornholm energy hydrogen wind powertox,0
reg,11,28,baltic sea juel jensen peter juel jensen peter juel critical infrastructure,bornholm energy also defense says,0
reg,12,25,electricity grid bornholm electricity bornholm electricity grid net east el net east,bornholm energy electricity wind energinet,2
reg,13,25,nature bornholm wind turbines transformer station reader letter social democratic,bornholm energy island wind new,2
reg,14,23,transformer station energy industry property value north sea nuclear power,bornholm energy island must islands,1
reg,15,19,land plant rest country green transition huge energy bornholm benefit,bornholm energy island must also,2
reg,16,19,center bornholm bornholm companies business center business center bornholm labor market,bornholm energy companies business labor,4
reg,17,15,nuclear power solar cells hydrogen production sun wind bornholm energi,energy bornholm power electricity wind,3
reg,18,15,cultural identity every day make bornholm green energy green transition,bornholm energy island also green,3
sci,0,118,offshore wind north sea offshore grid wind farms offshore wind energy,offshore power wind grid system,3
sci,1,49,voltage source hvdc grids dc grid hvdc transmission high voltage,offshore hvdc grid power wind,2
sci,2,48,hydrogen production green hydrogen energy system co2 emissions offshore energy,energy offshore hydrogen wind power,3
sci,3,41,renewable energy energy system energy systems electricity demand energy storage,energy island system islands renewable,3
sci,4,38,energy island energy conversion energy consumption energy islands renewable energy,energy power island system renewable,3
sci,5,38,time domain system stability hvdc converter stability offshore modular multilevel,system offshore control wind stability,3
sci,6,30,sustainable energy energy security energy demand island samsø renewable energy,energy sustainable transition paper eu,2
sci,7,28,wave energy grid spacing long term 2011 ieee offshore grid,grid offshore energy wave wind,4
sci,8,27,energy islands energy management energy island energy sources distributed generation,energy system power renewable microgrid,1
sci,9,21,new energy vsc hvdc control strategy converter station reactive power,power energy control system voltage,3
sci,10,21,wind farm grid frequency frequency control wind turbine grid frequency control,wind offshore power grid control,3
sci,11,21,wind farms power quality kriegers flak kf cgs ac grid,offshore wind power grid transmission,3
sci,12,18,reactive power wind power plants power plants wind power offshore ac,power offshore wind grid control,3
sci,13,16,transmission grid distribution system harmonic distortion smart grid 400 kv,grid power harmonic transmission energy,3
