Source,cluster,count,TF_IDF_topic_name
pro,0,72,"offshore wind, 0.0138, 59, 378 | energy island, 0.0094, 68, 497 | wind turbines, 0.0094, 52, 178 | wind farms, 0.0091, 46, 126 | north sea, 0.0082, 54, 230"
pro,1,56,"million tonnes, 0.0092, 14, 29 | 000 tonnes, 0.0084, 13, 31 | electricity consumption, 0.0081, 15, 41 | la cour, 0.0079, 1, 21 | green hydrogen, 0.0072, 11, 26"
pro,2,19,"wave power, 0.0178, 1, 15 | ørsted atp, 0.0162, 2, 7 | morten hesselager pedersen, 0.0117, 2, 14 | morten hesselager, 0.0117, 2, 14 | hesselager pedersen, 0.0117, 2, 14"
pro,3,25,"energy islands bornholm, 0.0222, 19, 87 | islands bornholm, 0.0221, 19, 87 | open door, 0.0150, 5, 39 | energy islands, 0.0134, 24, 147 | business case, 0.0125, 10, 34"
reg,0,28,"united states, 0.0214, 4, 12 | baltic sea, 0.0198, 16, 61 | home guard, 0.0189, 2, 20 | juel jensen, 0.0187, 1, 1 | peter juel jensen, 0.0183, 1, 1"
reg,1,23,"transformer station, 0.0186, 14, 42 | energy industry, 0.0107, 7, 15 | property value, 0.0100, 6, 14 | nuclear power, 0.0088, 3, 11 | taken account, 0.0087, 6, 9"
reg,2,58,"social democracy, 0.0335, 41, 263 | municipal council, 0.0203, 45, 216 | anne thomas, 0.0163, 9, 78 | unity list, 0.0125, 30, 120 | top candidate, 0.0119, 14, 51"
reg,3,32,"next year, 0.0167, 10, 29 | labor market, 0.0162, 8, 10 | corporate tax, 0.0147, 1, 17 | municipal council, 0.0141, 16, 44 | skilled workers, 0.0138, 5, 10"
reg,4,22,"energy parks, 0.0245, 6, 26 | lea wermelin, 0.0142, 8, 26 | local support, 0.0133, 9, 17 | neighbors communities, 0.0128, 5, 10 | jacob trøst, 0.0111, 13, 39"
reg,5,62,"high voltage, 0.0211, 27, 45 | land facility, 0.0140, 41, 77 | land plant, 0.0138, 45, 115 | high voltage station, 0.0137, 22, 35 | voltage station, 0.0136, 35, 77"
reg,6,41,"really good, 0.0248, 2, 3 | det er, 0.0115, 2, 19 | bornholm ii, 0.0108, 1, 6 | municipal elections, 0.0103, 1, 1 | rønne harbor, 0.0102, 8, 19"
reg,7,29,"green transition, 0.0176, 18, 45 | bornholm future, 0.0128, 2, 2 | ensure bornholm, 0.0120, 8, 10 | campus bornholm, 0.0108, 5, 14 | climate plan, 0.0102, 1, 14"
reg,8,27,"baltic energy, 0.0150, 11, 35 | baltic energy island, 0.0139, 11, 33 | green energy, 0.0115, 15, 56 | danish business, 0.0108, 10, 27 | national center, 0.0101, 7, 35"
reg,9,19,"center bornholm, 0.0346, 12, 51 | business center, 0.0292, 10, 39 | bornholm companies, 0.0285, 11, 34 | business center bornholm, 0.0280, 10, 37 | labor market, 0.0262, 8, 21"
reg,10,23,"energy agency, 0.0303, 16, 109 | danish energy agency, 0.0303, 16, 109 | danish energy, 0.0291, 16, 109 | offshore wind, 0.0217, 20, 171 | wind turbines, 0.0203, 21, 116"
reg,11,26,"offshore wind, 0.0561, 26, 294 | bornholm offshore wind, 0.0441, 6, 7 | bornholm offshore, 0.0424, 6, 7 | offshore wind turbines, 0.0158, 19, 56 | wind farm, 0.0152, 20, 72"
reg,12,19,"electricity grid, 0.0360, 16, 69 | bornholm electricity, 0.0294, 13, 44 | bornholm electricity grid, 0.0177, 10, 29 | net east, 0.0170, 6, 16 | trefor el, 0.0162, 6, 18"
reg,13,31,"energy islands bornholm, 0.0221, 30, 200 | islands bornholm, 0.0221, 30, 200 | energy islands, 0.0187, 31, 244 | state aid, 0.0116, 11, 31 | north sea, 0.0098, 11, 35"
reg,14,21,"wind turbines, 0.0173, 12, 23 | stand together, 0.0156, 3, 5 | nature bornholm, 0.0153, 3, 6 | reader letter, 0.0147, 3, 4 | wind turbine, 0.0127, 16, 35"
reg,15,46,"solar cells, 0.0155, 12, 17 | district heating, 0.0149, 19, 49 | hydrogen production, 0.0123, 13, 25 | electrolysis plant, 0.0123, 16, 30 | surplus heat, 0.0109, 14, 36"
sci,0,180,"vsc hvdc, 0.0084, 4, 5 | reactive power, 0.0072, 27, 57 | dc grid, 0.0070, 26, 64 | ac grid, 0.0070, 26, 46 | high voltage, 0.0068, 27, 32"
sci,1,137,"renewable energy, 0.0206, 63, 106 | energy island, 0.0162, 88, 120 | sustainable energy, 0.0142, 16, 27 | energy islands, 0.0136, 41, 52 | energy sources, 0.0121, 35, 45"
sci,2,39,"hydrogen production, 0.0298, 16, 31 | green hydrogen, 0.0215, 12, 21 | co2 emissions, 0.0146, 9, 14 | oil gas, 0.0146, 12, 15 | energy system, 0.0134, 17, 38"
sci,3,126,"north sea, 0.0196, 69, 116 | offshore wind, 0.0183, 86, 193 | offshore grid, 0.0157, 97, 179 | wind energy, 0.0076, 29, 49 | offshore wind energy, 0.0069, 19, 33"
sci,4,25,"offshore grid, 0.0637, 12, 17 | wave energy, 0.0567, 5, 9 | grid spacing, 0.0443, 3, 14 | 2011 ieee, 0.0401, 2, 2 | long term, 0.0356, 0, 0"
sci,5,23,"energy island, 0.1071, 12, 16 | energy islands, 0.0981, 2, 3 | rights reserved, 0.0642, 3, 3 | qd growth, 0.0382, 1, 6 | low energy, 0.0355, 2, 3"
