Source,cluster,count,TF_IDF_topic_name,BERTopic_topic_name,count_words
pro,0,41,000 tonnes north sea ørsted atp gw offshore fuels denmark,energy wind sea island offshore,2
pro,1,32,offshore wind 70 percent green power electricity consumption climate council,energy wind offshore electricity 2030,3
pro,2,31,nuclear power open door christian bueger electricity grid marine mammals,energy wind says also offshore,0
pro,3,30,million tonnes million ton co2 emissions district heating natural gas,energy co2 climate green dkk,1
pro,4,20,north sea converter stations business case energy islands kriegers flak,energy wind island islands sea,3
pro,5,18,energy islands north islands north islands north sea wave power jan bentzen,energy island islands wind electricity,2
reg,0,74,energy parks renewable energy green island claus andersen really good,bornholm energy also wind island,2
reg,1,74,energy islands bornholm islands bornholm energy islands offshore wind nuclear power,energy bornholm says island islands,3
reg,2,55,offshore wind baltic sea district heating green fuels rønne harbor,bornholm energy wind offshore hydrogen,2
reg,3,54,energy agency danish energy agency danish energy offshore wind environmental assessment,wind offshore energy bornholm danish,4
reg,4,45,business park anne thomas social democracy top candidate food school,bornholm business energy island says,1
reg,5,41,municipal council next year last year long term municipal treasury,bornholm also municipal year energy,2
reg,6,37,center bornholm business center business center bornholm bornholm companies press release,bornholm energy business companies center,4
reg,7,37,baltic sea citizens association critical infrastructure war ukraine cultural identity,bornholm energy also baltic island,1
reg,8,31,business park green business green business park green transition young people,bornholm energy green island business,2
reg,9,29,high voltage local plan high voltage station voltage station gross area,energy bornholm energinet plant area,1
reg,10,26,social democracy municipal council energy island plan strategy claus larsen,energy bornholm island also municipal,3
reg,11,22,citizens association association energy islands association energy citizens association energy citizens meeting,energy bornholm also citizens island,2
reg,12,22,bornholm museum feasibility studies land plant project manager high voltage,bornholm energy says museum area,2
reg,13,20,wind farms offshore wind offshore wind farms cip ørsted green energy,energy bornholm wind island offshore,3
reg,14,19,42 000 says peter people meeting municipal council peter juel,bornholm energy also island must,0
reg,15,19,31 billion think tank energy policy energy industry fossil fuels,bornholm energy wind island project,1
reg,16,15,baltic energy baltic energy island mikael benzon green transition election campaign,bornholm energy island green also,3
reg,17,15,offshore wind north sea state aid wind farms offshore wind farms,energy bornholm wind offshore islands,2
sci,0,126,vsc hvdc ac grid hvdc system high voltage control strategy,power control system grid voltage,4
sci,1,58,north sea offshore wind offshore grid wind generation wind farms,grid energy offshore wind north,4
sci,2,57,offshore wind energy security north sea offshore grid baltic sea,offshore energy wind grid power,4
sci,3,36,energy island power systems energy islands smart grid real time,energy power system systems grid,4
sci,4,29,renewable energy energy system small islands energy costs sustainable energy,energy island system islands renewable,4
sci,5,29,energy islands grid spacing energy island wave energy rights reserved,wave grid offshore water kelvin,2
sci,6,26,future offshore offshore wind offshore power network design circuit breakers,offshore wind system grid transmission,2
sci,7,25,energy storage heat recovery primary energy individual generation numerical simulation,energy system power based storage,2
sci,8,22,hydrogen production green hydrogen offshore energy green hydrogen production energy hub,energy hydrogen offshore wind power,3
sci,9,22,north sea offshore wind legal framework offshore wind energy offshore grid,offshore wind grid energy paper,4
sci,10,21,renewable energy energy demand building energy carbon emissions energy conservation,energy system power renewable model,2
sci,11,19,pilot sites energy islands social norms energy communities energy community,energy social communities paper research,3
sci,12,18,renewable energy transmission grid renewable energy island danish island harmonic distortion,energy island harmonic grid transmission,5
sci,13,18,power plants energy island energy production water cycle electricity demand,energy wind power island offshore,3
sci,14,15,offshore wind wind power wind energy wind farms development offshore,offshore power wind grid energy,4
