topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"2, bornholm, land, municip, energi",38,121,0.314
0,"3, bornholm, say, energi, land",29,121,0.24
0,"6, bornholm, busi, area, municip",17,121,0.14
0,"21, bornholm, area, energinet, green",11,121,0.091
0,"29, bornholm, energi, municip, transform",6,121,0.05
1,"0, grid, offshor, power, system",42,175,0.24
1,"16, grid, offshor, wind, system",27,175,0.154
1,"17, offshor, grid, light, wind",23,175,0.131
1,"9, data, grid, cool, comput",19,175,0.109
1,"7, system, power, offshor, wind",17,175,0.097
2,"11, bornholm, compani, busi, food",19,139,0.137
2,"6, bornholm, busi, area, municip",18,139,0.129
2,"12, bornholm, energi, island, busi",18,139,0.129
2,"15, bornholm, energi, project, island",16,139,0.115
2,"35, bornholm, energi, busi, island",14,139,0.101
3,"4, energi, wind, hydrogen, offshor",27,114,0.237
3,"5, energi, hydrogen, wind, island",26,114,0.228
3,"1, climat, 2030, energi, co2",15,114,0.132
3,"19, hydrogen, wind, offshor, energi",10,114,0.088
3,"24, hydrogen, methanol, fuel, energi",8,114,0.07
4,"13, municip, council, bornholm, mayor",36,173,0.208
4,"22, social, democraci, budget, municip",29,173,0.168
4,"3, bornholm, say, energi, land",27,173,0.156
4,"31, municip, save, climat, budget",20,173,0.116
4,"28, bornholm, energi, municip, island",17,173,0.098
5,"0, grid, offshor, power, system",35,144,0.243
5,"10, grid, power, control, hvdc",32,144,0.222
5,"20, convert, grid, control, ac",30,144,0.208
5,"25, control, frequenc, stabil, convert",25,144,0.174
5,Noise,14,144,0.097
6,"1, climat, 2030, energi, co2",24,136,0.176
6,"4, energi, wind, hydrogen, offshor",14,136,0.103
6,"5, energi, hydrogen, wind, island",12,136,0.088
6,"19, hydrogen, wind, offshor, energi",11,136,0.081
6,"8, wind, energi, system, electr",10,136,0.074
7,"15, bornholm, energi, project, island",13,109,0.119
7,"21, bornholm, area, energinet, green",12,109,0.11
7,"18, project, energi, island, billion",12,109,0.11
7,"12, bornholm, energi, island, busi",11,109,0.101
7,"2, bornholm, land, municip, energi",10,109,0.092
8,"8, wind, energi, system, electr",23,147,0.156
8,"7, system, power, offshor, wind",20,147,0.136
8,"9, data, grid, cool, comput",19,147,0.129
8,"26, energi, wind, overpl, agenc",14,147,0.095
8,"32, color, urban, offshor, wind",12,147,0.082
9,"1, climat, 2030, energi, co2",27,109,0.248
9,"4, energi, wind, hydrogen, offshor",12,109,0.11
9,"5, energi, hydrogen, wind, island",11,109,0.101
9,"24, hydrogen, methanol, fuel, energi",11,109,0.101
9,"19, hydrogen, wind, offshor, energi",11,109,0.101
