topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"12, bornholm, food, energi, bioga",16,156,0.103
0,"35, hous, mayor, municip, archaeologist",16,156,0.103
0,"32, municip, bornholm, also, plant",14,156,0.09
0,"11, busi, compani, bornholm, municip",14,156,0.09
0,Noise,11,156,0.071
1,"10, control, convert, grid, hvdc",34,147,0.231
1,"18, control, grid, convert, voltag",28,147,0.19
1,"28, grid, control, power, frequenc",23,147,0.156
1,Noise,17,147,0.116
1,"44, control, voltag, grid, stabil",17,147,0.116
2,"0, bornholm, energi, say, island",33,146,0.226
2,"2, energi, wind, bornholm, project",25,146,0.171
2,"9, energi, bornholm, island, wind",19,146,0.13
2,"4, bornholm, cool, ole, center",13,146,0.089
2,"25, island, energi, project, energinet",13,146,0.089
3,"17, hydrogen, connect, wind, energi",18,111,0.162
3,"38, german, energi, germani, island",15,111,0.135
3,"22, hydrogen, plant, methanol, ammonia",11,111,0.099
3,"39, germani, energi, electr, wind",9,111,0.081
3,"5, energi, wind, fuel, electr",9,111,0.081
4,"11, busi, compani, bornholm, municip",18,155,0.116
4,"16, busi, bornholm, municip, democraci",18,155,0.116
4,"12, bornholm, food, energi, bioga",14,155,0.09
4,"30, bornholm, municip, climat, develop",13,155,0.084
4,"24, municip, energinet, plant, say",12,155,0.077
5,"14, renew, system, energi, water",17,107,0.159
5,"7, energi, system, water, carbon",16,107,0.15
5,"23, energi, renew, system, island",16,107,0.15
5,"21, light, power, model, oil",14,107,0.131
5,"1, grid, energi, system, power",11,107,0.103
6,"0, bornholm, energi, say, island",21,152,0.138
6,"2, energi, wind, bornholm, project",21,152,0.138
6,"13, wind, danish, price, project",14,152,0.092
6,"9, energi, bornholm, island, wind",13,152,0.086
6,"26, energi, wind, project, offshor",11,152,0.072
7,"3, co2, heat, bioga, rvv",24,146,0.164
7,"20, hydrogen, system, electrolys, european",15,146,0.103
7,"1, grid, energi, system, power",15,146,0.103
7,"7, energi, system, water, carbon",14,146,0.096
7,"14, renew, system, energi, water",12,146,0.082
8,"8, energi, wind, 2030, island",24,114,0.211
8,"5, energi, wind, fuel, electr",17,114,0.149
8,"31, wind, energi, turbin, bornholm",14,114,0.123
8,"13, wind, danish, price, project",13,114,0.114
8,"40, wind, offshor, gw, energi",10,114,0.088
9,"6, comput, quantum, system, model",30,133,0.226
9,"1, grid, energi, system, power",28,133,0.211
9,"15, grid, wave, system, kelvin",21,133,0.158
9,"36, grain, system, capac, power",14,133,0.105
9,"47, control, microgrid, power, ess",11,133,0.083
