topic_int,topic_names_from_bertopic,count,total_count,percentage,filtered_count,filtered_total_count,filtered_percentage,filtered_to_total_ratio
0,"2, bornholm, land, municip, energi",38,121,0.314,28.0,60.0,0.467,1.487
0,"3, bornholm, say, energi, land",29,121,0.24,9.0,60.0,0.15,0.625
0,"6, bornholm, busi, area, municip",17,121,0.14,11.0,60.0,0.183,1.307
0,"21, bornholm, area, energinet, green",11,121,0.091,8.0,60.0,0.133,1.462
0,"29, bornholm, energi, municip, transform",6,121,0.05,3.0,60.0,0.05,1.0
1,"0, grid, offshor, power, system",42,175,0.24,23.0,87.0,0.264,1.1
1,"16, grid, offshor, wind, system",27,175,0.154,12.0,87.0,0.138,0.896
1,"17, offshor, grid, light, wind",23,175,0.131,12.0,87.0,0.138,1.053
1,"9, data, grid, cool, comput",19,175,0.109,9.0,87.0,0.103,0.945
1,"7, system, power, offshor, wind",17,175,0.097,9.0,87.0,0.103,1.062
2,"11, bornholm, compani, busi, food",19,139,0.137,13.0,69.0,0.188,1.372
2,"6, bornholm, busi, area, municip",18,139,0.129,9.0,69.0,0.13,1.008
2,"12, bornholm, energi, island, busi",18,139,0.129,6.0,69.0,0.087,0.674
2,"15, bornholm, energi, project, island",16,139,0.115,7.0,69.0,0.101,0.878
2,"35, bornholm, energi, busi, island",14,139,0.101,9.0,69.0,0.13,1.287
3,"4, energi, wind, hydrogen, offshor",27,114,0.237,22.0,57.0,0.386,1.629
3,"5, energi, hydrogen, wind, island",26,114,0.228,13.0,57.0,0.228,1.0
3,"1, climat, 2030, energi, co2",15,114,0.132,1.0,57.0,0.018,0.136
3,"19, hydrogen, wind, offshor, energi",10,114,0.088,5.0,57.0,0.088,1.0
3,"24, hydrogen, methanol, fuel, energi",8,114,0.07,5.0,57.0,0.088,1.257
4,"13, municip, council, bornholm, mayor",36,173,0.208,24.0,86.0,0.279,1.341
4,"22, social, democraci, budget, municip",29,173,0.168,8.0,86.0,0.093,0.554
4,"3, bornholm, say, energi, land",27,173,0.156,15.0,86.0,0.174,1.115
4,"31, municip, save, climat, budget",20,173,0.116,14.0,86.0,0.163,1.405
4,"28, bornholm, energi, municip, island",17,173,0.098,12.0,86.0,0.14,1.429
5,"0, grid, offshor, power, system",35,144,0.243,10.0,72.0,0.139,0.572
5,"10, grid, power, control, hvdc",32,144,0.222,25.0,72.0,0.347,1.563
5,"20, convert, grid, control, ac",30,144,0.208,22.0,72.0,0.306,1.471
5,"25, control, frequenc, stabil, convert",25,144,0.174,5.0,72.0,0.069,0.397
5,Noise,14,144,0.097,10.0,72.0,0.139,1.433
6,"1, climat, 2030, energi, co2",24,136,0.176,8.0,68.0,0.118,0.67
6,"4, energi, wind, hydrogen, offshor",14,136,0.103,7.0,68.0,0.103,1.0
6,"5, energi, hydrogen, wind, island",12,136,0.088,12.0,68.0,0.176,2.0
6,"19, hydrogen, wind, offshor, energi",11,136,0.081,11.0,68.0,0.162,2.0
6,"8, wind, energi, system, electr",10,136,0.074,4.0,68.0,0.059,0.797
7,"15, bornholm, energi, project, island",13,109,0.119,10.0,54.0,0.185,1.555
7,"21, bornholm, area, energinet, green",12,109,0.11,2.0,54.0,0.037,0.336
7,"18, project, energi, island, billion",12,109,0.11,8.0,54.0,0.148,1.345
7,"12, bornholm, energi, island, busi",11,109,0.101,10.0,54.0,0.185,1.832
7,"2, bornholm, land, municip, energi",10,109,0.092,5.0,54.0,0.093,1.011
8,"8, wind, energi, system, electr",23,147,0.156,16.0,73.0,0.219,1.404
8,"7, system, power, offshor, wind",20,147,0.136,17.0,73.0,0.233,1.713
8,"9, data, grid, cool, comput",19,147,0.129,8.0,73.0,0.11,0.853
8,"26, energi, wind, overpl, agenc",14,147,0.095,9.0,73.0,0.123,1.295
8,"32, color, urban, offshor, wind",12,147,0.082,1.0,73.0,0.014,0.171
9,"1, climat, 2030, energi, co2",27,109,0.248,13.0,54.0,0.241,0.972
9,"4, energi, wind, hydrogen, offshor",12,109,0.11,9.0,54.0,0.167,1.518
9,"5, energi, hydrogen, wind, island",11,109,0.101,11.0,54.0,0.204,2.02
9,"24, hydrogen, methanol, fuel, energi",11,109,0.101,6.0,54.0,0.111,1.099
9,"19, hydrogen, wind, offshor, energi",11,109,0.101,10.0,54.0,0.185,1.832
