topic_int,topic_names_from_bertopic,count,total_count,percentage,filtered_count,filtered_total_count,filtered_percentage,filtered_to_total_ratio
0,"12, bornholm, food, energi, bioga",16,156,0.103,10.0,78.0,0.128,1.243
0,"35, hous, mayor, municip, archaeologist",16,156,0.103,6.0,78.0,0.077,0.748
0,"32, municip, bornholm, also, plant",14,156,0.09,11.0,78.0,0.141,1.567
0,"11, busi, compani, bornholm, municip",14,156,0.09,8.0,78.0,0.103,1.144
0,Noise,11,156,0.071,1.0,78.0,0.013,0.183
1,"10, control, convert, grid, hvdc",34,147,0.231,26.0,73.0,0.356,1.541
1,"18, control, grid, convert, voltag",28,147,0.19,15.0,73.0,0.205,1.079
1,"28, grid, control, power, frequenc",23,147,0.156,11.0,73.0,0.151,0.968
1,Noise,17,147,0.116,9.0,73.0,0.123,1.06
1,"44, control, voltag, grid, stabil",17,147,0.116,10.0,73.0,0.137,1.181
2,"0, bornholm, energi, say, island",33,146,0.226,25.0,73.0,0.342,1.513
2,"2, energi, wind, bornholm, project",25,146,0.171,10.0,73.0,0.137,0.801
2,"9, energi, bornholm, island, wind",19,146,0.13,17.0,73.0,0.233,1.792
2,"4, bornholm, cool, ole, center",13,146,0.089,6.0,73.0,0.082,0.921
2,"25, island, energi, project, energinet",13,146,0.089,6.0,73.0,0.082,0.921
3,"17, hydrogen, connect, wind, energi",18,111,0.162,12.0,55.0,0.218,1.346
3,"38, german, energi, germani, island",15,111,0.135,5.0,55.0,0.091,0.674
3,"22, hydrogen, plant, methanol, ammonia",11,111,0.099,3.0,55.0,0.055,0.556
3,"39, germani, energi, electr, wind",9,111,0.081,5.0,55.0,0.091,1.123
3,"5, energi, wind, fuel, electr",9,111,0.081,8.0,55.0,0.145,1.79
4,"11, busi, compani, bornholm, municip",18,155,0.116,7.0,77.0,0.091,0.784
4,"16, busi, bornholm, municip, democraci",18,155,0.116,11.0,77.0,0.143,1.233
4,"12, bornholm, food, energi, bioga",14,155,0.09,1.0,77.0,0.013,0.144
4,"30, bornholm, municip, climat, develop",13,155,0.084,5.0,77.0,0.065,0.774
4,"24, municip, energinet, plant, say",12,155,0.077,3.0,77.0,0.039,0.506
5,"14, renew, system, energi, water",17,107,0.159,13.0,53.0,0.245,1.541
5,"7, energi, system, water, carbon",16,107,0.15,9.0,53.0,0.17,1.133
5,"23, energi, renew, system, island",16,107,0.15,9.0,53.0,0.17,1.133
5,"21, light, power, model, oil",14,107,0.131,6.0,53.0,0.113,0.863
5,"1, grid, energi, system, power",11,107,0.103,4.0,53.0,0.075,0.728
6,"0, bornholm, energi, say, island",21,152,0.138,9.0,76.0,0.118,0.855
6,"2, energi, wind, bornholm, project",21,152,0.138,13.0,76.0,0.171,1.239
6,"13, wind, danish, price, project",14,152,0.092,7.0,76.0,0.092,1.0
6,"9, energi, bornholm, island, wind",13,152,0.086,10.0,76.0,0.132,1.535
6,"26, energi, wind, project, offshor",11,152,0.072,7.0,76.0,0.092,1.278
7,"3, co2, heat, bioga, rvv",24,146,0.164,16.0,73.0,0.219,1.335
7,"20, hydrogen, system, electrolys, european",15,146,0.103,11.0,73.0,0.151,1.466
7,"1, grid, energi, system, power",15,146,0.103,4.0,73.0,0.055,0.534
7,"7, energi, system, water, carbon",14,146,0.096,1.0,73.0,0.014,0.146
7,"14, renew, system, energi, water",12,146,0.082,5.0,73.0,0.068,0.829
8,"8, energi, wind, 2030, island",24,114,0.211,20.0,57.0,0.351,1.664
8,"5, energi, wind, fuel, electr",17,114,0.149,8.0,57.0,0.14,0.94
8,"31, wind, energi, turbin, bornholm",14,114,0.123,6.0,57.0,0.105,0.854
8,"13, wind, danish, price, project",13,114,0.114,10.0,57.0,0.175,1.535
8,"40, wind, offshor, gw, energi",10,114,0.088,7.0,57.0,0.123,1.398
9,"6, comput, quantum, system, model",30,133,0.226,21.0,66.0,0.318,1.407
9,"1, grid, energi, system, power",28,133,0.211,11.0,66.0,0.167,0.791
9,"15, grid, wave, system, kelvin",21,133,0.158,16.0,66.0,0.242,1.532
9,"36, grain, system, capac, power",14,133,0.105,7.0,66.0,0.106,1.01
9,"47, control, microgrid, power, ess",11,133,0.083,4.0,66.0,0.061,0.735
