ID,Date,Title,Outlet,Link,Full text,Value 
1.0,2008-03-13 00:00:00,Kunstig ø skal være gigantisk batteri for vindmøllestrøm,Ingeniøren,Link,"hollandsk rådgiverfirma foreslår anlæg kunst ø omkrans vindmøl . pump vand sø midt øen hav , vind blæs . stil period strøm vand tilbag søen driv øen turbin . hollandsk rådgivnings- testfirma kema tegn forslag kunst ø , kan fung tiltræng lag vindmøllestrøm . øen 10 kilomet lang sek kilomet bred , så rig plad opstil vindmøl . midt øen lig kæmpemæs sø , får funktion batteri . vind blæs , pump vindmøl vand søen omgiv hav . stil vejr , brug gener elektricit , strøm vand tilbag turbin . ifølg hollandsk rådgiv søen lev 1.500 mw mindst 12 tim , hvilk svar stort kraftværk . foreløb tal indled studi , kema konstat , pump søen hvert fald kommercielt tilgæng all dag . sen detailstudium bland and giv bud , lig , så kan , sat pris stabil miljørig energiforsyning . kema udtænk koncept støt ræk energiselskab .",-3.0
,2009-09-08 00:00:00,Kunstige energiøer skal gemme vindkraften,Ingeniøren,Link,"dansk arkitektfirma lanc koncept kunst øer bassin midt , pump tom , overskud strøm , fyld , brug mer strøm . dansk firma gottlieb paludan arkitek giv anderled bud , hvordan overskyd vindmøllestrøm kan lagr . ifølg firma ske kunst øer rund dansk farvand , stor vandbassin midt øen tøm , vindkraft overskud , fyld indstrøm havvand , mangel strøm . indstrøm vand driv turbin , produc strøm . projek præsent stor energi- klimakonferenc nordic climat solution bella-centr dag , tirsdag . arkitektfirma - hjælp risø dtu - eksempel regn , kunst ø syd avedør stør 4,9 kvadratkilomet rum 22,3 million kubikmet stort vandbassin . bund bassin 40 met havoverflad , oper faldhøjd minimum 25 met . dermed lag produc 2300 mwh strøm tomt fyld bassin . svar maks-kapacit avedøre-værk tre tim . » samtid ide , øen bassin kan udnyt algeproduktion , energipil eventuelt solkraftværk , « sig kommunikationschef sten sødring gottlieb paludan arkitek . oplag forbind brobyggeri tilføj , mul plac sådan kunst lager-ø dansk farvand - mindst forbind brobyggeri , alligevel anlæg øer . projek regn energitab omkring 25 procent ved lagringsmetod , hvilk ifølg sten sødring pessimistisk end kend estimat `` pumped hydro '' , lagerteknik hed . arkitek endnu regn økonomi projek , gang - sam studi byggemetod formalia omkring byg kunst øer hav . samtid sam risø hollandsk firma , kema , tid lanc ide lagring vindmøllestrøm kunst øer , se mulighed opnå eu-støt arbejd vid koncept .",7.0
,2017-03-10 00:00:00,Tre lande går sammen om kunstig energi-ø midt i Nordsøen,Ingeniøren,Link,"holland , tyskland danmark undersøg , kæmp kunst ø doggerbank midt nordsø kan gør fremtid udbygning vindenergi bedr bil . holland , tyskland danmark går sam undersøg fornuft etabl sek kvadratkilomet kunst 'energi-ø ' landingsban havn doggerbank nordsø . øen havmøllepark forskel land nordsø kobl sam . derfor underskriv dansk energinet.dk 23. mart aftal eltransmissionsselskab holland tyskland , hed ten beg land , undersøg mul lav knudepunk vindenergi midt mellem england , danmark , holland norg . skriv energinet.dk pressemeddel . » lyd måsk skørt scienc fictionag , ø doggerbank kan vis gør fremtid vindenergi bil mer effektiv , « sig torb glar niels , teknisk direktør energinet.dk . ø pr . 30 gw vindkraft rund øen kan fler tusind havmøl sæt , strøm fler land havmøllepark kan saml send kryd tvær forbrug nordsøland . forestil , ø knudepunk måsk 30 gw vindmøllekapacit , sigt 70-100 gw vindmøl måsk fler kunst øer doggerbank , vanddybd relativ lav . 70 gw kan forsyn 80 million europæ strøm . fordel ved ø-model , afstand mellem havmøl nettilslutning kort , hvorved mul brug vekselstrømsteknologi . kan nedbring omkostning dyr jævnstrømskonvert ( omformerstation ) lang kabl , ell nødvend , fremtid park byg læng læng ude hav . samtid søkabl , fragt strøm kunst ø nordsøland , fung ilandføringskabl elmotorvej handel mellem land . ilandføringskabl brug dag ca . halvdel tid , fordi altid blæs . ved gør handelskabl , kan brug tæt 100 procent . mindr transporttid grej mandskab all dag ræk elkabl , forbind elsystem land rund nordsø , muligvis kobl energiø . ide øen , reservedel båd omformerstation , vindmøl elkomponent kan opbevar øen . giv mindr transporttid åbent hav båd materiel mandskab . plan kunst ø doggerbank fostr ten byg eu 's vurdering , vindproduktion nordsøregion kan tidobl frem 2030 . samtid energiministr nordsøland sidst år indgå aftal frem samarbejd havvind . brug storskala-løsning torb glar niels , teknisk direktør energinet.dk , påpeg , energinet.dk , ansvar få strøm havmøl land frem forbrug . derfor hel tid pres , så pris ilandføring udlandsforbind fald : » brug innovativ storskalaløsning , 'energihub ' nordsø bestemt værd undersøg grund , « sig . tilføj , takt kom fler møl , nødvend se læng læng hav få plad nye havmøllepark . torb glar niels forklar vid , havmøllepark , danmark ved opfør krieg flak østersø , dan skol doggerbanke-projek . kobl nem dansk tysk havmøllepark sam - samtid kabl brug elmotorvej danmark tyskland omvend . yderm kobl krieg flak-projek to forskel elsystem frekvensområd , nordisk centraleuropæisk , konverterstation tyskland .",-8.0
,2017-06-08 00:00:00,Havmøllerne får egen ø ved Lolland,Energy Supply,Link,"selskab by & landskab nakskov planlæg etabl energiø havmøl kyst langelandsbælt ved havneby tår trecifr millionbeløb . reelt set etabl landmøllepark havmøllepark sted , energiø får fordel ved havmøl , elimin del modstand , normalt omkring vindmøl . - rigt fordom omkring vindmøl – hel point energiø får fordel ved havvind omkostning , sæt set stor havmøl land ude hav , gen lang fær nabo , forklar philip rasmus by & landskab . 20 havmøl kunst ø energiø , skab ved dæm grav , undse stør . nem hus 20 stor havmøl . energiø etabl samtid umiddelbar forbind nye færgehavn tår , hvilk gør vedligehold reperation møl lang bil , møl stod lang hav . - let , montør servicefolk kan cykl møl , skift møtrik frem send skib , sig philip rasmus . energiø klimaduk by & landskab lig vælg farvand lolland , så selvfølg fordi , hus . fordi , energi-set-up lolland , kultur , helt rigt . - ( lolland , red . ) produc fem gang så strøm , brug . vesta produc naksskov havn . kultur omkring grøn strøm sted , let tal vor projek , sig philip rasmus . projek kost cirka 200 million kron skab 2500 arbejdsplads .",4.0
,2019-07-09 00:00:00,Kunstig energiø i Nordsøen er teknisk mulig: Skal stå klar om 12 år,Ingeniøren,Link,"ny forundersøg vis , båd teknisk økonomisk realistisk byg kunst energiø midt nordsø kapacit 15 gw start 2030'ern . ræk dansk , tysk , hollandsk eltransmissionsselskab politik . to år sid gik dansk energin sam eltransmissionsselskab holland tyskland undersøg mulighed etabl sek kvadratkilomet kunst 'energiø ' landingsban havn doggerbank nordsø . ide energiø nordsø saml strøm fler land havmøllepark send kryd tvær forbrug nordsøland . » lyd måsk skørt scienc fiction-ag , ø doggerbank kan vis gør fremtid vindenergi bil mer effektiv , « sagd torb glar , teknisk direktør energin , 2017 vision . international north sea wind pow hub-konsortium , står bag ide energiø , så gennemført ræk forundersøg foreløb testresultat . » væsent , danmark rest europa omstil 100 procent vedvar energi ind kort årræk . kræv , løs energi trilemma , altså sikr forsyningssikker , omstil vedvar energi beg del konkurrencedyg pris . fler storskala-energiø vigt løs trilemma . kan brug energiø hent strøm land mer effektivt , handl strøm mellem land , blæs , « sig torb glar , styregruppemedlem north sea wind pow hub-konsorti , dag ingeniør . tirsdag fremlæg partn international konsortium north sea wind pow hub ( nswph ) resultat projek vurderingsfas . gennem senest måned konsorti analys mulighed beting etabl fler energiø nordsø . hovedkonklusion klar : fler energiø nordsø båd teknisk økonomisk mul , ambition først energiø drift begynd 2030 ’ ern . markant ændring vej selvom vision nogenlund sam , projek ændr adskil områd . størst ændring , bevæg én stor energiø kapacit 30 gw fler mindr energiø , opsaml fung knudepunk 10-15 gw vindmøllekapacit . antag , sigt 180 gw frem år 2045 doggerbank , vanddybd relativt lav . » fler mindr øer mer optimalt . læng væk øen havvindmøl plac , desto mindr optimalt øen fung distributionscentral . så forvent 10-15 gw per ø 15 øer . sikkerhedsmæs fordelt fler øer . samtid placering endnu fastlag . doggerbank udlag natura 2000-områd , derfor optimalt stor ø områd , « sig torb glar . 70 gw kan forsyn 80 million europæ strøm . fordel ved ø-model , afstand mellem havmøl nettilslutning kort , hvorved mul brug vekselstrømsteknologi forsvar fisk flyt energiø realit , kræv nye politisk aftal tvær landegræns , lyd konsorti bag . del fordi international undersøg scenari vis , nuvær udrulningshast havvind utilstræk nå mål paris-aftal , del fordi plads mer trang nordsø . » vigt forudsætning , politisk vilj byg nødvend havvindmøllepark nordsø . energiø ing funktion uden nye havvindmøllepark . nordsø dag forskel aktør , eksempelvis forsvar , fiskeri , gassektor . vant mas plad nordsø , så vindenergi , fordel udpeg mest optimal områd vind . kræv forment politisk aftal . samtid hollandsk , tysk , engelsk regering fornuft udbygningstak , så stabil udrulning let projektstyring bedr pris , « sig torb glar . danmark behøv energin spark dør hent opbakning energiø nye socialdemokratisk regering . såkald forståelsespapir , regering skrev sam parlamentarisk grundlag , kan kort læs : » ny regering vedtag klimahandlingsplan . handlingsplan bland and indehold følg element : undersøg mul danmark sam nordsøland udarbejd fæl strategi markant udbyg udnyt havvindpotential . afsøg mul danmark senest 2030 byggerd først energiø minimum 10 gw tilkoblet. « ingeniør gern spurg klimaminist dan jørgens ( s ) regering opbakning energiø nordsø , minist aflyst interview ingeniør kort varsel grund pres kalend . lagring energi centrum fung bindeled mellem forskel national transmissionsn energiø lagr energi havvindmøl ude midt nordsø . hvilk teknologi fastlag . » lagr energi teknisk forsvar måd senest 2040-2050 , kun anv vedvar energi . kan pow to gas ( p2g ) , varmelagring ellag batteri . undersøg , virk bedst , « sig torb glar . konkr kig konsorti , hvordan kan konvert strøm gas , så kan brug brændstof bland and skib . » kig , hvordan kan brug øern konvert strøm gas , så kan brug lav ny form sektorkobling , bind havvindmølle-strøm transportsektor . så vindmøl kun kild strøm , kild brændstof brint skib , « sig torb glar . kan afhjælp flaskehals eltransmissionsnet omdan elektricitet gas , blev send land , dereft transport gas områd stor efterspørgsel lang ind land . først energiø kapacit 10-15 gw kan stå klar start 2030 ’ ern , sandsynligvis kun elektrisk forbund land tilknyt konvertering gas land . nem teknisk mul foretag konvertering strøm gas ude kunst ø tilgæng teknologi dag . pris afhæng , øern plac » økonomisk ram klar . kan sandø , betonfundament , kend vindmøl , sænkekas stålfundament . undersøg , udpeg rigt sted . 20 met vand , kræv én løsning , men 40 met vand giv andr forhold . stor udgift selvfølg byg nødvend havvindmøllepark , lev energi øen , « sig torb glar .",-5.0
,2019-11-25 00:00:00,Ørsted: Placér den første energi-ø ved Bornholm,Ingeniøren,Link,"energiselskab men , mer realistisk nødvend byg kæmp havmøllepark forvej udpeg lavvand områd østersø bornholm , hvorfra strøm kan fordel båd danmark , sver pol . energiaftal sidst år vedtog ni parti , byg tre nye , stor havmøllepark ind 2030 , hvoraf først plac vestjylland , men endnu beslut , to næst park lig . samtid fremgår regering såkald forståelsespapir den støtteparti , » afsøg mul danmark senest 2030 byg først energi-ø minimum 10 gw tilkobl « , hvilk stat selskab energin fler kik ude nordsø . bland energiselskab ørsted debat forslag sted plac energi-ø del såkald havvind-klyng østersø vest bornholm , vanddybd kun 15-20 met lavest sted . områd , ifølg screening areal havmøl , energistyr gennemført start 2019 , velegn hus 3,1 gw havmølle-kapacit . derfor all reserv stats udbud havvind . 3-5 gw havvind » ind anlæg stor sand-ø ude nordsø , foreslår , kombin eksist plan transmissionsforbind havvindsområd ø granit , all , nem bornholm , « sig martin neubert , koncerndirektør administr direktør ørsted offshor . selskab vision – bornholm knudepunk – forbind danmark to-tr andr land , såsom pol , sver evt . tyskland , sigt saml tilkobl 3-5 gw havvindkapacit . først skridt vision udbyd havvindpark 1 gw ved røn bank sydvest bornholm samt forbind danmark pol . forsyningssikker sjælland havvindpark transmissionsforbind pol kan sikr høj forsyningssikker sjælland samtid lev stor mæng strøm , kan driv grøn elektrificering samfund . transmissionskabl hav grav . » foreslår konkr , udbud indehold båd havvindmøllepark såvel transmissionskabl sjælland bornholm pol sikr optimal teknisk løsning bil pris , « sig martin neubert . ørsted henvis , energin all foreslå transmissionsforbind mellem sjælland pol eu 's ” ten year network development plan ” , realistisk projek kombin forbind havvindpark 1 gw , kan sikr pålid bil elektricit danmark pol 2028 . næst fas bæredyg brint derudov ban vision vej næst fas danmark grøn omstilling , produktion bæredyg brint kan gør flytrafik , skibsfart tung vejtransport co2-neutralt dermed lev afgør nødvend bidrag regering ambition sænk danmark co2-udledning 70 procent 2030 . » vision kan sikr danmark plad fremtid grøn omstilling , gennem produktion bæredyg brint havvind kan omstil del samfund , mangl grøn løsning dag , « påpeg neubert . selskab understreg , nog konkret plan placering brintfabrik . eu-kommission tid vurd , brug 450 gw havvindkapacit lev strøm bland and elbil varmesektor , produktion bæredyg brint stor skala . ifølg ørsted kan mål kun indfri ved sæt tempo nytænk udbygning havvind , så kom fokus havvind-klyng transmission fler land : » nødt dramatisk højn tempo udbygning havvind transmission , kom mål . bornholm danmark pol unik mul få nødvend erfaring havvind-klyng , kan skal fremtid energi-ø samtid kort sigt bidrag markant grøn omstilling forsyningssikker beg land , « sig martin neubert . projek kræv fler analys ørsted præsent først idé politik , får pæn modtag henholdsvis brian vad mathies , professor energiplanlægning ved aalborg universit direktør grøn tænketank , concito , christian ibs . brian vad mathies kald avis » rigt godt konstruktivt « projek , kræv grund analys . » lang mer realisérbart luft tank kæmpestor energi-ø lang ude hav , 10 gigawat mer . udfordring lig find egned placering stor mæng vedvar energi , samtid tæt stor forbrugscentr . eksempel , kan « , sig professor politik . sam holdning christian ibs ifølg politik . påpeg samtid , kæmp anlæg ved bornholm blok , dag kan byg ude nordsø .",6.0
,2019-12-03 00:00:00,Finanslov: Professor roser forundersøgelser til energi-øer,Ingeniøren,Link,"kom 'energiø ' nordsø ved bornholm kan understøt produktion grøn flyd brændsl . professor henrik wenzel glad , advar , kan mist vigt synergifordel , vælg forkert teknisk løsning . grundlæg positivt , regering finanslov 2020 direk skriv , » igangsæt forundersøg energiø samt understøt power-to x teknologi « , sig professor sdu , henrik wenzel . advar samtid , energiø risik mist vigt synergieffek ved produktion flyd grøn brændsl . yder hed aftaletekst , » power-to-x kan potentielt understøt effektiv udnyt stor mæng havvindstrøm evt . energiø , hvorfor samtid afsæt midl forsknings- , udvikling demonstrationsordning power-to-x. « afsæt 30 mio . kr . 2020 , 27 mio . kr . 2021 8 mio . kr . 2022 . ørsted start lil energiø ved bronholm spørgsmål energiø opp vend fler gang , senest som ingeniør , konsorti “ north sea wind pow hub ” beskrev , netværk energiø nordsø hver 10 gw båd teknisk økonomisk mul . øern eksempel plac dog bank . slutning novemb argument ørsted yder , energiø 1 gw , lig ved røn bank sydvest bornholm forbind danmark pol elektrisk . henrik wenzel understreg , byg sådan energiø , så vigt , kun el , bring land altså brint produc ude selv øen : » så mist synergi , opstår proces ved fremstilling brint , syntesgas vid flyd grøn brændsl . først fremmest overskudsvarm , kan udnyt fjernvarmenet , « sig . eksempel nævn , elektrolys nemyt soec-metod , rigt god ide , før varm proces , grøn syntetisk gas omdan flyd brændsel , tilbag elektrolyse-proces dereft brug restvarm fjernvarm . derfor vigt , selv produktion kom lig nær fjernvarmen . dialog globalt energiselskab sam forskningsgrup nira , nyl offentliggjort rapport `` nordic gtl – a pre-feasibility study on sustainabl aviation fuel from bioga , hydrog and co2 '' , beregning vis , ret integration grøn el , brint , bioga co2 , mul fremstil flyd brændstof flytrafik , kun dobbelt så dyrt fossilt brændstof dag . lig arbejd få gang konkr projek samarbejd globalt energiselskab . først skridt omdan methanis bioga direk flyd brændsel . efterfølg tank , produktion øges ved tilføj procestrin , grøn brint co2 indgår : » først del kend teknologi kan gå direk fuldskalaanlæg . kom vid brug brint co2 øge produktion , så brug demonstrationsprojek kan aftaletekst finanslov interessant , « sig .",-7.0
,2020-02-12 00:00:00,Gas-skepsis stemt ned: Parlament godkender EU-liste over 151 infrastruktur-projekter,Ingeniøren,Link,"151 projek omfat hel del naturgas-projek derfor stemt grøn grup parlament imod godk list , stort flertal sagd ja . eu parlament godkend onsdag list 151 grænseoverskrid energiinfrastrukturprojek , eu kommission udvalg værd søg eu-støt . bland projek såkald pci-list energiø nordsø , baltic pipe-gasledning mellem danmark pol samt 55 naturgas-infrastrukturprojek . netop projek naturga fået grøn grup eu parlament stem nej list opfordr andr parlamentsmedlem gør sam . foræld infrastruktur dansk sf'er margreth auk skrev eksempel alting , gasrør fastfrys europa fossil tidsald spild milliard euro infrastruktur snart foræld : » glem , hver euro spild sted burd gået forskning , vedvar energi grøn omstilling landbrug , « skrev opfordring . lytted opfordring : kun 169 stemt list , men 443 stemt , skriv polsk delegation pressemeddel . nye kabelforbind energi-ø nordsø – energin par andr transmissionsansvar selskab sysl plan byg specifik nævnt regering aftal støtteparti – indehold list stor el-infrastruktur-projek , forbind norg storbritanni ( north sea link north connect ) , kabl mellem danmark storbritanni ( viking link ) samt forbind mellem henholdvis holland tyskland storbritanni . pci-projek grænseoverskrid energiinfrastrukturprojek strategisk betydning union . projek pci-list , opdat hvert and år , nyd godt mer lemp administrativ behandling kan altså modtag finansiering connecting europe-midl .",
,2020-05-20 00:00:00,Ros til klimaudspil med to energiøer: Men et væsentligt kapacitetsproblem truer,Ingeniøren,Link,"regering klimaplan sæt skub udvikling grøn flyd brændstof . energiprofessor bekymr , flyd grøn brændsl mer kompleks , politik tror . ida ’ s formand giv plan » pænt 7-tal « . ifølg regering klimaplan , netop blev præsent , byg to energiø , forbind opfør 4 gw ny havvindmøllekapacit . mål øern skab knudepunk indsamling distribution grøn energi , båd form el flyd grøn brændsl . dermed lagt teknologisk satsning udvikling power-t-x ( ptx ) , grøn el omdan alternativt brændsel , kan brug eksempel tung del transportsektor , fly , skib industri : » kan læng lav enkeltstå havmøllepark . energiø , båd kan saml indføring grøn energi land , kan produc brint flyd brændsl , « sagd klima- , energi- forsyningsminist dan jørgens ved præsentation plan . to energiø plac hhv . nordsø østersø bornholm . hver byg 2.000 mw vindkraft mer dobbelt så , byg dag . regering forslag svar næst , ida foreslå senest rapport : ida klimasvar : transport- energiløsning 2030 , sæt mål 6.630 mw havvind 2030 . udbygning energiø ptx-teknologi ses sammenhæng mål indfang lagr – evt . nyttiggør - co2 røgga . først omgang fossil kild , umiddelbart kan udskift , læng sigt biomas , reelt tal negativ co2-emission . god plan hul professor energiplanlægning aalborg universit , brian vad mathies , kald ide energiø rigt god , betænk ved udmelding : » rigt fint , talt fler år . får sat midl , så næst to-tr år kan udvikl demonstrationsprojek , vis , hvordan ptx kan virk . helst ske gennem hel værdikæd , så eksempel får test lastbil rent faktisk kør , « sig . bekymr , politik undervurd , komplekst energisystem . mangl nem stad vid model , vis , enkelt anlæg bedst plac , teknisk økonomisk : » handl , infrastruktur opbyg transport grøn energi . eksempel bedst plac produktion brint selv energiø , el før land dereft omdan flyd brændsl , « sig understreg , må lås tid fast . mht . placering energiø men , bornholm oplag sted . placering tæt båd sver , pol , tyskland danmark øen effektivt middel fortræng fossil brændsl land : » men sagt , kan bær udbyg 5 gw , « sig . mer betænk energiø nordsø . afstand væsent læng , dag kabl , stand overfør mer 2 gw , planlag : » først tro , sid 2030 , kan kom kabel stør , kan overfør 10 gw , sker , udbyg kapacit , så kan lev grøn strøm stor energiforbrug centr nordeuropa , « sig brian vad mathies . overordn set kald professor klimaplan godt udspil , selvom godt kan peg teknisk detalj , mindr glad , hul , helt blev udfyld . klimaplan anerkend teknologi formand ida , thoma damkjær peders , glæd , kom først udspil regering , hvordan kom mål co2-reduktion 2030 : » udspil anerkend , brug teknologisk fokus nå mål . løsning peg vor klimasvar tid år . derfor giv pænt 7-tal , « sig . grund kan kom høj , ifølg thoma damkjær peders , endnu fået omsat national strategi , derfor ved hvordan . havvindmøllepark fremryk , kom fokus udvikling demonstration ptx , så kan gå demonstrationsanlæg stor skala , helt nødvend , kan nå mål co2-reduktion 2030 2050 , sig : » glæd , plan omsat egent strategi forskning udvikling samarbejd mellem privat offent aktør , « sig thoma damkjær peders .",8.0
,2020-05-20 00:00:00,Regeringens storstilede klimaplan bidrager til en brøkdel af CO2-målet,Ingeniøren,Link,"regering udspil først del klimahandlingsplan nedbring kun co2-udledning 2 nødvend 19 mio . ton co2 frem 2030 . så kom regering end samled udspil først trin klimahandlingsplan , før frem klimamål co2-reduktion 70 pct . 19 mio . ton co2 2030 – forhandl øvr parti bag klimalov . plan består sek punk lad sagt sam – vis , hvordan klimamål , idet blot giv reduktion 2 mio . ton co2 påkræved 19 mio . ton . gengæld loved regering fler initiativ sen : » færd . kun først kapitel , sommerferi præsent nye initiativ . dag skab solid fundament klimaneutralt danmark – fundament , kan byg vid år fremad , « sagd finansminist nicolai wam pressemød , loved , skab grundlag , tusindvis grøn arbejdsplads kom år kan skabt kan bevar danmark . langsigted energiø power-to-x tiltag giv så co2-reduktion , skyld , fler langsigted sted her-og-nu-reduktion sigt udvikl opskal teknologi , får brug lang ban . vigt sæt gang teknologiudvikling , klimaråd råded rapport mart 70 procents-mål . langsigted perspektiv gæld især forslag etablering to energiø udbygning ekstra 2 gw havvindmøllepark henholdsvis nordsø østersø , gæld forslag sæt turbo teknologiudvikling power-to-x co2-fangst lagring . konkr foreslår regering , fang co2 eksempel industri så brug grøn energi pump tilbag jord . regering 2024 afsæt 400 mio . kr . årl pulj , indfang lagr co2 , hvilk ifølg oplæg reduc co2-udledning 0,3 mio . ton . co2 pr . år 2030 . derudov regering lav saml strategi ccus sæt ram fremtid indsat . ptx-områd regering indled partnerskab storskala ptx-anlæg , fremstil grøn brændstof fly bil måd driv omkostning brint . pulj bioga industri båd energiø ptx/ccs forslag kost dermed sær før 2024 , giv altså tilsam kun 0,3 mio . ton co2-reduktion . grøn omstilling industri form elektrificering brug bioga regering frem via tilskudspulj 900 mio . kron 2020 2024 elektrificering plus pulj 95 årl bioga andr grøn gas ; kom først spil 2024 . reduc co2-udledning 0,3 mio . ton 2030 . regering lov samtid indgå tæt samarbejd klimapartnerskab finansiel sektor kortlæg mulighed mobilis privat investering grøn omstilling nye måd . gæld frem energieffektivisering bygning industri gavn klima , regering afsæt midl indsaml udstil data bygning energiforbrug . desud styrk energimærkningsordning , indarbejd anbefaling indeklima , så bygningsej får endnu bedr beslutningsgrundlag , invest energiforbedring f.ek . bol . desud stil krav fortsat energibespar stat bygning frem 2030 , så stat går foran god eksempel . dét giv tilsam reduktion blot 47.000 ton 2030 . varmesektor mer grøn , all hørt , sig oli gasfyr udskift fjernvarm varmepump . plan sat tal , elvarmeafgift sænk ( 0,8 øre pr . kwh ) , afgift fossil varm hæv ( 56,7 øre pr . gj 62,3 øre pr . gj ) , tilskud forbrug , udskift oli gasfyr , kom lig mellem 15.000 25.000 kr . overskudsvarm fritag afgift fremgår , afgift overskudsvarm forslå fjern , regering vurd , omtalt nedsæt elvarmeafgift gør geotermisk varm rentabelt , grønt alternativ . varmepak mindsk drivhusgasudledning 0,7 mio . ton co2 2030 . end grøn affaldssektor mer genanvend , 80 pct . dansk plast udsort forbrænding 2030 , mindr forbrænding import affald mer sortering genanvend . samtid regering gør cirkulær økonomi vækstmotor dansk erhvervsliv . initiativ affaldsområd medfør reduktion drivhusgasudledning 0,7 mio . ton co2-ækvivalent 2030 . transport , landbrug co2-afgift så , plan . ét ord initiativ transportsektor ind landbrug – to stor co2 udled – hel høj co2-afgift , båd klimaråd økonomisk vismænd foreslå bil vej klimamål . pressemød finansministeri svared klima- , energi- forsyningsminist dan jørgens spørgsmål , hvorvid fair nok , , svin mest , betal mest – altså co2 afgift : » står midt stor kris . andr land verd nok valg sig : ok , indsats omkring klima , miljø and , må skub . valg sig nej , brug kris mul . skab vækst . betyd , må fravælg virkemidl f.ek . stor afgift stor virksom dansk privatforbrug . tror nog sær god idé lig nu. « mangl saml plan end så helt stor , overordned spørgsmål : plan kun giv to mio . ton co2 , hvordan så rest vej 2030 ? netop point – altså tal saml plan , nærm håndfuld god takt – hæfted så forskel organisation råd grøn omstilling , greenpeac brancheforening dansk energi ved . råd grøn omstilling skuffed overordned ambitionsniveau ; greenpeac kald halvhjert først spadestik , find bekymr , end betegn dansk energi udspil vigt initiativ , nog klimaplan : » savn saml klimaplan . hel energisektor mangl grad ram retning , hvordan gå foran vej mål 2030 , co2-udledning mindsk 70 procent forhold 1990 , « sig adm. direktør dansk energi , lar aagaard . ti år pressemød spurg dr netop , hvornår får rest plan , hertil svared klima- , energi- forsyningsminist dan jørgens såled : » omkring ti år nå . to million ton , sam 0,5 million ton , tilrettelag ved finanslovsaftal , så betrag mer tiendedel , sig , nå . målestok gansk ambitiøst , « sagd . kan læs faktaark udspil finansministeri hjemmesid . regering forvent indkald folketing parti først forhandling udspil løb næst uge .",-2.0
