ID,Date,Title,Outlet,Link,Content,Value 
1.0,2008-03-13 00:00:00,Kunstig ø skal være gigantisk batteri for vindmøllestrøm,Ingeniøren,Link,"Dutch advisory firm proposes build artificial island surrounded wind turbines . pump water lake middle island sea wind blows . quiet periods , water flows back lake drives island 's turbines . Dutch counseling testing company Kema drawn proposal artificial island serve much needed warehouse wind turbine power . island must 10 kilometers long six kilometers wide , plenty room set wind turbines . middle island lies giant lake functioning battery . wind blows , wind turbines pump water lake surrounding sea . quiet weather need generate electricity , water flows back turbines . According Dutch advisers , lake able deliver 1,500 MW least 12 hours , corresponds large power plant . time , however , initial studies , Kema finds pumps lake least commercially available today . later retail study must , among things , offer , may stable environmentally friendly energy supply also appreciated . Kema devised concept support number energy companies .",-3.0
,2009-09-08 00:00:00,Kunstige energiøer skal gemme vindkraften,Ingeniøren,Link,"Danish architectural firm launches concept artificial islands basins middle , pumped empty excess electricity filled power needed . Danish company Gottlieb Paludan Arkitekter offers different suggestion excess wind turbine power stored . According company , must done artificial islands around Danish waters , large water pools middle island emptied wind power surplus filled flowing seawater lack electricity . flowing water drives turbines produce electricity . project presented large energy climate conference Nordic Climate Solutions Bella Center today , Tuesday . example , architectural firm - help Risø DTU - expected artificial island south Avedøre size 4.9 square kilometers able accommodate 22.3 million cubic meter water pool . bottom basin 40 meters sea level , operate fall height least 25 meters . Thus , warehouse able produce 2300 MWh power empty filled basin . corresponds MAKS capacity Avedøre plant three hours . `` time , idea island basin utilized algae production , energy arrows possibly solar power plant , '' says communications manager Sten Søring Gottlieb Paludan Architects . Obviously connection bridge buildings adds many options placing artificial warehouses Danish waters - least connection bridge buildings , islands still built . project expects energy loss 25 percent storage method , according Sten Søring pessimistic end known estimates `` pumped hydro '' called storage technique . architects yet counted economy project , must done - together studies construction methods formalities building artificial islands sea . time , together Risø Dutch company , Kema , previously launched idea ​​storing wind turbine power artificial islands , look possibilities obtaining EU support work concept .",7.0
,2017-03-10 00:00:00,Tre lande går sammen om kunstig energi-ø midt i Nordsøen,Ingeniøren,Link,"Netherlands , Germany Denmark investigating whether giant artificial island Doggerbanke middle North Sea make future expansion wind energy better cheaper . Netherlands , Germany Denmark joining forces explore reason establishing six square kilometer artificial 'energy island ' runway port Doggerbanke North Sea . island , offshore wind farms different countries North Sea must linked together . Therefore , March 23 , Danske Energinet.dk signs agreement electricity transmission companies Netherlands Germany , called Tennne countries , explore possibility making hub wind energy middle England , Denmark , Netherlands Norway . Energinet.dk writes press release . `` may sound crazy science fiction -like , island Doggerbanke prove make wind energy future much cheaper efficient , '' says Torben Glar Nielsen , technical director Energinet.dk . island per 30 GW Wind Power Around island , several thousand offshore wind turbines set , flow several countries ' offshore wind farms collected sent across consumers North Sea countries . imagined island hub maybe 30 GW wind turbine capacity long term total 70-100 GW wind turbines perhaps artificial islands Doggerbanke , water depth relatively low . 70 GW supply 80 million Europeans electricity . One benefits island model distance offshore wind turbines network connection becomes shorter , making possible use AC Technology . reduce cost expensive DC converters ( converter stations ) long cables , would otherwise necessary parks future need built sea . time , submarine cables transport flow artificial island North Sea countries able act landing cables electric motorways trade countries . Landing cables used today approx . half time n't always blow . turning commercial cables , used closer 100 percent . Less transport time gear manpower already number electricity cables today connect electricity systems countries around North Sea , may able linked energy island . idea ​​the island also spare parts converter stations , wind turbines electric components stored island . provide much less transport time high seas equipment manpower . plan artificial island Doggerbanke fostered Tennne based EU 's assessment wind production North Sea region doubled 2030 . time , energy ministers North Sea countries last year entered agreement promote cooperation offshore wind . Need large-scale solutions Torben Glar Nielsen , technical director Energinet.dk , points Energinet.dk responsible getting electricity offshore wind turbines ashore consumers . Therefore , one must constantly press , price landing foreign connections also falls : '' , innovative large -scale solutions needed , 'energy hub ' North Sea definitely worth investigating thoroughly , '' says . adds mills arrive , necessary look sea make room new offshore wind farms . Torben Glar Nielsen explains offshore wind farm , Denmark erecting Kriegers Flak Baltic Sea , forms school Doggerbanke project . connects Danish German offshore wind farms - also used electric motorways Denmark Germany vice versa . Furthermore , Kriegers Flak project links two different electrical systems frequency areas , Nordic central European , converter station Germany .",-8.0
,2017-06-08 00:00:00,Havmøllerne får egen ø ved Lolland,Energy Supply,Link,"company & Landscape Nakskov plans establish energy island offshore wind turbines coast Langeland Belt port city Tårs three -digit million . fact , could establish landmill offshore wind farm instead , energy island get benefits offshore wind turbines eliminate part resistance usually around wind turbines . - lot prejudices around wind turbines - whole point energy island get benefits offshore wind costs , put large offshore wind turbines land sea bother far fewer neighbors , explains Philip Rasmussen City & Landscape . 20 offshore wind turbines artificial island energy island created curbing digging becomes non -dear size . must house 20 large offshore wind turbines . energy island established time immediate connection new ferry port Tårs , makes maintenance repairs mills far cheaper mills stood far sea . - somewhat easier installers service people cycle mills nut changed rather ship sent , says Philip Rasmussen . energy island climate trouble & Landscape chooses waters Lolland , course housed . also energy set-up Lolland , culture , right one . - ( Lolland , ed . ) Produce five times much power use . Vestas produces Nakskov Harbor . culture around green stream present easy talk project , says Philip Rasmussen . project costs DKK 200 million create 2500 jobs .",4.0
,2019-07-09 00:00:00,Kunstig energiø i Nordsøen er teknisk mulig: Skal stå klar om 12 år,Ingeniøren,Link,"New preliminary study shows technically economically realistic build artificial energy island middle North Sea capacity 15 GW early 2030s . Danish , German , Dutch electricity transmission companies reach politicians . Two years ago , Danske Energinet went together electricity transmission companies Netherlands Germany explore possibilities establishing six square kilometer artificial 'energy island ' runway port Doggerbanke North Sea . idea ​​an energy island North Sea gather electricity several countries ' offshore wind farms send crosswise consumers North Sea countries . `` may sound crazy science fiction-like , island Doggerbanke may prove make wind energy future much cheaper efficient , '' said Torben Glar , technical director Energinet , 2017 visions . International North Sea Wind Power Hub Consortium , behind idea ​​an energy island , conducted number feasibility studies preliminary test results . “ important thing Denmark rest Europe converted 100 percent renewable energy within short number years . requires us solve trilemma energy , ie ensure security supply , switch renewable energy competitive price . One large-scale energy islands important solving trilemma . use energy islands pick electricity ashore efficiently , also trade electricity countries blowing , ” says Torben Glar , also steering committee member North Sea Wind Power Hub Consortium , today Engineer . Tuesday , partners International Consortium North Sea Wind Power Hub ( NSWPH ) present results project 's assessment phase . past months , consortium analyzed possibilities conditions establishing one energy islands North Sea . main conclusion clear : One energy islands North Sea technically financially feasible , ambition first energy island operation early 2030s . Significant changes way Although vision roughly , project changed several areas . biggest change one moved one large energy island capacity 30 GW several smaller energy islands must able collect act node 10-15 GW wind turbine capacity . assumption long term 180 GW year 2045 Doggerbanke , water depth relatively low . » Several smaller islands optimal . away island offshore wind turbines , less optimal island function distribution center . expect 10-15 GW per island 15 islands . terms safety , also distributed islands . time , locations yet determined . Doggerbanke laid Natura 2000 area , therefore optimal large island area , ” says Torben Glar . 70 GW supply 80 million Europeans electricity . One advantages island model distance offshore wind turbines network connection becomes shorter , making possible use AC Technology Defense fishermen need move order Energy Islands become reality , requires new political agreements across borders , says consortium behind . Partly international studies scenarios show current roll-out speed offshore wind insufficient achieve targets Paris Agreement partly space becoming cramped North Sea . » important prerequisite political build necessary offshore wind farms North Sea . energy islands function without new offshore wind farms . North Sea , many different actors today , defense , fishing , gas sector . used plenty space North Sea , need much wind energy , advantage able identify optimal areas wind . probably requires political agreements . time , Dutch , German , English governments must also involved sensible rate development , stable roll -out lighter project management better prices , ” says Torben Glar . Denmark , Energinet kick doors get support energy island new Social Democratic government . -called understanding paper , government wrote parliamentary basis , one briefly read : “ new government adopt climate action plan . Among things , action plan must also include following elements : Examination possibility Denmark together North Sea countries preparing common strategy significantly expand utilize offshore wind potential . Explore possibility Denmark 2030 building world first energy island minimum 10 GW connected. `` engineer would liked asked Climate Minister Dan Jørgensen ( ) government 's support energy island North Sea , minister canceled interview Engineer short notice due pressed calendar . Storing energy center addition acting link different national transmission networks , energy island must also able store energy offshore wind turbines middle North Sea . However , technologies determined . “ must able store energy technically sound way 2040-2050 , use renewable energy . Power gas ( P2G ) , heat storage ellager batteries . need investigate works best , ” says Torben Glar . Specifically , consortium looks convert power gas used fuel , among things , ships . » look lot use islands convert electricity gas , use make new form sector coupling tie offshore wind turbine power transport sector . wind turbines become source power , also source fuel hydrogen ships , ” says Torben Glar . also alleviate bottlenecks electricity transmission network convert electricity gas sent ashore , transport gas areas great demand far land . However , first energy island capacity 10-15 GW ready early 2030s , probably electrically connected land associated conversion gas land . technically possible make conversion electricity gas artificial island available technologies today . price depends islands placed “ n't financial framework ready . sand island , concrete foundation know wind turbines , lower box steel foundations . need look appointed right place . 20 meters water , requires one solution , 40 meters water provides conditions . course , big expense build necessary offshore wind farms deliver energy island , ” says Torben Glar .",-5.0
,2019-11-25 00:00:00,Ørsted: Placér den første energi-ø ved Bornholm,Ingeniøren,Link,"energy company believes realistic necessary build huge offshore wind farm already designated shallow area Baltic Bornholm , current distributed Denmark , Sweden Poland . energy agreement last year , nine parties decided three new , large offshore wind farms built 2030 , first placed West Jutland , yet decided next two parks located . time , government 's so-called understanding paper support parties shows `` explore possibility Denmark 2030 building first energy island minimum 10 GW connected '' , state 's company Energinet binoculars North Sea . energy company Ørsted mixing debate proposal instead place energy island part so-called offshore wind cluster Baltic Sea west Bornholm , water depth 15-20 meters lowest place . area , according screening areas offshore wind turbines , conducted Danish Energy Agency early 2019 , suitable housing 3.1 GW offshore wind turbine capacity . therefore already reserved state offering offshore wind . 3-5 gw offshore wind '' build large Sand Islands North Sea , suggest combine existing plans transmission connections offshore wind areas island granite already , namely Bornholm , '' says Martin Neubert , CEO CEO Ørsted Offshore . company 's vision is-with Bornholm hub-to connect Denmark two three countries , Poland , Sweden possibly . Germany , long term , together 3-5 GW offshore wind capacity . first step vision offer offshore wind park 1 GW Rønne Banke southwest Bornholm well connect Denmark Poland . Security supply Zealand offshore wind park transmission connection Poland ensure high security supply Zealand time supply large quantities electricity operate green electrification society . transmission cables sea buried . `` specifically propose tender contains offshore wind farm well transmission cables Zealand across Bornholm Poland ensure optimal technical solution cheapest price , '' says Martin Neubert . Ørsted points Energinet already proposed transmission link Zealand Poland EU 's `` Ten Year Network Development Plan '' realistic project combine connection offshore wind park 1 GW ensure reliable cheap electricity Denmark Poland 2028 . Next phase sustainable hydrogen addition , vision paves way next phase Denmark 's green transition , production sustainable hydrogen make air traffic , shipping heavy road transport CO2 neutral , thus providing decisive necessary contribution government 's ambition lower Denmark 's CO2 emissions 70 percent 2030 . `` vision secure Denmark 's place green transition future , production sustainable hydrogen offshore winds change parts society lack green solutions today , '' Neubert points . However , company emphasizes specific plans location hydrogen factory . European Commission previously estimated 450 GW offshore wind capacity supply electricity electric cars heating sector , also production sustainable hydrogen large scale . According Ørsted , target met seting pace rethinking development offshore wind , focus offshore wind clusters transmission several countries : “ need dramatically raise pace expansion offshore wind transmission reach goal . Bornholm , Denmark Poland unique opportunity gain necessary experience offshore wind clusters scaled future energy islands time contribute significantly green transition security supply countries , ” says Martin Neubert . Project requires analyzes Ørsted first presented idea Politiken , gets nice reception Brian Vad Mathiesen , professor energy planning Aalborg University director Green Think Tank , Concito , Christian Ibsen . Brian Vad Mathiesen calls newspaper `` really good constructive '' project , , however , requires thorough analyzes . “ 's far realizable airy thoughts huge energy island far sea , 10 gigawatts . challenge lies finding suitable locations large quantities renewable energy , time close large consumer centers . example fact , ” says professor Politiken . Christian Ibsen attitude according Politiken . also points huge facility Bornholm block one day also build North Sea .",6.0
,2019-12-03 00:00:00,Finanslov: Professor roser forundersøgelser til energi-øer,Ingeniøren,Link,"Upcoming 'Energy Islands ' North Sea Bornholm support production green liquid fuels . Professor Henrik Wenzel happy , also warns lose important synergy benefits choose wrong technical solutions . fundamentally positive government Finance Act 2020 directly writes preliminary investigation energy islands must initiated support Power-to X technology , `` says Henzel Professor Henrik Wenzel . also warns energy islands risk losing important synergies production liquid green fuels . Furthermore , agreement text states 'Power-to-X potentially support effective utilization large quantities offshore wind stream possible . energy islands , funds also allocated research , development demonstration schemes Power-to-X. `` total , DKK 30 million allocated . DKK 2020 , DKK 27 million . DKK 2021 DKK 8 million . DKK 2022 . Ørsted start small energy island Bronholm question energy islands turning several times , recently summer Engineer , consortium “ North Sea Wind Power Hub ” described network energy islands North Sea ​​every 10 GW technically financially possible . example , islands could located Dogger Banke . end November , Ørsted argued energy island 1 GW could located Rønne Banke southwest Bornholm connect Denmark Poland electric . Henrik Wenzel emphasizes energy islands built , important electricity brought ashore thus hydrogen produced island : “ lose synergies occur process making hydrogen , synthesis gases liquid green fuels . First foremost , surplus heat utilized district heating network , ” says . example , mentions electrolysis named SOEC method , really good idea bring heat process green synthetic gas converted liquid fuel , back electrolysis process use residual heat district heating . Therefore , also important production near district heating network . dialogue global energy company , together research group NIRAS , recently published report `` Nordic GTL-A Pre-Feasibility Study Sustainable Aviation Fuel Biogas , Hydrogen CO2 '' , calculations show proper integration green electricity , hydrogen , biogas CO2 , possible make liquid fuel air traffic , twice expensive fossil fuel day . Right , efforts made get started specific project collaboration global energy company . first step transform methanized biogas directly liquid fuel . Subsequently , idea production increased adding process steps green hydrogen CO2 included : » first part known technology go directly full -scale system . move forward need use hydrogen CO2 increase production , demonstration projects needed agreement text Finance Act interesting , ” says .",-7.0
,2020-02-12 00:00:00,Gas-skepsis stemt ned: Parlament godkender EU-liste over 151 infrastruktur-projekter,Ingeniøren,Link,"151 projects include lot natural gas projects therefore green group voted parliament approving list , large majority said yes . EU Parliament Wednesday approved list 151 cross-border energy infrastructure projects EU Commission selected worthy seeking EU support . Among projects so-called PCI list energy island North Sea , Baltic Pipe gas lines Denmark Poland well total 55 natural gas infrastructure projects . Precisely many projects natural gas led Green Group EU parliament vote list encourage MPs . Outdated infrastructure example , Danish SF Margrethe Auken wrote Altinget gas pipes like freeze Europe fossil age waste billions euros infrastructure soon outdated : '' n't forget every euro wasting instead gone research , renewable energy green change agriculture , '' wrote call . many people listened invitation : 169 voted list , 443 voted , Polish delegation writes press release . Many new cable connections addition Energy Island North Sea-such Energinet transmission-responsible companies planning build specifically mentioned government 's agreement support parties-the list also contains major electric infrastructure projects connecting Norway UK ( North Sea Link North Connect ) , wired Denmark UK ( Viking Link ) connections Netherlands Germany UK respectively . PCI projects cross-border energy infrastructure projects strategic importance Union . Projects PCI list , updated every two years , benefit lenient administrative treatment thus also receive financing Connecting Europe funds .",
,2020-05-20 00:00:00,Ros til klimaudspil med to energiøer: Men et væsentligt kapacitetsproblem truer,Ingeniøren,Link,"government 's climate plan boost development green liquid fuels . Energy professor concerned liquid green fuels complex politicians think . IDA 's chairman gives plan `` neat 7 number '' . According government 's climate plan , presented , two energy islands must built connection erection 4 GW new offshore wind turbine capacity . goal islands create hub collection distribution green energy , form electricity liquid green fuels . Thus , technological investment development Power-T-X ( PTX ) planned , green electricity transformed alternative fuel , used , example , heavy part transport sector , aircraft , ships industry : “ longer make individual offshore wind farms . must energy islands gather introduction green energy land hydrogen liquid fuels produced , ” said Climate , Energy Supply Minister Dan Jørgensen presentation plan . two energy islands must placed respectively . North Sea Baltic Sea Bornholm . , 2,000 MW wind power twice much built today . government 's proposal almost similar IDA proposed latest report : IDA 's climate response : Transport energy solutions 2030 , target total 6,630 MW offshore wind set 2030 . development energy islands PTX technology must seen context goal capturing stocking-possibly . utilization - CO2 flue gas . Initially fossil sources immediately replaced , longer term also biomass , actually negative CO2 emission . Good plan holes Professor Energy Planning Aalborg University , Brian Vad Mathiesen , calls idea ​​energy islands really good , also concerns announcement : “ 's really nice something 've talking several years . get rid funds next two three years develop demonstration projects show PTX work . preferably done throughout value chain , also get tested trucks actually drive , ” says . also concerned politicians underestimating complex energy system . Namely , still lack knowledge models show individual plants best placed , technically financially : “ 's infrastructure want build transporting green energy . example , best place production hydrogen energy island , must carried ashore transformed liquid fuels , ” says , emphasizing must lock prematurely . Regarding placement Energy Islands , believes Bornholm obvious place . location close Sweden , Poland , Germany Denmark , island could become effective means displacing fossil fuels countries : '' think carried expanded 5 GW , '' says . questionable energy island North Sea . distances significantly longer , today cables able transfer 2 GWs planned : “ first think side 2030 get cable sizes transfer 10 GW , happens also expand capacity deliver green Power major energy -consuming centers Northern Europe , ” says Brian Vad Mathiesen . Overall , professor calls climate plan good play , although may well point technical details less fond , holes fully filled . Climate Plan recognizes technology chairman Ida , Thomas Damkjær Pedersen , pleased first play come government reach CO2 reduction 2030 : » play recognizes technological focus needed achieve goal . Many solutions also pointed climate response earlier year . , want give nice 7 , ” says . reason get higher , according Thomas Damkjær Pedersen , yet got translated national strategy therefore know . fact offshore wind farms advanced focus development demonstration PTX , go demonstration systems large scale absolutely necessary achieve goals CO2 reductions 2030 2050 , says : '' looking forward plan translated actual strategy research development collaboration private public actors , '' says Thomas Damkjær Pedersen .",8.0
,2020-05-20 00:00:00,Regeringens storstilede klimaplan bidrager til en brøkdel af CO2-målet,Ingeniøren,Link,"government 's proposal first part climate action plan reduces CO2 emissions 2 necessary 19 million . ton CO2 2030 . government finally came overall proposal first step climate action plan lead us climate target CO2 reduction 70 per cent . 19 million tonnes CO2 2030 - negotiated parties behind Climate Act . plan consists six points let said right away - show reach climate target , simply give reduction 2 million . tonnes CO2 required 19 million . ton . turn , government promised several initiatives later : “ 're done . first chapter summer holidays present new initiatives . today create solid foundation climate -neutral Denmark - foundation build many years ahead , ” said Finance Minister Nicolai Wammen press conference , also promised one create basis thousands green Workplaces coming years created preserved Denmark . Long-term energy islands power-to-x measures give much CO2 reduction , several long-term instead here-and-now reductions developing scaling technologies need long run . However , important start technology development also something Climate Council advised March report 70 percent target . long-term perspective especially true proposal establishment two energy islands expansion extra 2 GW offshore wind farms North Sea Baltic Sea respectively , applies proposal put turbo technology development power-to-x CO2 catch storage . Specifically , government suggests catch CO2 , example , industry use green energy pump back ground . 2024 , government allocate DKK 400 million . DKK annually pool capture store CO2 , according proposal reduce CO2 emissions DKK 0.3 million . ton . CO2 per years 2030 . addition , government create unified strategy CCUS set framework future efforts . PTX area , government start partnership large-scale PTX plant produce green fuels aircraft cars thus drive cost hydrogen . Pools biogas industry Energy Islands PTX/CCS proposal thus costs nothing special 2024 , thus gives 0.3 million . ton CO2 reduction . Green transition industry form electrification use biogas , government promote via subsidy pool DKK 900 million . kroner 2020 2024 electrification plus pool 95 annually biogas green gases ; However , come play 2024 . could reduce CO2 emissions 0.3 million . ton 2030 . time , government promises work closely climate partnership financial sector map opportunities mobilize private investments green transition new ways . comes promoting energy efficiencyizations buildings industry benefit climate , government set aside funds collect exhibit data buildings energy consumption . addition , energy labeling scheme strengthened recommendations indoor climate incorporated building owners get even better decision basis want invest energy improvements e.g . dwelling . addition , must demands continued energy savings state 's buildings 2030 , state ahead good example . together gives reduction 47,000 tonnes 2030 . heating sector must green , already heard , , oil gas stove must replaced district heating heat pumps . plan figures put much electric heating charge lowered ( 0.8 øre per kWh ) tax fossil heat must raised ( 56.7 øre per GJ 62.3 øre per GJ ) , grants consumers want replace oil gas stove DKK 15,000 DKK 25,000 . Surplus heat exempt tax also appears tax surplus heat proposed removed government considers mentioned reduction electric heating tax help make geothermal heat profitable , green alternative . heating package reduces greenhouse gas emissions DKK 0.7 million . ton CO2 2030 . Finally , green waste sector recycling , 80 per cent . Danish plastic must sorted combustion 2030 , must less combustion import waste sorting recycling . time , government make circular economy growth engine Danish business . initiatives waste area result reduction greenhouse gas emissions DKK 0.7 million . tonnes CO2 equivalents 2030 . transport , agriculture CO2 tax everything included plan . one word initiatives transport sector agriculture-which two major CO2 emitters-nor anything high CO2 tax , Climate Council economic sages proposed cheapest path climate target . press conference Ministry Finance , Climate , Energy Supply Minister Dan Jørgensen responded question whether fair enough swine pay most- ie CO2 tax : “ middle big crisis . many countries world probably chosen say : OK , efforts around climate , environment things , push . chosen say , use crisis opportunity . want create growth . means must opt ​​out instruments Large taxes large companies Danes ' private consumption . n't think 's good idea right now. `` Missing overall plan finally , big , overall question : plan gives two million . ton CO2 , reach rest way 2030 ? precisely point - , comprehensive plan , handful good beats - different organizations Council Green Change , Greenpeace trade association Dansk Energi . Green Change Council disappointed overall level ambition ; Greenpeace calls half -hearted first shovel , found worrying , finally Dansk Energi played important initiatives , climate plan : “ miss total climate plan . entire energy sector lacks framework direction go ahead road target 2030 , CO2 emissions must reduced 70 percent compared 1990 , ” says Lars Aagaard CEO Lars Aagaard . ten years press conference , DR asked exactly get rest plan , , Climate , Energy Supply Minister Dan Jørgensen responded : “ ten years reach . two million tonnes 0.5 million tonnes organized Finance Act agreement , reach significantly tenth say reach . scale , 's quite ambitious , 'he said . read fact sheets players Ministry Finance 's website . government expects convene parties Folketing first negotiations play next week .",-2.0
