ID,Date,Title,Outlet,Link,Full text,Value 
1.0,2008-03-13 00:00:00,Kunstig ø skal være gigantisk batteri for vindmøllestrøm,Ingeniøren,Link,"dutch advisori firm propos build artifici island surround wind turbin . pump water lake middl island sea wind blow . quiet period , water flow back lake drive island 's turbin . dutch counsel test compani kema drawn propos artifici island serv much need warehous wind turbin power . island must 10 kilomet long six kilomet wide , plenti room set wind turbin . middl island lie giant lake function batteri . wind blow , wind turbin pump water lake surround sea . quiet weather need gener electr , water flow back turbin . accord dutch advis , lake abl deliv 1,500 mw least 12 hour , correspond larg power plant . time , howev , initi studi , kema find pump lake least commerci avail today . later retail studi must , among thing , offer , may stabl environment friendli energi suppli also appreci . kema devis concept support number energi compani .",-3.0
,2009-09-08 00:00:00,Kunstige energiøer skal gemme vindkraften,Ingeniøren,Link,"danish architectur firm launch concept artifici island basin middl , pump empti excess electr fill power need . danish compani gottlieb paludan arkitekt offer differ suggest excess wind turbin power store . accord compani , must done artifici island around danish water , larg water pool middl island empti wind power surplu fill flow seawat lack electr . flow water drive turbin produc electr . project present larg energi climat confer nordic climat solut bella center today , tuesday . exampl , architectur firm - help risø dtu - expect artifici island south avedør size 4.9 squar kilomet abl accommod 22.3 million cubic meter water pool . bottom basin 40 meter sea level , oper fall height least 25 meter . thu , warehous abl produc 2300 mwh power empti fill basin . correspond mak capac avedør plant three hour . `` time , idea island basin util alga product , energi arrow possibl solar power plant , '' say commun manag sten søring gottlieb paludan architect . obvious connect bridg build add mani option place artifici warehous danish water - least connect bridg build , island still built . project expect energi loss 25 percent storag method , accord sten søring pessimist end known estim `` pump hydro '' call storag techniqu . architect yet count economi project , must done - togeth studi construct method formal build artifici island sea . time , togeth risø dutch compani , kema , previous launch idea ​​store wind turbin power artifici island , look possibl obtain eu support work concept .",7.0
,2017-03-10 00:00:00,Tre lande går sammen om kunstig energi-ø midt i Nordsøen,Ingeniøren,Link,"netherland , germani denmark investig whether giant artifici island doggerbank middl north sea make futur expans wind energi better cheaper . netherland , germani denmark join forc explor reason establish six squar kilomet artifici 'energi island ' runway port doggerbank north sea . island , offshor wind farm differ countri north sea must link togeth . therefor , march 23 , dansk energinet.dk sign agreement electr transmiss compani netherland germani , call tennn countri , explor possibl make hub wind energi middl england , denmark , netherland norway . energinet.dk write press releas . `` may sound crazi scienc fiction -like , island doggerbank prove make wind energi futur much cheaper effici , '' say torben glar nielsen , technic director energinet.dk . island per 30 gw wind power around island , sever thousand offshor wind turbin set , flow sever countri ' offshor wind farm collect sent across consum north sea countri . imagin island hub mayb 30 gw wind turbin capac long term total 70-100 gw wind turbin perhap artifici island doggerbank , water depth rel low . 70 gw suppli 80 million european electr . one benefit island model distanc offshor wind turbin network connect becom shorter , make possibl use ac technolog . reduc cost expens dc convert ( convert station ) long cabl , would otherwis necessari park futur need built sea . time , submarin cabl transport flow artifici island north sea countri abl act land cabl electr motorway trade countri . land cabl use today approx . half time n't alway blow . turn commerci cabl , use closer 100 percent . less transport time gear manpow alreadi number electr cabl today connect electr system countri around north sea , may abl link energi island . idea ​​the island also spare part convert station , wind turbin electr compon store island . provid much less transport time high sea equip manpow . plan artifici island doggerbank foster tennn base eu 's assess wind product north sea region doubl 2030 . time , energi minist north sea countri last year enter agreement promot cooper offshor wind . need large-scal solut torben glar nielsen , technic director energinet.dk , point energinet.dk respons get electr offshor wind turbin ashor consum . therefor , one must constantli press , price land foreign connect also fall : '' , innov larg -scale solut need , 'energi hub ' north sea definit worth investig thoroughli , '' say . add mill arriv , necessari look sea make room new offshor wind farm . torben glar nielsen explain offshor wind farm , denmark erect krieger flak baltic sea , form school doggerbank project . connect danish german offshor wind farm - also use electr motorway denmark germani vice versa . furthermor , krieger flak project link two differ electr system frequenc area , nordic central european , convert station germani .",-8.0
,2017-06-08 00:00:00,Havmøllerne får egen ø ved Lolland,Energy Supply,Link,"compani & landscap nakskov plan establish energi island offshor wind turbin coast langeland belt port citi tår three -digit million . fact , could establish landmil offshor wind farm instead , energi island get benefit offshor wind turbin elimin part resist usual around wind turbin . - lot prejudic around wind turbin - whole point energi island get benefit offshor wind cost , put larg offshor wind turbin land sea bother far fewer neighbor , explain philip rasmussen citi & landscap . 20 offshor wind turbin artifici island energi island creat curb dig becom non -dear size . must hous 20 larg offshor wind turbin . energi island establish time immedi connect new ferri port tår , make mainten repair mill far cheaper mill stood far sea . - somewhat easier instal servic peopl cycl mill nut chang rather ship sent , say philip rasmussen . energi island climat troubl & landscap choos water lolland , cours hous . also energi set-up lolland , cultur , right one . - ( lolland , ed . ) produc five time much power use . vesta produc nakskov harbor . cultur around green stream present easi talk project , say philip rasmussen . project cost dkk 200 million creat 2500 job .",4.0
,2019-07-09 00:00:00,Kunstig energiø i Nordsøen er teknisk mulig: Skal stå klar om 12 år,Ingeniøren,Link,"new preliminari studi show technic econom realist build artifici energi island middl north sea capac 15 gw earli 2030 . danish , german , dutch electr transmiss compani reach politician . two year ago , dansk energinet went togeth electr transmiss compani netherland germani explor possibl establish six squar kilomet artifici 'energi island ' runway port doggerbank north sea . idea ​​an energi island north sea gather electr sever countri ' offshor wind farm send crosswis consum north sea countri . `` may sound crazi scienc fiction-lik , island doggerbank may prove make wind energi futur much cheaper effici , '' said torben glar , technic director energinet , 2017 vision . intern north sea wind power hub consortium , behind idea ​​an energi island , conduct number feasibl studi preliminari test result . “ import thing denmark rest europ convert 100 percent renew energi within short number year . requir us solv trilemma energi , ie ensur secur suppli , switch renew energi competit price . one large-scal energi island import solv trilemma . use energi island pick electr ashor effici , also trade electr countri blow , ” say torben glar , also steer committe member north sea wind power hub consortium , today engin . tuesday , partner intern consortium north sea wind power hub ( nswph ) present result project 's assess phase . past month , consortium analyz possibl condit establish one energi island north sea . main conclus clear : one energi island north sea technic financi feasibl , ambit first energi island oper earli 2030 . signific chang way although vision roughli , project chang sever area . biggest chang one move one larg energi island capac 30 gw sever smaller energi island must abl collect act node 10-15 gw wind turbin capac . assumpt long term 180 gw year 2045 doggerbank , water depth rel low . » sever smaller island optim . away island offshor wind turbin , less optim island function distribut center . expect 10-15 gw per island 15 island . term safeti , also distribut island . time , locat yet determin . doggerbank laid natura 2000 area , therefor optim larg island area , ” say torben glar . 70 gw suppli 80 million european electr . one advantag island model distanc offshor wind turbin network connect becom shorter , make possibl use ac technolog defens fishermen need move order energi island becom realiti , requir new polit agreement across border , say consortium behind . partli intern studi scenario show current roll-out speed offshor wind insuffici achiev target pari agreement partli space becom cramp north sea . » import prerequisit polit build necessari offshor wind farm north sea . energi island function without new offshor wind farm . north sea , mani differ actor today , defens , fish , ga sector . use plenti space north sea , need much wind energi , advantag abl identifi optim area wind . probabl requir polit agreement . time , dutch , german , english govern must also involv sensibl rate develop , stabl roll -out lighter project manag better price , ” say torben glar . denmark , energinet kick door get support energi island new social democrat govern . -call understand paper , govern wrote parliamentari basi , one briefli read : “ new govern adopt climat action plan . among thing , action plan must also includ follow element : examin possibl denmark togeth north sea countri prepar common strategi significantli expand util offshor wind potenti . explor possibl denmark 2030 build world first energi island minimum 10 gw connected. `` engin would like ask climat minist dan jørgensen ( ) govern 's support energi island north sea , minist cancel interview engin short notic due press calendar . store energi center addit act link differ nation transmiss network , energi island must also abl store energi offshor wind turbin middl north sea . howev , technolog determin . “ must abl store energi technic sound way 2040-2050 , use renew energi . power ga ( p2g ) , heat storag ellag batteri . need investig work best , ” say torben glar . specif , consortium look convert power ga use fuel , among thing , ship . » look lot use island convert electr ga , use make new form sector coupl tie offshor wind turbin power transport sector . wind turbin becom sourc power , also sourc fuel hydrogen ship , ” say torben glar . also allevi bottleneck electr transmiss network convert electr ga sent ashor , transport ga area great demand far land . howev , first energi island capac 10-15 gw readi earli 2030 , probabl electr connect land associ convers ga land . technic possibl make convers electr ga artifici island avail technolog today . price depend island place “ n't financi framework readi . sand island , concret foundat know wind turbin , lower box steel foundat . need look appoint right place . 20 meter water , requir one solut , 40 meter water provid condit . cours , big expens build necessari offshor wind farm deliv energi island , ” say torben glar .",-5.0
,2019-11-25 00:00:00,Ørsted: Placér den første energi-ø ved Bornholm,Ingeniøren,Link,"energi compani believ realist necessari build huge offshor wind farm alreadi design shallow area baltic bornholm , current distribut denmark , sweden poland . energi agreement last year , nine parti decid three new , larg offshor wind farm built 2030 , first place west jutland , yet decid next two park locat . time , govern 's so-cal understand paper support parti show `` explor possibl denmark 2030 build first energi island minimum 10 gw connect '' , state 's compani energinet binocular north sea . energi compani ørsted mix debat propos instead place energi island part so-cal offshor wind cluster baltic sea west bornholm , water depth 15-20 meter lowest place . area , accord screen area offshor wind turbin , conduct danish energi agenc earli 2019 , suitabl hous 3.1 gw offshor wind turbin capac . therefor alreadi reserv state offer offshor wind . 3-5 gw offshor wind '' build larg sand island north sea , suggest combin exist plan transmiss connect offshor wind area island granit alreadi , name bornholm , '' say martin neubert , ceo ceo ørsted offshor . compani 's vision is-with bornholm hub-to connect denmark two three countri , poland , sweden possibl . germani , long term , togeth 3-5 gw offshor wind capac . first step vision offer offshor wind park 1 gw rønne bank southwest bornholm well connect denmark poland . secur suppli zealand offshor wind park transmiss connect poland ensur high secur suppli zealand time suppli larg quantiti electr oper green electrif societi . transmiss cabl sea buri . `` specif propos tender contain offshor wind farm well transmiss cabl zealand across bornholm poland ensur optim technic solut cheapest price , '' say martin neubert . ørsted point energinet alreadi propos transmiss link zealand poland eu 's `` ten year network develop plan '' realist project combin connect offshor wind park 1 gw ensur reliabl cheap electr denmark poland 2028 . next phase sustain hydrogen addit , vision pave way next phase denmark 's green transit , product sustain hydrogen make air traffic , ship heavi road transport co2 neutral , thu provid decis necessari contribut govern 's ambit lower denmark 's co2 emiss 70 percent 2030 . `` vision secur denmark 's place green transit futur , product sustain hydrogen offshor wind chang part societi lack green solut today , '' neubert point . howev , compani emphas specif plan locat hydrogen factori . european commiss previous estim 450 gw offshor wind capac suppli electr electr car heat sector , also product sustain hydrogen larg scale . accord ørsted , target met sete pace rethink develop offshor wind , focu offshor wind cluster transmiss sever countri : “ need dramat rais pace expans offshor wind transmiss reach goal . bornholm , denmark poland uniqu opportun gain necessari experi offshor wind cluster scale futur energi island time contribut significantli green transit secur suppli countri , ” say martin neubert . project requir analyz ørsted first present idea politiken , get nice recept brian vad mathiesen , professor energi plan aalborg univers director green think tank , concito , christian ibsen . brian vad mathiesen call newspap `` realli good construct '' project , , howev , requir thorough analyz . “ 's far realiz airi thought huge energi island far sea , 10 gigawatt . challeng lie find suitabl locat larg quantiti renew energi , time close larg consum center . exampl fact , ” say professor politiken . christian ibsen attitud accord politiken . also point huge facil bornholm block one day also build north sea .",6.0
,2019-12-03 00:00:00,Finanslov: Professor roser forundersøgelser til energi-øer,Ingeniøren,Link,"upcom 'energi island ' north sea bornholm support product green liquid fuel . professor henrik wenzel happi , also warn lose import synergi benefit choos wrong technic solut . fundament posit govern financ act 2020 directli write preliminari investig energi island must initi support power-to x technolog , `` say henzel professor henrik wenzel . also warn energi island risk lose import synergi product liquid green fuel . furthermor , agreement text state 'power-to-x potenti support effect util larg quantiti offshor wind stream possibl . energiø , fund also alloc research , develop demonstr scheme power-to-x. `` total , dkk 30 million alloc . dkk 2020 , dkk 27 million . dkk 2021 dkk 8 million . dkk 2022 . ørsted start small energi island bronholm question energi island turn sever time , recent summer engin , consortium “ north sea wind power hub ” describ network energi island north sea ​​everi 10 gw technic financi possibl . exampl , island could locat dogger bank . end novemb , ørsted argu energi island 1 gw could locat rønne bank southwest bornholm connect denmark poland electr . henrik wenzel emphas energi island built , import electr brought ashor thu hydrogen produc island : “ lose synergi occur process make hydrogen , synthesi gase liquid green fuel . first foremost , surplu heat util district heat network , ” say . exampl , mention electrolysi name soec method , realli good idea bring heat process green synthet ga convert liquid fuel , back electrolysi process use residu heat district heat . therefor , also import product near district heat network . dialogu global energi compani , togeth research group nira , recent publish report `` nordic gtl-a pre-feas studi sustain aviat fuel bioga , hydrogen co2 '' , calcul show proper integr green electr , hydrogen , bioga co2 , possibl make liquid fuel air traffic , twice expens fossil fuel day . right , effort made get start specif project collabor global energi compani . first step transform methan bioga directli liquid fuel . subsequ , idea product increas ad process step green hydrogen co2 includ : » first part known technolog go directli full -scale system . move forward need use hydrogen co2 increas product , demonstr project need agreement text financ act interest , ” say .",-7.0
,2020-02-12 00:00:00,Gas-skepsis stemt ned: Parlament godkender EU-liste over 151 infrastruktur-projekter,Ingeniøren,Link,"151 project includ lot natur ga project therefor green group vote parliament approv list , larg major said ye . eu parliament wednesday approv list 151 cross-bord energi infrastructur project eu commiss select worthi seek eu support . among project so-cal pci list energi island north sea , baltic pipe ga line denmark poland well total 55 natur ga infrastructur project . precis mani project natur ga led green group eu parliament vote list encourag mp . outdat infrastructur exampl , danish sf margreth auken wrote altinget ga pipe like freez europ fossil age wast billion euro infrastructur soon outdat : '' n't forget everi euro wast instead gone research , renew energi green chang agricultur , '' wrote call . mani peopl listen invit : 169 vote list , 443 vote , polish deleg write press releas . mani new cabl connect addit energi island north sea-such energinet transmission-respons compani plan build specif mention govern 's agreement support parties-th list also contain major electr infrastructur project connect norway uk ( north sea link north connect ) , wire denmark uk ( vike link ) connect netherland germani uk respect . pci project cross-bord energi infrastructur project strateg import union . project pci list , updat everi two year , benefit lenient administr treatment thu also receiv financ connect europ fund .",
,2020-05-20 00:00:00,Ros til klimaudspil med to energiøer: Men et væsentligt kapacitetsproblem truer,Ingeniøren,Link,"govern 's climat plan boost develop green liquid fuel . energi professor concern liquid green fuel complex politician think . ida 's chairman give plan `` neat 7 number '' . accord govern 's climat plan , present , two energi island must built connect erect 4 gw new offshor wind turbin capac . goal island creat hub collect distribut green energi , form electr liquid green fuel . thu , technolog invest develop power-t-x ( ptx ) plan , green electr transform altern fuel , use , exampl , heavi part transport sector , aircraft , ship industri : “ longer make individu offshor wind farm . must energi island gather introduct green energi land hydrogen liquid fuel produc , ” said climat , energi suppli minist dan jørgensen present plan . two energi island must place respect . north sea baltic sea bornholm . , 2,000 mw wind power twice much built today . govern 's propos almost similar ida propos latest report : ida 's climat respons : transport energi solut 2030 , target total 6,630 mw offshor wind set 2030 . develop energi island ptx technolog must seen context goal captur stocking-poss . util - co2 flue ga . initi fossil sourc immedi replac , longer term also biomass , actual neg co2 emiss . good plan hole professor energi plan aalborg univers , brian vad mathiesen , call idea ​​energi island realli good , also concern announc : “ 's realli nice someth 've talk sever year . get rid fund next two three year develop demonstr project show ptx work . prefer done throughout valu chain , also get test truck actual drive , ” say . also concern politician underestim complex energi system . name , still lack knowledg model show individu plant best place , technic financi : “ 's infrastructur want build transport green energi . exampl , best place product hydrogen energi island , must carri ashor transform liquid fuel , ” say , emphas must lock prematur . regard placement energi island , believ bornholm obviou place . locat close sweden , poland , germani denmark , island could becom effect mean displac fossil fuel countri : '' think carri expand 5 gw , '' say . question energi island north sea . distanc significantli longer , today cabl abl transfer 2 gw plan : “ first think side 2030 get cabl size transfer 10 gw , happen also expand capac deliv green power major energi -consum center northern europ , ” say brian vad mathiesen . overal , professor call climat plan good play , although may well point technic detail less fond , hole fulli fill . climat plan recogn technolog chairman ida , thoma damkjær pedersen , pleas first play come govern reach co2 reduct 2030 : » play recogn technolog focu need achiev goal . mani solut also point climat respons earlier year . , want give nice 7 , ” say . reason get higher , accord thoma damkjær pedersen , yet got translat nation strategi therefor know . fact offshor wind farm advanc focu develop demonstr ptx , go demonstr system larg scale absolut necessari achiev goal co2 reduct 2030 2050 , say : '' look forward plan translat actual strategi research develop collabor privat public actor , '' say thoma damkjær pedersen .",8.0
,2020-05-20 00:00:00,Regeringens storstilede klimaplan bidrager til en brøkdel af CO2-målet,Ingeniøren,Link,"govern 's propos first part climat action plan reduc co2 emiss 2 necessari 19 million . ton co2 2030 . govern final came overal propos first step climat action plan lead us climat target co2 reduct 70 per cent . 19 million tonn co2 2030 - negoti parti behind climat act . plan consist six point let said right away - show reach climat target , simpli give reduct 2 million . tonn co2 requir 19 million . ton . turn , govern promis sever initi later : “ 're done . first chapter summer holiday present new initi . today creat solid foundat climat -neutral denmark - foundat build mani year ahead , ” said financ minist nicolai wammen press confer , also promis one creat basi thousand green workplac come year creat preserv denmark . long-term energi island power-to-x measur give much co2 reduct , sever long-term instead here-and-now reduct develop scale technolog need long run . howev , import start technolog develop also someth climat council advis march report 70 percent target . long-term perspect especi true propos establish two energi island expans extra 2 gw offshor wind farm north sea baltic sea respect , appli propos put turbo technolog develop power-to-x co2 catch storag . specif , govern suggest catch co2 , exampl , industri use green energi pump back ground . 2024 , govern alloc dkk 400 million . dkk annual pool captur store co2 , accord propos reduc co2 emiss dkk 0.3 million . ton . co2 per year 2030 . addit , govern creat unifi strategi ccu set framework futur effort . ptx area , govern start partnership large-scal ptx plant produc green fuel aircraft car thu drive cost hydrogen . pool bioga industri energi island ptx/cc propos thu cost noth special 2024 , thu give 0.3 million . ton co2 reduct . green transit industri form electrif use bioga , govern promot via subsidi pool dkk 900 million . kroner 2020 2024 electrif plu pool 95 annual bioga green gase ; howev , come play 2024 . could reduc co2 emiss 0.3 million . ton 2030 . time , govern promis work close climat partnership financi sector map opportun mobil privat invest green transit new way . come promot energi efficiency build industri benefit climat , govern set asid fund collect exhibit data build energi consumpt . addit , energi label scheme strengthen recommend indoor climat incorpor build owner get even better decis basi want invest energi improv e.g . dwell . addit , must demand continu energi save state 's build 2030 , state ahead good exampl . togeth give reduct 47,000 tonn 2030 . heat sector must green , alreadi heard , , oil ga stove must replac district heat heat pump . plan figur put much electr heat charg lower ( 0.8 øre per kwh ) tax fossil heat must rais ( 56.7 øre per gj 62.3 øre per gj ) , grant consum want replac oil ga stove dkk 15,000 dkk 25,000 . surplu heat exempt tax also appear tax surplu heat propos remov govern consid mention reduct electr heat tax help make geotherm heat profit , green altern . heat packag reduc greenhous ga emiss dkk 0.7 million . ton co2 2030 . final , green wast sector recycl , 80 per cent . danish plastic must sort combust 2030 , must less combust import wast sort recycl . time , govern make circular economi growth engin danish busi . initi wast area result reduct greenhous ga emiss dkk 0.7 million . tonn co2 equival 2030 . transport , agricultur co2 tax everyth includ plan . one word initi transport sector agriculture-which two major co2 emitters-nor anyth high co2 tax , climat council econom sage propos cheapest path climat target . press confer ministri financ , climat , energi suppli minist dan jørgensen respond question whether fair enough swine pay most- ie co2 tax : “ middl big crisi . mani countri world probabl chosen say : ok , effort around climat , environ thing , push . chosen say , use crisi opportun . want creat growth . mean must opt ​​out instrument larg tax larg compani dane ' privat consumpt . n't think 's good idea right now. `` miss overal plan final , big , overal question : plan give two million . ton co2 , reach rest way 2030 ? precis point - , comprehens plan , hand good beat - differ organ council green chang , greenpeac trade associ dansk energi . green chang council disappoint overal level ambit ; greenpeac call half -heart first shovel , found worri , final dansk energi play import initi , climat plan : “ miss total climat plan . entir energi sector lack framework direct go ahead road target 2030 , co2 emiss must reduc 70 percent compar 1990 , ” say lar aagaard ceo lar aagaard . ten year press confer , dr ask exactli get rest plan , , climat , energi suppli minist dan jørgensen respond : “ ten year reach . two million tonn 0.5 million tonn organ financ act agreement , reach significantli tenth say reach . scale , 's quit ambiti , 'he said . read fact sheet player ministri financ 's websit . govern expect conven parti folket first negoti play next week .",-2.0
