ID,Date,Title,Outlet,Link,Full text,Value 
1.0,2008-03-13 00:00:00,Kunstig ø skal være gigantisk batteri for vindmøllestrøm,Ingeniøren,Link,"A Dutch advisory firm proposes to build an artificial island surrounded by wind turbines. They have to pump water from a lake in the middle of the island into the sea when the wind blows. During quiet periods, the water flows back to the lake and drives the island's turbines.

The Dutch counseling and testing company Kema has drawn a proposal for an artificial island that can serve as a much needed warehouse for wind turbine power.

The island must be 10 kilometers long and six kilometers wide, so there will be plenty of room to set up wind turbines. In the middle of the island lies a giant lake that is functioning as a battery.

When the wind blows, the wind turbines pump water out of the lake to the surrounding sea. In quiet weather where there is a need to generate electricity, the water flows back into turbines.

According to the Dutch advisers, the lake will be able to deliver 1,500 MW for at least 12 hours, which corresponds to a large power plant.

For the time being, however, there are very initial studies, but Kema finds that the pumps to the lake are at least commercially available today. A later retail study must, among other things, offer where it should be, and then it may be that the stable and environmentally friendly energy supply will also be appreciated.

Kema has devised the concept with the support of a number of energy companies.",-3.0
,2009-09-08 00:00:00,Kunstige energiøer skal gemme vindkraften,Ingeniøren,Link,"Danish architectural firm launches the concept of artificial islands with basins in the middle, which are pumped empty when there is excess of electricity and is filled when more power is needed.

The Danish company Gottlieb Paludan Arkitekter now offers a different suggestion of how excess wind turbine power can be stored.

According to the company, it must be done on artificial islands around the Danish waters, where large water pools in the middle of the island are emptied when there is wind power in surplus and is filled with flowing seawater when there is a lack of electricity. The flowing water drives some turbines that produce electricity.

The project is presented at the large energy and climate conference Nordic Climate Solutions in the Bella Center today, Tuesday.

For example, the architectural firm - with the help of Risø DTU - has expected that an artificial island south of Avedøre with a size of 4.9 square kilometers will be able to accommodate a 22.3 million cubic meter water pool.

The bottom of the basin is 40 meters below sea level, and you operate with a fall height of at least 25 meters. Thus, the warehouse will be able to produce 2300 MWh power from empty to filled basin. This corresponds to MAKS capacity from the Avedøre plant for three hours.

""At the same time, the idea is that the island and the basin can be utilized for algae production, energy arrows and possibly a solar power plant,"" says communications manager Sten Søring from Gottlieb Paludan Architects.

Obviously in connection with bridge buildings
He adds that there are many options for placing such artificial warehouses in the Danish waters - not least in connection with bridge buildings, where these islands are still being built.

The project expects an energy loss of about 25 percent in this storage method, which according to Sten Søring is at the pessimistic end of the known estimates of ""pumped hydro"" called the storage technique.

The architects have not yet counted the economy of the project, but this must be done now - together with studies of construction methods and formalities about building artificial islands at sea.

At the same time, together with Risø and a Dutch company, Kema, which has previously launched the idea of ​​storing wind turbine power in artificial islands, will look at the possibilities of obtaining EU support to work on the concept.",7.0
,2017-03-10 00:00:00,Tre lande går sammen om kunstig energi-ø midt i Nordsøen,Ingeniøren,Link,"The Netherlands, Germany and Denmark are now investigating whether a giant artificial island at Doggerbanke in the middle of the North Sea can make the future expansion of wind energy better and cheaper.

The Netherlands, Germany and Denmark are now joining forces to explore the reason for establishing a six square kilometer artificial 'energy island' with runway and port at Doggerbanke in the North Sea.

On the island, offshore wind farms from different countries in the North Sea must be linked together.

Therefore, on March 23, Danske Energinet.dk signs an agreement with the electricity transmission companies in the Netherlands and Germany, which is called Tennne in both countries, to explore the possibility of making a hub for wind energy in the middle of England, Denmark, the Netherlands and Norway.

This is what Energinet.dk writes in a press release.

""It may sound crazy and science fiction -like, but an island on Doggerbanke can prove to make the wind energy of the future much cheaper and more efficient,"" says Torben Glar Nielsen, technical director of Energinet.dk.

An island per 30 GW Wind Power
Around the island, several thousand offshore wind turbines can be set up, and the flow from several countries' offshore wind farms can be collected and sent across to consumers in the North Sea countries.

It is imagined that an island will be a hub for maybe 30 GW of wind turbine capacity and that in the long term there will be a total of 70-100 GW wind turbines and perhaps more artificial islands on Doggerbanke, where the water depth is relatively low.

70 GW can supply 80 million Europeans with electricity.

One of the benefits of the island model is that the distance between offshore wind turbines and the network connection becomes shorter, making it possible to use AC Technology.

It can reduce the cost of the expensive DC converters (converter stations) and long cables, which would otherwise be necessary when the parks of the future need to be built further and further out to sea.

At the same time, the submarine cables that will transport the flow from the artificial island to the North Sea countries will be able to act as landing cables and as electric motorways for trade between the countries.

Landing cables are used today approx. half the time because it doesn't always blow. By turning them into commercial cables, they can be used closer to 100 percent.

Less transport time for gear and manpower
There are already a number of electricity cables today that connect the electricity systems in the countries around the North Sea, and they may be able to be linked to the energy island.

The idea of ​​the island is also that spare parts for both converter stations, wind turbines and electric components can be stored on the island.

It will provide much less transport time on the high seas for both equipment and manpower.

The plan for an artificial island at Doggerbanke is fostered by Tennne and is based on the EU's assessment that wind production in the North Sea region can be doubled by 2030.

At the same time, the energy ministers from the North Sea countries last year entered into an agreement to promote the cooperation on offshore wind.

Need large-scale solutions
Torben Glar Nielsen, technical director at Energinet.dk, points out that it is Energinet.dk who is responsible for getting the electricity from the offshore wind turbines ashore and up to consumers.

Therefore, one must constantly press, so that the price of landing and foreign connections also falls:

""Here, innovative large -scale solutions are needed, and here an 'energy hub' in the North Sea is definitely worth investigating very thoroughly,"" he says.

He adds that as more mills arrive, it will be necessary to look further and further at sea to make room for new offshore wind farms.

Torben Glar Nielsen further explains that the offshore wind farm, which Denmark is erecting on Kriegers Flak in the Baltic Sea, forms the school for a Doggerbanke project.

It connects Danish and German offshore wind farms - while also being used as electric motorways from Denmark to Germany or vice versa.

Furthermore, the Kriegers Flak project links two different electrical systems and frequency areas, the Nordic and central European, with a converter station in Germany.",-8.0
,2017-06-08 00:00:00,Havmøllerne får egen ø ved Lolland,Energy Supply,Link,"The company By & Landscape in Nakskov plans to establish an energy island for offshore wind turbines off the coast in the Langeland Belt at the port city of Tårs for a three -digit million.

In fact, you could establish a landmill or an offshore wind farm instead, but with an energy island you get all the benefits of offshore wind turbines and eliminate part of the resistance that is usually around wind turbines.

- There are a lot of prejudices around wind turbines - the whole point of an energy island is that you get all the benefits of offshore wind but not the costs, we put such large offshore wind turbines on land in the sea where they bother far fewer neighbors, explains Philip Rasmussen from City & Landscape.

20 offshore wind turbines on artificial island
The energy island created by curbing and digging out becomes of a non -dear size. It must house up to 20 of the large offshore wind turbines.

The energy island is established at the same time and in immediate connection with the new ferry port in Tårs, which makes the maintenance and repairs of the mills far cheaper than if the mills stood far out on the sea.

- It is somewhat easier for installers and service people to cycle out to the mills when a nut is to be changed rather than a ship being sent out, says Philip Rasmussen.

An energy island to climate trouble
When By & Landscape just chooses the waters off Lolland, it is of course because here you have yourself housed. But it is also because the energy set-up on Lolland, the culture if you will, is the right one.

- We (Lolland, ed.) Produce five times as much power as we use ourselves. Vestas produces at Nakskov Harbor. There is a culture around green stream present that it is easy to talk to our project in, says Philip Rasmussen.

The project costs about DKK 200 million and will create 2500 jobs.",4.0
,2019-07-09 00:00:00,Kunstig energiø i Nordsøen er teknisk mulig: Skal stå klar om 12 år,Ingeniøren,Link,"New preliminary study shows that it is technically and economically realistic to build an artificial energy island in the middle of the North Sea with a capacity of up to 15 GW in the early 2030s. Now Danish, German, and Dutch electricity transmission companies reach out to the politicians.

Two years ago, Danske Energinet went together the electricity transmission companies in the Netherlands and Germany to explore the possibilities of establishing a six square kilometer artificial 'energy island' with runway and port at Doggerbanke in the North Sea.

The idea of ​​an energy island in the North Sea is to gather the electricity from several countries' offshore wind farms and send it crosswise to consumers in the North Sea countries.

""It may sound crazy and science fiction-like, but an island on Doggerbanke may prove to make the wind energy of the future much cheaper and more efficient,"" said Torben Glar, technical director of Energinet, in 2017 about the visions.

Now the International North Sea Wind Power Hub Consortium, which is behind the idea of ​​an energy island, has conducted a number of feasibility studies and preliminary test results.

“The most important thing is that in Denmark and the rest of Europe we have to be converted to 100 percent renewable energy within a short number of years. It requires us to solve the trilemma of energy, ie to ensure security of supply, switch to renewable energy and both at a competitive price. One or more large-scale energy islands are important for solving the trilemma. We can use the energy islands to pick up electricity ashore more efficiently, but also to trade electricity between the countries when it is not blowing, ”says Torben Glar, who is also a steering committee member of the North Sea Wind Power Hub Consortium, today to the Engineer.

On Tuesday, the partners in the International Consortium North Sea Wind Power Hub (NSWPH) present the results of the project's assessment phase. Over the past few months, the consortium has analyzed the possibilities and conditions of establishing one or more energy islands in the North Sea.

The main conclusion is clear: One or more energy islands in the North Sea are both technically and financially feasible, and the ambition is to have the first energy island in operation in the early 2030s.

Significant changes on the way
Although the vision is roughly the same, the project has changed in several areas. The biggest change is that one has moved from one large energy island with a capacity of 30 GW to several smaller energy islands that must be able to collect and act as a node for 10-15 GW wind turbine capacity. The assumption is that in the long term there will be up to 180 GW until the year 2045 at Doggerbanke, where the water depth is relatively low.

»Several smaller islands are more optimal. The further away from the island of the offshore wind turbines, the less optimal the island will function as a distribution center. So we expect 10-15 GW per island and up to 15 islands. In terms of safety, it is also a distributed to have more islands. At the same time, the locations have not yet been determined. Doggerbanke is laid out as Natura 2000 area, and therefore it will not be optimal with a large island in that area, ”says Torben Glar.

70 GW can supply 80 million Europeans with electricity. One of the advantages of the island model is that the distance between offshore wind turbines and the network connection becomes shorter, making it possible to use AC Technology

Defense and the fishermen need to move
In order for the Energy Islands to become a reality, it requires new political agreements across borders, says the consortium behind. Partly because international studies and scenarios show that the current roll-out speed on offshore wind is insufficient to achieve the targets in the Paris Agreement and partly because the space is becoming more cramped in the North Sea.

»The most important prerequisite is that there is a political will to build the necessary offshore wind farms in the North Sea. The energy islands have no function without new offshore wind farms. In the North Sea, there are many different actors today, such as the defense, fishing, and the gas sector. We have all been used to having plenty of space in the North Sea, but when we need so much wind energy, it will be an advantage to be able to identify the most optimal areas for wind. It probably requires political agreements. At the same time, the Dutch, German, English governments must also be involved in a sensible rate of development, so that it will be stable roll -out with lighter project management and better prices, ”says Torben Glar.

In Denmark, Energinet does not have to kick doors in to get the support of the energy island of the new Social Democratic government. In the so -called understanding paper, which the government wrote with its parliamentary basis, one can briefly read:

“A new government will adopt a climate action plan. Among other things, the action plan must also include the following elements: Examination of the possibility of Denmark together with the North Sea countries preparing a common strategy to significantly expand and utilize the offshore wind potential. Explore the possibility of Denmark by 2030 the building world first energy island with a minimum of 10 GW connected. ""

The engineer would have liked to have asked Climate Minister Dan Jørgensen (S) about the government's support for an energy island in the North Sea, but the minister canceled the interview with the Engineer at short notice due to a pressed calendar.

Storing energy in the center
In addition to acting as a link between the different national transmission networks, the energy island must also be able to store energy from the offshore wind turbines in the middle of the North Sea. However, what technologies are not determined.

“We must be able to store energy in a technically sound way by 2040-2050, when we only have to use renewable energy. It can be Power to gas (P2G), heat storage or ellager with batteries. We need to investigate what works best, ”says Torben Glar.

Specifically, the consortium looks at how to convert power to gas so that it can be used for fuel on, among other things, ships.

»We look a lot at how we can use the islands to convert electricity to gas, so we can use make a new form of sector coupling where we tie offshore wind turbine power to the transport sector. Then the wind turbines not only become a source of power, but also the source of fuel as hydrogen on ships, ”says Torben Glar.

It can also alleviate bottlenecks on the electricity transmission network to convert the electricity into gas once it has been sent ashore, and then transport the gas to areas with great demand far in land.

However, when the first energy island with a capacity of 10-15 GW can be ready in the early 2030s, it will probably only be electrically connected to land with associated conversion to gas on land. It is not technically possible to make the conversion from electricity to gas out on the artificial island with the available technologies today.

The price depends on where the islands are placed
“We don't have a financial framework ready. It can be a sand island, a concrete foundation that we know from wind turbines, a lower box or steel foundations. We need to look into this when we have appointed the right place. If it is 20 meters of water, it requires one solution, while 40 meters of water provides other conditions. Of course, the big expense will be to build the necessary offshore wind farms to deliver the energy to the island, ”says Torben Glar.",-5.0
,2019-11-25 00:00:00,Ørsted: Placér den første energi-ø ved Bornholm,Ingeniøren,Link,"The energy company believes that it is more realistic and necessary to build a huge offshore wind farm on an already designated shallow area in the Baltic off Bornholm, from which the current can be distributed to both Denmark, Sweden and Poland.

In the energy agreement from last year, nine parties decided that three new, large offshore wind farms will be built by 2030, of which the first is placed off West Jutland, while it has not yet been decided where the next two parks will be located.

At the same time, the government's so-called understanding paper with its support parties shows that it will ""explore the possibility of Denmark by 2030 building the first energy island with a minimum of 10 GW connected"", which the state's company Energinet with more binoculars on the North Sea.

Now the energy company Ørsted is mixing in the debate with a proposal to instead place this energy island as part of a so-called offshore wind cluster in the Baltic Sea west of Bornholm, where the water depth is only 15-20 meters at the lowest place.

It is an area that, according to a screening of areas for offshore wind turbines, conducted by the Danish Energy Agency in early 2019, is suitable for housing up to 3.1 GW offshore wind turbine capacity. It is therefore already reserved for state offering of offshore wind.

Up to 3-5 gw offshore wind
""Before we build large Sand Islands in the North Sea, we suggest that we combine existing plans for transmission connections and offshore wind areas with an island of granite that we already have, namely Bornholm,"" says Martin Neubert, CEO and CEO of Ørsted Offshore .

The company's vision is-with Bornholm as a hub-to connect Denmark with two or three other countries, such as Poland, Sweden and possibly. Germany, and in the long term, together up to 3-5 GW of offshore wind capacity.

The first step in the vision is to offer an offshore wind park of 1 GW at Rønne Banke southwest of Bornholm as well as connect Denmark and Poland.

Security of supply to Zealand
The offshore wind park and the transmission connection to Poland can ensure a high security of supply in Zealand and at the same time supply the large quantities of electricity that can operate the green electrification of society. The transmission cables on the sea will be buried.

""We specifically propose that this tender contains both the offshore wind farm as well as the transmission cables from Zealand across Bornholm to Poland to ensure an optimal technical solution at the cheapest price,"" says Martin Neubert.

Ørsted points out that Energinet has already proposed a transmission link between Zealand and Poland in the EU's ""Ten Year Network Development Plan"" and that it is a realistic project to combine this connection with an offshore wind park of 1 GW that can ensure reliable and cheap electricity to Denmark and Poland in 2028.

Next phase is sustainable hydrogen
In addition, the vision paves the way for the next phase in Denmark's green transition, where the production of sustainable hydrogen can make air traffic, shipping and heavy road transport CO2 neutral, thus providing a decisive and necessary contribution to the government's ambition to lower Denmark's CO2 emissions by 70 percent by 2030.

""The vision can secure Denmark's place in the green transition of the future, where through the production of sustainable hydrogen from offshore winds we can change parts of society that lack green solutions today,"" Neubert points out.

However, the company emphasizes that there are no specific plans for the location of a hydrogen factory.

The European Commission has previously estimated that up to 450 GW of offshore wind capacity to supply electricity to electric cars and the heating sector, but also for the production of sustainable hydrogen on a large scale.

According to Ørsted, this target can only be met by seting the pace and rethinking the development of offshore wind, so that the focus is on offshore wind clusters with transmission to several countries:

“We need to dramatically raise the pace of the expansion of offshore wind and transmission if we are to reach the goal. With Bornholm, Denmark and Poland have a unique opportunity to gain necessary experience with offshore wind clusters that can be scaled to future energy islands and at the same time contribute significantly to the green transition and security of supply in both countries, ”says Martin Neubert.

Project requires more analyzes
Ørsted first presented his idea in Politiken, where it gets a nice reception by Brian Vad Mathiesen, professor of energy planning at Aalborg University and director of the Green Think Tank, Concito, Christian Ibsen.

Brian Vad Mathiesen calls it against the newspaper a ""really good and constructive"" project, which, however, requires thorough analyzes.

“It's far more realizable than these airy thoughts about a huge energy island far out in the sea, with 10 gigawatts or more. The challenge lies in finding suitable locations for large quantities of renewable energy, which are at the same time close to some large consumer centers. This is an example of the fact that you can, ”says the professor of Politiken.

Christian Ibsen has the same attitude according to Politiken. He also points out that a huge facility at Bornholm does not block that one day you can also build out in the North Sea.",6.0
,2019-12-03 00:00:00,Finanslov: Professor roser forundersøgelser til energi-øer,Ingeniøren,Link,"Upcoming 'Energy Islands' in the North Sea and at Bornholm can support the production of green liquid fuels. Professor Henrik Wenzel is happy about this, but he also warns that we can lose important synergy benefits if we choose the wrong technical solutions.

It is fundamentally positive that the government of the Finance Act for 2020 directly writes that a preliminary investigation for energy islands must now be initiated and support Power-to X technology, ""says Henzel Professor Henrik Wenzel. But he also warns that with energy islands we risk losing important synergies in the production of liquid green fuels.

Furthermore, the agreement text states that 'Power-to-X can potentially support effective utilization of large quantities of offshore wind stream from a possible. Energiø, why funds are also allocated for research, development and demonstration schemes for Power-to-X. ""

In total, DKK 30 million is allocated. DKK 2020, DKK 27 million. DKK 2021 and DKK 8 million. DKK 2022.

Ørsted will start with small energy island at Bronholm
The question of energy islands has been up and turning several times, most recently this summer here in the Engineer, where the consortium “North Sea Wind Power Hub” described that a network of energy islands in the North Sea of ​​every 10 GW was both technically and financially possible. For example, the islands could be located on Dogger Banke.

At the end of November, Ørsted further argued that an energy island of 1 GW could be located at Rønne Banke southwest of Bornholm and connect Denmark and Poland electric.

Henrik Wenzel emphasizes that if such energy islands are built, then it is important that only electricity is brought ashore and thus not hydrogen produced on the island itself:

“Then we lose the synergies that occur in the process of making hydrogen, synthesis gases and on to liquid green fuels. First and foremost, surplus heat that can be utilized in the district heating network, ”he says.

As an example, he mentions that if the electrolysis is named the SOEC method, it is a really good idea to bring the heat from the process where green synthetic gas is converted into a liquid fuel, back to the electrolysis process and then use the residual heat for district heating.

Therefore, it is also important that the production itself will be near a district heating network.

In dialogue with global energy company
He, together with his research group and NIRAS, recently published the report ""Nordic GTL-A Pre-Feasibility Study on Sustainable Aviation Fuel From Biogas, Hydrogen and CO2"", where calculations show that with the proper integration of green electricity, hydrogen, biogas and CO2, it will be possible to make liquid fuel for air traffic, which is only twice as expensive as fossil fuel in day.

Right now, efforts are being made to get started on a specific project in collaboration with a global energy company. The first step will be to transform methanized biogas directly into a liquid fuel.

Subsequently, the idea is that production is increased by adding process steps where green hydrogen and CO2 are included:

»The first part is known technology and we can go directly to a full -scale system. But when we move forward and need to use hydrogen and CO2 to increase production, demonstration projects are needed and here the agreement text from the Finance Act can be interesting, ”he says.",-7.0
,2020-02-12 00:00:00,Gas-skepsis stemt ned: Parlament godkender EU-liste over 151 infrastruktur-projekter,Ingeniøren,Link,"The 151 projects include a lot of natural gas projects and therefore the green group voted in parliament against approving the list, but a large majority said yes.

The EU Parliament on Wednesday approved a list of 151 cross-border energy infrastructure projects that the EU Commission has selected as worthy of seeking EU support.

Among the projects on the so-called PCI list are the energy island of the North Sea, the Baltic Pipe gas lines between Denmark and Poland as well as a total of 55 natural gas infrastructure projects.

Precisely the many projects with natural gas have led the Green Group in the EU parliament to vote no to the list and encourage other MPs to do the same.

Outdated infrastructure
For example, the Danish SF Margrethe Auken wrote in the Altinget that gas pipes like these will freeze Europe in the fossil age and waste billions of euros on infrastructure which will soon be outdated:

""Don't forget that every euro we are wasting here should instead have gone to research, renewable energy or green change of agriculture,"" she wrote in her call.

But not many people listened to the invitation: Only 169 voted against the list, while 443 voted for, the Polish delegation writes in a press release.

Many new cable connections
In addition to the Energy Island in the North Sea-such as Energinet and a few other transmission-responsible companies are planning to build and which are specifically mentioned in the government's agreement with the support parties-the list also contains the major electric infrastructure projects connecting Norway and the UK ( North Sea Link and North Connect), wired between Denmark and the UK (Viking Link) and connections between the Netherlands and Germany and the UK respectively.

PCI projects are cross-border energy infrastructure projects of strategic importance to the Union.

Projects on the PCI list, which are updated every two years, benefit from more lenient administrative treatment and can thus also receive financing from the Connecting Europe funds.",
,2020-05-20 00:00:00,Ros til klimaudspil med to energiøer: Men et væsentligt kapacitetsproblem truer,Ingeniøren,Link,"The government's climate plan will boost the development of green liquid fuels. Energy professor is concerned that liquid green fuels are more complex than politicians think. IDA's chairman gives the plan a ""neat 7 number"".

According to the government's climate plan, which has just been presented, two energy islands must be built in connection with the erection of 4 GW of new offshore wind turbine capacity. The goal of the islands is to create a hub for the collection and distribution of green energy, both in the form of electricity and liquid green fuels.

Thus, a technological investment in the development of Power-T-X (PTX) is planned, where green electricity is transformed into an alternative fuel, which can be used in, for example, the heavy part of the transport sector, aircraft, ships and in the industry:

“We can no longer make individual offshore wind farms. It must be energy islands where we can gather both the introduction of green energy to land and where hydrogen and liquid fuels can be produced, ”said Climate, Energy and Supply Minister Dan Jørgensen at the presentation of the plan.

The two energy islands must be placed respectively. in the North Sea and in the Baltic Sea off Bornholm. For each of them, 2,000 MW of wind power or more than twice as much as built today. The government's proposal is almost similar to what IDA has proposed in the latest report: IDA's climate response: Transport and energy solutions 2030, where a target of a total of 6,630 MW of offshore wind is set by 2030.

The development with energy islands and PTX technology must be seen in the context of a goal of capturing and stocking-possibly. utilization - CO2 from flue gas. Initially from the fossil sources that cannot be immediately replaced, but in the longer term also from biomass, so that there is actually negative CO2 emission.

Good plan with holes
Professor of Energy Planning at Aalborg University, Brian Vad Mathiesen, calls the idea of ​​energy islands really good, but also has some concerns about the announcement:

“It's really nice and something we've been talking about for several years. Now we get rid of funds so that over the next two to three years we can develop demonstration projects that show how PTX can work. It should preferably be done throughout the value chain, so we also get it tested in the trucks that actually have to drive on it, ”he says.

But he is also concerned that politicians are underestimating how complex such an energy system will be. Namely, there is still a lack of knowledge and models that show where the individual plants are best placed, technically and financially:

“It's about what it is for an infrastructure we want to build up for transporting the green energy. For example, it is best to place the production of hydrogen on the energy island itself, or must be carried ashore and then be transformed into liquid fuels, ”he says, emphasizing that we must not lock ourselves prematurely.

Regarding For the placement of the Energy Islands, he believes that Bornholm is an obvious place. With its location close to Sweden, Poland, Germany and Denmark, the island could become an effective means of displacing fossil fuels in those countries:

""I think it can be carried to be expanded by up to 5 GW,"" he says.

It is more questionable with the energy island in the North Sea. Here the distances are significantly longer, and today we do not have cables that are able to transfer more than the 2 GWs planned:

“I first think it will be on the other side of 2030 that we can get up in cable sizes that can transfer up to 10 GW, but when that happens we also have to expand that capacity so we can deliver green Power to the major energy -consuming centers in Northern Europe, ”says Brian Vad Mathiesen.

Overall, the professor calls the climate plan a good play, although he may well point to technical details that he is less fond of, and holes that have not been fully filled.

Climate Plan recognizes technology
The chairman of Ida, Thomas Damkjær Pedersen, is pleased that a first play has now come from the government on how to reach the CO2 reduction in 2030:

»The play recognizes that a technological focus is needed to achieve the goal. Many of the solutions we have also pointed out in our climate response from earlier this year. All in all, I want to give it a nice 7, ”he says.

The reason why we cannot get higher is, according to Thomas Damkjær Pedersen, that we have not yet got it translated into a national strategy and that we therefore do not know how.

But the fact that offshore wind farms are advanced and that the focus is now on the development and demonstration of PTX, so that it can go from demonstration systems to a large scale is absolutely necessary so that we can achieve the goals of CO2 reductions in 2030 and 2050, he says:

""Now I am looking forward to the plan being translated into an actual strategy for research and development in a collaboration between private and public actors,"" says Thomas Damkjær Pedersen.",8.0
,2020-05-20 00:00:00,Regeringens storstilede klimaplan bidrager til en brøkdel af CO2-målet,Ingeniøren,Link,"The government's proposal for the first part of the climate action plan only reduces CO2 emissions by 2 of the necessary 19 million. ton of CO2 until 2030.

Then the government finally came with its overall proposal to the first step in a climate action plan to lead us to the climate target for a CO2 reduction of 70 per cent. or 19 million tonnes of CO2 in 2030 - and which now has to be negotiated with the other parties behind the Climate Act.

The plan consists of six points and let it be said right away - it does not show how we reach the climate target, as it will simply give a reduction of 2 million. tonnes of CO2 out of the required 19 million. ton.

In turn, the government promised several initiatives later:

“We're not done. This is only the first chapter and after the summer holidays we will present new initiatives. But today we create a solid foundation for a climate -neutral Denmark - a foundation we can build on for many years ahead, ”said Finance Minister Nicolai Wammen at the press conference, where he also promised that one will create the basis for thousands of green Workplaces in the coming years can be created and can be preserved here in Denmark.

Long-term energy islands and power-to-x
When the measures do not give as much CO2 reduction, it is because several of them are very long-term and instead of here-and-now reductions in developing and scaling up the technologies we need in the long run. However, it is important to start technology development was also something that the Climate Council advised in its March report on the 70 percent target.

The long-term perspective is especially true of the proposal for the establishment of two energy islands and expansion with an extra 2 GW of offshore wind farms in the North Sea and in the Baltic Sea respectively, and this applies to the proposal to put turbo on the technology development of power-to-x and of CO2 catch and storage.

Specifically, the government suggests that we catch CO2 from, for example, the industry and then use it for green energy or pump it back into the ground. From 2024, the government will allocate DKK 400 million. DKK annually to a pool to capture and store CO2, which according to the proposal will reduce CO2 emissions by DKK 0.3 million. ton. CO2 per years in 2030. In addition, the government will create a unified strategy for CCUS to set the framework for future efforts.

In the PTX area, the government will start a partnership on a large-scale PTX plant that will produce green fuels for aircraft and cars and thus drive the cost of hydrogen down.

Pools for biogas and industry
Both the Energy Islands and the PTX/CCS The proposal thus costs nothing special until after 2024, but thus gives only 0.3 million. ton of CO2 reduction.

Green transition in the industry in the form of electrification and use of biogas, the government will promote via a subsidy pool of DKK 900 million. kroner from 2020 to 2024 for electrification plus a pool of 95 annually for biogas and other green gases; However, it will not come into play until 2024. It could reduce CO2 emissions by 0.3 million. ton by 2030.

At the same time, the government promises to work closely with the climate partnership of the financial sector to map the opportunities to mobilize private investments for the green transition in new ways.

When it comes to promoting energy efficiencyizations in buildings and industry for the benefit of the climate, the government will set aside funds to collect and exhibit data on buildings and their energy consumption. In addition, the energy labeling scheme is strengthened and recommendations about indoor climate are incorporated so that the building owners get an even better decision basis when they want to invest in energy improvements in e.g. the dwelling.

In addition, there must be demands for continued energy savings in the state's buildings until 2030, so that the state is ahead with the good example. All that together gives a reduction of just 47,000 tonnes by 2030.

The heating sector must be more green, which we have already heard of, that is, oil and gas stove must be replaced with district heating and heat pumps. The plan figures have been put on how much the electric heating charge should be lowered (to 0.8 øre per kWh) and the tax on fossil heat must be raised (from 56.7 øre per GJ to 62.3 øre per GJ), And that the grants for consumers who want to replace oil or gas stove will be between DKK 15,000 and DKK 25,000.

Surplus heat exempt from tax
It also appears that the tax on surplus heat is proposed to be removed and that the government considers that the mentioned reduction in the electric heating tax will help to make geothermal heat a profitable, green alternative.
The heating package reduces greenhouse gas emissions by DKK 0.7 million. ton of CO2 in 2030.

Finally, there is a green waste sector and more recycling, with 80 per cent. of the Danish plastic must be sorted out from the combustion by 2030, and we must have less combustion and import of waste and more sorting and recycling. At the same time, the government will make a circular economy a growth engine for Danish business.

The initiatives in the waste area result in a reduction in greenhouse gas emissions of DKK 0.7 million. tonnes of CO2 equivalents by 2030.

Where is transport, agriculture and CO2 tax
And then there is everything that is not included in the plan. There is not one word about initiatives in the transport sector or in agriculture-which are two major CO2 emitters-nor anything about a high CO2 tax, which both the Climate Council and the economic sages have proposed as the cheapest path to the climate target.

At the press conference in the Ministry of Finance, Climate, Energy and Supply Minister Dan Jørgensen responded to a question of whether it is not fair enough that those who swine the most pay the most- ie a CO2 tax:

“We are in the middle of a very big crisis. In many other countries in the world you have probably chosen to say: OK, efforts around climate, environment and other things, you have to push. We have chosen to say no, we will use this crisis as an opportunity. We want to create growth. This means that we must opt ​​out of instruments such as Large taxes on large companies or on the Danes' private consumption. We don't think that's a very good idea right now. ""

Missing an overall plan
And finally, there is the big, overall question: When the plan here only gives two million. ton of CO2, how do we reach the rest of the way in 2030?

This is precisely the point - that is, this is not a comprehensive plan, but more about a handful of good beats - as different organizations as the Council for Green Change, Greenpeace and the trade association Dansk Energi.

The Green Change Council is disappointed with the overall level of ambition; Greenpeace calls it a half -hearted first shovel, which is found to be worrying, and finally Dansk Energi played out as important initiatives, but that it is not a climate plan:

“We miss a total climate plan. The entire energy sector lacks a framework and direction for how it should go ahead on the road to the target in 2030, when CO2 emissions must be reduced by 70 percent compared to 1990, ”says Lars Aagaard CEO Lars Aagaard.

We have ten years
At the press conference, DR asked exactly when we get the rest of the plan, and to this, Climate, Energy and Supply Minister Dan Jørgensen responded:

“We have about ten years to reach it. With the two million tonnes we have here with the 0.5 million tonnes we organized by the Finance Act agreement, we reach significantly more than the tenth we say we should reach. On that scale, it's quite ambitious, 'he said.

You can read the fact sheets from the players on the Ministry of Finance's website.

The government expects to convene the parties of the Folketing for the first negotiations of the play over the next week.",-2.0
