Date,Title,Outlet,Content
2009-11-03 00:00:00,"Tak til politikkerne, fordi I har taget ansvaret på jer: Det gamle gode liv på Bornholm",Bornholms Tidende,"always Bornholmer , lived 25 years . Right another small alternative energy island , namely Samsø . One today 's highlights consuming Bornholm 's Tidende together today 's news TV2/ Bornholm via web . husband expect settle Bornholm within number years . Therefore , course , also follow pending debate island 's nursing home wanted give concern . would also like encourage younger Bornholmers . die , ancestors become old need help suitable place stay , matter time . Thank policies taking responsibility making important decisions us thus dare expose little . hope stare blindly finance location , also dare include following considerations : gives life content , makes good , gives joy everyday life ? try put answers nursing home context ! think open , honest exchange personal notions one would think old - possibly weak senile - way find good solution together across political divisions . Also , consider synergy effect arise citizens involved help find solution ! example , mother 75 , worked many years nurse nursing home sector Bornholm . asked wanted put highest resident nursing home , part answer : “ fine tea kitchens old ones ca n't use anyway become dangerous demented . , need care , care , care politician architect impossible everything , remember ask help users , including relatives nursing staff ' ! Homemade found among politicians , officials architects , also among professionals nursing home sector among us . Therefore , one must continue investigate others done use develop something new better . necessarily cost long run think alternatively . courage bet -called `` soft values '' Bornholm may future go generate know -how regarding elderly care , even able export thus also draw `` nursing home tourists '' capital island ! Incidentally , LAG funds reserved Health younger Bornholm ? hiring elderly ambassador ? using rural funds launch super-modern energy-ridic center inspiring building style falls appropriately Bornholm nature building stock , Bornholmers keep looking looking forward use possibly live . example , based citizens ' received wishes old age , architectural competition could printed , citizens debate vote proposals received . contemporary Norwegian uncle helped start large fantastic elderly center wonderfully located beautiful fjord Norway . subsequently many years leader Henie-Constad Age Earth . Dignity , equality good elderly life starting point , center epoch -making Europe time . library , physiotherapy associated swimming pool , large creative workshop , cafeteria staff , users guests overlooking fjord nearby art center . large cozy decorated palm garden connection reception kiosk , concert lecture hall , hairdresser , foot therapy well permanent nurse specialist doctors showed certain days . addition , intimate daycare center living room piano , offers communal dining , walking driving trips beautiful area appropriate companionship . connection site , extremely imaginative professional staff hired . Among things , arranged large carnival events dressed-up users , Opera Live , large-scale Christmas Eve parties . employees elderly user councils self -managing enthusiastic uncle claimed important job leader tice around wards , drink coffee dampen mutineers , give mind . including politicians papal started - connection center , older housing nursing homes different design built - depending users ' care needs municipality 's economy . wonder concept attracted money foundations , wills Treasury . also delegations world see epoch -making institution elderly . teenager , employed summer holiday aid several years center , met Japanese politicians tour . place could still study trip worth Bornholm decision makers advisory professionals , although smaller framework priorities easily well . Part us lose memory ability verbal communication grow old . even though certain body parts brain cells set , basic feelings senses probably still . need able thrive , even though might become demented , something beautiful look , fresh air breathe , feel weather , hear songs birds , touch something touched caring hands , warming rays sun shower organ old , spiritual church . greatest wish sometimes come beautiful Bornholm nature . least must live place look window see tree feel change seasons , see mearse feeding board feel life around . among living creatures every day , whether 's little cat , maybe teddy bear think alive hug - sheep , calls lamb mowing grass fence around nursing home . living motion makes forget way away safe safe , thus preventing getting lost forest , driven town dumping harbor . important thing : would like end life loving caring insightful people around patience , tenderness lots time , understand situation would like help even ca n't something return ! Thus , never forget broadcast TV music educator got old dementia nursing home remember , hum even sing childhood songs heart . gripping see old lady , due friendly stamina , slowly thought melody text - ended singing vessel bellows saw big beautiful smile spread old face . Music song reduce mental physical pain . know . environment would like live care would like receive get old weak ? Join debate help policies decisions . Write thoughts send municipality Bornholm 's Journal . must good , better uncertain liquid pension savings time . least look forward reading posts fresh take challenge newspaper . gives life content makes good ? ."
2009-04-29 00:00:00,Dufte og intense oplevelser der giver mening,Rytterknægten,"- Right invest lot projects becoming visible , could nice politicians also follow . must municipal elections soon , would time politicians climate strategy , transplant , agenda election campaign . outlines Bornholm real energy island ."
2010-07-08 00:00:00,El bliver den primære energikilde i vores samfund: El( re) volutionen er kommet til øen,Bornholms Tidende,"time running dogma electricity dirty evil . EL paves way much cleaner , safer efficient way using energy . Østkraft works overall Danish energy sector make electric CO2 neutral . Therefore , makes sense allow electricity replace oil gas cars homes - let energy system transport system merge . words , threshold `` electricity resolution '' , significant change energy system Bornholm , well rest Denmark . means years drive Aakirkeby Allinge-Sandvig silent cars powered electricity . electric car charges work home . home loner gi consumption greater extent controlled , example , washing machine starts power cheap freezer turns briefly sake electricity grid . Electricity becomes primary source energy society , electricity increasingly becoming pure , safe effective alternative . electricity system lifeblood energy supply play together district heating , subside agricultural biomass proportion wind turbine power , doubled ten years . Every day current Bornholm sockets becomes greener . ten years , half Denmark 's electricity consumption covered renewable energy . Already , renewable energy 47 per cent . Østkraft 's production included private wind turbines , production Bornholm 63 per cent . However , proportion renewable energy Bornholm sockets approx . 40 per cent , part energy exchanged via submarine cable . thus well way goal Bornholm free fossil fuels 2025 . Eastern power also earlier year submitted applications Bornholm Regional Municipality setting several wind turbines increase proportion . Østkraft hopes municipality looks positively wind turbine projects , mean lot Bornholm help fulfill municipality 's energy strategy Bornholm green energy island . biggest change way produce energy . use energy wisely . mean thorough change think energy use . advice us : Use power blows - give back power wind lying . future , hunt cheap power become part everyday life . 're going spend little time dining table studying electricity prices , 're going decide think car refuel web whether want sell power battery back electricity grid . Electric cars soon part everyday life ongoing electric car projects , Edison Mycar , get foothold . projects must bring electric cars eye level , Bornholm good opportunity , based unique geography , front runner process demonstra tion project . Thus , Bornholm show rest Denmark , even world , `` elvolution '' unique opportunity think new . initiative also generate business growth opportunities jobs long term . Basically , go two ways let development roll . sit back wait politicians give optimal framework happen begin development . Østkraft rest Danish energy sector taken first steps towards `` Elvolution '' , make energy consumption cleaner free us oil . day power becomes greener . electric car charging work home"
2013-09-07 00:00:00,Det grønne i centrum,Bornholms Tidende,"Business Center Bornholm Bright Green Island invited broadly nothing less global summit islands focus green ecology . Eco Islands Global Summit 2013 Bornholm held Monday 9 . September Wednesday , September 11 Grønbech 's farm Hasle . Bornholm welcomes fiery souls , experts , grass roots decision makers small communities regions around world : Japan , Thailand , Papua New Guinea , USA , England , Holland , Spain , Sweden Denmark . Locally globally three days focusing local development , circular economy , green buildings , strategic levers , smart solutions , waste gold , green investments , small economies ' resilience , green transport , sustainable business development sustainability long lanes . find small economies islands cities regions special positions strength provide new , green solutions global green agenda . presentations , workshops , great visions , global knowledge sharing networking . Bornholm welcomes sharpest knives drawer comes transforming major challenges sustainable solutions , program states . Around island electric car Monday , September 9 , trip goes around Bornholm Electric car . Vasagård visited forest pigs agriculture , sustainable production . Monday , 12 decision makers five islands also meet , divided seven nationalities - planning strategy meeting Ecoislands future . Smart Grid Bornholm Tuesday , September 10 , presentations debates day . Experience inspiration projects concepts around world : Introduction Ecoisland vision . Bright Green Island - story Bornholm . Samsø - Renewable Energiø . Innovation Sustainable Islands : Global Trends . Innovative financing change projects islands developing countries . Panel debate : Ecoisland stories . , focus also Ecogrid EU - Smart Grid Bornholm . Smart City Concept smaller cities - Case Kalundborg . Enviu - ecosystem sustainable business development Netherlands . Sustainable Transport -Part Truck Stories . Creative islands . Circular economy . Wednesday , September 11 , workshops around : Circular Economy . Recycling materials , development industrial symbiosis future design . Green buildings sustainable growth islands . Waste money citizens engaged . Innovation investment green sustainable development . Sustainability dynamics local economy . energy future connection circular economy . ? Presentation held 29 international national experts . 140 participants world 12 islands , representatives island organization . come Bornholm , Isle Wight , Bougainville , Samui Island , Scottish Islands Federation , Scottish Island Eigg , Yell Shetland Islands , Iceland , Samsø , Mallorca , Esin - European Small Islands Federation , Baltic Seven Islands -B7 Indonesia Sustainable Island Tourism . Bornholm welcomes sharpest knives drawer ."
2015-06-15 00:00:00,Masser af omstilling i kommunerne,Bornholms Tidende,"Bornholm Bright Green Island concept vision CO2-neutral society 10 years . Bornholm far alone focusing sustainable transition far leader . lot happening around . network change event newspaper Municipality Saturday , number municipalities contributed information conversion projects . Aalborg Municipality , example . established decided center green transition , aimed citizens business . Sustainable business development unfolds partnerships sustainable supervision case management municipality , green agent targeted citizens also holds sustainability festival one week year . show want . Kalundborg , Danish Symbiosis Center established , trying organize industrial production supporting cooperation companies . special focus previously designated waste products companies . n't call anymore , resources used something else . example , get residual product cleaning smoke sulfur cancer work . residual product industrial tips , previously run landfill , diminished nearby plaster factory , makes plasterboard . Samsø come right long since declared renewable energy island . Already 10 years vision becoming CO2 neutral , , done extensive cooperation energy academy , municipality , companies grass roots participate . Wind turbines , solar energy recently municipal ferry driven gas among many initiatives island . plan also establish biogas plant supply energy municipal -owned ferry . hand , Samsø good ecology recycling yet , mayor said meeting . needs addressed . Sønderborg Municipality goal CO2 neutral 2029 , wide range initiatives well underway achieve goal . Among things , paying attention energy consumption municipality 's properties , example , school students get text message saved energy school . municipality also written green curriculum , kindergarten children school students learn start think energy -efficient , also come visit companies . next step Sønderborg switch public transport diesel gas . Incidentally , clear common feature four municipalities ' change process : Everyone municipality must involved , , citizens , young people , associations , grass roots , business . Everyone municipality must involved , , citizens , young people , associations , grass roots , business community . network transition event newspaper Municipality Saturday , number municipalities contributed information sustainable conversion projects ."
2019-11-25 00:00:00,Ørsted vil have staten til at sætte Nordsøen-projekt i bero: Bornholm kan få landets største havvindmøllepark,Bornholms Tidende,"Denmark 's largest wind farm date may based Baltic Sea Bornholm . energy company Ørsted proposed government build gigantic wind farm Rønne . wind turbines must initially able deliver production 1000 megawatts , also called gigawatt . longer term , Bornholm Mill Park able increase production three five gigawatts - enough power five million households . project make Bornholm home converter station pass power . Ørsted 's plan also includes electrolysis factory turn excess power green fuel ships , aircraft trucks . However , Ørsted place Ørsted metropolitan area , much fuel used around Copenhagen Bornholm . first stage project supply Bornholm , Zealand Poland Strøm . later build park 3-5 gigawatts , also able export power Sweden Poland . recently adopted wind farm , Thor , West Jutland , , comparison , effect 800 megawatts . Ørsted 's proposal government Denmark send offshore wind project Bornholm tender Thor project . Ørsted , offshore wind turbine manager Martin Neubert believes project attractive faster realize build artificial energy island North Sea , Thor project require . Thor artificial island written -called understanding paper new government summer came support parties . - Bornholm build drain North Sea . use infrastructure already place , says Politiken . Climate Energy Minister Dan Jørgensen ( ) calls proposal `` exciting '' . - good see private actors forefront green front line , writes comment Politiken . Professor Energy Economics Brian Vad Matthiesen Aalborg University also finds idea ​​using Bornholm better idea ​​offshore wind turbines centered artificial island North Sea . - far realizable airy thoughts huge energy island far sea . challenge lies finding suitable locations large quantities renewable energy , time close large consumer centers . example fact , says Politiken . Mayor Winni Grosbøll ( ) highly excited proposal . - whole , building get rid workplaces activity whole island . - addition , offshore wind farm Bornholm positions energy island middle Baltic Sea . 's huge chance us , tells Politiken . offshore wind farm positions Bornholm energy island middle Baltic Sea . 's huge chance us Winni Grosbøll , mayor ."
2019-12-12 00:00:00,Havneformand er glad for beslutning,Bornholms Tidende,"Chairman Board Thomas Thors Rønne Harbor pleased united financial , business plan committee Wednesday nodded accordance process plan could open possibility port make use area Cannail . involved dealing case member committee . - course , pleased come far , see large opportunities Rønne Havn become central player throughout wind turbine development Denmark , yes throughout Baltic Sea area . must also seen relation experienced one seriously discussing Bornholm Energiø . , Rønne Harbor also get central location . need larger area throughout game , turn really , really important Bornholm , says ."
2019-12-10 00:00:00,Ministeren nævner Ørsteds bornholmske idé indirekte: Østersøen skal screenes for steder til havvindmølleparker,Bornholms Tidende,"already clear first park Thor North Sea Thorsminde . Ørsted suggested place park number two Baltic Sea , use Bornholm energy island first need create artificial island . current timetable , supply park number 2 made 2023 . upcoming studies must confirm practically possible establish one energy islands relation nature , environmental planning conditions . must also provide financial calculations make possible decide something definitive . Work play negotiations climate action plans start new year ."
2019-12-21 00:00:00,"Dansk Fjernvarmes udviklingschef mener, at Bornholm skal gå efter at blive fremtidens tankstation for skibene i Østersøen: Energi-ø kan give billigere fjernvarme",Bornholms Tidende,"Danish District Heating Development Manager , Kim Behnke , believes Bornholm strive become future gas station ships Baltic Sea . fuel future must created using surplus current wind farms around Bornholm , Ørsted proposed . Press Photo : Ørsted . Bornholm makes tank system , Sweden Poland Kim Behnke ."
2019-12-21 00:00:00,Dansk Fjernvarme videreudvikler Ørsteds umiddelbare idé,Bornholms Tidende,"One legs proposal use large amount wind turbine power future produce hydrogen electrolysis plant . Bornholm 's Tidende interviewed Ulrik Stridbæk , Ørsted 's head energy economy , Windeurope conference , said energy company imagined electrolysis plant placed Zealand , need hydrogen synthetic fuels greatest . - thinking , really look part making hydrogen . start supplying heavy transport . whole idea ​​making plant electricity connection Denmark Poland . done , far cheaper place hydrogen production Zealand - close hydrogen used . much hydrogen Bornholm , Ulrik Stivbæk said . emphasized idea initial stage `` nothing called shell '' ."
2019-12-21 00:00:00,Lokal opbakning til tankstation på energiøen,Bornholms Tidende,"Danish District Heating recommendation Bornholm produce green ship fuel Bornholm using energy offshore wind turbines , water Offshore Center Bornholm Mill . - least would like work . makes much sense , said network coordinator Lone Reppien Thomsen Offshore Center Bornholm Bornholm 's Journal Offshore conference Copenhagen November . ( ... ) Head Department Klaus Vesløv municipal -owned energy company Bornholm 's Energy Supply , expected become key player , also finds Kim Behnke 's thought exciting . - Kim sensible man . knows Bornholm well , says Klaus Vesløv partner Danish District Heating . - 's obvious opportunity . Hydrogen one future solutions interesting , says Klaus Vesløv , also member municipality 's new committee climate sustainability ."
2020-01-04 00:00:00,Her er det nye år på Bornholm,Bornholms Tidende,"Time unknown enough edge able reached 2020 , work start , however : NOK 30 million new year 's Finance Act set aside oversee Denmark 's largest offshore wind farms date anchored around so-called energy islands . Bornholm mentioned name Finance Act , use Bornholm Energi Island get work large offshore wind farms faster build artificial island North Sea . make Bornholm focal point offshore wind farm capacity ( first place ) gigawatt first proposed 24 . November energy company Ørsted . week Finance Act set aside money investigate idea idea ​​an artificial island North Sea . time , government earmarked DKK 27 million 2021 additional eight million 2022 oversee state 's next supply offshore wind farms . Also , points hardly year arrow point either park Rønne Banke ."
