Date,Title,Outlet,Content
2009-11-03 00:00:00,"Tak til politikkerne, fordi I har taget ansvaret på jer: Det gamle gode liv på Bornholm",Bornholms Tidende,"altid bornholm , 25 år boet ovr . lig lil alternativ energi-ø , nem samsø . ét dag højdepunk indtagning bornholm tid sam dag nyhed tv2/ bornholm via net . mand regn bosæt bornholm ind oversku årræk . derfor følg selvfølg vers debat øen plejehjem fået lyst giv besyv . hermed opfordr andr yngr bornholm gør sam . dør ind , vor aner sam gaml får brug mer hjælp pas sted ophold , uans hvordan dén tid . tak politik , fordi tag ansvar tag vigt beslutning dermed tør udsæt lidt hvert . håb , stir blind økonomi beliggen , vov medtag følg betragtning : giv dit eget liv indhold , gør godt , giv glæd hverdag ? prøv så lig sæt svar plejehjemskontekst ! tror , åbn , ærl udveksling person forestilling , tænk gammel - eventuelt svag senil - kan måd find god løsning fællesskab tvær politisk skel . betænk synergieffek , kan opstå , borg inddrag bidrag find løsning ! eksempel mor 75 , arbejd år sygeplejersk plejehjemssektor bornholm . spurg , sæt højest bebo plejehjem , del svar : » fin te-køkken , gaml alligevel kan brug , bar far dement . nej , dét , brug , omsorg , omsorg , omsorg kan politik arkitek umu ind , så husk lig spørg , hjælp brug , heribland pårør plejepersonal « ! hjemblind find kun bland politik , embedsmænd arkitek , bland fagfolk plejehjemssektor bland andr . derfor ved undersøg , andr gjort brug udvikl nyt bedr . kost nødvendigvis mer lang løb tænk alternativt . mod sats såkald » blød værdi « bornholm måsk fremtid gå hen gener knowhow vedrør ældreplej , ligefrem eksport dermed træk » plejehjemsturist « mer kapital øen ! øvr lag-midl vel kun forbehold yngr hels bornholm ? ansæt ældreambassadør ? brug landdistriktsmidl lanc supermod energi-rig cent , vel mærk inspir byggestil , fald pas bornholmsk natur bygningsmas , så bornholm kan hold se glæd benyt eventuelt bo . borg indkomn ønsk alderdom eksempel udskriv arkitektkonkurrenc , hvoreft borg debat stem indkomn forslag . hedengangn norsk onkel tid start stort fantastisk ældrecent vidunder belig smuk fjord norg . efterfølg igennem år led henie-onstad alderssent . værd , ligeværd god ældreliv udgangspunk , centr mest epokegør europa davær tidspunk . bibliotek , fysioterapi tilhør svømmebassin , stort kreativt værksted , cafeteria båd personal , brug gæst uds fjord nærlig kunstcent . stor hyg indret palmehav forbind reception kiosk , koncert-og foredragssal , frisør , fodterapi samt fast sygeplejersk speciallæg , dukked bestemt dag . derudov mer intimt dagcent dagligstu klav , tilbud fællesspisning , gåog køretur smuk områd pas følgeskab . tilknytning sted ansat yderst fantasifuld fag brog medarbejderskar . arrang bland and stor karnevals-event udklæd brug , opera liv , stort anlag juleaftensfest så vid . medarbejd ældr , eget brugerråd , så selvled begejstred , onkel påstod , vigt job led tus rund afdeling , drik kaf dæmp gemyt giv besyv . inklusiv politik pavestolt , sat gang - tilknytning centr , efterfølg år byg ældrebo plejehjem forskel udformning - afhæng brug plejebehov kommun økonomi . lur selv koncept tiltrak peng fond , testament statskas . kom delegation hel verd se epokegør institution ældr . teenag fler år ansat sommerferiehjælp centr , bland and mødt japansk politik rundvisning . sted sikkert stad studietur værd bornholmsk beslutningstag rådgiv fagfolk , selvom mindr ram andr prioritering sagt kan gør lig så godt . del mist hukom evn verbal kommunikation , gaml . selvom vis legemsdel hjernecel sæt , grundlig føl sans sandsynligvis stad . triv , eventuelt dement , så må smukt se , frisk luft indånd , mærk vejr , hør fugl sang , rør ved rørt omsorgsfuld hænd , sol varm strål orgl brus gammel , åndr kirk . størst ønsk , indimellem kan kom smuk bornholmsk natur . mindst må , bor sted , kan kig vindu se træ fornem årstid skift , se mejs foderbræt fornem liv omkring . må bland lev væsn hver dag , så bar lil kat , måsk bar bams , tror lev kan kram - får , kald lam klip græs indhegning omkring plejehjem . lev væs bevæg , får glem , vej væk tryg sikr , dermed forhindr far vild skov , kørt byen dump havn . vigt : godt tænk slut liv , kær omsorgsfuld indsigtsfuld mennesk omkring , tålmod , ømhed mas tid , forstår situation gern hjælp , selvom kan gør gengæld ! glem såled aldr udsend tv , musikpædagog fik gaml dement plejehjem husk , nyn ligefrem syng barndom sang udenad . grib se gammel dam , grund ven udholden langsomt kom tank melodi tekst - endt syng karsk bælg , imen så stort smukt smil bred gaml ans . musik sang kan nedsæt psykisk fysisk smert . ved . hvordan hvilk omgiv gern bo , hvilk omsorg gern modtag , gammel svag ? deltag debat hjælp politik beslutning . skriv din tank send kommun bornholm tid . må vel lig så godt , bedr , usik likvid pensionsopsparing tid . hvert fald glæd læs indlæg , frisk tag udfordring avis . giv dit eget liv indhold , gør godt ? ."
2009-04-29 00:00:00,Dufte og intense oplevelser der giver mening,Rytterknægten,"- lig må sats projek , syn , så skønt , politik følg . snart kommunalvalg , tid , politik klimastrategi , transplan , dagsorden valgkamp . skits bornholm rigt energiø ."
2010-07-08 00:00:00,El bliver den primære energikilde i vores samfund: El( re) volutionen er kommet til øen,Bornholms Tidende,"tid ved løb dogm , el beskid ond . el ban vej lang ren , sikr mer effektiv måd brug energi . østkraft arbejd sam samled dansk energisektor , gør el co2-neutral . derfor giv mening lad el erstat oli gas vor bil bol - lad energisystem transportsystem smelt sam . står andr ord tærskl » elvolution « , markant forandring energisystem bornholm , såvel rest danmark . betyd , få år kør aakirkeby allinge-sandv lydløs bil drev el . elbil lad , imen arbejd hjem . vor hjem ener giforbrug høj grad itstyr , så eksempelvis vaskemaskin først start , strøm bil , frys sluk kortvar hensyn elnet . el primær energikild vor samfund , fordi el stig grad ren , sikr effektiv alternativ . elsystem kom livsnerv vor energiforsyning spil sam fjernvarm , aftag landbrug biomas andel vindmøllestrøm , fordobl ti år . hver dag strøm bornholmsk stikkontak grøn . blot ti år halvdel danmark elforbrug dæk vedvar energi . all udgør vedvar energi 47 pct . østkraft produktion medtag privat vindmøl , produktion bornholm helt opp 63 pct . andel vedvar energi bornholm stikkontak udgør kun ca . 40 pct. , del energi udveksl via søkabl . altså godt vej mål , bornholm fri fossil brændsl 2025 . østkraft endvid tid året indsend ansøgning bornholm regionskommun opsætning fler vindmøl , øge andel yder . østkraft håb , kommun ser positivt vindmølleprojek , betyd bornholm hjælp opfyld kommun energistrategi bornholm grøn energi-ø . størst forandring lig måd , produc energi . lig , hvordan brug energi klogt . betyd gennemgrib forandring , hvordan tænk energi , hvordan brug . råd : brug strøm blæs - giv strøm tilbag , vind løj . fremtid jagt bil strøm del hverdag . kom brug lidt mer tid ved spisebord stud elpris , kom tag stilling , hvornår syn , bil tank strøm net , sælg strøm batteri tilbag elnet . elbil snart del hverdag , igangvær elbilsprojek , såsom edison mycar alvor får fodfæst . projek bring elbil øjenhøjd , bornholm baggrund enestå geografi god mul frontløb proc demonstra tionsprojek . dermed kan bornholm vis rest danmark , ja sågar verd , hvorfor » elvolution « enestå mul tænk nyt . tiltag , gener erhvervsmæs vækstmu arbejdsplads sigt . bund grund kan gå to vej lad udvikling rul . kan læn tilbag vent , politik giv optimal ram , kan ske , kan begynd udvikling . østkraft rest dansk energisektor tag først skridt » elvolution « , gør vor energiforbrug ren gør fri oli . hver dag strøm grøn . elbil lad , imen arbejd hjem"
2013-09-07 00:00:00,Det grønne i centrum,Bornholms Tidende,"busines cent bornholm bright green island indbud bredt int mindr globalt topmød øer , sats grøn økologi . eco island global summit 2013 bornholm hold mandag 9. septemb onsdag 11. septemb grønbech gård hasl . bornholm byd velkom ildsjæl , ekspert , græsrød beslutningstag små samfund region hel verd : japan , thailand , papua new guinea , usa , england , holland , spani , sver danmark . lokalt globalt handl tre dag fokus lokal udvikling , cirkulær økonomi , grøn byggeri , strategisk løftestæng , smart løsning , affald guld , grøn investering , små økonomi modstandskraft , grøn transport , bæredyg forretningsudvikling bæredyg lang ban . find , små økonomi øer byer region sær styrkeposition kan lev nye , grøn løsning global grøn dagsord . oplæg , workshop , stor vision , global vidensdeling networking . bornholm byd velkom skarpest kniv skuf , drej transform stor udfordring bæredyg løsning , hed program . rund øen el-bil mandag 9. septemb går tur rund bornholm el-bil . besøg vasagård skovgris landbrug , handl bæredyg produktion . mandag mød 12 beslutningstag fem øer , fordelt syv nationalitet - planlægnings-og strategimød fremtid ecoisland . smart grid bornholm tirsdag 10. septemb oplæg debat hel dag . erfaring inspiration projek koncept hel verd : introduktion ecoisland-vision . bright green island - histori bornholm . samsø - vedvar energiø . innovation bæredyg øer : global trend . innovativ finansiering forandringsprojek øer udviklingsland . paneldebat : ecoisland-histori . sæt fokus ecogrid eu - smart grid bornholm . smart city concept mindr byer - cas kalundborg . enviu - økosystem bæredyg forretningsudvikling holland . bæredyg transport -delebilshistori . kreativ øer . cirkulær økonomi . onsdag 11. septemb workshop omkring : cirkulær økonomi . genbrug material , udvikling industriel symbios samt fremtid design . grøn byggeri bæredyg vækst øer . affald peng , borg engag . innovation investering grøn bæredyg udvikling . bæredyg dynamik lokal økonomi . fremtid energi forbind cirkulær økonomi . hvem så ? oplæg hold 29 international national ekspert . 140 deltag hel verd 12 øer , ø-organisation repræsentant . kom bornholm , isl of wight , bougainvil , samui island , scottish island federation , scottish island of eig , yel in the shetland island , island , samsø , mallorca , esin - european smal island federation , baltic sev island -b7 indonesia sustainabl island tourism . bornholm byd velkom skarpest kniv skuf ."
2015-06-15 00:00:00,Masser af omstilling i kommunerne,Bornholms Tidende,"bornholm bright green island-koncept vision co2-neutralt samfund 10 år . bornholm lang alen fokus bæredyg omstilling lang hel før . sker rigt rund omkring . netværk omstilling lørdag arrangement avis kommun , ræk kommun bidrog oplysning omstillingsprojek . aalborg kommun f. eks . etabl decid cent grøn omstilling , båd ret borg erhvervsliv . bæredyg erhvervsudvikling udfold partnerskab bæredyg tilsyn sagsbehandling kommun sid , men målret grøn agent borg desud hold bæredygtighedsfestival uge året . dér vis frem , , kan , . kalundborg etabl dansk symbiosecent , forsøg organis industriel produktion ved understøt samarbejd mellem virksomhed . specielt fokus , tid betegned affaldsproduk virksomhed . kald mer , ressourc , kan brug and . f. eks . får restproduk ved rens røg svovl kræftværk . restproduk industrigip , før kørt deponi , aftag nærlig gipsfabrik , lav gipsplad . samsø kom rigt lagt længst erklær vedvar energi-ø . all 10 år vision co2-neutral , , sket omfat samarbejd via energi akademi , båd kommun , virksomhed græsrød deltag . vindmøl , solenergi senest kommunal færg drev gas bland initiativ øen . plan etabl biogasanlæg , kan lev energi kommunalt ejed færg . gengæld samsø så god økologi genbrug endnu , fortalt borgmest mød . tag mer fat . sønderborg kommun mål co2-neutral 2029 , godt gang lang ræk initiativ nå mål . bland and ved opmærksom energiforbrug kommun ejendom , f. eks . får skoleelev sms , spar energi skol . kommun nedskrev grøn læseplan , så børnehavebørn skoleelev helt start lær tænk energirig , kom besøg virksomhed . næst skridt sønderborg omstil kollektiv trafik diesel gas . øvr klart fællestræk fir kommun omstillingsproc : kommun inddrag , sig båd borg , ung , forening , græsrød , erhvervsliv så vid . kommun inddrag , sig båd borg , ung , forening , græsrød , erhvervsliv så vid . netværk omstilling lørdag arrangement avis kommun , ræk kommun bidrog oplysning bæredyg omstillingsprojek ."
2019-11-25 00:00:00,Ørsted vil have staten til at sætte Nordsøen-projekt i bero: Bornholm kan få landets største havvindmøllepark,Bornholms Tidende,"danmark hidtil størst vindmøllepark kan måsk få hjemsted østersø bornholm . energiselskab ørsted foreslå regering opfør gigantisk vindmøllepark røn . vindmøl først omgang lev produktion 1000 megawat , kald gigawat . læng sigt bornholmsk møllepark øge produktion tre fem gigawat - strøm nok fem million husstand . projek gør bornholm hjemsted omformerstation , kan send strøm vid . ørsted plan omfat elektrolysefabrik , kan lav overskyd strøm grønt brændstof skib , fly lastbil . ørsted plac hovedstadsområd , fordi brugt lang mer brændstof omkring københavn bornholm . projek først etap forsyn bornholm , sjælland pol strøm . byg sen park 3-5 gigawat , eksport strøm sver pol . senest vedtagn vindmøllepark , thor , lig vestjylland , sammenligning få effek 800 megawat . ørsted forslag regering går , danmark send havvindsprojek bornholm udbud før thor-projek . ørsted men havvindmøllechef martin neubert , projek båd mer attraktivt hurt realis byg kunst energiø nordsø , thor-projek kræv . båd thor den kunst ø skrev såkald forståelsespapir , nye regering som kom frem sam støtteparti . - bornholm behøv byg dræn nordsø . så kan brug infrastruktur , all plad , sig politik . klima-og energiminist dan jørgens ( s ) kald forslag `` spænd '' . - godt se , privat aktør helt frem grøn frontlinj , skriv kommentar politik . professor energiøkonomi brian vad matthies aalborg universit find idé brug bornholm bedr idé havvindmøl centr kunstigø nordsø . - lang mer realiserbar luft tank kæmpestor energiø lang ude hav . udfordring lig find egned placering stor mæng vedvar energi , samtid tæt stor forbrugscentr . eksempel , kan , sig politik . borgmest winni grosbøl ( s ) stærk begejstr forslag . - hel tag byggeri smit arbejdsplads aktivit hel øen . - desud position havvindmøllepark bornholm energiø midt ude østersø . kæmp chanc , sig politik . havvindmøllepark position bornholm energiø midt ude østersø . kæmp chanc winni grosbøl , borgmest ."
2019-12-12 00:00:00,Havneformand er glad for beslutning,Bornholms Tidende,"bestyrelsesformand thoma thor røn havn tilfred , enig økonomi- , erhvervs-og planudvalg onsdag nikked anerkend procesplan , kan åbn mul , havn kan gør brug areal ved kanondal . behandl sag medlem udvalg . - selvfølg tilfred , kom så lang , ser , stor mul røn havn central spil hel vindmølleudvikling danmark , ja hel østersøområd . ses relation , oplev , seriøst diskut bornholm energiø . røn havn få central placering . brug stør areal hel spil , kan vis rigt , rigt vigt bornholm , sig ."
2019-12-10 00:00:00,Ministeren nævner Ørsteds bornholmske idé indirekte: Østersøen skal screenes for steder til havvindmølleparker,Bornholms Tidende,"står all klart , først park thor nordsø thorsmind . ørsted foreslå plac park num to østersø , fordi kan brug bornholm energi-ø først behøv skab kunst ø. nuvær køreplan kom udbud park num 2 2023 . kom undersøg bekræft , praktisk mul etabl fler energi-ø forhold natur , miljø-og planforhold . desud lev økonomisk beregning , kan gør mul beslut end . arbejd spil forhandling klimahandlingsplan , start nye år ."
2019-12-21 00:00:00,"Dansk Fjernvarmes udviklingschef mener, at Bornholm skal gå efter at blive fremtidens tankstation for skibene i Østersøen: Energi-ø kan give billigere fjernvarme",Bornholms Tidende,"dansk fjernvarm udviklingschef , kim behnk men , bornholm stræb fremtid tankstation skib østersø . fremtid brændstof skab ved hjælp overskudsstrøm vindmøllepark omkring bornholm , ligesom ørsted foreslå . pressefoto : ørsted . bornholm , lav tanksystem , bar sver pol kim behnk ."
2019-12-21 00:00:00,Dansk Fjernvarme videreudvikler Ørsteds umiddelbare idé,Bornholms Tidende,"ben forslag brug fremtid stor mæng vindmøllestrøm produc brint elektrolyseanlæg . bornholm tid interviewed ulrik stridbæk , ørsted chef energiøkonomi , konferenc windeurop , fortalt , energiselskab forestilled , elektrolyseanlæg plac sjælland , behov brint syntetisk brændstof størst . - vor tænkning kig rigt del lav brint . begynd forsyn tung transport . hel ide lav anlæg el-forbind mellem danmark pol . gjort , lang bil plac brintproduktion sjælland - tæt brint brug . brug sær brint bornholm , sagd ulrik stridbæk . understreged , ide indled stadium , `` , hed '' ."
