Date,Title,Outlet,Content
2009-11-03 00:00:00,"Tak til politikkerne, fordi I har taget ansvaret på jer: Det gamle gode liv på Bornholm",Bornholms Tidende,"alway bornholm , live 25 year . right anoth small altern energi island , name samsø . one today 's highlight consum bornholm 's tidend togeth today 's news tv2/ bornholm via web . husband expect settl bornholm within number year . therefor , cours , also follow pend debat island 's nurs home want give concern . would also like encourag younger bornholm . die , ancestor becom old need help suitabl place stay , matter time . thank polici take respons make import decis us thu dare expos littl . hope stare blindli financ locat , also dare includ follow consider : give life content , make good , give joy everyday life ? tri put answer nurs home context ! think open , honest exchang person notion one would think old - possibl weak senil - way find good solut togeth across polit divis . also , consid synergi effect aris citizen involv help find solut ! exampl , mother 75 , work mani year nurs nurs home sector bornholm . ask want put highest resid nurs home , part answer : “ fine tea kitchen old one ca n't use anyway becom danger dement . , need care , care , care politician architect imposs everyth , rememb ask help user , includ rel nurs staff ' ! homemad found among politician , offici architect , also among profession nurs home sector among us . therefor , one must continu investig other done use develop someth new better . necessarili cost long run think altern . courag bet -call `` soft valu '' bornholm may futur go gener know -how regard elderli care , even abl export thu also draw `` nurs home tourist '' capit island ! incident , lag fund reserv health younger bornholm ? hire elderli ambassador ? use rural fund launch super-modern energy-rid center inspir build style fall appropri bornholm natur build stock , bornholm keep look look forward use possibl live . exampl , base citizen ' receiv wish old age , architectur competit could print , citizen debat vote propos receiv . contemporari norwegian uncl help start larg fantast elderli center wonder locat beauti fjord norway . subsequ mani year leader henie-constad age earth . digniti , equal good elderli life start point , center epoch -make europ time . librari , physiotherapi associ swim pool , larg creativ workshop , cafeteria staff , user guest overlook fjord nearbi art center . larg cozi decor palm garden connect recept kiosk , concert lectur hall , hairdress , foot therapi well perman nurs specialist doctor show certain day . addit , intim daycar center live room piano , offer commun dine , walk drive trip beauti area appropri companionship . connect site , extrem imagin profession staff hire . among thing , arrang larg carniv event dressed-up user , opera live , large-scal christma eve parti . employe elderli user council self -manag enthusiast uncl claim import job leader tice around ward , drink coffe dampen mutin , give mind . includ politician papal start - connect center , older hous nurs home differ design built - depend user ' care need municip 's economi . wonder concept attract money foundat , will treasuri . also deleg world see epoch -make institut elderli . teenag , employ summer holiday aid sever year center , met japanes politician tour . place could still studi trip worth bornholm decis maker advisori profession , although smaller framework prioriti easili well . part us lose memori abil verbal commun grow old . even though certain bodi part brain cell set , basic feel sens probabl still . need abl thrive , even though might becom dement , someth beauti look , fresh air breath , feel weather , hear song bird , touch someth touch care hand , warm ray sun shower organ old , spiritu church . greatest wish sometim come beauti bornholm natur . least must live place look window see tree feel chang season , see mears feed board feel life around . among live creatur everi day , whether 's littl cat , mayb teddi bear think aliv hug - sheep , call lamb mow grass fenc around nurs home . live motion make forget way away safe safe , thu prevent get lost forest , driven town dump harbor . import thing : would like end life love care insight peopl around patienc , tender lot time , understand situat would like help even ca n't someth return ! thu , never forget broadcast tv music educ got old dementia nurs home rememb , hum even sing childhood song heart . grip see old ladi , due friendli stamina , slowli thought melodi text - end sing vessel bellow saw big beauti smile spread old face . music song reduc mental physic pain . know . environ would like live care would like receiv get old weak ? join debat help polici decis . write thought send municip bornholm 's journal . must good , better uncertain liquid pension save time . least look forward read post fresh take challeng newspap . give life content make good ? ."
2009-04-29 00:00:00,Dufte og intense oplevelser der giver mening,Rytterknægten,"- right invest lot project becom visibl , could nice politician also follow . must municip elect soon , would time politician climat strategi , transplant , agenda elect campaign . outlin bornholm real energi island ."
2010-07-08 00:00:00,El bliver den primære energikilde i vores samfund: El( re) volutionen er kommet til øen,Bornholms Tidende,"time run dogma electr dirti evil . el pave way much cleaner , safer effici way use energi . østkraft work overal danish energi sector make electr co2 neutral . therefor , make sens allow electr replac oil ga car home - let energi system transport system merg . word , threshold `` electr resolut '' , signific chang energi system bornholm , well rest denmark . mean year drive aakirkebi allinge-sandvig silent car power electr . electr car charg work home . home loner gi consumpt greater extent control , exampl , wash machin start power cheap freezer turn briefli sake electr grid . electr becom primari sourc energi societi , electr increasingli becom pure , safe effect altern . electr system lifeblood energi suppli play togeth district heat , subsid agricultur biomass proport wind turbin power , doubl ten year . everi day current bornholm socket becom greener . ten year , half denmark 's electr consumpt cover renew energi . alreadi , renew energi 47 per cent . østkraft 's product includ privat wind turbin , product bornholm 63 per cent . howev , proport renew energi bornholm socket approx . 40 per cent , part energi exchang via submarin cabl . thu well way goal bornholm free fossil fuel 2025 . eastern power also earlier year submit applic bornholm region municip set sever wind turbin increas proport . østkraft hope municip look posit wind turbin project , mean lot bornholm help fulfil municip 's energi strategi bornholm green energi island . biggest chang way produc energi . use energi wise . mean thorough chang think energi use . advic us : use power blow - give back power wind lie . futur , hunt cheap power becom part everyday life . 're go spend littl time dine tabl studi electr price , 're go decid think car refuel web whether want sell power batteri back electr grid . electr car soon part everyday life ongo electr car project , edison mycar , get foothold . project must bring electr car eye level , bornholm good opportun , base uniqu geographi , front runner process demonstra tion project . thu , bornholm show rest denmark , even world , `` elvolut '' uniqu opportun think new . initi also gener busi growth opportun job long term . basic , go two way let develop roll . sit back wait politician give optim framework happen begin develop . østkraft rest danish energi sector taken first step toward `` elvolut '' , make energi consumpt cleaner free us oil . day power becom greener . electr car charg work home"
2013-09-07 00:00:00,Det grønne i centrum,Bornholms Tidende,"busi center bornholm bright green island invit broadli noth less global summit island focu green ecolog . eco island global summit 2013 bornholm held monday 9 . septemb wednesday , septemb 11 grønbech 's farm hasl . bornholm welcom fieri soul , expert , grass root decis maker small commun region around world : japan , thailand , papua new guinea , usa , england , holland , spain , sweden denmark . local global three day focus local develop , circular economi , green build , strateg lever , smart solut , wast gold , green invest , small economi ' resili , green transport , sustain busi develop sustain long lane . find small economi island citi region special posit strength provid new , green solut global green agenda . present , workshop , great vision , global knowledg share network . bornholm welcom sharpest knive drawer come transform major challeng sustain solut , program state . around island electr car monday , septemb 9 , trip goe around bornholm electr car . vasagård visit forest pig agricultur , sustain product . monday , 12 decis maker five island also meet , divid seven nation - plan strategi meet ecoisland futur . smart grid bornholm tuesday , septemb 10 , present debat day . experi inspir project concept around world : introduct ecoisland vision . bright green island - stori bornholm . samsø - renew energiø . innov sustain island : global trend . innov financ chang project island develop countri . panel debat : ecoisland stori . , focu also ecogrid eu - smart grid bornholm . smart citi concept smaller citi - case kalundborg . enviu - ecosystem sustain busi develop netherland . sustain transport -part truck stori . creativ island . circular economi . wednesday , septemb 11 , workshop around : circular economi . recycl materi , develop industri symbiosi futur design . green build sustain growth island . wast money citizen engag . innov invest green sustain develop . sustain dynam local economi . energi futur connect circular economi . ? present held 29 intern nation expert . 140 particip world 12 island , repres island organ . come bornholm , isl wight , bougainvil , samui island , scottish island feder , scottish island eigg , yell shetland island , iceland , samsø , mallorca , esin - european small island feder , baltic seven island -b7 indonesia sustain island tourism . bornholm welcom sharpest knive drawer ."
2015-06-15 00:00:00,Masser af omstilling i kommunerne,Bornholms Tidende,"bornholm bright green island concept vision co2-neutr societi 10 year . bornholm far alon focus sustain transit far leader . lot happen around . network chang event newspap municip saturday , number municip contribut inform convers project . aalborg municip , exampl . establish decid center green transit , aim citizen busi . sustain busi develop unfold partnership sustain supervis case manag municip , green agent target citizen also hold sustain festiv one week year . show want . kalundborg , danish symbiosi center establish , tri organ industri product support cooper compani . special focu previous design wast product compani . n't call anymor , resourc use someth els . exampl , get residu product clean smoke sulfur cancer work . residu product industri tip , previous run landfil , diminish nearbi plaster factori , make plasterboard . samsø come right long sinc declar renew energi island . alreadi 10 year vision becom co2 neutral , , done extens cooper energi academi , municip , compani grass root particip . wind turbin , solar energi recent municip ferri driven ga among mani initi island . plan also establish bioga plant suppli energi municip -own ferri . hand , samsø good ecolog recycl yet , mayor said meet . need address . sønderborg municip goal co2 neutral 2029 , wide rang initi well underway achiev goal . among thing , pay attent energi consumpt municip 's properti , exampl , school student get text messag save energi school . municip also written green curriculum , kindergarten children school student learn start think energi -effici , also come visit compani . next step sønderborg switch public transport diesel ga . incident , clear common featur four municip ' chang process : everyon municip must involv , , citizen , young peopl , associ , grass root , busi . everyon municip must involv , , citizen , young peopl , associ , grass root , busi commun . network transit event newspap municip saturday , number municip contribut inform sustain convers project ."
2019-11-25 00:00:00,Ørsted vil have staten til at sætte Nordsøen-projekt i bero: Bornholm kan få landets største havvindmøllepark,Bornholms Tidende,"denmark 's largest wind farm date may base baltic sea bornholm . energi compani ørsted propos govern build gigant wind farm rønne . wind turbin must initi abl deliv product 1000 megawatt , also call gigawatt . longer term , bornholm mill park abl increas product three five gigawatt - enough power five million household . project make bornholm home convert station pass power . ørsted 's plan also includ electrolysi factori turn excess power green fuel ship , aircraft truck . howev , ørsted place ørsted metropolitan area , much fuel use around copenhagen bornholm . first stage project suppli bornholm , zealand poland strøm . later build park 3-5 gigawatt , also abl export power sweden poland . recent adopt wind farm , thor , west jutland , , comparison , effect 800 megawatt . ørsted 's propos govern denmark send offshor wind project bornholm tender thor project . ørsted , offshor wind turbin manag martin neubert believ project attract faster realiz build artifici energi island north sea , thor project requir . thor artifici island written -call understand paper new govern summer came support parti . - bornholm build drain north sea . use infrastructur alreadi place , say politiken . climat energi minist dan jørgensen ( ) call propos `` excit '' . - good see privat actor forefront green front line , write comment politiken . professor energi econom brian vad matthiesen aalborg univers also find idea ​​use bornholm better idea ​​offshor wind turbin center artifici island north sea . - far realiz airi thought huge energi island far sea . challeng lie find suitabl locat larg quantiti renew energi , time close larg consum center . exampl fact , say politiken . mayor winni grosbøll ( ) highli excit propos . - whole , build get rid workplac activ whole island . - addit , offshor wind farm bornholm posit energi island middl baltic sea . 's huge chanc us , tell politiken . offshor wind farm posit bornholm energi island middl baltic sea . 's huge chanc us winni grosbøll , mayor ."
2019-12-12 00:00:00,Havneformand er glad for beslutning,Bornholms Tidende,"chairman board thoma thor rønne harbor pleas unit financi , busi plan committe wednesday nod accord process plan could open possibl port make use area cannail . involv deal case member committe . - cours , pleas come far , see larg opportun rønne havn becom central player throughout wind turbin develop denmark , ye throughout baltic sea area . must also seen relat experienc one serious discuss bornholm energiø . , rønne harbor also get central locat . need larger area throughout game , turn realli , realli import bornholm , say ."
2019-12-10 00:00:00,Ministeren nævner Ørsteds bornholmske idé indirekte: Østersøen skal screenes for steder til havvindmølleparker,Bornholms Tidende,"alreadi clear first park thor north sea thorsmind . ørsted suggest place park number two baltic sea , use bornholm energi island first need creat artifici island . current timet , suppli park number 2 made 2023 . upcom studi must confirm practic possibl establish one energi island relat natur , environment plan condit . must also provid financi calcul make possibl decid someth definit . work play negoti climat action plan start new year ."
2019-12-21 00:00:00,"Dansk Fjernvarmes udviklingschef mener, at Bornholm skal gå efter at blive fremtidens tankstation for skibene i Østersøen: Energi-ø kan give billigere fjernvarme",Bornholms Tidende,"danish district heat develop manag , kim behnk , believ bornholm strive becom futur ga station ship baltic sea . fuel futur must creat use surplu current wind farm around bornholm , ørsted propos . press photo : ørsted . bornholm make tank system , sweden poland kim behnk ."
2019-12-21 00:00:00,Dansk Fjernvarme videreudvikler Ørsteds umiddelbare idé,Bornholms Tidende,"one leg propos use larg amount wind turbin power futur produc hydrogen electrolysi plant . bornholm 's tidend interview ulrik stridbæk , ørsted 's head energi economi , windeurop confer , said energi compani imagin electrolysi plant place zealand , need hydrogen synthet fuel greatest . - think , realli look part make hydrogen . start suppli heavi transport . whole idea ​​make plant electr connect denmark poland . done , far cheaper place hydrogen product zealand - close hydrogen use . much hydrogen bornholm , ulrik stivbæk said . emphas idea initi stage `` noth call shell '' ."
