Date,Title,Outlet,Content
2009-11-03 00:00:00,"Tak til politikkerne, fordi I har taget ansvaret på jer: Det gamle gode liv på Bornholm",Bornholms Tidende,"I am and will always be Bornholmer, but I have lived over for 25 years. Right now on another small alternative energy island, namely Samsø. One of today's highlights is the consuming of Bornholm's Tidende together with today's news on TV2/ Bornholm via the web.

My husband and I expect to settle on Bornholm within a number of years. Therefore, of course, I also follow the pending debate about the island's nursing home and have wanted to give my concern. I would also like to encourage other younger Bornholmers to do the same. If we do not die before, we and our ancestors all become old and will need more help and a suitable place to stay, no matter how we are at that time.

Thank you to the policies for taking responsibility for you for making the important decisions for all of us and thus dare to expose yourself to a little of each. I hope that you do not stare blindly at finance and location, but also dare to include the following considerations: What gives your own life content, what makes you good, what gives you joy in everyday life? And then just try to put the answers into a nursing home context! I think the open, honest exchange of personal notions of what one would think of as old - possibly weak and senile - can be a way to find a good solution together across political divisions.

Also, consider the synergy effect that can arise when all citizens are involved and help to find a solution! For example, my mother of 75, who has worked for many years as a nurse in the nursing home sector at Bornholm.

When I asked her what she wanted to put highest as a resident of a nursing home, part of her answer was: “What to do with fine tea kitchens that the old ones can't use anyway and who just become dangerous to the demented . No, what you need is care, care, care You can as a politician and architect impossible to be in everything, so just remember to ask those who help users, including the relatives and the nursing staff '! Homemade is found not only among politicians, officials and architects, but also among professionals in the nursing home sector and among all of us.

Therefore, one must continue to investigate what others have done and use it to develop something new and better with themselves.

It does not necessarily cost more in the long run to think alternatively. With the courage to bet on the so -called ""soft values"" now Bornholm may in the future go and generate know -how regarding elderly care, which will even be able to export and thus also draw ""nursing home tourists"" and more capital to the island! Incidentally, the LAG funds are not only reserved for the Health of the younger on Bornholm? How about hiring an elderly ambassador? And what about using rural funds to launch a super-modern energy-ridic center that is in an inspiring building style that falls appropriately into the Bornholm nature and building stock, so that the Bornholmers can keep looking at it and looking forward to To use it and possibly live there. For example, based on citizens' received wishes for their old age, an architectural competition could be printed, after which citizens should debate and vote on the proposals received.

My contemporary Norwegian uncle helped start a large and fantastic elderly center wonderfully located down to a beautiful fjord in Norway.

He was subsequently for many years leader of Henie-Constad Age of Earth.

Dignity, equality and good elderly life were the starting point, and the center was the most epoch -making in Europe at that time. There was a library, physiotherapy with associated swimming pool, large creative workshop, cafeteria for staff, users and guests overlooking the fjord and the nearby art center.

There was a large cozy decorated palm garden in connection with reception and kiosk, concert and lecture hall, hairdresser, foot therapy as well as a permanent nurse and specialist doctors who showed up on certain days. In addition, there was a more intimate daycare center with living room and piano, offers of communal dining, walking and driving trips in the beautiful area with appropriate companionship.

In connection with the site, an extremely imaginative and professional staff was hired.

Among other things, they arranged large carnival events with dressed-up users, Opera Live, large-scale Christmas Eve parties and so on.

The employees and the elderly who had their own user councils were so self -managing and enthusiastic that my uncle claimed that his most important job as a leader was to tice around the wards, drink coffee and dampen the mutineers, or give up his mind.

All including the politicians were papal of what they had started here - and in connection with the center, older housing and nursing homes of different design were built - depending on the users' care needs and the municipality's economy.

But wonder if not the concept itself attracted money from foundations, wills and the Treasury. There were also delegations from all over the world to see this epoch -making institution for the elderly.

As a teenager, I was employed as a summer holiday aid for several years at the center, where I met Japanese politicians on a tour. The place could still be a study trip worth for the Bornholm decision makers and advisory professionals, although a smaller framework and other priorities can easily do as well.

Part of us will lose memory and ability for verbal communication as we grow old. But even though certain body parts and brain cells set out, the basic feelings and senses will probably still be there.

If I need to be able to thrive, even though I might become demented, then I have to have something beautiful to look at, some fresh air to breathe, feel the weather, hear the songs of the birds, touch something and be touched by caring hands, the warming rays of the sun or The shower of the organ in an old, spiritual church.

My greatest wish is that I can sometimes come out and be in the beautiful Bornholm nature. And the least must be that I live in a place where I can look out the window and see a tree and feel the change of seasons, see the mearse on the feeding board and feel the life around me.

I have to be among living creatures every day, whether it's just a little cat, maybe just a teddy bear I think is alive and can hug - or the sheep, who calls on its lamb and mowing the grass in the fence around my nursing home.

A living being in motion that makes me forget that I was on my way away from the safe and safe, thus preventing me from getting lost in the forest, being driven into town or dumping in the harbor.

But the most important thing of all: I would like to end my life where there are loving caring and insightful people around me who have patience, tenderness and lots of time, understand my situation and would like to help me even if I can't Do something in return! Thus, I never forget a broadcast on TV where a music educator got old dementia at a nursing home to remember, hum or even sing their childhood songs by heart. It was gripping to see an old lady who, due to his friendly stamina, slowly thought of the melody and the text - and ended up singing it out of the vessel bellows as you saw a big beautiful smile spread over the old face . Music and song can reduce mental and physical pain. We all know that.

How and in what environment would you like to live and what care would you like to receive when you get old and weak yourself? Join the debate and help the policies with the decisions.

Write down your thoughts and send it to the municipality or Bornholm's Journal.

It must be just as good, if not better than uncertain liquid pension savings during this time.

At least I will look forward to reading the posts if some should be fresh and take up the challenge here in the newspaper.

What gives your own life content what makes you good?."
2009-04-29 00:00:00,Dufte og intense oplevelser der giver mening,Rytterknægten,"- Right now we have to invest a lot on the projects that are becoming visible, and then it could be nice if the politicians also follow. There must be municipal elections soon, and it would be all time if politicians have their climate strategy, transplant, on the agenda of the election campaign. It outlines Bornholm as a real energy island."
2010-07-08 00:00:00,El bliver den primære energikilde i vores samfund: El( re) volutionen er kommet til øen,Bornholms Tidende,"The time is running from the dogma that electricity is a dirty evil. EL paves the way for a much cleaner, safer and more efficient way of using energy.

Østkraft works with the overall Danish energy sector to make electric CO2 neutral. Therefore, it makes sense to allow electricity to replace oil and gas in our cars and homes - and let the energy system and transport system merge.

In other words, we are on the threshold of a ""electricity resolution"", which is a significant change in the energy system on Bornholm, as well as in the rest of Denmark.

This means that in a few years we drive from Aakirkeby to Allinge-Sandvig in silent cars powered by electricity.

The electric car charges while we are at work or at home. Our home and loner gi consumption will be to a greater extent IT controlled, so for example, the washing machine only starts when the power is cheap or the freezer turns off briefly for the sake of the electricity grid.

Electricity becomes the primary source of energy in our society, because electricity is increasingly becoming pure, safe and effective alternative.

The electricity system will be the lifeblood of our energy supply and will play together with district heating, subside agricultural biomass and the proportion of wind turbine power, which is doubled in ten years.

Every day the current in the Bornholm sockets becomes greener.

In just ten years, half of Denmark's electricity consumption will be covered by renewable energy.

Already, renewable energy is 47 per cent. of Østkraft's production and included the private wind turbines, production on Bornholm is up to 63 per cent. However, the proportion of renewable energy in the Bornholm sockets is only approx. 40 per cent, as part of the energy is exchanged via the submarine cable.

We are thus well on our way to the goal that Bornholm should be free of fossil fuels in 2025. Eastern power has also earlier this year submitted applications to Bornholm Regional Municipality on setting up several wind turbines that will further increase this proportion.

Østkraft hopes that the municipality looks positively on these wind turbine projects, which will mean a lot to Bornholm and will help to fulfill the municipality's energy strategy on Bornholm as a green energy island.

But the biggest change is not in the way we produce the energy. It will be in how we use the energy wisely. It will mean a thorough change of how we think about energy and how we will use it. The advice from us is: Use the power when it blows - give back power when the wind is lying off.

In the future, the hunt for cheap power will become part of your everyday life. You're going to spend a little more time at the dining table studying electricity prices, and you're going to decide when you think your car should refuel from the web and whether you want to sell some of the power on the battery back to the electricity grid .

Electric cars will soon be part of everyday life when the ongoing electric car projects, such as Edison and Mycar, get a foothold.

The projects must bring electric cars up to eye level, and Bornholm has a good opportunity, based on its unique geography, to be a front runner in this process as a demonstra tion project.

Thus, Bornholm can show the rest of Denmark, even the world, why the ""elvolution"" is a unique opportunity to think new. An initiative that will also generate business growth opportunities and jobs in the long term.

Basically, we can go two ways to let the development roll. You can sit back and wait for politicians to give the optimal framework for this to happen or you can begin the development yourself.

Østkraft and the rest of the Danish energy sector have taken the first steps towards the ""Elvolution"", which will make our energy consumption cleaner and free us from the oil.

For each day the power becomes greener.

    The electric car charging up while we are at work or at home"
2013-09-07 00:00:00,Det grønne i centrum,Bornholms Tidende,"Business Center Bornholm and Bright Green Island have invited very broadly to nothing less than a global summit for islands that focus on the green and ecology.

Eco Islands Global Summit 2013 Bornholm will be held from Monday 9.

September to Wednesday, September 11 at Grønbech's farm in Hasle.

Bornholm welcomes fiery souls, experts, grass roots and decision makers from small communities and regions from around the world: Japan, Thailand, Papua New Guinea, USA, England, Holland, Spain, Sweden and Denmark.


Locally and globally

It is about three days focusing on local development, circular economy, green buildings, strategic levers, smart solutions, waste such as gold, green investments, small economies' resilience, green transport, sustainable business development and sustainability in long lanes.

Here you will find out if small economies on islands in cities and regions with their special positions of strength can provide new, green solutions to the global green agenda.

Here will be presentations, workshops, great visions, global knowledge sharing and networking.

Bornholm welcomes some of the sharpest knives in the drawer when it comes to transforming major challenges into sustainable solutions, the program states.


Around the island in electric car

On Monday, September 9, the trip goes around Bornholm in Electric car. Vasagård is visited with forest pigs and agriculture, where it is about sustainable production.

On Monday, 12 decision makers from five islands will also meet, divided into seven nationalities - for planning and strategy meeting for the Ecoislands future.


Smart Grid Bornholm

Tuesday, September 10, there are presentations and debates all day. Experience and inspiration from projects and concepts from around the world: Introduction to Ecoisland vision.

Bright Green Island - The story of Bornholm. Samsø - Renewable Energiø.

Innovation and Sustainable Islands: Global Trends. Innovative financing of change projects on islands in developing countries.

Panel debate: Ecoisland stories.

Here, the focus is also on Ecogrid EU - Smart Grid on Bornholm. Smart City Concept for smaller cities - Case from Kalundborg. Enviu - ecosystem for sustainable business development in the Netherlands.

Sustainable Transport -Part Truck Stories.

Creative islands. Circular economy.

Wednesday, September 11, there are workshops around: Circular Economy. Recycling of materials, development of industrial symbiosis and the future design. Green buildings such as sustainable growth for islands. Waste is money when citizens are engaged. Innovation and investment in green sustainable development. Sustainability and dynamics of the local economy.

The energy of the future and the connection to the circular economy.


Who is with?

Presentation is held by 29 international and national experts. 140 participants are from all over the world and 12 islands, the representatives of the island organization.

They come from Bornholm, Isle of Wight, Bougainville, Samui Island, Scottish Islands Federation, Scottish Island of Eigg, Yell In The Shetland Islands, Iceland, Samsø, Mallorca, Esin - European Small Islands Federation, Baltic Seven Islands -B7 and Indonesia Sustainable Island Tourism.

Bornholm welcomes some of the sharpest knives in the drawer."
2015-06-15 00:00:00,Masser af omstilling i kommunerne,Bornholms Tidende,"At Bornholm you have the Bright Green Island concept and a vision of a CO2-neutral society in 10 years. But Bornholm is far from alone in focusing on sustainable transition and far from a leader. A lot is happening all around.

The network change now had an event at the newspaper Municipality on Saturday, where a number of municipalities contributed information about their conversion projects.

In Aalborg Municipality you have, for example.

established a decided center for green transition, which is aimed at both citizens and business. Sustainable business development unfolds in partnerships and with sustainable supervision and case management by the municipality, while a green agent has been targeted at citizens and also holds a sustainability festival one week a year. There you show off what it is you can and what you want.

In Kalundborg, the Danish Symbiosis Center has been established, which is trying to organize industrial production by supporting cooperation between the companies. There is a special focus on what was previously designated waste products in the companies.

You don't call it anymore, but resources that can be used for something else. For example, you get a residual product by cleaning the smoke of sulfur from a cancer work. The residual product is industrial tips, and where it was previously run into landfill, it is now diminished by a nearby plaster factory, which makes plasterboard of it.

On Samsø you have come right and have long since declared a renewable energy island. Already 10 years after the vision of becoming CO2 neutral, it was, and this has been done in extensive cooperation through an energy academy, where both the municipality, the companies and the grass roots participate. Wind turbines, solar energy and most recently a municipal ferry driven on gas are among some of the many initiatives on the island. The plan is also to establish a biogas plant that can supply energy to the municipal -owned ferry.

On the other hand, Samsø is not so good at ecology and recycling yet, the mayor said at the meeting. It needs to be addressed now.

Sønderborg Municipality has a goal of being CO2 neutral in 2029, and a wide range of initiatives are well underway to achieve that goal. Among other things, by paying attention to the energy consumption of the municipality's properties, and for example, school students get a text message when they have saved the energy at their school.

The municipality has also written down a green curriculum, so that kindergarten children and school students learn from the start to think energy -efficient, and they also come out to visit the companies.

The next step in Sønderborg is to switch the public transport from diesel to gas.

Incidentally, there was a clear common feature in the four municipalities' change process: Everyone in the municipality must be involved, and that is, the citizens, the young people, the associations, the grass roots, the business and so on.

Everyone in the municipality must be involved, and that is, the citizens, the young people, the associations, the grass roots, the business community and so on.

    The network transition now had an event at the newspaper Municipality on Saturday, where a number of municipalities contributed information about their sustainable conversion projects."
2019-11-25 00:00:00,Ørsted vil have staten til at sætte Nordsøen-projekt i bero: Bornholm kan få landets største havvindmøllepark,Bornholms Tidende,"Denmark's largest wind farm to date may be based on the Baltic Sea off Bornholm.

The energy company Ørsted has proposed the government to build a gigantic wind farm off Rønne.

The wind turbines must initially be able to deliver a production of 1000 megawatts, also called a gigawatt. In the longer term, the Bornholm Mill Park will be able to increase production by up to three to five gigawatts - enough power for up to five million households.

The project will make Bornholm home to a converter station that can pass on the power. Ørsted's plan also includes an electrolysis factory that can turn excess power into green fuel for ships, aircraft and trucks. However, Ørsted will place Ørsted in the metropolitan area, because much more fuel is used in and around Copenhagen than on Bornholm.

The first stage of the project will supply Bornholm, Zealand and Poland with Strøm. If you later build the park out to 3-5 gigawatts, it will also be able to export power to Sweden and Poland.

The most recently adopted wind farm, Thor, which will be off West Jutland, will, by comparison, have an effect of 800 megawatts.

Ørsted's proposal for the government is for Denmark to send an offshore wind project off Bornholm in tender before the Thor project.

At Ørsted, offshore wind turbine manager Martin Neubert believes that the project will be both more attractive and faster to realize than to build an artificial energy island in the North Sea, as the Thor project will require. Both Thor and its artificial island are written into the so -called understanding paper that the new government this summer came up with its support parties.

- At Bornholm you do not have to build and drain as in the North Sea. So you can use the infrastructure that is already in place, he says to Politiken.

Climate and Energy Minister Dan Jørgensen (S) calls the proposal ""very exciting"".

- It is good to see that the private actors are at the forefront of the green front line, he writes in a comment on Politiken.

Professor of Energy Economics Brian Vad Matthiesen from Aalborg University also finds the idea of ​​using Bornholm better than the idea of ​​offshore wind turbines centered on an artificial island in the North Sea.

- It is far more realizable than these airy thoughts about a huge energy island far out in the sea. The challenge lies in finding suitable locations for large quantities of renewable energy, which are at the same time close to some large consumer centers. This is an example of the fact that you can, he says to Politiken.

Mayor Winni Grosbøll (S) is highly excited about the proposal.

- On the whole, such a building will get rid of workplaces and activity on the whole island.

- In addition, such an offshore wind farm Bornholm positions as an energy island in the middle of the Baltic Sea. It's a huge chance for us, she tells Politiken.

Such an offshore wind farm positions Bornholm as an energy island in the middle of the Baltic Sea. It's a huge chance for us Winni Grosbøll, mayor."
2019-12-12 00:00:00,Havneformand er glad for beslutning,Bornholms Tidende,"Chairman of the Board Thomas Thors at Rønne Harbor is pleased that a united financial, business and plan committee on Wednesday nodded in accordance with a process plan that could open the possibility that the port can make use of an area at the Cannail. He himself was involved in dealing with the case as a member of the committee.

- Of course, I am pleased that we have come so far, because I see that there are very large opportunities for Rønne Havn to become a central player throughout the wind turbine development in Denmark, yes throughout the Baltic Sea area. It must also be seen in relation to what we have experienced that one is now seriously discussing Bornholm as Energiø. There, Rønne Harbor will also get a central location. We need a larger area throughout this game, which can turn out to be really, really important for Bornholm, he says."
2019-12-10 00:00:00,Ministeren nævner Ørsteds bornholmske idé indirekte: Østersøen skal screenes for steder til havvindmølleparker,Bornholms Tidende,"It is already clear that the first park will be Thor in the North Sea off Thorsminde. Ørsted has suggested to place park number two in the Baltic Sea, because here you can use Bornholm as an energy island and not first need to create an artificial island. After the current timetable, the supply of park number 2 will be made in 2023.

The upcoming studies must confirm that it is practically possible to establish one or more energy islands in relation to nature, environmental and planning conditions. They must also provide financial calculations that can make it possible to decide something definitive. Work will play into the negotiations on the climate action plans that start in the new year."
2019-12-21 00:00:00,"Dansk Fjernvarmes udviklingschef mener, at Bornholm skal gå efter at blive fremtidens tankstation for skibene i Østersøen: Energi-ø kan give billigere fjernvarme",Bornholms Tidende,"Danish District Heating Development Manager, Kim Behnke, believes that Bornholm should strive to become the future of gas station for ships in the Baltic Sea. The fuel of the future must be created using the surplus current from the wind farms around Bornholm, just as Ørsted has proposed. Press Photo: Ørsted.

If not Bornholm makes a tank system, it will just be in Sweden or Poland Kim Behnke."
2019-12-21 00:00:00,Dansk Fjernvarme videreudvikler Ørsteds umiddelbare idé,Bornholms Tidende,"One of the legs in the proposal is to use the large amount of wind turbine power of the future to produce hydrogen at an electrolysis plant. When Bornholm's Tidende interviewed Ulrik Stridbæk, Ørsted's head of energy economy, at the Windeurope conference, he said that the energy company imagined that the electrolysis plant should be placed in Zealand, where the need for hydrogen and synthetic fuels is greatest.

- In our thinking, we really look at being part of making hydrogen. And start supplying the heavy transport. The whole idea of ​​making the plant is an electricity connection between Denmark and Poland.

Once done, it is far cheaper to place hydrogen production in Zealand - close to where the hydrogen is to be used. There will not be much hydrogen on Bornholm, Ulrik Stivbæk said.

He emphasized that the idea is at an initial stage and that ""there is nothing called shell""."
