Date,Title,Outlet,Content
2023,A collaborative communication-less frequency support control for the DRU-HVDC integrated offshore wind farm,"2023 IEEE Sustainable Power and Energy Conference, iSPEC 2023","utilization diode rectifier units ( DRU ) high voltage direct current ( HVDC ) transmission systems holds significant promise cost-effective solution integration large-scale offshore wind farms ( OWFs ) . collaborative communication-less frequency support ( FS ) control strategy proposed paper OWFs using DRU-HVDC transmission . onshore-grid frequency change introduced HVDC form small sinusoidal disturbance accurately reflected offshore grid frequency coupling AC DC side DRU . basis , wind turbines ( WTs ) could realize FS measuring frequency variation small disturbance current offshore grid . Finally , results PSCAD/EMTDC simulation presented validate efficacy proposed FS strategy . © 2023 IEEE ."
2024,Offshore power and hydrogen networks for Europe's North Sea,Applied Energy,"European North Sea vast renewable energy potential powerhouse Europe 's energy transition . However , currently uncertainty much offshore wind energy integrated , whether offshore grids meshed extent offshore hydrogen play role . address questions , use open-source energy system optimization model PyPSA-Eur model European carbon-neutral sector-coupled energy system high spatial temporal resolution . let model endogenously decide much offshore wind deployed infrastructure used integrate offshore wind . find point-to-point connections like today , 310 GW offshore wind integrated North Sea . However , allow meshed networks hydrogen , find raised 420 GW cost savings 15 bn€/a . Furthermore , observe significant amounts 75 GW floating wind turbines North Sea offshore hydrogen production . Generally , model opts offshore wind integration mix electricity hydrogen infrastructure . However , bulk offshore energy transported hydrogen , twice much amount transported electricity . Moreover , find offshore power network mainly used offshore wind integration , small portion used inter-country transmission . © 2024 Author ( )"
2024,European Green Deal: Satellite Monitoring in the Implementation of the Concept of Agricultural Development in an Urbanized Environment,Sustainability (Switzerland) ,"improve energy environmental security urban environments accordance requirements EU , task sustainable developing agriculture urban agglomerations monitoring using satellite images becomes relevant . aim work development methods means determining stable islands thermal energy substantiate optimal locations plant growing practices metropolis . research conducted Kyiv , largest metropolis Ukraine . Data Landsat 8 9 satellites used free data better spatial resolution available archive observation results . established temperature map city Kyiv shows differences temperature different parts city , probably due presence different sources heat radiation . obvious standard deviation temperature plots depends many factors , particular , season type land use . necessary find alternative solutions development crop production area , taking account characteristics thermal emissions . Based software products free satellite monitoring providers , EO Browser , specialized software solution ( web application ) created monitoring agricultural plantations urban environment . collection LANDSAT 8 satellite images used . Areas stable heat emissions found , due operation modern shopping entertainment center , non-traditional crops landscaping adapted design proposed . result research , strong heat emissions recorded objects , temperature exceeds surrounding area 4 °C , minimum standard deviation January 0.5 °C , maximum July 2.8 °C , April October—1.7 °C 1.2 °C , respectively . © 2024 authors ."
2024,Designing high-share 50% and 100% renewable energy scenarios for Ragusa by sustainable energy toolkit application,Sustainable Energy Technologies and Assessments,"Increasing renewable energy production integrating current energy systems may lead conditional solutions linked context applications well regulatory techno-socioeconomic issues . PRISMI Plus toolkit powerful tool improved entail rural areas energy islands effective planning various renewable energy system scenarios associated urban contexts . target Flagship Case Study Ragusa , Municipality located Southern Italy , analyzed EnergyPLAN software . simulation validation carried HOMER software . input dataset created jointly collaboration Municipality , updated Sustainable Energy Action Plan inserted PRISMI Plus toolkit , three transition scenarios based different renewable energy uses considered within post-processing stage . baseline scenario , green energy considered whole electricity consumption taken account . scenarios two three , 50 % 100 % renewable energy shares secured optimal investment Photovoltaic ( PV ) panels , Wind Turbines ( WT ) , Battery Energy Storage ( BES ) technologies . economic point view , concluded best scenario second one thanks increased technical capacity investment ratio compared two scenarios , showing energy price reduction 10 % . © 2024 Authors"
2023,Towards positive energy islands – a Danish case study,Journal of Physics: Conference Series,"Danish island `` Ærø '' ambition becoming first Danish island self-sufficient renewable energy CO2 neutral 2025 , well fossil fuel free 2030 . work investigates feasibility re-designing part island ’ energy system become first Danish positive energy island ( PEI ) , evaluating various design scenarios opportunities improving modifying current energy supply distribution scheme . district modelled considering building specifications characteristics energy supply systems using urban scale modelling tool City Energy Analyst ( CEA ) . simulation base-case scenario performed calibrate performance . Different energy improvement strategies targeting building envelopes energy generation supply systems created implemented CEA . Six improvement packages created simulated . demonstrated PEI could built district consideration comprehensive energy improvement package envelope-targeting techniques , energy system upgrades , expansion renewable energy systems . package includes LED lighting , heat pump installation , photovoltaic-thermal units . enable meeting annual net need electricity producing 20 % excess heat . © 2023 Institute Physics Publishing . rights reserved ."
2023,A Methodology for Offshore Transmission System Optimization Considering Spacial Constraints,"2023 IEEE Belgrade PowerTech, PowerTech 2023","work presents optimization method offshore wind transmission networks considering three di-mensional spacial representation multiple onshore connection points , bathymetry no-go zones . model accounts capital expenditures ( CAPEX ) well operational expenditures cable transformer losses , corrective maintenance ( CM ) expected energy transmitted ( EENT ) . accurate determination operational expenditures , time series wind generation profiles used . methodology combines original offshore substation ( OSS ) placement algorithm , greedy search algorithm combinatorial search space mixed integer linear programming ( MILP ) model . Two simplifications full three dimensional spacial model presented increase tractability large scale test cases . demonstrate utility approach , model applied Belgian Exclusive Economic Area ( EEA ) . Results full three dimensional problem two simplified variations compared terms solution quality computation time . © 2023 IEEE ."
2023,Quasi-Markov Models of Point-Interval Forecasting in Energy Efficiency Management Energy Islands,International Scientific and Technical Conference on Computer Sciences and Information Technologies,"paper presents new approach modeling processes dynamic energy efficiency management energy islands based long-term point-interval forecasting . purpose work present concept long-term energy efficiency management hybrid Energy Islands , complex systems consisting certain number relatively independent objects - MicroGrids . believed period strategic planning point view process-resource approach long-term ( quarter-season-year ) appropriate detailing ( example , decade-month ) . Therefore , effective tool , advisable long-term forecast form certain corridor . , example , point-interval forecasts . obtain forecasts , authors proposed method based quasi-Markov models . , simple Markov model , analog autoregressive model stationary process 'without delay extended so-called quasi-Markov model , analog autoregressive model stationary process 'with delay , decision move next state object made taking account several previous states . illustrative example explains results presented another part work given . © 2023 IEEE ."
2024,Offshore grid planning considering restricted areas: An evolution game approach,Renewable Energy,"paper , offshore wind farm cluster transmission network planning examined depth , based finite rational evolutionary game method . actual project , game scenarios offshore wind farm developers transmission system operators respective interests considered , cable laying exclusion zones owing submarine environment fully taken account . simulation experiments , significant effect proposed method improving grid adaptability interference immunity verified . results demonstrate proposed finite rational evolutionary game method increases return investment 1.83 % compared traditional method , payoff ratio game participants 12.81 % lower . addition , method excels ensuring feasibility project implementation successfully balancing interests OWF developer power transmission system operator . offers new perspective efficient planning transmission networks offshore wind farms better cope complex engineering environments balance interests parties . © 2024 Elsevier Ltd"
2023,Hydro-Pump/Generator-based Hydrogen-Pressure Energy Storage for Power Grid-Forming Support,"2023 3rd New Energy and Energy Storage System Control Summit Forum, NEESSC 2023","paper presents method design water-compressed hydrogen energy storage system ( WCH-ESS ) active regulation function power grid . First , proposed system architecture water-compressed hydrogen ESS station . , station operation depends variable-speed constant frequency ( VSCF ) motor/generator core function . station core function , design method active support function power grid based WCH-ESS proposed . Finally , layout , function risk avoidance design WCH-ESS based energy island analyzed . method take discarded wind/photovoltaic energy surplus electric energy drive motor compress hydrogen load power grid low . high-value electric energy , system adopts WCH-ESS generate power , participate frequency regulation power grid stabilize power system . also used emergency backup improve consumption rate wind power photovoltaic power generation . ©2023 IEEE ."
2023,Novel Harmonic Distortion Prediction Methods for Meshed Transmission Grids with Large Amount of Underground Cables †,Energies,"tremendous fast green transition Denmark initiated large-scale grid-integration renewable energy sources , electrification energy consumption , establishment PtX Energy Islands , setting goals transmission grid development—such establishment new connections—and grid reconstruction—such extensive substitution overhead lines ( OHLs ) underground cables ( UGCs ) . share UGCs Danish transmission grid increasing . Presence UGC resulted resonances harmonic impedance characteristics transmission grid brought within harmonic order range coinciding harmonic emission sources causing systemwide increase harmonic voltage distortion 400 kV transmission grid . transformation 400 kV transmission grid given rise need predict harmonic voltage distortion using simulation models secure adequate power quality support investment decisions harmonic mitigation grid stage , yet established differs present grid . paper presents experiences Energinet , Transmission System Operator ( TSO ) Denmark , harmonic distortion Danish transmission grid due establishment 400 kV UGCs , development measurement-validated methods harmonic distortion simulation prediction . paper also presents ongoing developments within , research addressing , prediction harmonic distortion meshed grids ; example , explores analytical approach replace observational studies many numerical simulations . methods shall make possible predict whether , transmission grid , harmonic orders connections yet commissioned may cause violation planning levels , mitigations necessary bringing harmonic distortion planning levels respect given margin . © 2023 authors ."
