Date,Title,Outlet,Content
2023,A collaborative communication-less frequency support control for the DRU-HVDC integrated offshore wind farm,"2023 IEEE Sustainable Power and Energy Conference, iSPEC 2023","util diod rectifi unit ( dru ) high voltag direct current ( hvdc ) transmiss system hold signific promis cost-effect solut integr large-scal offshor wind farm ( owf ) . collabor communication-less frequenc support ( fs ) control strategi propos paper owf use dru-hvdc transmiss . onshore-grid frequenc chang introduc hvdc form small sinusoid disturb accur reflect offshor grid frequenc coupl ac dc side dru . basi , wind turbin ( wt ) could realiz fs measur frequenc variat small disturb current offshor grid . final , result pscad/emtdc simul present valid efficaci propos fs strategi . © 2023 ieee ."
2024,Offshore power and hydrogen networks for Europe's North Sea,Applied Energy,"european north sea vast renew energi potenti powerhous europ 's energi transit . howev , current uncertainti much offshor wind energi integr , whether offshor grid mesh extent offshor hydrogen play role . address question , use open-sourc energi system optim model pypsa-eur model european carbon-neutr sector-coupl energi system high spatial tempor resolut . let model endogen decid much offshor wind deploy infrastructur use integr offshor wind . find point-to-point connect like today , 310 gw offshor wind integr north sea . howev , allow mesh network hydrogen , find rais 420 gw cost save 15 bn€/a . furthermor , observ signific amount 75 gw float wind turbin north sea offshor hydrogen product . gener , model opt offshor wind integr mix electr hydrogen infrastructur . howev , bulk offshor energi transport hydrogen , twice much amount transport electr . moreov , find offshor power network mainli use offshor wind integr , small portion use inter-countri transmiss . © 2024 author ( )"
2024,European Green Deal: Satellite Monitoring in the Implementation of the Concept of Agricultural Development in an Urbanized Environment,Sustainability (Switzerland) ,"improv energi environment secur urban environ accord requir eu , task sustain develop agricultur urban agglomer monitor use satellit imag becom relev . aim work develop method mean determin stabl island thermal energi substanti optim locat plant grow practic metropoli . research conduct kyiv , largest metropoli ukrain . data landsat 8 9 satellit use free data better spatial resolut avail archiv observ result . establish temperatur map citi kyiv show differ temperatur differ part citi , probabl due presenc differ sourc heat radiat . obviou standard deviat temperatur plot depend mani factor , particular , season type land use . necessari find altern solut develop crop product area , take account characterist thermal emiss . base softwar product free satellit monitor provid , eo browser , special softwar solut ( web applic ) creat monitor agricultur plantat urban environ . collect landsat 8 satellit imag use . area stabl heat emiss found , due oper modern shop entertain center , non-tradit crop landscap adapt design propos . result research , strong heat emiss record object , temperatur exce surround area 4 °c , minimum standard deviat januari 0.5 °c , maximum juli 2.8 °c , april october—1.7 °c 1.2 °c , respect . © 2024 author ."
2024,Designing high-share 50% and 100% renewable energy scenarios for Ragusa by sustainable energy toolkit application,Sustainable Energy Technologies and Assessments,"increas renew energi product integr current energi system may lead condit solut link context applic well regulatori techno-socioeconom issu . prismi plu toolkit power tool improv entail rural area energi island effect plan variou renew energi system scenario associ urban context . target flagship case studi ragusa , municip locat southern itali , analyz energyplan softwar . simul valid carri homer softwar . input dataset creat jointli collabor municip , updat sustain energi action plan insert prismi plu toolkit , three transit scenario base differ renew energi use consid within post-process stage . baselin scenario , green energi consid whole electr consumpt taken account . scenario two three , 50 % 100 % renew energi share secur optim invest photovolta ( pv ) panel , wind turbin ( wt ) , batteri energi storag ( be ) technolog . econom point view , conclud best scenario second one thank increas technic capac invest ratio compar two scenario , show energi price reduct 10 % . © 2024 author"
2023,Towards positive energy islands – a Danish case study,Journal of Physics: Conference Series,"danish island `` ærø '' ambit becom first danish island self-suffici renew energi co2 neutral 2025 , well fossil fuel free 2030 . work investig feasibl re-design part island ’ energi system becom first danish posit energi island ( pei ) , evalu variou design scenario opportun improv modifi current energi suppli distribut scheme . district model consid build specif characterist energi suppli system use urban scale model tool citi energi analyst ( cea ) . simul base-cas scenario perform calibr perform . differ energi improv strategi target build envelop energi gener suppli system creat implement cea . six improv packag creat simul . demonstr pei could built district consider comprehens energi improv packag envelope-target techniqu , energi system upgrad , expans renew energi system . packag includ led light , heat pump instal , photovoltaic-therm unit . enabl meet annual net need electr produc 20 % excess heat . © 2023 institut physic publish . right reserv ."
2023,A Methodology for Offshore Transmission System Optimization Considering Spacial Constraints,"2023 IEEE Belgrade PowerTech, PowerTech 2023","work present optim method offshor wind transmiss network consid three di-mension spacial represent multipl onshor connect point , bathymetri no-go zone . model account capit expenditur ( capex ) well oper expenditur cabl transform loss , correct mainten ( cm ) expect energi transmit ( eent ) . accur determin oper expenditur , time seri wind gener profil use . methodolog combin origin offshor substat ( oss ) placement algorithm , greedi search algorithm combinatori search space mix integ linear program ( milp ) model . two simplif full three dimension spacial model present increas tractabl larg scale test case . demonstr util approach , model appli belgian exclus econom area ( eea ) . result full three dimension problem two simplifi variat compar term solut qualiti comput time . © 2023 ieee ."
2023,Quasi-Markov Models of Point-Interval Forecasting in Energy Efficiency Management Energy Islands,International Scientific and Technical Conference on Computer Sciences and Information Technologies,"paper present new approach model process dynam energi effici manag energi island base long-term point-interv forecast . purpos work present concept long-term energi effici manag hybrid energi island , complex system consist certain number rel independ object - microgrid . believ period strateg plan point view process-resourc approach long-term ( quarter-season-year ) appropri detail ( exampl , decade-month ) . therefor , effect tool , advis long-term forecast form certain corridor . , exampl , point-interv forecast . obtain forecast , author propos method base quasi-markov model . , simpl markov model , analog autoregress model stationari process 'without delay extend so-cal quasi-markov model , analog autoregress model stationari process 'with delay , decis move next state object made take account sever previou state . illustr exampl explain result present anoth part work given . © 2023 ieee ."
2024,Offshore grid planning considering restricted areas: An evolution game approach,Renewable Energy,"paper , offshor wind farm cluster transmiss network plan examin depth , base finit ration evolutionari game method . actual project , game scenario offshor wind farm develop transmiss system oper respect interest consid , cabl lay exclus zone owe submarin environ fulli taken account . simul experi , signific effect propos method improv grid adapt interfer immun verifi . result demonstr propos finit ration evolutionari game method increas return invest 1.83 % compar tradit method , payoff ratio game particip 12.81 % lower . addit , method excel ensur feasibl project implement success balanc interest owf develop power transmiss system oper . offer new perspect effici plan transmiss network offshor wind farm better cope complex engin environ balanc interest parti . © 2024 elsevi ltd"
2023,Hydro-Pump/Generator-based Hydrogen-Pressure Energy Storage for Power Grid-Forming Support,"2023 3rd New Energy and Energy Storage System Control Summit Forum, NEESSC 2023","paper present method design water-compress hydrogen energi storag system ( wch-ess ) activ regul function power grid . first , propos system architectur water-compress hydrogen ess station . , station oper depend variable-spe constant frequenc ( vscf ) motor/gener core function . station core function , design method activ support function power grid base wch-ess propos . final , layout , function risk avoid design wch-ess base energi island analyz . method take discard wind/photovolta energi surplu electr energi drive motor compress hydrogen load power grid low . high-valu electr energi , system adopt wch-ess gener power , particip frequenc regul power grid stabil power system . also use emerg backup improv consumpt rate wind power photovolta power gener . ©2023 ieee ."
2023,Novel Harmonic Distortion Prediction Methods for Meshed Transmission Grids with Large Amount of Underground Cables †,Energies,"tremend fast green transit denmark initi large-scal grid-integr renew energi sourc , electrif energi consumpt , establish ptx energi island , set goal transmiss grid development—such establish new connections—and grid reconstruction—such extens substitut overhead line ( ohl ) underground cabl ( ugc ) . share ugc danish transmiss grid increas . presenc ugc result reson harmon imped characterist transmiss grid brought within harmon order rang coincid harmon emiss sourc caus systemwid increas harmon voltag distort 400 kv transmiss grid . transform 400 kv transmiss grid given rise need predict harmon voltag distort use simul model secur adequ power qualiti support invest decis harmon mitig grid stage , yet establish differ present grid . paper present experi energinet , transmiss system oper ( tso ) denmark , harmon distort danish transmiss grid due establish 400 kv ugc , develop measurement-valid method harmon distort simul predict . paper also present ongo develop within , research address , predict harmon distort mesh grid ; exampl , explor analyt approach replac observ studi mani numer simul . method shall make possibl predict whether , transmiss grid , harmon order connect yet commiss may caus violat plan level , mitig necessari bring harmon distort plan level respect given margin . © 2023 author ."
