topic_int,topic_names,labels_layer,Source
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
1,wind farm,1: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
6,offshor grid,6: offshor grid,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
1,wind farm,1: wind farm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
3,renew energi,3: renew energi,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
