topic_int,topic_names,Source
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
8,north sea,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
9,abstract avail,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
8,north sea,Pro Media
9,abstract avail,Pro Media
9,abstract avail,Pro Media
3,offshor wind,Pro Media
8,north sea,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
7,baltic sea,Pro Media
7,baltic sea,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
4,energiø bornholm,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
7,baltic sea,Pro Media
4,energiø bornholm,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
4,energiø bornholm,Pro Media
4,energiø bornholm,Pro Media
8,north sea,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
7,baltic sea,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
5,renew energi,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
5,renew energi,Pro Media
7,baltic sea,Pro Media
1,offshor grid,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
2,municip council,Pro Media
2,municip council,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
9,abstract avail,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
4,energiø bornholm,Pro Media
5,renew energi,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
7,baltic sea,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
4,energiø bornholm,Pro Media
6,wind turbin,Pro Media
9,abstract avail,Pro Media
7,baltic sea,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
8,north sea,Pro Media
4,energiø bornholm,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
4,energiø bornholm,Pro Media
4,energiø bornholm,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
7,baltic sea,Pro Media
0,energi island,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
2,municip council,Pro Media
0,energi island,Pro Media
7,baltic sea,Pro Media
6,wind turbin,Pro Media
4,energiø bornholm,Pro Media
0,energi island,Pro Media
