topic_int,topic_names,labels_layer,Source
5,wind farm,5: wind farm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
9,north sea,9: north sea,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
8,district heat,8: district heat,Pro Media
4,wind turbin,4: wind turbin,Pro Media
5,wind farm,5: wind farm,Pro Media
8,district heat,8: district heat,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
5,wind farm,5: wind farm,Pro Media
8,district heat,8: district heat,Pro Media
8,district heat,8: district heat,Pro Media
4,wind turbin,4: wind turbin,Pro Media
9,north sea,9: north sea,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
6,municip council,6: municip council,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
5,wind farm,5: wind farm,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
4,wind turbin,4: wind turbin,Pro Media
4,wind turbin,4: wind turbin,Pro Media
0,energi island,0: energi island,Pro Media
9,north sea,9: north sea,Pro Media
4,wind turbin,4: wind turbin,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
4,wind turbin,4: wind turbin,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
1,renew energi,1: renew energi,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
5,wind farm,5: wind farm,Pro Media
1,renew energi,1: renew energi,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
7,offshor grid,7: offshor grid,Pro Media
2,offshor wind,2: offshor wind,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
0,energi island,0: energi island,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
8,district heat,8: district heat,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
2,offshor wind,2: offshor wind,Pro Media
0,energi island,0: energi island,Pro Media
1,renew energi,1: renew energi,Pro Media
5,wind farm,5: wind farm,Pro Media
5,wind farm,5: wind farm,Pro Media
2,offshor wind,2: offshor wind,Pro Media
8,district heat,8: district heat,Pro Media
8,district heat,8: district heat,Pro Media
2,offshor wind,2: offshor wind,Pro Media
8,district heat,8: district heat,Pro Media
3,energiø bornholm,3: energiø bornholm,Pro Media
