Source,cluster,x,y
Pro Media,-1,4.121014,7.1609697
Pro Media,6,4.0239444,7.1642118
Pro Media,16,3.4168954,6.4886136
Pro Media,1,4.327843,7.0975676
Pro Media,12,3.732466,6.3298893
Pro Media,38,3.568843,7.6919084
Pro Media,5,4.675891,6.594519
Pro Media,25,4.617041,5.673231
Pro Media,14,4.8689785,6.7430086
Pro Media,9,5.6107135,7.1253014
Pro Media,5,5.2429647,7.54242
Pro Media,1,4.277839,7.014745
Pro Media,12,4.238316,7.1582923
Pro Media,2,4.9424567,6.4859076
Pro Media,1,4.2106824,6.867432
Pro Media,19,6.05182,9.246541
Pro Media,25,5.6464696,6.9367957
Pro Media,9,5.668756,7.1516995
Pro Media,1,4.132748,6.484943
Pro Media,31,4.624989,8.673987
Pro Media,6,3.549614,6.299329
Pro Media,1,3.9012263,6.2847934
Pro Media,4,3.7906058,5.630864
Pro Media,19,4.4931507,6.8868093
Pro Media,2,4.5330005,5.993796
Pro Media,12,3.9496264,6.6935997
Pro Media,6,3.5087957,6.2634315
Pro Media,12,3.540605,5.9314303
Pro Media,26,3.6228294,6.278813
Pro Media,2,5.603418,7.3882484
Pro Media,5,4.8048472,6.907276
Pro Media,-1,5.4434857,7.8520317
Pro Media,1,3.6658206,6.01988
Pro Media,33,5.6466703,10.217451
Pro Media,12,3.767,6.2666993
Pro Media,32,4.9460335,7.289671
Pro Media,26,3.576124,6.1292257
Pro Media,12,3.5231786,5.9982944
Pro Media,-1,3.7111428,6.4573174
Pro Media,5,4.2833247,6.121544
Pro Media,6,3.7725828,6.8064995
Pro Media,35,6.5618434,7.335798
Pro Media,1,4.9364767,8.003691
Pro Media,19,3.9447544,6.099747
Pro Media,9,5.56222,7.093123
Pro Media,16,3.6323102,6.919236
Pro Media,22,5.5294814,7.5167403
Pro Media,1,4.871534,7.9759374
Pro Media,31,3.918603,7.3270664
Pro Media,19,3.9159749,6.0999436
Pro Media,1,3.9322248,6.4201837
Pro Media,33,5.4242625,9.860363
Pro Media,16,4.524089,8.692167
Pro Media,6,3.9846447,7.080633
Pro Media,27,3.838299,8.525521
Pro Media,22,5.616365,7.588602
Pro Media,1,3.821014,6.286241
Pro Media,4,5.4451113,8.083237
Pro Media,32,5.216662,7.630894
Pro Media,5,5.335237,7.5073843
Pro Media,5,5.303657,7.574508
Pro Media,22,5.4701552,7.4456005
Pro Media,5,5.5928116,7.9078655
Pro Media,-1,3.8759766,6.752209
Pro Media,4,5.9110227,8.838677
Pro Media,1,4.3665004,7.05086
Pro Media,32,5.41831,7.987373
Pro Media,28,3.425489,8.233507
Pro Media,20,4.5036297,9.519626
Pro Media,25,4.0286775,5.006486
Pro Media,6,5.82938,10.301258
Pro Media,28,3.3162339,8.029957
Pro Media,22,5.6912036,7.7197256
Pro Media,10,5.692861,6.8457413
Pro Media,17,5.0785766,4.1623816
Pro Media,14,5.1596966,7.1193843
Pro Media,9,5.5945745,7.2271066
Pro Media,9,5.7408824,7.254584
Pro Media,28,3.6949654,9.025801
Pro Media,30,3.722073,8.754425
Pro Media,7,5.2148294,6.140096
Pro Media,4,6.609658,9.897718
Pro Media,-1,3.841871,8.880563
Pro Media,22,6.446517,8.718054
Pro Media,16,4.514344,8.675972
Pro Media,25,6.042572,7.5496917
Pro Media,2,5.7201424,7.6626716
Pro Media,3,2.890817,5.6057167
Pro Media,10,6.007339,7.299842
Pro Media,12,5.58828,9.387264
Pro Media,14,6.176408,8.645101
Pro Media,7,4.0321326,4.7590413
Pro Media,31,3.5743582,6.6927342
Pro Media,7,4.122214,4.8674183
Pro Media,4,5.0988164,7.736735
Pro Media,25,5.6279893,7.009717
